year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,256240323.0,3.205082186,256240323.0,3.205082186,256240323.0,3.205082186,256240323.0,3.205082186,2.1,401828885.0
1961,260376316.0,3.145021742,260376316.0,3.145021742,260376316.0,3.145021742,260376316.0,3.145021742,2.1,401828885.0
1962,264562393.0,3.108764976,264562393.0,3.108764976,264562393.0,3.108764976,264562393.0,3.108764976,2.1,401828885.0
1963,268766831.0,3.042628131,268766831.0,3.042628131,268766831.0,3.042628131,268766831.0,3.042628131,2.1,401828885.0
1964,272959744.0,2.970240695,272959744.0,2.970240695,272959744.0,2.970240695,272959744.0,2.970240695,2.1,401828885.0
1965,277095486.0,2.937900531,277095486.0,2.937900531,277095486.0,2.937900531,277095486.0,2.937900531,2.1,401828885.0
1966,280497635.0,2.916844258,280497635.0,2.916844258,280497635.0,2.916844258,280497635.0,2.916844258,2.1,401828885.0
1967,283832745.0,2.874364563,283832745.0,2.874364563,283832745.0,2.874364563,283832745.0,2.874364563,2.1,401828885.0
1968,287134686.0,2.845585172,287134686.0,2.845585172,287134686.0,2.845585172,287134686.0,2.845585172,2.1,401828885.0
1969,290423895.0,2.837254885,290423895.0,2.837254885,290423895.0,2.837254885,290423895.0,2.837254885,2.1,401828885.0
1970,293690910.0,2.847696319,293690910.0,2.847696319,293690910.0,2.847696319,293690910.0,2.847696319,2.1,401828885.0
1971,296984143.0,2.846590651,296984143.0,2.846590651,296984143.0,2.846590651,296984143.0,2.846590651,2.1,401828885.0
1972,300287193.0,2.844613119,300287193.0,2.844613119,300287193.0,2.844613119,300287193.0,2.844613119,2.1,401828885.0
1973,303586616.0,2.812483649,303586616.0,2.812483649,303586616.0,2.812483649,303586616.0,2.812483649,2.1,401828885.0
1974,306887355.0,2.793992537,306887355.0,2.793992537,306887355.0,2.793992537,306887355.0,2.793992537,2.1,401828885.0
1975,310138194.0,2.75959192,310138194.0,2.75959192,310138194.0,2.75959192,310138194.0,2.75959192,2.1,401828885.0
1976,313549230.0,2.728033401,313549230.0,2.728033401,313549230.0,2.728033401,313549230.0,2.728033401,2.1,401828885.0
1977,316954391.0,2.687860702,316954391.0,2.687860702,316954391.0,2.687860702,316954391.0,2.687860702,2.1,401828885.0
1978,320328643.0,2.655171231,320328643.0,2.655171231,320328643.0,2.655171231,320328643.0,2.655171231,2.1,401828885.0
1979,323737511.0,2.620652887,323737511.0,2.620652887,323737511.0,2.620652887,323737511.0,2.620652887,2.1,401828885.0
1980,327228917.0,2.589810209,327228917.0,2.589810209,327228917.0,2.589810209,327228917.0,2.589810209,2.1,401828885.0
1981,330769542.0,2.57005832,330769542.0,2.57005832,330769542.0,2.57005832,330769542.0,2.57005832,2.1,401828885.0
1982,334202532.0,2.634431954,334202532.0,2.634431954,334202532.0,2.634431954,334202532.0,2.634431954,2.1,401828885.0
1983,337643744.0,2.668220127,337643744.0,2.668220127,337643744.0,2.668220127,337643744.0,2.668220127,2.1,401828885.0
1984,341334694.0,2.633069961,341334694.0,2.633069961,341334694.0,2.633069961,341334694.0,2.633069961,2.1,401828885.0
1985,345006487.0,2.599441252,345006487.0,2.599441252,345006487.0,2.599441252,345006487.0,2.599441252,2.1,401828885.0
1986,348642900.0,2.633233944,348642900.0,2.633233944,348642900.0,2.633233944,348642900.0,2.633233944,2.1,401828885.0
1987,352277823.0,2.645035388,352277823.0,2.645035388,352277823.0,2.645035388,352277823.0,2.645035388,2.1,401828885.0
1988,355779852.0,2.567985883,355779852.0,2.567985883,355779852.0,2.567985883,355779852.0,2.567985883,2.1,401828885.0
1989,358915202.0,2.471612977,358915202.0,2.471612977,358915202.0,2.471612977,358915202.0,2.471612977,2.1,401828885.0
1990,361192206.0,2.376619248,361192206.0,2.376619248,361192206.0,2.376619248,361192206.0,2.376619248,2.1,401828885.0
1991,363436990.0,2.27100034,363436990.0,2.27100034,363436990.0,2.27100034,363436990.0,2.27100034,2.1,401828885.0
1992,365331816.0,2.152510793,365331816.0,2.152510793,365331816.0,2.152510793,365331816.0,2.152510793,2.1,401828885.0
1993,366753479.0,2.01980669,366753479.0,2.01980669,366753479.0,2.01980669,366753479.0,2.01980669,2.1,401828885.0
1994,367545578.0,1.970135443,367545578.0,1.970135443,367545578.0,1.970135443,367545578.0,1.970135443,2.1,401828885.0
1995,367887617.0,1.910509227,367887617.0,1.910509227,367887617.0,1.910509227,367887617.0,1.910509227,2.1,401828885.0
1996,368312923.0,1.833693444,368312923.0,1.833693444,368312923.0,1.833693444,368312923.0,1.833693444,2.1,401828885.0
1997,368733376.0,1.761994514,368733376.0,1.761994514,368733376.0,1.761994514,368733376.0,1.761994514,2.1,401828885.0
1998,369017645.0,1.728824105,369017645.0,1.728824105,369017645.0,1.728824105,369017645.0,1.728824105,2.1,401828885.0
1999,369016122.0,1.673652721,369016122.0,1.673652721,369016122.0,1.673652721,369016122.0,1.673652721,2.1,401828885.0
2000,369135190.0,1.662318374,369135190.0,1.662318374,369135190.0,1.662318374,369135190.0,1.662318374,2.1,401828885.0
