year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,666753356.0,2.836865261,666753356.0,2.836865261,666753356.0,2.836865261,666753356.0,2.836865261,2.1,923753699.0
1961,674450666.0,2.823628629,674450666.0,2.823628629,674450666.0,2.823628629,674450666.0,2.823628629,2.1,923753699.0
1962,682397828.0,2.804075415,682397828.0,2.804075415,682397828.0,2.804075415,682397828.0,2.804075415,2.1,923753699.0
1963,690411692.0,2.798283523,690411692.0,2.798283523,690411692.0,2.798283523,690411692.0,2.798283523,2.1,923753699.0
1964,698355574.0,2.788440328,698355574.0,2.788440328,698355574.0,2.788440328,698355574.0,2.788440328,2.1,923753699.0
1965,706070460.0,2.741943921,706070460.0,2.741943921,706070460.0,2.741943921,706070460.0,2.741943921,2.1,923753699.0
1966,712830312.0,2.709483073,712830312.0,2.709483073,712830312.0,2.709483073,712830312.0,2.709483073,2.1,923753699.0
1967,719406020.0,2.714593488,719406020.0,2.714593488,719406020.0,2.714593488,719406020.0,2.714593488,2.1,923753699.0
1968,725725300.0,2.66106046,725725300.0,2.66106046,725725300.0,2.66106046,725725300.0,2.66106046,2.1,923753699.0
1969,731903738.0,2.610024238,731903738.0,2.610024238,731903738.0,2.610024238,731903738.0,2.610024238,2.1,923753699.0
1970,737524825.0,2.562601009,737524825.0,2.562601009,737524825.0,2.562601009,737524825.0,2.562601009,2.1,923753699.0
1971,743140589.0,2.542864651,743140589.0,2.542864651,743140589.0,2.542864651,743140589.0,2.542864651,2.1,923753699.0
1972,749283635.0,2.479816676,749283635.0,2.479816676,749283635.0,2.479816676,749283635.0,2.479816676,2.1,923753699.0
1973,755259488.0,2.415923404,755259488.0,2.415923404,755259488.0,2.415923404,755259488.0,2.415923404,2.1,923753699.0
1974,761029417.0,2.402546729,761029417.0,2.402546729,761029417.0,2.402546729,761029417.0,2.402546729,2.1,923753699.0
1975,766625562.0,2.34759195,766625562.0,2.34759195,766625562.0,2.34759195,766625562.0,2.34759195,2.1,923753699.0
1976,772129341.0,2.309286156,772129341.0,2.309286156,772129341.0,2.309286156,772129341.0,2.309286156,2.1,923753699.0
1977,777422111.0,2.255009308,777422111.0,2.255009308,777422111.0,2.255009308,777422111.0,2.255009308,2.1,923753699.0
1978,782653852.0,2.219730362,782653852.0,2.219730362,782653852.0,2.219730362,782653852.0,2.219730362,2.1,923753699.0
1979,787910910.0,2.193588352,787910910.0,2.193588352,787910910.0,2.193588352,787910910.0,2.193588352,2.1,923753699.0
1980,793299463.0,2.167286377,793299463.0,2.167286377,793299463.0,2.167286377,793299463.0,2.167286377,2.1,923753699.0
1981,798559755.0,2.132954147,798559755.0,2.132954147,798559755.0,2.132954147,798559755.0,2.132954147,2.1,923753699.0
1982,803342746.0,2.14104909,803342746.0,2.14104909,803342746.0,2.14104909,803342746.0,2.14104909,2.1,923753699.0
1983,807903880.0,2.131091766,807903880.0,2.131091766,807903880.0,2.131091766,807903880.0,2.131091766,2.1,923753699.0
1984,812662217.0,2.106320464,812662217.0,2.106320464,812662217.0,2.106320464,812662217.0,2.106320464,2.1,923753699.0
1985,817497806.0,2.090886668,817497806.0,2.090886668,817497806.0,2.090886668,817497806.0,2.090886668,2.1,923753699.0
1986,822470047.0,2.097180276,822470047.0,2.097180276,822470047.0,2.097180276,822470047.0,2.097180276,2.1,923753699.0
1987,827505281.0,2.091578044,827505281.0,2.091578044,827505281.0,2.091578044,827505281.0,2.091578044,2.1,923753699.0
1988,832553390.0,2.061666638,832553390.0,2.061666638,832553390.0,2.061666638,832553390.0,2.061666638,2.1,923753699.0
1989,837438555.0,2.00157322,837438555.0,2.00157322,837438555.0,2.00157322,837438555.0,2.00157322,2.1,923753699.0
1990,841536999.0,1.95793165,841536999.0,1.95793165,841536999.0,1.95793165,841536999.0,1.95793165,2.1,923753699.0
1991,845399658.0,1.892881058,845399658.0,1.892881058,845399658.0,1.892881058,845399658.0,1.892881058,2.1,923753699.0
1992,848878429.0,1.819952822,848878429.0,1.819952822,848878429.0,1.819952822,848878429.0,1.819952822,2.1,923753699.0
1993,851973886.0,1.741871406,851973886.0,1.741871406,851973886.0,1.741871406,851973886.0,1.741871406,2.1,923753699.0
1994,854082087.0,1.698565809,854082087.0,1.698565809,854082087.0,1.698565809,854082087.0,1.698565809,2.1,923753699.0
1995,855490982.0,1.654311546,855490982.0,1.654311546,855490982.0,1.654311546,855490982.0,1.654311546,2.1,923753699.0
1996,856856802.0,1.62055886,856856802.0,1.62055886,856856802.0,1.62055886,856856802.0,1.62055886,2.1,923753699.0
1997,858163120.0,1.593409297,858163120.0,1.593409297,858163120.0,1.593409297,858163120.0,1.593409297,2.1,923753699.0
1998,859296518.0,1.571982993,859296518.0,1.571982993,859296518.0,1.571982993,859296518.0,1.571982993,2.1,923753699.0
1999,860311870.0,1.546818912,860311870.0,1.546818912,860311870.0,1.546818912,860311870.0,1.546818912,2.1,923753699.0
