year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4543658.0,6.721,4543658.0,6.721,4543658.0,6.721,4543658.0,6.721,2.1,17888474.0
1961,4674176.0,6.7,4674176.0,6.7,4674176.0,6.7,4674176.0,6.7,2.1,17888474.0
1962,4809194.0,6.676,4809194.0,6.676,4809194.0,6.676,4809194.0,6.676,2.1,17888474.0
1963,4948991.0,6.646,4948991.0,6.646,4948991.0,6.646,4948991.0,6.646,2.1,17888474.0
1964,5093848.0,6.61,5093848.0,6.61,5093848.0,6.61,5093848.0,6.61,2.1,17888474.0
1965,5243980.0,6.564,5243980.0,6.564,5243980.0,6.564,5243980.0,6.564,2.1,17888474.0
1966,5399423.0,6.507,5399423.0,6.507,5399423.0,6.507,5399423.0,6.507,2.1,17888474.0
1967,5560013.0,6.436,5560013.0,6.436,5560013.0,6.436,5560013.0,6.436,2.1,17888474.0
1968,5725462.0,6.351,5725462.0,6.351,5725462.0,6.351,5725462.0,6.351,2.1,17888474.0
1969,5895368.0,6.252,5895368.0,6.252,5895368.0,6.252,5895368.0,6.252,2.1,17888474.0
1970,6069375.0,6.138,6069375.0,6.138,6069375.0,6.138,6069375.0,6.138,2.1,17888474.0
1971,6247421.0,6.011,6247421.0,6.011,6247421.0,6.011,6247421.0,6.011,2.1,17888474.0
1972,6429377.0,5.873,6429377.0,5.873,6429377.0,5.873,6429377.0,5.873,2.1,17888474.0
1973,6614840.0,5.727,6614840.0,5.727,6614840.0,5.727,6614840.0,5.727,2.1,17888474.0
1974,6803271.0,5.577,6803271.0,5.577,6803271.0,5.577,6803271.0,5.577,2.1,17888474.0
1975,6994331.0,5.426,6994331.0,5.426,6994331.0,5.426,6994331.0,5.426,2.1,17888474.0
1976,7187794.0,5.276,7187794.0,5.276,7187794.0,5.276,7187794.0,5.276,2.1,17888474.0
1977,7383713.0,5.13,7383713.0,5.13,7383713.0,5.13,7383713.0,5.13,2.1,17888474.0
1978,7582357.0,4.989,7582357.0,4.989,7582357.0,4.989,7582357.0,4.989,2.1,17888474.0
1979,7784074.0,4.855,7784074.0,4.855,7784074.0,4.855,7784074.0,4.855,2.1,17888474.0
1980,7989178.0,4.73,7989178.0,4.73,7989178.0,4.73,7989178.0,4.73,2.1,17888474.0
1981,8197648.0,4.612,8197648.0,4.612,8197648.0,4.612,8197648.0,4.612,2.1,17888474.0
1982,8409396.0,4.501,8409396.0,4.501,8409396.0,4.501,8409396.0,4.501,2.1,17888474.0
1983,8624594.0,4.395,8624594.0,4.395,8624594.0,4.395,8624594.0,4.395,2.1,17888474.0
1984,8843463.0,4.293,8843463.0,4.293,8843463.0,4.293,8843463.0,4.293,2.1,17888474.0
1985,9066100.0,4.195,9066100.0,4.195,9066100.0,4.195,9066100.0,4.195,2.1,17888474.0
1986,9292481.0,4.1,9292481.0,4.1,9292481.0,4.1,9292481.0,4.1,2.1,17888474.0
1987,9522362.0,4.007,9522362.0,4.007,9522362.0,4.007,9522362.0,4.007,2.1,17888474.0
1988,9755576.0,3.917,9755576.0,3.917,9755576.0,3.917,9755576.0,3.917,2.1,17888474.0
1989,9991870.0,3.829,9991870.0,3.829,9991870.0,3.829,9991870.0,3.829,2.1,17888474.0
1990,10230931.0,3.744,10230931.0,3.744,10230931.0,3.744,10230931.0,3.744,2.1,17888474.0
1991,10472476.0,3.665,10472476.0,3.665,10472476.0,3.665,10472476.0,3.665,2.1,17888474.0
1992,10716131.0,3.591,10716131.0,3.591,10716131.0,3.591,10716131.0,3.591,2.1,17888474.0
1993,10961460.0,3.524,10961460.0,3.524,10961460.0,3.524,10961460.0,3.524,2.1,17888474.0
1994,11207999.0,3.461,11207999.0,3.461,11207999.0,3.461,11207999.0,3.461,2.1,17888474.0
1995,11455205.0,3.403,11455205.0,3.403,11455205.0,3.403,11455205.0,3.403,2.1,17888474.0
1996,11703169.0,3.345,11703169.0,3.345,11703169.0,3.345,11703169.0,3.345,2.1,17888474.0
1997,11951457.0,3.288,11951457.0,3.288,11951457.0,3.288,11951457.0,3.288,2.1,17888474.0
1998,12198449.0,3.228,12198449.0,3.228,12198449.0,3.228,12198449.0,3.228,2.1,17888474.0
1999,12442109.0,3.166,12442109.0,3.166,12442109.0,3.166,12442109.0,3.166,2.1,17888474.0
2000,12681123.0,3.102,12681123.0,3.102,12681123.0,3.102,12681123.0,3.102,2.1,17888474.0
2001,12914660.0,3.037,12914660.0,3.037,12914660.0,3.037,12914660.0,3.037,2.1,17888474.0
2002,13143465.0,2.972,13143465.0,2.972,13143465.0,2.972,13143465.0,2.972,2.1,17888474.0
2003,13369678.0,2.911,13369678.0,2.911,13369678.0,2.911,13369678.0,2.911,2.1,17888474.0
2004,13596390.0,2.853,13596390.0,2.853,13596390.0,2.853,13596390.0,2.853,2.1,17888474.0
2005,13825839.0,2.8,13825839.0,2.8,13825839.0,2.8,13825839.0,2.8,2.1,17888474.0
2006,14059379.0,2.753,14059379.0,2.753,14059379.0,2.753,14059379.0,2.753,2.1,17888474.0
2007,14296554.0,2.711,14296554.0,2.711,14296554.0,2.711,14296554.0,2.711,2.1,17888474.0
2008,14535740.0,2.675,14535740.0,2.675,14535740.0,2.675,14535740.0,2.675,2.1,17888474.0
2009,14774412.0,2.643,14774412.0,2.643,14774412.0,2.643,14774412.0,2.643,2.1,17888474.0
