year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,26632891.0,6.716,26632891.0,6.716,26632891.0,6.716,26632891.0,6.716,2.1,104258327.0
1961,27366239.0,6.696,27366239.0,6.696,27366239.0,6.696,27366239.0,6.696,2.1,104258327.0
1962,28112258.0,6.673,28112258.0,6.673,28112258.0,6.673,28112258.0,6.673,2.1,104258327.0
1963,28871383.0,6.646,28871383.0,6.646,28871383.0,6.646,28871383.0,6.646,2.1,104258327.0
1964,29644875.0,6.615,29644875.0,6.615,29644875.0,6.615,29644875.0,6.615,2.1,104258327.0
1965,30433024.0,6.577,30433024.0,6.577,30433024.0,6.577,30433024.0,6.577,2.1,104258327.0
1966,31237597.0,6.529,31237597.0,6.529,31237597.0,6.529,31237597.0,6.529,2.1,104258327.0
1967,32056506.0,6.469,32056506.0,6.469,32056506.0,6.469,32056506.0,6.469,2.1,104258327.0
1968,32881852.0,6.399,32881852.0,6.399,32881852.0,6.399,32881852.0,6.399,2.1,104258327.0
1969,33703127.0,6.319,33703127.0,6.319,33703127.0,6.319,33703127.0,6.319,2.1,104258327.0
1970,34513851.0,6.233,34513851.0,6.233,34513851.0,6.233,34513851.0,6.233,2.1,104258327.0
1971,35311905.0,6.144,35311905.0,6.144,35311905.0,6.144,35311905.0,6.144,2.1,104258327.0
1972,36102670.0,6.056,36102670.0,6.056,36102670.0,6.056,36102670.0,6.056,2.1,104258327.0
1973,36896551.0,5.974,36896551.0,5.974,36896551.0,5.974,36896551.0,5.974,2.1,104258327.0
1974,37708144.0,5.899,37708144.0,5.899,37708144.0,5.899,37708144.0,5.899,2.1,104258327.0
1975,38549133.0,5.833,38549133.0,5.833,38549133.0,5.833,38549133.0,5.833,2.1,104258327.0
1976,39422731.0,5.778,39422731.0,5.778,39422731.0,5.778,39422731.0,5.778,2.1,104258327.0
1977,40329589.0,5.731,40329589.0,5.731,40329589.0,5.731,40329589.0,5.731,2.1,104258327.0
1978,41275728.0,5.69,41275728.0,5.69,41275728.0,5.69,41275728.0,5.69,2.1,104258327.0
1979,42267429.0,5.65,42267429.0,5.65,42267429.0,5.65,42267429.0,5.65,2.1,104258327.0
1980,43309063.0,5.61,43309063.0,5.61,43309063.0,5.61,43309063.0,5.61,2.1,104258327.0
1981,44400113.0,5.567,44400113.0,5.567,44400113.0,5.567,44400113.0,5.567,2.1,104258327.0
1982,45539295.0,5.516,45539295.0,5.516,45539295.0,5.516,45539295.0,5.516,2.1,104258327.0
1983,46728284.0,5.456,46728284.0,5.456,46728284.0,5.456,46728284.0,5.456,2.1,104258327.0
1984,47968643.0,5.383,47968643.0,5.383,47968643.0,5.383,47968643.0,5.383,2.1,104258327.0
1985,49258726.0,5.293,49258726.0,5.293,49258726.0,5.293,49258726.0,5.293,2.1,104258327.0
1986,50602360.0,5.182,50602360.0,5.182,50602360.0,5.182,50602360.0,5.182,2.1,104258327.0
1987,51991696.0,5.052,51991696.0,5.052,51991696.0,5.052,51991696.0,5.052,2.1,104258327.0
1988,53399243.0,4.906,53399243.0,4.906,53399243.0,4.906,53399243.0,4.906,2.1,104258327.0
1989,54788680.0,4.747,54788680.0,4.747,54788680.0,4.747,54788680.0,4.747,2.1,104258327.0
1990,56134478.0,4.58,56134478.0,4.58,56134478.0,4.58,56134478.0,4.58,2.1,104258327.0
1991,57424552.0,4.413,57424552.0,4.413,57424552.0,4.413,57424552.0,4.413,2.1,104258327.0
1992,58666812.0,4.253,58666812.0,4.253,58666812.0,4.253,58666812.0,4.253,2.1,104258327.0
1993,59880656.0,4.103,59880656.0,4.103,59880656.0,4.103,59880656.0,4.103,2.1,104258327.0
1994,61095804.0,3.967,61095804.0,3.967,61095804.0,3.967,61095804.0,3.967,2.1,104258327.0
1995,62334025.0,3.844,62334025.0,3.844,62334025.0,3.844,62334025.0,3.844,2.1,104258327.0
1996,63601632.0,3.733,63601632.0,3.733,63601632.0,3.733,63601632.0,3.733,2.1,104258327.0
1997,64892269.0,3.629,64892269.0,3.629,64892269.0,3.629,64892269.0,3.629,2.1,104258327.0
1998,66200259.0,3.529,66200259.0,3.529,66200259.0,3.529,66200259.0,3.529,2.1,104258327.0
1999,67515591.0,3.432,67515591.0,3.432,67515591.0,3.432,67515591.0,3.432,2.1,104258327.0
2000,68831561.0,3.34,68831561.0,3.34,68831561.0,3.34,68831561.0,3.34,2.1,104258327.0
2001,70152662.0,3.253,70152662.0,3.253,70152662.0,3.253,70152662.0,3.253,2.1,104258327.0
2002,71485044.0,3.173,71485044.0,3.173,71485044.0,3.173,71485044.0,3.173,2.1,104258327.0
2003,72826102.0,3.106,72826102.0,3.106,72826102.0,3.106,72826102.0,3.106,2.1,104258327.0
2004,74172073.0,3.052,74172073.0,3.052,74172073.0,3.052,74172073.0,3.052,2.1,104258327.0
2005,75523576.0,3.019,75523576.0,3.019,75523576.0,3.019,75523576.0,3.019,2.1,104258327.0
2006,76873670.0,3.013,76873670.0,3.013,76873670.0,3.013,76873670.0,3.013,2.1,104258327.0
2007,78232124.0,3.037,78232124.0,3.037,78232124.0,3.037,78232124.0,3.037,2.1,104258327.0
2008,79636081.0,3.085,79636081.0,3.085,79636081.0,3.085,79636081.0,3.085,2.1,104258327.0
2009,81134789.0,3.154,81134789.0,3.154,81134789.0,3.154,81134789.0,3.154,2.1,104258327.0
2010,82761244.0,3.233,82761244.0,3.233,82761244.0,3.233,82761244.0,3.233,2.1,104258327.0
2011,84529251.0,3.311,84529251.0,3.311,84529251.0,3.311,84529251.0,3.311,2.1,104258327.0
2012,86422240.0,3.377,86422240.0,3.377,86422240.0,3.377,86422240.0,3.377,2.1,104258327.0
2013,88404652.0,3.421,88404652.0,3.421,88404652.0,3.421,88404652.0,3.421,2.1,104258327.0
2014,90424668.0,3.441,90424668.0,3.441,90424668.0,3.441,90424668.0,3.441,2.1,104258327.0
2015,92442549.0,3.436,92442549.0,3.436,92442549.0,3.436,92442549.0,3.436,2.1,104258327.0
2016,94447071.0,3.41,94447071.0,3.41,94447071.0,3.41,94447071.0,3.41,2.1,104258327.0
2017,96442590.0,3.37,96442590.0,3.37,96442590.0,3.37,96442590.0,3.37,2.1,104258327.0
2018,98423602.0,3.326,98423602.0,3.326,98423602.0,3.326,98423602.0,3.326,2.1,104258327.0
2019,100388076.0,3.28,100388076.0,3.28,100388076.0,3.28,100388076.0,3.28,2.1,104258327.0
2020,102334403.0,3.236,102334403.0,3.236,102334403.0,3.236,102334403.0,3.236,2.1,104258327.0
2021,104258327.0,3.236,104258327.0,3.236,104258327.0,3.236,104258327.0,3.236,2.1,104258327.0
2022,105012870.973,3.197,105053976.013,3.256,105032243.338,3.225,105040014.55,3.236,2.1,104258327.0
2023,105740602.249,3.158,105863674.027,3.277,105798415.584,3.213,105821702.101,3.236,2.1,104258327.0
2024,106441847.675,3.119,106687509.129,3.297,106556870.766,3.202,106603389.651,3.236,2.1,104258327.0
2025,107116930.114,3.081,107525569.959,3.318,107307635.816,3.191,107385077.202,3.236,2.1,104258327.0
2026,107766168.491,3.044,108377945.713,3.339,108050737.573,3.18,108166764.752,3.236,2.1,104258327.0
2027,108389877.847,3.006,109244726.143,3.36,108786202.781,3.169,108948452.303,3.236,2.1,104258327.0
2028,108988369.379,2.97,110126001.569,3.381,109514058.092,3.158,109730139.853,3.236,2.1,104258327.0
2029,109561950.494,2.934,111021862.873,3.402,110234330.065,3.147,110511827.404,3.236,2.1,104258327.0
2030,110110924.849,2.898,111932401.51,3.423,110947045.166,3.136,111293514.954,3.236,2.1,104258327.0
2031,110635592.4,2.862,112857709.505,3.445,111652229.768,3.125,112075202.505,3.236,2.1,104258327.0
2032,111136249.448,2.828,113797879.463,3.466,112349910.152,3.114,112856890.055,3.236,2.1,104258327.0
2033,111613188.681,2.793,114753004.569,3.488,113040112.508,3.103,113638577.606,3.236,2.1,104258327.0
2034,112066699.219,2.759,115723178.59,3.51,113722862.935,3.092,114420265.156,3.236,2.1,104258327.0
2035,112497066.657,2.725,116708495.884,3.532,114398187.439,3.081,115201952.707,3.236,2.1,104258327.0
2036,112904573.11,2.692,117709051.4,3.554,115066111.938,3.071,115983640.257,3.236,2.1,104258327.0
2037,113289497.253,2.659,118724940.68,3.576,115726662.257,3.06,116765327.808,3.236,2.1,104258327.0
2038,113652114.365,2.627,119756259.867,3.599,116379864.132,3.049,117547015.358,3.236,2.1,104258327.0
2039,113992696.368,2.595,120803105.708,3.621,117025743.209,3.039,118328702.909,3.236,2.1,104258327.0
2040,114311511.871,2.563,121865575.554,3.644,117664325.045,3.028,119110390.459,3.236,2.1,104258327.0
2041,114608826.207,2.532,122943767.367,3.667,118295635.106,3.017,119892078.01,3.236,2.1,104258327.0
2042,114884901.475,2.501,124037779.724,3.69,118919698.773,3.007,120673765.56,3.236,2.1,104258327.0
2043,115139996.58,2.471,125147711.821,3.713,119536541.334,2.996,121455453.11,3.236,2.1,104258327.0
2044,115374367.269,2.441,126273663.474,3.736,120146187.991,2.986,122237140.661,3.236,2.1,104258327.0
2045,115588266.174,2.411,127415735.125,3.76,120748663.858,2.976,123018828.211,3.236,2.1,104258327.0
2046,115781942.845,2.381,128574027.847,3.783,121343993.961,2.965,123800515.762,3.236,2.1,104258327.0
2047,115955643.791,2.352,129748643.346,3.807,121932203.239,2.955,124582203.312,3.236,2.1,104258327.0
2048,116109612.517,2.324,130939683.966,3.831,122513316.543,2.945,125363890.863,3.236,2.1,104258327.0
2049,116244089.558,2.295,132147252.693,3.855,123087358.638,2.934,126145578.413,3.236,2.1,104258327.0
2050,116359312.518,2.267,133371453.157,3.879,123654354.204,2.924,126927265.964,3.236,2.1,104258327.0
2051,116455516.104,2.24,134612389.639,3.903,124214327.831,2.914,127708953.514,3.236,2.1,104258327.0
2052,116532932.162,2.213,135870167.075,3.928,124767304.027,2.904,128490641.065,3.236,2.1,104258327.0
2053,116591789.713,2.186,137144891.057,3.953,125313307.213,2.893,129272328.615,3.236,2.1,104258327.0
2054,116632314.984,2.159,138436667.84,3.977,125852361.724,2.883,130054016.166,3.236,2.1,104258327.0
2055,116654731.446,2.133,139745604.346,4.002,126384491.812,2.873,130835703.716,3.236,2.1,104258327.0
2056,116659259.845,2.107,141071808.164,4.027,126909721.643,2.863,131617391.267,3.236,2.1,104258327.0
2057,116646118.238,2.081,142415387.563,4.053,127428075.298,2.853,132399078.817,3.236,2.1,104258327.0
2058,116615522.02,2.056,143776451.486,4.078,127939576.775,2.843,133180766.368,3.236,2.1,104258327.0
2059,116567683.964,2.03,145155109.561,4.104,128444249.99,2.833,133962453.918,3.236,2.1,104258327.0
2060,116502814.249,2.006,146551472.104,4.129,128942118.771,2.824,134744141.469,3.236,2.1,104258327.0
2061,116421120.489,1.981,147965650.122,4.155,129433206.867,2.814,135525829.019,3.236,2.1,104258327.0
2062,116322807.77,1.957,149397755.318,4.181,129917537.942,2.804,136307516.57,3.236,2.1,104258327.0
2063,116208078.677,1.933,150847900.095,4.207,130395135.579,2.794,137089204.12,3.236,2.1,104258327.0
2064,116077133.325,1.91,152316197.562,4.234,130866023.276,2.784,137870891.67,3.236,2.1,104258327.0
2065,115930169.392,1.886,153802761.535,4.26,131330224.453,2.775,138652579.221,3.236,2.1,104258327.0
2066,115767382.143,1.863,155307706.546,4.287,131787762.443,2.765,139434266.771,3.236,2.1,104258327.0
2067,115588964.464,1.841,156831147.844,4.314,132238660.503,2.755,140215954.322,3.236,2.1,104258327.0
2068,115395106.891,1.818,158373201.401,4.341,132682941.806,2.746,140997641.872,3.236,2.1,104258327.0
2069,115185997.636,1.796,159933983.915,4.368,133120629.443,2.736,141779329.423,3.236,2.1,104258327.0
2070,114961822.617,1.774,161513612.817,4.396,133551746.427,2.727,142561016.973,3.236,2.1,104258327.0
2071,114722765.485,1.753,163112206.274,4.423,133976315.69,2.717,143342704.524,3.236,2.1,104258327.0
2072,114469007.654,1.731,164729883.194,4.451,134394360.082,2.708,144124392.074,3.236,2.1,104258327.0
2073,114200728.324,1.71,166366763.229,4.479,134805902.377,2.698,144906079.625,3.236,2.1,104258327.0
2074,113918104.514,1.689,168022966.784,4.507,135210965.265,2.689,145687767.175,3.236,2.1,104258327.0
2075,113621311.082,1.669,169698615.018,4.535,135609571.361,2.679,146469454.726,3.236,2.1,104258327.0
2076,113310520.756,1.648,171393829.847,4.564,136001743.198,2.67,147251142.276,3.236,2.1,104258327.0
2077,112985904.158,1.628,173108733.954,4.592,136387503.232,2.661,148032829.827,3.236,2.1,104258327.0
2078,112647629.83,1.608,174843450.793,4.621,136766873.841,2.651,148814517.377,3.236,2.1,104258327.0
2079,112295864.26,1.589,176598104.587,4.65,137139877.322,2.642,149596204.928,3.236,2.1,104258327.0
2080,111930771.907,1.569,178372820.343,4.679,137506535.898,2.633,150377892.478,3.236,2.1,104258327.0
2081,111552515.223,1.55,180167723.847,4.708,137866871.713,2.624,151159580.029,3.236,2.1,104258327.0
2082,111161254.683,1.531,181982941.679,4.738,138220906.832,2.615,151941267.579,3.236,2.1,104258327.0
