year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,265203956.0,2.606819185,265203956.0,2.606819185,265203956.0,2.606819185,265203956.0,2.606819185,2.1,342566541.0
1961,267621091.0,2.636773473,267621091.0,2.636773473,267621091.0,2.636773473,267621091.0,2.636773473,2.1,342566541.0
1962,270110063.0,2.642436527,270110063.0,2.642436527,270110063.0,2.642436527,270110063.0,2.642436527,2.1,342566541.0
1963,272655396.0,2.681819025,272655396.0,2.681819025,272655396.0,2.681819025,272655396.0,2.681819025,2.1,342566541.0
1964,275163380.0,2.735351638,275163380.0,2.735351638,275163380.0,2.735351638,275163380.0,2.735351638,2.1,342566541.0
1965,277650954.0,2.681437056,277650954.0,2.681437056,277650954.0,2.681437056,277650954.0,2.681437056,2.1,342566541.0
1966,279969050.0,2.663168351,279969050.0,2.663168351,279969050.0,2.663168351,279969050.0,2.663168351,2.1,342566541.0
1967,281974870.0,2.619847188,281974870.0,2.619847188,281974870.0,2.619847188,281974870.0,2.619847188,2.1,342566541.0
1968,283866408.0,2.551431108,283866408.0,2.551431108,283866408.0,2.551431108,283866408.0,2.551431108,2.1,342566541.0
1969,285778639.0,2.489059585,285778639.0,2.489059585,285778639.0,2.489059585,285778639.0,2.489059585,2.1,342566541.0
1970,287338854.0,2.393220293,287338854.0,2.393220293,287338854.0,2.393220293,287338854.0,2.393220293,2.1,342566541.0
1971,288923399.0,2.344504957,288923399.0,2.344504957,288923399.0,2.344504957,288923399.0,2.344504957,2.1,342566541.0
1972,290874612.0,2.235837036,290874612.0,2.235837036,290874612.0,2.235837036,290874612.0,2.235837036,2.1,342566541.0
1973,292728242.0,2.131894924,292728242.0,2.131894924,292728242.0,2.131894924,292728242.0,2.131894924,2.1,342566541.0
1974,294399217.0,2.09987915,294399217.0,2.09987915,294399217.0,2.09987915,294399217.0,2.09987915,2.1,342566541.0
1975,295923529.0,2.023535658,295923529.0,2.023535658,295923529.0,2.023535658,295923529.0,2.023535658,2.1,342566541.0
1976,297251532.0,1.982763295,297251532.0,1.982763295,297251532.0,1.982763295,297251532.0,1.982763295,2.1,342566541.0
1977,298441848.0,1.90845113,298441848.0,1.90845113,298441848.0,1.90845113,298441848.0,1.90845113,2.1,342566541.0
1978,299652841.0,1.852953283,299652841.0,1.852953283,299652841.0,1.852953283,299652841.0,1.852953283,2.1,342566541.0
1979,300886487.0,1.801116576,300886487.0,1.801116576,300886487.0,1.801116576,300886487.0,1.801116576,2.1,342566541.0
1980,302184216.0,1.774394619,302184216.0,1.774394619,302184216.0,1.774394619,302184216.0,1.774394619,2.1,342566541.0
1981,303343114.0,1.726225968,303343114.0,1.726225968,303343114.0,1.726225968,303343114.0,1.726225968,2.1,342566541.0
1982,304174261.0,1.698098885,304174261.0,1.698098885,304174261.0,1.698098885,304174261.0,1.698098885,2.1,342566541.0
1983,304787497.0,1.639297394,304787497.0,1.639297394,304787497.0,1.639297394,304787497.0,1.639297394,2.1,342566541.0
1984,305299144.0,1.601979328,305299144.0,1.601979328,305299144.0,1.601979328,305299144.0,1.601979328,2.1,342566541.0
1985,305877743.0,1.590983398,305877743.0,1.590983398,305877743.0,1.590983398,305877743.0,1.590983398,2.1,342566541.0
1986,306640636.0,1.57978819,306640636.0,1.57978819,306640636.0,1.57978819,306640636.0,1.57978819,2.1,342566541.0
1987,307488377.0,1.558213967,307488377.0,1.558213967,307488377.0,1.558213967,307488377.0,1.558213967,2.1,342566541.0
1988,308516476.0,1.56258705,308516476.0,1.56258705,308516476.0,1.56258705,308516476.0,1.56258705,2.1,342566541.0
1989,309837575.0,1.529802663,309837575.0,1.529802663,309837575.0,1.529802663,309837575.0,1.529802663,2.1,342566541.0
1990,311262608.0,1.534250686,311262608.0,1.534250686,311262608.0,1.534250686,311262608.0,1.534250686,2.1,342566541.0
1991,312708132.0,1.488901453,312708132.0,1.488901453,312708132.0,1.488901453,312708132.0,1.488901453,2.1,342566541.0
1992,314162056.0,1.467769596,314162056.0,1.467769596,314162056.0,1.467769596,314162056.0,1.467769596,2.1,342566541.0
1993,315449093.0,1.43514513,315449093.0,1.43514513,315449093.0,1.43514513,315449093.0,1.43514513,2.1,342566541.0
1994,316366781.0,1.397829843,316366781.0,1.397829843,316366781.0,1.397829843,316366781.0,1.397829843,2.1,342566541.0
1995,317181461.0,1.383082874,317181461.0,1.383082874,317181461.0,1.383082874,317181461.0,1.383082874,2.1,342566541.0
1996,318003013.0,1.396218991,318003013.0,1.396218991,318003013.0,1.396218991,318003013.0,1.396218991,2.1,342566541.0
1997,318761752.0,1.416783843,318761752.0,1.416783843,318761752.0,1.416783843,318761752.0,1.416783843,2.1,342566541.0
1998,319433985.0,1.417678896,319433985.0,1.417678896,319433985.0,1.417678896,319433985.0,1.417678896,2.1,342566541.0
1999,320258891.0,1.431338934,320258891.0,1.431338934,320258891.0,1.431338934,320258891.0,1.431338934,2.1,342566541.0
