year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1007586.0,6.899,1007586.0,6.899,1007586.0,6.899,1007586.0,6.899,2.1,
1961,1033320.0,6.868,1033320.0,6.868,1033320.0,6.868,1033320.0,6.868,2.1,
1962,1060489.0,6.837,1060489.0,6.837,1060489.0,6.837,1060489.0,6.837,2.1,
1963,1088859.0,6.806,1088859.0,6.806,1088859.0,6.806,1088859.0,6.806,2.1,
1964,1118152.0,6.778,1118152.0,6.778,1118152.0,6.778,1118152.0,6.778,2.1,
1965,1148188.0,6.752,1148188.0,6.752,1148188.0,6.752,1148188.0,6.752,2.1,
1966,1178875.0,6.728,1178875.0,6.728,1178875.0,6.728,1178875.0,6.728,2.1,
1967,1210304.0,6.706,1210304.0,6.706,1210304.0,6.706,1210304.0,6.706,2.1,
1968,1242633.0,6.686,1242633.0,6.686,1242633.0,6.686,1242633.0,6.686,2.1,
1969,1276122.0,6.667,1276122.0,6.667,1276122.0,6.667,1276122.0,6.667,2.1,
1970,1310947.0,6.65,1310947.0,6.65,1310947.0,6.65,1310947.0,6.65,2.1,
1971,1347180.0,6.636,1347180.0,6.636,1347180.0,6.636,1347180.0,6.636,2.1,
1972,1384789.0,6.624,1384789.0,6.624,1384789.0,6.624,1384789.0,6.624,2.1,
1973,1423749.0,6.615,1423749.0,6.615,1423749.0,6.615,1423749.0,6.615,2.1,
1974,1463986.0,6.609,1463986.0,6.609,1463986.0,6.609,1463986.0,6.609,2.1,
1975,1505438.0,6.608,1505438.0,6.608,1505438.0,6.608,1505438.0,6.608,2.1,
1976,1547978.0,6.613,1547978.0,6.613,1547978.0,6.613,1547978.0,6.613,2.1,
1977,1591622.0,6.622,1591622.0,6.622,1591622.0,6.622,1591622.0,6.622,2.1,
1978,1636771.0,6.636,1636771.0,6.636,1636771.0,6.636,1636771.0,6.636,2.1,
1979,1683932.0,6.652,1683932.0,6.652,1683932.0,6.652,1683932.0,6.652,2.1,
1980,1733423.0,6.668,1733423.0,6.668,1733423.0,6.668,1733423.0,6.668,2.1,
1981,1784557.0,6.683,1784557.0,6.683,1784557.0,6.683,1784557.0,6.683,2.1,
1982,1836825.0,6.693,1836825.0,6.693,1836825.0,6.693,1836825.0,6.693,2.1,
1983,1890556.0,6.697,1890556.0,6.697,1890556.0,6.697,1890556.0,6.697,2.1,
1984,1946299.0,6.693,1946299.0,6.693,1946299.0,6.693,1946299.0,6.693,2.1,
1985,2003942.0,6.68,2003942.0,6.68,2003942.0,6.68,2003942.0,6.68,2.1,
1986,2064803.0,6.659,2064803.0,6.659,2064803.0,6.659,2064803.0,6.659,2.1,
