year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,30455000.0,2.86,30455000.0,2.86,30455000.0,2.86,30455000.0,2.86,2.1,47326687.0
1961,30739250.0,2.77,30739250.0,2.77,30739250.0,2.77,30739250.0,2.77,2.1,47326687.0
1962,31023366.0,2.8,31023366.0,2.8,31023366.0,2.8,31023366.0,2.8,2.1,47326687.0
1963,31296651.0,2.88,31296651.0,2.88,31296651.0,2.88,31296651.0,2.88,2.1,47326687.0
1964,31609195.0,3.01,31609195.0,3.01,31609195.0,3.01,31609195.0,3.01,2.1,47326687.0
1965,31954292.0,2.94,31954292.0,2.94,31954292.0,2.94,31954292.0,2.94,2.1,47326687.0
1966,32283194.0,2.91,32283194.0,2.91,32283194.0,2.91,32283194.0,2.91,2.1,47326687.0
1967,32682947.0,2.94,32682947.0,2.94,32682947.0,2.94,32682947.0,2.94,2.1,47326687.0
1968,33113134.0,2.87,33113134.0,2.87,33113134.0,2.87,33113134.0,2.87,2.1,47326687.0
1969,33441054.0,2.86,33441054.0,2.86,33441054.0,2.86,33441054.0,2.86,2.1,47326687.0
1970,33814531.0,2.84,33814531.0,2.84,33814531.0,2.84,33814531.0,2.84,2.1,47326687.0
1971,34224490.0,2.9,34224490.0,2.9,34224490.0,2.9,34224490.0,2.9,2.1,47326687.0
1972,34604469.0,2.87,34604469.0,2.87,34604469.0,2.87,34604469.0,2.87,2.1,47326687.0
1973,34988947.0,2.84,34988947.0,2.84,34988947.0,2.84,34988947.0,2.84,2.1,47326687.0
1974,35373335.0,2.88,35373335.0,2.88,35373335.0,2.88,35373335.0,2.88,2.1,47326687.0
1975,35757900.0,2.77,35757900.0,2.77,35757900.0,2.77,35757900.0,2.77,2.1,47326687.0
1976,36137812.0,2.77,36137812.0,2.77,36137812.0,2.77,36137812.0,2.77,2.1,47326687.0
1977,36511638.0,2.65,36511638.0,2.65,36511638.0,2.65,36511638.0,2.65,2.1,47326687.0
1978,36864898.0,2.54,36864898.0,2.54,36864898.0,2.54,36864898.0,2.54,2.1,47326687.0
1979,37191330.0,2.37,37191330.0,2.37,37191330.0,2.37,37191330.0,2.37,2.1,47326687.0
1980,37491165.0,2.22,37491165.0,2.22,37491165.0,2.22,37491165.0,2.22,2.1,47326687.0
1981,37758631.0,2.04,37758631.0,2.04,37758631.0,2.04,37758631.0,2.04,2.1,47326687.0
1982,37986012.0,1.94,37986012.0,1.94,37986012.0,1.94,37986012.0,1.94,2.1,47326687.0
1983,38171525.0,1.8,38171525.0,1.8,38171525.0,1.8,38171525.0,1.8,2.1,47326687.0
1984,38330364.0,1.73,38330364.0,1.73,38330364.0,1.73,38330364.0,1.73,2.1,47326687.0
1985,38469512.0,1.64,38469512.0,1.64,38469512.0,1.64,38469512.0,1.64,2.1,47326687.0
1986,38584624.0,1.56,38584624.0,1.56,38584624.0,1.56,38584624.0,1.56,2.1,47326687.0
1987,38684815.0,1.49,38684815.0,1.49,38684815.0,1.49,38684815.0,1.49,2.1,47326687.0
1988,38766939.0,1.45,38766939.0,1.45,38766939.0,1.45,38766939.0,1.45,2.1,47326687.0
1989,38827764.0,1.4,38827764.0,1.4,38827764.0,1.4,38827764.0,1.4,2.1,47326687.0
1990,38867322.0,1.36,38867322.0,1.36,38867322.0,1.36,38867322.0,1.36,2.1,47326687.0
