year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1211537.0,1.98,1211537.0,1.98,1211537.0,1.98,1211537.0,1.98,2.1,1329254.0
1961,1225077.0,1.98,1225077.0,1.98,1225077.0,1.98,1225077.0,1.98,2.1,1329254.0
1962,1241623.0,1.95,1241623.0,1.95,1241623.0,1.95,1241623.0,1.95,2.1,1329254.0
1963,1258857.0,1.89,1258857.0,1.89,1258857.0,1.89,1258857.0,1.89,2.1,1329254.0
1964,1277086.0,1.94,1277086.0,1.94,1277086.0,1.94,1277086.0,1.94,2.1,1329254.0
1965,1294566.0,1.88,1294566.0,1.88,1294566.0,1.88,1294566.0,1.88,2.1,1329254.0
1966,1308597.0,1.87,1308597.0,1.87,1308597.0,1.87,1308597.0,1.87,2.1,1329254.0
1967,1318946.0,1.9,1318946.0,1.9,1318946.0,1.9,1318946.0,1.9,2.1,1329254.0
1968,1331214.0,2.03,1331214.0,2.03,1331214.0,2.03,1331214.0,2.03,2.1,1329254.0
1969,1345249.0,2.13,1345249.0,2.13,1345249.0,2.13,1345249.0,2.13,2.1,1329254.0
1970,1360076.0,2.17,1360076.0,2.17,1360076.0,2.17,1360076.0,2.17,2.1,1329254.0
1971,1376955.0,2.19,1376955.0,2.19,1376955.0,2.19,1376955.0,2.19,2.1,1329254.0
1972,1392518.0,2.13,1392518.0,2.13,1392518.0,2.13,1392518.0,2.13,2.1,1329254.0
1973,1405951.0,2.06,1405951.0,2.06,1405951.0,2.06,1405951.0,2.06,2.1,1329254.0
1974,1418169.0,2.07,1418169.0,2.07,1418169.0,2.07,1418169.0,2.07,2.1,1329254.0
1975,1429352.0,2.04,1429352.0,2.04,1429352.0,2.04,1429352.0,2.04,2.1,1329254.0
1976,1439576.0,2.07,1439576.0,2.07,1439576.0,2.07,1439576.0,2.07,2.1,1329254.0
1977,1450211.0,2.06,1450211.0,2.06,1450211.0,2.06,1450211.0,2.06,2.1,1329254.0
1978,1460188.0,2.02,1460188.0,2.02,1460188.0,2.02,1460188.0,2.02,2.1,1329254.0
1979,1468333.0,2.0,1468333.0,2.0,1468333.0,2.0,1468333.0,2.0,2.1,1329254.0
1980,1477219.0,2.02,1477219.0,2.02,1477219.0,2.02,1477219.0,2.02,2.1,1329254.0
1981,1487666.0,2.07,1487666.0,2.07,1487666.0,2.07,1487666.0,2.07,2.1,1329254.0
1982,1498414.0,2.07,1498414.0,2.07,1498414.0,2.07,1498414.0,2.07,2.1,1329254.0
1983,1508745.0,2.16,1508745.0,2.16,1508745.0,2.16,1508745.0,2.16,2.1,1329254.0
1984,1518617.0,2.17,1518617.0,2.17,1518617.0,2.17,1518617.0,2.17,2.1,1329254.0
1985,1528781.0,2.13,1528781.0,2.13,1528781.0,2.13,1528781.0,2.13,2.1,1329254.0
1986,1540190.0,2.18,1540190.0,2.18,1540190.0,2.18,1540190.0,2.18,2.1,1329254.0
1987,1552221.0,2.27,1552221.0,2.27,1552221.0,2.27,1552221.0,2.27,2.1,1329254.0
1988,1561900.0,2.27,1561900.0,2.27,1561900.0,2.27,1561900.0,2.27,2.1,1329254.0
1989,1568131.0,2.22,1568131.0,2.22,1568131.0,2.22,1568131.0,2.22,2.1,1329254.0
1990,1569174.0,2.05,1569174.0,2.05,1569174.0,2.05,1569174.0,2.05,2.1,1329254.0
1991,1561314.0,1.8,1561314.0,1.8,1561314.0,1.8,1561314.0,1.8,2.1,1329254.0
1992,1533091.0,1.71,1533091.0,1.71,1533091.0,1.71,1533091.0,1.71,2.1,1329254.0
1993,1494128.0,1.49,1494128.0,1.49,1494128.0,1.49,1494128.0,1.49,2.1,1329254.0
1994,1462514.0,1.42,1462514.0,1.42,1462514.0,1.42,1462514.0,1.42,2.1,1329254.0
1995,1436634.0,1.38,1436634.0,1.38,1436634.0,1.38,1436634.0,1.38,2.1,1329254.0
1996,1415594.0,1.37,1415594.0,1.37,1415594.0,1.37,1415594.0,1.37,2.1,1329254.0
1997,1399535.0,1.32,1399535.0,1.32,1399535.0,1.32,1399535.0,1.32,2.1,1329254.0
1998,1386156.0,1.28,1386156.0,1.28,1386156.0,1.28,1386156.0,1.28,2.1,1329254.0
