year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,22151284.0,6.88,22151284.0,6.88,22151284.0,6.88,22151284.0,6.88,2.1,117876226.0
1961,22671193.0,6.877,22671193.0,6.877,22671193.0,6.877,22671193.0,6.877,2.1,117876226.0
1962,23221385.0,6.875,23221385.0,6.875,23221385.0,6.875,23221385.0,6.875,2.1,117876226.0
1963,23798418.0,6.872,23798418.0,6.872,23798418.0,6.872,23798418.0,6.872,2.1,117876226.0
1964,24397010.0,6.867,24397010.0,6.867,24397010.0,6.867,24397010.0,6.867,2.1,117876226.0
1965,25013634.0,6.864,25013634.0,6.864,25013634.0,6.864,25013634.0,6.864,2.1,117876226.0
1966,25641040.0,6.867,25641040.0,6.867,25641040.0,6.867,25641040.0,6.867,2.1,117876226.0
1967,26280135.0,6.88,26280135.0,6.88,26280135.0,6.88,26280135.0,6.88,2.1,117876226.0
1968,26944386.0,6.903,26944386.0,6.903,26944386.0,6.903,26944386.0,6.903,2.1,117876226.0
1969,27652715.0,6.937,27652715.0,6.937,27652715.0,6.937,27652715.0,6.937,2.1,117876226.0
1970,28415080.0,6.978,28415080.0,6.978,28415080.0,6.978,28415080.0,6.978,2.1,117876226.0
1971,29248650.0,7.02,29248650.0,7.02,29248650.0,7.02,29248650.0,7.02,2.1,117876226.0
1972,30140799.0,7.06,30140799.0,7.06,30140799.0,7.06,30140799.0,7.06,2.1,117876226.0
1973,31036670.0,7.094,31036670.0,7.094,31036670.0,7.094,31036670.0,7.094,2.1,117876226.0
1974,31861353.0,7.121,31861353.0,7.121,31861353.0,7.121,31861353.0,7.121,2.1,117876226.0
1975,32566855.0,7.143,32566855.0,7.143,32566855.0,7.143,32566855.0,7.143,2.1,117876226.0
1976,33128151.0,7.167,33128151.0,7.167,33128151.0,7.167,33128151.0,7.167,2.1,117876226.0
1977,33577240.0,7.195,33577240.0,7.195,33577240.0,7.195,33577240.0,7.195,2.1,117876226.0
1978,33993301.0,7.23,33993301.0,7.23,33993301.0,7.23,33993301.0,7.23,2.1,117876226.0
1979,34487806.0,7.271,34487806.0,7.271,34487806.0,7.271,34487806.0,7.271,2.1,117876226.0
1980,35141703.0,7.316,35141703.0,7.316,35141703.0,7.316,35141703.0,7.316,2.1,117876226.0
1981,35984531.0,7.36,35984531.0,7.36,35984531.0,7.36,35984531.0,7.36,2.1,117876226.0
1982,36995246.0,7.397,36995246.0,7.397,36995246.0,7.397,36995246.0,7.397,2.1,117876226.0
1983,38142679.0,7.424,38142679.0,7.424,38142679.0,7.424,38142679.0,7.424,2.1,117876226.0
1984,39374346.0,7.437,39374346.0,7.437,39374346.0,7.437,39374346.0,7.437,2.1,117876226.0
1985,40652146.0,7.435,40652146.0,7.435,40652146.0,7.435,40652146.0,7.435,2.1,117876226.0
1986,41965696.0,7.418,41965696.0,7.418,41965696.0,7.418,41965696.0,7.418,2.1,117876226.0
1987,43329238.0,7.387,43329238.0,7.387,43329238.0,7.387,43329238.0,7.387,2.1,117876226.0
1988,44757205.0,7.347,44757205.0,7.347,44757205.0,7.347,44757205.0,7.347,2.1,117876226.0
1989,46272308.0,7.298,46272308.0,7.298,46272308.0,7.298,46272308.0,7.298,2.1,117876226.0
1990,47887864.0,7.246,47887864.0,7.246,47887864.0,7.246,47887864.0,7.246,2.1,117876226.0
1991,49609976.0,7.193,49609976.0,7.193,49609976.0,7.193,49609976.0,7.193,2.1,117876226.0
1992,51423591.0,7.141,51423591.0,7.141,51423591.0,7.141,51423591.0,7.141,2.1,117876226.0
1993,53295556.0,7.092,53295556.0,7.092,53295556.0,7.092,53295556.0,7.092,2.1,117876226.0
1994,55180993.0,7.043,55180993.0,7.043,55180993.0,7.043,55180993.0,7.043,2.1,117876226.0
1995,57047906.0,6.991,57047906.0,6.991,57047906.0,6.991,57047906.0,6.991,2.1,117876226.0
1996,58883531.0,6.931,58883531.0,6.931,58883531.0,6.931,58883531.0,6.931,2.1,117876226.0
1997,60697443.0,6.858,60697443.0,6.858,60697443.0,6.858,60697443.0,6.858,2.1,117876226.0
1998,62507724.0,6.769,62507724.0,6.769,62507724.0,6.769,62507724.0,6.769,2.1,117876226.0
1999,64343008.0,6.664,64343008.0,6.664,64343008.0,6.664,64343008.0,6.664,2.1,117876226.0
2000,66224809.0,6.543,66224809.0,6.543,66224809.0,6.543,66224809.0,6.543,2.1,117876226.0
2001,68159422.0,6.407,68159422.0,6.407,68159422.0,6.407,68159422.0,6.407,2.1,117876226.0
2002,70142090.0,6.262,70142090.0,6.262,70142090.0,6.262,70142090.0,6.262,2.1,117876226.0
2003,72170581.0,6.112,72170581.0,6.112,72170581.0,6.112,72170581.0,6.112,2.1,117876226.0
2004,74239508.0,5.961,74239508.0,5.961,74239508.0,5.961,74239508.0,5.961,2.1,117876226.0
2005,76346310.0,5.812,76346310.0,5.812,76346310.0,5.812,76346310.0,5.812,2.1,117876226.0
2006,78489205.0,5.667,78489205.0,5.667,78489205.0,5.667,78489205.0,5.667,2.1,117876226.0
2007,80674343.0,5.526,80674343.0,5.526,80674343.0,5.526,80674343.0,5.526,2.1,117876226.0
2008,82916236.0,5.39,82916236.0,5.39,82916236.0,5.39,82916236.0,5.39,2.1,117876226.0
2009,85233923.0,5.26,85233923.0,5.26,85233923.0,5.26,85233923.0,5.26,2.1,117876226.0
2010,87639962.0,5.136,87639962.0,5.136,87639962.0,5.136,87639962.0,5.136,2.1,117876226.0
2011,90139928.0,5.017,90139928.0,5.017,90139928.0,5.017,90139928.0,5.017,2.1,117876226.0
2012,92726982.0,4.901,92726982.0,4.901,92726982.0,4.901,92726982.0,4.901,2.1,117876226.0
2013,95385793.0,4.787,95385793.0,4.787,95385793.0,4.787,95385793.0,4.787,2.1,117876226.0
2014,98094264.0,4.675,98094264.0,4.675,98094264.0,4.675,98094264.0,4.675,2.1,117876226.0
2015,100835453.0,4.565,100835453.0,4.565,100835453.0,4.565,100835453.0,4.565,2.1,117876226.0
2016,103603461.0,4.456,103603461.0,4.456,103603461.0,4.456,103603461.0,4.456,2.1,117876226.0
2017,106399926.0,4.35,106399926.0,4.35,106399926.0,4.35,106399926.0,4.35,2.1,117876226.0
2018,109224410.0,4.247,109224410.0,4.247,109224410.0,4.247,109224410.0,4.247,2.1,117876226.0
2019,112078727.0,4.146,112078727.0,4.146,112078727.0,4.146,112078727.0,4.146,2.1,117876226.0
2020,114963583.0,4.049,114963583.0,4.049,114963583.0,4.049,114963583.0,4.049,2.1,117876226.0
2021,117876226.0,4.049,117876226.0,4.049,117876226.0,4.049,117876226.0,4.049,2.1,117876226.0
2022,119480103.026,4.013,119422191.698,3.944,119427996.409,3.951,119510212.842,4.049,2.1,117876226.0
2023,121054137.309,3.977,120882418.641,3.842,120899541.667,3.855,121144199.685,4.049,2.1,117876226.0
2024,122598593.554,3.942,122259130.033,3.742,122292804.827,3.762,122778186.527,4.049,2.1,117876226.0
2025,124113734.119,3.907,123554491.434,3.645,123609681.882,3.671,124412173.37,4.049,2.1,117876226.0
2026,125599819.034,3.873,124770612.248,3.551,124852022.903,3.582,126046160.212,4.049,2.1,117876226.0
2027,127057106.022,3.838,125909547.184,3.459,126021633.152,3.495,127680147.054,4.049,2.1,117876226.0
2028,128485850.521,3.804,126973297.672,3.369,127120274.169,3.41,129314133.897,4.049,2.1,117876226.0
2029,129886305.703,3.77,127963813.244,3.281,128149664.829,3.328,130948120.739,4.049,2.1,117876226.0
2030,131258722.493,3.737,128882992.883,3.196,129111482.375,3.247,132582107.581,4.049,2.1,117876226.0
2031,132603349.594,3.704,129732686.328,3.114,130007363.428,3.169,134216094.424,4.049,2.1,117876226.0
2032,133920433.499,3.671,130514695.356,3.033,130838904.971,3.092,135850081.266,4.049,2.1,117876226.0
2033,135210218.516,3.638,131230775.026,2.954,131607665.305,3.017,137484068.109,4.049,2.1,117876226.0
2034,136472946.786,3.606,131882634.884,2.878,132315164.993,2.944,139118054.951,4.049,2.1,117876226.0
2035,137708858.303,3.574,132471940.15,2.803,132962887.766,2.873,140752041.793,4.049,2.1,117876226.0
2036,138918190.932,3.542,133000312.866,2.73,133552281.422,2.803,142386028.636,4.049,2.1,117876226.0
2037,140101180.426,3.511,133469333.012,2.659,134084758.691,2.735,144020015.478,4.049,2.1,117876226.0
2038,141258060.45,3.48,133880539.6,2.59,134561698.09,2.669,145654002.32,4.049,2.1,117876226.0
2039,142389062.596,3.449,134235431.736,2.523,134984444.744,2.604,147287989.163,4.049,2.1,117876226.0
2040,143494416.398,3.418,134535469.653,2.458,135354311.203,2.541,148921976.005,4.049,2.1,117876226.0
2041,144574349.359,3.388,134782075.722,2.394,135672578.224,2.48,150555962.848,4.049,2.1,117876226.0
2042,145629086.961,3.358,134976635.431,2.332,135940495.546,2.42,152189949.69,4.049,2.1,117876226.0
2043,146658852.687,3.328,135120498.341,2.272,136159282.638,2.361,153823936.532,4.049,2.1,117876226.0
2044,147663868.038,3.299,135214979.02,2.213,136330129.436,2.304,155457923.375,4.049,2.1,117876226.0
2045,148644352.549,3.27,135261357.95,2.155,136454197.052,2.248,157091910.217,4.049,2.1,117876226.0
2046,149600523.808,3.241,135260882.408,2.099,136532618.478,2.194,158725897.06,4.049,2.1,117876226.0
2047,150532597.476,3.212,135214767.333,2.045,136566499.266,2.14,160359883.902,4.049,2.1,117876226.0
2048,151440787.296,3.183,135124196.156,1.992,136556918.19,2.089,161993870.744,4.049,2.1,117876226.0
2049,152325305.119,3.155,134990321.624,1.94,136504927.895,2.038,163627857.587,4.049,2.1,117876226.0
2050,153186360.916,3.127,134814266.593,1.89,136411555.533,1.989,165261844.429,4.049,2.1,117876226.0
2051,154024162.794,3.099,134597124.804,1.841,136277803.379,1.94,166895831.271,4.049,2.1,117876226.0
2052,154838917.016,3.072,134339961.637,1.793,136104649.429,1.893,168529818.114,4.049,2.1,117876226.0
2053,155630828.015,3.045,134043814.845,1.747,135893047.996,1.848,170163804.956,4.049,2.1,117876226.0
2054,156400098.41,3.018,133709695.274,1.701,135643930.279,1.803,171797791.799,4.049,2.1,117876226.0
2055,157146929.023,2.991,133338587.558,1.657,135358204.92,1.759,173431778.641,4.049,2.1,117876226.0
2056,157871518.895,2.964,132931450.799,1.614,135036758.558,1.717,175065765.483,4.049,2.1,117876226.0
2057,158574065.301,2.938,132489219.232,1.573,134680456.355,1.675,176699752.326,4.049,2.1,117876226.0
2058,159254763.767,2.912,132012802.864,1.532,134290142.52,1.634,178333739.168,4.049,2.1,117876226.0
2059,159913808.084,2.886,131503088.107,1.492,133866640.813,1.595,179967726.01,4.049,2.1,117876226.0
2060,160551390.325,2.861,130960938.388,1.453,133410755.047,1.556,181601712.853,4.049,2.1,117876226.0
2061,161167700.857,2.835,130387194.746,1.416,132923269.562,1.519,183235699.695,4.049,2.1,117876226.0
2062,161762928.362,2.81,129782676.412,1.379,132404949.703,1.482,184869686.538,4.049,2.1,117876226.0
2063,162337259.846,2.785,129148181.372,1.343,131856542.279,1.446,186503673.38,4.049,2.1,117876226.0
2064,162890880.655,2.76,128484486.924,1.308,131278776.012,1.411,188137660.222,4.049,2.1,117876226.0
2065,163423974.495,2.736,127792350.207,1.274,130672361.972,1.377,189771647.065,4.049,2.1,117876226.0
2066,163936723.439,2.712,127072508.73,1.241,130037994.008,1.343,191405633.907,4.049,2.1,117876226.0
2067,164429307.946,2.688,126325680.877,1.209,129376349.164,1.311,193039620.75,4.049,2.1,117876226.0
2068,164901906.875,2.664,125552566.405,1.178,128688088.086,1.279,194673607.592,4.049,2.1,117876226.0
2069,165354697.498,2.64,124753846.926,1.147,127973855.42,1.248,196307594.434,4.049,2.1,117876226.0
2070,165787855.515,2.617,123930186.378,1.118,127234280.198,1.218,197941581.277,4.049,2.1,117876226.0
2071,166201555.067,2.593,123082231.483,1.089,126469976.215,1.188,199575568.119,4.049,2.1,117876226.0
2072,166595968.75,2.57,122210612.192,1.06,125681542.403,1.16,201209554.961,4.049,2.1,117876226.0
2073,166971267.631,2.548,121315942.125,1.033,124869563.186,1.131,202843541.804,4.049,2.1,117876226.0
2074,167327621.257,2.525,120398818.987,1.006,124034608.834,1.104,204477528.646,4.049,2.1,117876226.0
2075,167665197.672,2.503,119459824.986,0.98,123177235.805,1.077,206111515.489,4.049,2.1,117876226.0
2076,167984163.432,2.48,118499527.235,0.955,122297987.078,1.051,207745502.331,4.049,2.1,117876226.0
2077,168284683.612,2.458,117518478.139,0.93,121397392.484,1.026,209379489.173,4.049,2.1,117876226.0
2078,168566921.824,2.437,116517215.781,0.906,120475969.019,1.001,211013476.016,4.049,2.1,117876226.0
2079,168831040.23,2.415,115496264.29,0.882,119534221.159,0.977,212647462.858,4.049,2.1,117876226.0
2080,169077199.552,2.394,114456134.206,0.859,118572641.16,0.953,214281449.7,4.049,2.1,117876226.0
2081,169305559.087,2.372,113397322.83,0.837,117591709.356,0.93,215915436.543,4.049,2.1,117876226.0
2082,169516276.72,2.351,112320314.568,0.815,116591894.449,0.907,217549423.385,4.049,2.1,117876226.0
2083,169709508.934,2.33,111225581.264,0.794,115573653.788,0.885,219183410.228,4.049,2.1,117876226.0
2084,169885410.825,2.31,110113582.53,0.774,114537433.643,0.864,220817397.07,4.049,2.1,117876226.0
2085,170044136.113,2.289,108984766.058,0.754,113483669.479,0.843,222451383.912,4.049,2.1,117876226.0
2086,170185837.154,2.269,107839567.931,0.734,112412786.21,0.823,224085370.755,4.049,2.1,117876226.0
2087,170310664.953,2.249,106678412.927,0.715,111325198.463,0.803,225719357.597,4.049,2.1,117876226.0
2088,170418769.176,2.229,105501714.806,0.696,110221310.819,0.783,227353344.44,4.049,2.1,117876226.0
2089,170510298.161,2.209,104309876.602,0.678,109101518.062,0.764,228987331.282,4.049,2.1,117876226.0
2090,170585398.931,2.19,103103290.898,0.661,107966205.414,0.746,230621318.124,4.049,2.1,117876226.0
2091,170644217.203,2.17,101882340.096,0.644,106815748.766,0.728,232255304.967,4.049,2.1,117876226.0
2092,170686897.404,2.151,100647396.682,0.627,105650514.906,0.71,233889291.809,4.049,2.1,117876226.0
2093,170713582.678,2.132,99398823.486,0.611,104470861.739,0.693,235523278.651,4.049,2.1,117876226.0
2094,170724414.9,2.113,98136973.928,0.595,103277138.5,0.676,237157265.494,4.049,2.1,117876226.0
2095,170719534.686,2.094,96862192.263,0.579,102069685.965,0.66,238791252.336,4.049,2.1,117876226.0
2096,170699081.407,2.076,95574813.822,0.564,100848836.66,0.644,240425239.179,4.049,2.1,117876226.0
2097,170663193.195,2.057,94275165.238,0.55,99614915.052,0.628,242059226.021,4.049,2.1,117876226.0
2098,170612006.958,2.039,92963564.677,0.536,98368237.754,0.613,243693212.863,4.049,2.1,117876226.0
2099,170545658.389,2.021,91640322.053,0.522,97109113.709,0.598,245327199.706,4.049,2.1,117876226.0
2100,170464281.979,2.003,90305739.245,0.508,95837844.376,0.584,246961186.548,4.049,2.1,117876226.0
2101,170368011.024,1.985,88960110.303,0.495,94554723.914,0.57,248595173.39,4.049,2.1,117876226.0
2102,170256977.639,1.968,87603721.655,0.482,93260039.358,0.556,250229160.233,4.049,2.1,117876226.0
2103,170131312.766,1.95,86236852.299,0.47,91954070.79,0.542,251863147.075,4.049,2.1,117876226.0
2104,169991146.188,1.933,84859774.001,0.457,90637091.51,0.529,253497133.918,4.049,2.1,117876226.0
2105,169836606.533,1.916,83472751.477,0.446,89309368.195,0.516,255131120.76,4.049,2.1,117876226.0
2106,169667821.292,1.899,82076042.582,0.434,87971161.068,0.504,256765107.602,4.049,2.1,117876226.0
2107,169484916.823,1.882,80669898.483,0.423,86622724.045,0.492,258399094.445,4.049,2.1,117876226.0
2108,169288018.362,1.865,79254563.835,0.412,85264304.895,0.48,260033081.287,4.049,2.1,117876226.0
2109,169077250.038,1.849,77830276.95,0.401,83896145.385,0.468,261667068.13,4.049,2.1,117876226.0
2110,168852734.875,1.832,76397269.958,0.391,82518481.426,0.457,263301054.972,4.049,2.1,117876226.0
2111,168614594.808,1.816,74955768.972,0.381,81131543.217,0.446,264935041.814,4.049,2.1,117876226.0
2112,168362950.69,1.8,73505994.241,0.371,79735555.38,0.435,266569028.657,4.049,2.1,117876226.0
2113,168097922.302,1.784,72048160.304,0.361,78330737.096,0.424,268203015.499,4.049,2.1,117876226.0
2114,167819628.362,1.768,70582476.135,0.352,76917302.239,0.414,269837002.341,4.049,2.1,117876226.0
2115,167528186.536,1.752,69109145.292,0.343,75495459.502,0.404,271470989.184,4.049,2.1,117876226.0
2116,167223713.445,1.737,67628366.052,0.334,74065412.525,0.394,273104976.026,4.049,2.1,117876226.0
2117,166906324.678,1.721,66140331.552,0.325,72627360.014,0.385,274738962.869,4.049,2.1,117876226.0
2118,166576134.795,1.706,64645229.922,0.317,71181495.862,0.375,276372949.711,4.049,2.1,117876226.0
2119,166233257.343,1.691,63143244.411,0.308,69728009.269,0.366,278006936.553,4.049,2.1,117876226.0
2120,165877804.86,1.676,61634553.52,0.3,68267084.849,0.357,279640923.396,4.049,2.1,117876226.0
2121,165509888.888,1.661,60119331.118,0.293,66798902.747,0.349,281274910.238,4.049,2.1,117876226.0
