year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,356906098.0,2.572826311,356906098.0,2.572826311,356906098.0,2.572826311,356906098.0,2.572826311,2.1,446946712.0
1961,359998408.0,2.571557665,359998408.0,2.571557665,359998408.0,2.571557665,359998408.0,2.571557665,2.1,446946712.0
1962,363200480.0,2.555149641,363200480.0,2.555149641,363200480.0,2.555149641,363200480.0,2.555149641,2.1,446946712.0
1963,366516509.0,2.588807026,366516509.0,2.588807026,366516509.0,2.588807026,366516509.0,2.588807026,2.1,446946712.0
1964,369850237.0,2.61665042,369850237.0,2.61665042,369850237.0,2.61665042,369850237.0,2.61665042,2.1,446946712.0
1965,373032729.0,2.56118673,373032729.0,2.56118673,373032729.0,2.56118673,373032729.0,2.56118673,2.1,446946712.0
1966,376039129.0,2.526668049,376039129.0,2.526668049,376039129.0,2.526668049,376039129.0,2.526668049,2.1,446946712.0
1967,378917964.0,2.584517969,378917964.0,2.584517969,378917964.0,2.584517969,378917964.0,2.584517969,2.1,446946712.0
1968,381605442.0,2.522677808,381605442.0,2.522677808,381605442.0,2.522677808,381605442.0,2.522677808,2.1,446946712.0
1969,384216977.0,2.444589859,384216977.0,2.444589859,384216977.0,2.444589859,384216977.0,2.444589859,2.1,446946712.0
1970,386322917.0,2.3542249,386322917.0,2.3542249,386322917.0,2.3542249,386322917.0,2.3542249,2.1,446946712.0
1971,388391948.0,2.311755408,388391948.0,2.311755408,388391948.0,2.311755408,388391948.0,2.311755408,2.1,446946712.0
1972,390995000.0,2.224508974,390995000.0,2.224508974,390995000.0,2.224508974,390995000.0,2.224508974,2.1,446946712.0
1973,393524745.0,2.150736354,393524745.0,2.150736354,393524745.0,2.150736354,393524745.0,2.150736354,2.1,446946712.0
1974,395949381.0,2.158868812,395949381.0,2.158868812,395949381.0,2.158868812,395949381.0,2.158868812,2.1,446946712.0
1975,398316579.0,2.095352815,398316579.0,2.095352815,398316579.0,2.095352815,398316579.0,2.095352815,2.1,446946712.0
1976,400473497.0,2.057317615,400473497.0,2.057317615,400473497.0,2.057317615,400473497.0,2.057317615,2.1,446946712.0
1977,402425493.0,1.991319788,402425493.0,1.991319788,402425493.0,1.991319788,402425493.0,1.991319788,2.1,446946712.0
1978,404271789.0,1.940279222,404271789.0,1.940279222,404271789.0,1.940279222,404271789.0,1.940279222,2.1,446946712.0
1979,406051882.0,1.903569724,406051882.0,1.903569724,406051882.0,1.903569724,406051882.0,1.903569724,2.1,446946712.0
1980,407875838.0,1.869771092,407875838.0,1.869771092,407875838.0,1.869771092,407875838.0,1.869771092,2.1,446946712.0
1981,409551911.0,1.819814397,409551911.0,1.819814397,409551911.0,1.819814397,409551911.0,1.819814397,2.1,446946712.0
1982,410895608.0,1.795595137,410895608.0,1.795595137,410895608.0,1.795595137,410895608.0,1.795595137,2.1,446946712.0
1983,411974424.0,1.749904431,411974424.0,1.749904431,411974424.0,1.749904431,411974424.0,1.749904431,2.1,446946712.0
1984,412931321.0,1.729148222,412931321.0,1.729148222,412931321.0,1.729148222,412931321.0,1.729148222,2.1,446946712.0
1985,413924499.0,1.722599731,413924499.0,1.722599731,413924499.0,1.722599731,413924499.0,1.722599731,2.1,446946712.0
1986,415076367.0,1.709539201,415076367.0,1.709539201,415076367.0,1.709539201,415076367.0,1.709539201,2.1,446946712.0
1987,416301843.0,1.684298066,416301843.0,1.684298066,416301843.0,1.684298066,416301843.0,1.684298066,2.1,446946712.0
1988,417653046.0,1.686863193,417653046.0,1.686863193,417653046.0,1.686863193,417653046.0,1.686863193,2.1,446946712.0
1989,419073139.0,1.650698916,419073139.0,1.650698916,419073139.0,1.650698916,419073139.0,1.650698916,2.1,446946712.0
1990,420477999.0,1.63480306,420477999.0,1.63480306,420477999.0,1.63480306,420477999.0,1.63480306,2.1,446946712.0
1991,421730520.0,1.583805653,421730520.0,1.583805653,421730520.0,1.583805653,421730520.0,1.583805653,2.1,446946712.0
