year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,245134016.0,5.64507222,245134016.0,5.64507222,245134016.0,5.64507222,245134016.0,5.64507222,2.1,982980816.0
1961,250274396.0,5.655651346,250274396.0,5.655651346,250274396.0,5.655651346,250274396.0,5.655651346,2.1,982980816.0
1962,255615131.0,5.677765725,255615131.0,5.677765725,255615131.0,5.677765725,255615131.0,5.677765725,2.1,982980816.0
1963,261136143.0,5.691004522,261136143.0,5.691004522,261136143.0,5.691004522,261136143.0,5.691004522,2.1,982980816.0
1964,266820455.0,5.698261776,266820455.0,5.698261776,266820455.0,5.698261776,266820455.0,5.698261776,2.1,982980816.0
1965,272657455.0,5.726751745,272657455.0,5.726751745,272657455.0,5.726751745,272657455.0,5.726751745,2.1,982980816.0
1966,278645121.0,5.748120821,278645121.0,5.748120821,278645121.0,5.748120821,278645121.0,5.748120821,2.1,982980816.0
1967,284794041.0,5.759043483,284794041.0,5.759043483,284794041.0,5.759043483,284794041.0,5.759043483,2.1,982980816.0
1968,291117502.0,5.767953366,291117502.0,5.767953366,291117502.0,5.767953366,291117502.0,5.767953366,2.1,982980816.0
1969,297637311.0,5.787415268,297637311.0,5.787415268,297637311.0,5.787415268,297637311.0,5.787415268,2.1,982980816.0
1970,304369852.0,5.810083285,304369852.0,5.810083285,304369852.0,5.810083285,304369852.0,5.810083285,2.1,982980816.0
1971,311311083.0,5.824901814,311311083.0,5.824901814,311311083.0,5.824901814,311311083.0,5.824901814,2.1,982980816.0
1972,318462078.0,5.829773445,318462078.0,5.829773445,318462078.0,5.829773445,318462078.0,5.829773445,2.1,982980816.0
1973,325837597.0,5.836064808,325837597.0,5.836064808,325837597.0,5.836064808,325837597.0,5.836064808,2.1,982980816.0
1974,333463168.0,5.848802405,333463168.0,5.848802405,333463168.0,5.848802405,333463168.0,5.848802405,2.1,982980816.0
1975,341348073.0,5.857133717,341348073.0,5.857133717,341348073.0,5.857133717,341348073.0,5.857133717,2.1,982980816.0
1976,349514957.0,5.86187069,349514957.0,5.86187069,349514957.0,5.86187069,349514957.0,5.86187069,2.1,982980816.0
1977,357943647.0,5.862451787,357943647.0,5.862451787,357943647.0,5.862451787,357943647.0,5.862451787,2.1,982980816.0
1978,366560923.0,5.871812269,366560923.0,5.871812269,366560923.0,5.871812269,366560923.0,5.871812269,2.1,982980816.0
1979,375266501.0,5.874579558,375266501.0,5.874579558,375266501.0,5.874579558,375266501.0,5.874579558,2.1,982980816.0
1980,383990304.0,5.871316513,383990304.0,5.871316513,383990304.0,5.871316513,383990304.0,5.871316513,2.1,982980816.0
1981,392770274.0,5.857147063,392770274.0,5.857147063,392770274.0,5.857147063,392770274.0,5.857147063,2.1,982980816.0
1982,401516218.0,5.848228049,401516218.0,5.848228049,401516218.0,5.848228049,401516218.0,5.848228049,2.1,982980816.0
1983,410381153.0,5.841247646,410381153.0,5.841247646,410381153.0,5.841247646,410381153.0,5.841247646,2.1,982980816.0
1984,419418477.0,5.81857104,419418477.0,5.81857104,419418477.0,5.81857104,419418477.0,5.81857104,2.1,982980816.0
1985,428652839.0,5.788246395,428652839.0,5.788246395,428652839.0,5.788246395,428652839.0,5.788246395,2.1,982980816.0
1986,438095611.0,5.759123772,438095611.0,5.759123772,438095611.0,5.759123772,438095611.0,5.759123772,2.1,982980816.0
1987,447772838.0,5.721407105,447772838.0,5.721407105,447772838.0,5.721407105,447772838.0,5.721407105,2.1,982980816.0
1988,457884476.0,5.681468319,457884476.0,5.681468319,457884476.0,5.681468319,457884476.0,5.681468319,2.1,982980816.0
