year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4429634.0,2.72,4429634.0,2.72,4429634.0,2.72,4429634.0,2.72,2.1,5541696.0
1961,4461005.0,2.72,4461005.0,2.72,4461005.0,2.72,4461005.0,2.72,2.1,5541696.0
1962,4491443.0,2.68,4491443.0,2.68,4491443.0,2.68,4491443.0,2.68,2.1,5541696.0
1963,4523309.0,2.68,4523309.0,2.68,4523309.0,2.68,4523309.0,2.68,2.1,5541696.0
1964,4548543.0,2.59,4548543.0,2.59,4548543.0,2.59,4548543.0,2.59,2.1,5541696.0
1965,4563732.0,2.48,4563732.0,2.48,4563732.0,2.48,4563732.0,2.48,2.1,5541696.0
1966,4580869.0,2.41,4580869.0,2.41,4580869.0,2.41,4580869.0,2.41,2.1,5541696.0
1967,4605744.0,2.32,4605744.0,2.32,4605744.0,2.32,4605744.0,2.32,2.1,5541696.0
1968,4626469.0,2.14,4626469.0,2.14,4626469.0,2.14,4626469.0,2.14,2.1,5541696.0
1969,4623785.0,1.93,4623785.0,1.93,4623785.0,1.93,4623785.0,1.93,2.1,5541696.0
1970,4606307.0,1.83,4606307.0,1.83,4606307.0,1.83,4606307.0,1.83,2.1,5541696.0
1971,4612124.0,1.68,4612124.0,1.68,4612124.0,1.68,4612124.0,1.68,2.1,5541696.0
1972,4639657.0,1.58,4639657.0,1.58,4639657.0,1.58,4639657.0,1.58,2.1,5541696.0
1973,4666081.0,1.49,4666081.0,1.49,4666081.0,1.49,4666081.0,1.49,2.1,5541696.0
1974,4690574.0,1.61,4690574.0,1.61,4690574.0,1.61,4690574.0,1.61,2.1,5541696.0
1975,4711440.0,1.68,4711440.0,1.68,4711440.0,1.68,4711440.0,1.68,2.1,5541696.0
1976,4725664.0,1.7,4725664.0,1.7,4725664.0,1.7,4725664.0,1.7,2.1,5541696.0
1977,4738902.0,1.68,4738902.0,1.68,4738902.0,1.68,4738902.0,1.68,2.1,5541696.0
1978,4752528.0,1.64,4752528.0,1.64,4752528.0,1.64,4752528.0,1.64,2.1,5541696.0
1979,4764690.0,1.64,4764690.0,1.64,4764690.0,1.64,4764690.0,1.64,2.1,5541696.0
1980,4779535.0,1.63,4779535.0,1.63,4779535.0,1.63,4779535.0,1.63,2.1,5541696.0
1981,4799964.0,1.64,4799964.0,1.64,4799964.0,1.64,4799964.0,1.64,2.1,5541696.0
1982,4826933.0,1.71,4826933.0,1.71,4826933.0,1.71,4826933.0,1.71,2.1,5541696.0
1983,4855787.0,1.74,4855787.0,1.74,4855787.0,1.74,4855787.0,1.74,2.1,5541696.0
1984,4881803.0,1.69,4881803.0,1.69,4881803.0,1.69,4881803.0,1.69,2.1,5541696.0
1985,4902206.0,1.64,4902206.0,1.64,4902206.0,1.64,4902206.0,1.64,2.1,5541696.0
1986,4918154.0,1.6,4918154.0,1.6,4918154.0,1.6,4918154.0,1.6,2.1,5541696.0
1987,4932123.0,1.59,4932123.0,1.59,4932123.0,1.59,4932123.0,1.59,2.1,5541696.0
1988,4946481.0,1.69,4946481.0,1.69,4946481.0,1.69,4946481.0,1.69,2.1,5541696.0
1989,4964371.0,1.71,4964371.0,1.71,4964371.0,1.71,4964371.0,1.71,2.1,5541696.0
1990,4986431.0,1.78,4986431.0,1.78,4986431.0,1.78,4986431.0,1.78,2.1,5541696.0
1991,5013740.0,1.79,5013740.0,1.79,5013740.0,1.79,5013740.0,1.79,2.1,5541696.0
1992,5041992.0,1.85,5041992.0,1.85,5041992.0,1.85,5041992.0,1.85,2.1,5541696.0
1993,5066447.0,1.81,5066447.0,1.81,5066447.0,1.81,5066447.0,1.81,2.1,5541696.0
1994,5088333.0,1.85,5088333.0,1.85,5088333.0,1.85,5088333.0,1.85,2.1,5541696.0
1995,5107790.0,1.81,5107790.0,1.81,5107790.0,1.81,5107790.0,1.81,2.1,5541696.0
1996,5124573.0,1.78,5124573.0,1.78,5124573.0,1.78,5124573.0,1.78,2.1,5541696.0
1997,5139835.0,1.75,5139835.0,1.75,5139835.0,1.75,5139835.0,1.75,2.1,5541696.0
1998,5153498.0,1.7,5153498.0,1.7,5153498.0,1.7,5153498.0,1.7,2.1,5541696.0
1999,5165474.0,1.73,5165474.0,1.73,5165474.0,1.73,5165474.0,1.73,2.1,5541696.0
2000,5176209.0,1.73,5176209.0,1.73,5176209.0,1.73,5176209.0,1.73,2.1,5541696.0
2001,5188008.0,1.73,5188008.0,1.73,5188008.0,1.73,5188008.0,1.73,2.1,5541696.0
2002,5200598.0,1.72,5200598.0,1.72,5200598.0,1.72,5200598.0,1.72,2.1,5541696.0
2003,5213014.0,1.76,5213014.0,1.76,5213014.0,1.76,5213014.0,1.76,2.1,5541696.0
2004,5228172.0,1.8,5228172.0,1.8,5228172.0,1.8,5228172.0,1.8,2.1,5541696.0
2005,5246096.0,1.8,5246096.0,1.8,5246096.0,1.8,5246096.0,1.8,2.1,5541696.0
2006,5266268.0,1.84,5266268.0,1.84,5266268.0,1.84,5266268.0,1.84,2.1,5541696.0
2007,5288720.0,1.83,5288720.0,1.83,5288720.0,1.83,5288720.0,1.83,2.1,5541696.0
2008,5313399.0,1.85,5313399.0,1.85,5313399.0,1.85,5313399.0,1.85,2.1,5541696.0
2009,5338871.0,1.86,5338871.0,1.86,5338871.0,1.86,5338871.0,1.86,2.1,5541696.0
2010,5363352.0,1.87,5363352.0,1.87,5363352.0,1.87,5363352.0,1.87,2.1,5541696.0
2011,5388272.0,1.83,5388272.0,1.83,5388272.0,1.83,5388272.0,1.83,2.1,5541696.0
2012,5413971.0,1.8,5413971.0,1.8,5413971.0,1.8,5413971.0,1.8,2.1,5541696.0
2013,5438972.0,1.75,5438972.0,1.75,5438972.0,1.75,5438972.0,1.75,2.1,5541696.0
2014,5461512.0,1.71,5461512.0,1.71,5461512.0,1.71,5461512.0,1.71,2.1,5541696.0
2015,5479531.0,1.65,5479531.0,1.65,5479531.0,1.65,5479531.0,1.65,2.1,5541696.0
2016,5495303.0,1.57,5495303.0,1.57,5495303.0,1.57,5495303.0,1.57,2.1,5541696.0
2017,5508214.0,1.49,5508214.0,1.49,5508214.0,1.49,5508214.0,1.49,2.1,5541696.0
2018,5515525.0,1.41,5515525.0,1.41,5515525.0,1.41,5515525.0,1.41,2.1,5541696.0
2019,5521606.0,1.35,5521606.0,1.35,5521606.0,1.35,5521606.0,1.35,2.1,5541696.0
2020,5529543.0,1.37,5529543.0,1.37,5529543.0,1.37,5529543.0,1.37,2.1,5541696.0
2021,5541696.0,1.37,5541696.0,1.37,5541696.0,1.37,5541696.0,1.37,2.1,5541696.0
2022,5517758.221,1.355,5516883.582,1.328,5517750.738,1.355,5518241.1,1.37,2.1,5541696.0
2023,5493342.862,1.34,5490755.511,1.287,5493320.578,1.34,5494786.2,1.37,2.1,5541696.0
2024,5468455.159,1.325,5463352.363,1.247,5468410.92,1.325,5471331.3,1.37,2.1,5541696.0
2025,5443100.296,1.311,5434713.461,1.209,5443027.106,1.31,5447876.4,1.37,2.1,5541696.0
2026,5417283.397,1.296,5404876.915,1.171,5417174.419,1.295,5424421.5,1.37,2.1,5541696.0
2027,5391009.531,1.282,5373879.66,1.135,5390858.082,1.281,5400966.6,1.37,2.1,5541696.0
2028,5364283.71,1.268,5341757.494,1.1,5364083.259,1.267,5377511.7,1.37,2.1,5541696.0
2029,5337110.893,1.254,5308545.108,1.066,5336855.059,1.253,5354056.8,1.37,2.1,5541696.0
2030,5309495.982,1.241,5274276.125,1.033,5309178.532,1.239,5330601.9,1.37,2.1,5541696.0
2031,5281443.829,1.227,5238983.13,1.002,5281058.672,1.225,5307147.0,1.37,2.1,5541696.0
2032,5252959.228,1.213,5202697.703,0.971,5252500.418,1.211,5283692.1,1.37,2.1,5541696.0
2033,5224046.925,1.2,5165450.452,0.941,5223508.654,1.198,5260237.2,1.37,2.1,5541696.0
2034,5194711.611,1.187,5127271.039,0.912,5194088.208,1.184,5236782.3,1.37,2.1,5541696.0
2035,5164957.927,1.174,5088188.211,0.884,5164243.858,1.171,5213327.4,1.37,2.1,5541696.0
2036,5134790.462,1.161,5048229.831,0.856,5133980.324,1.158,5189872.5,1.37,2.1,5541696.0
2037,5104213.755,1.148,5007422.899,0.83,5103302.277,1.145,5166417.6,1.37,2.1,5541696.0
2038,5073232.296,1.136,4965793.587,0.804,5072214.333,1.132,5142962.7,1.37,2.1,5541696.0
2039,5041850.524,1.123,4923367.254,0.78,5040721.061,1.12,5119507.8,1.37,2.1,5541696.0
2040,5010072.832,1.111,4880168.483,0.756,5008826.974,1.107,5096052.9,1.37,2.1,5541696.0
2041,4977903.562,1.099,4836221.094,0.732,4976536.538,1.095,5072598.0,1.37,2.1,5541696.0
2042,4945347.01,1.087,4791548.176,0.71,4943854.169,1.083,5049143.1,1.37,2.1,5541696.0
2043,4912407.425,1.075,4746172.103,0.688,4910784.231,1.071,5025688.2,1.37,2.1,5541696.0
2044,4879089.008,1.063,4700114.56,0.667,4877331.044,1.059,5002233.3,1.37,2.1,5541696.0
2045,4845395.916,1.051,4653396.565,0.646,4843498.876,1.047,4978778.4,1.37,2.1,5541696.0
2046,4811332.258,1.04,4606038.486,0.626,4809291.949,1.035,4955323.5,1.37,2.1,5541696.0
2047,4776902.099,1.028,4558060.063,0.607,4774714.438,1.024,4931868.6,1.37,2.1,5541696.0
2048,4742109.461,1.017,4509480.426,0.588,4739770.471,1.012,4908413.7,1.37,2.1,5541696.0
2049,4706958.319,1.006,4460318.119,0.57,4704464.131,1.001,4884958.8,1.37,2.1,5541696.0
2050,4671452.606,0.995,4410591.11,0.552,4668799.454,0.99,4861503.9,1.37,2.1,5541696.0
