year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,393480.0,6.461,393480.0,6.461,393480.0,6.461,393480.0,6.461,2.1,902899.0
1961,407244.0,6.281,407244.0,6.281,407244.0,6.281,407244.0,6.281,2.1,902899.0
1962,421673.0,6.085,421673.0,6.085,421673.0,6.085,421673.0,6.085,2.1,902899.0
1963,436303.0,5.881,436303.0,5.881,436303.0,5.881,436303.0,5.881,2.1,902899.0
1964,450538.0,5.676,450538.0,5.676,450538.0,5.676,450538.0,5.676,2.1,902899.0
1965,463960.0,5.475,463960.0,5.475,463960.0,5.475,463960.0,5.475,2.1,902899.0
1966,476399.0,5.278,476399.0,5.278,476399.0,5.278,476399.0,5.278,2.1,902899.0
1967,487973.0,5.083,487973.0,5.083,487973.0,5.083,487973.0,5.083,2.1,902899.0
1968,498944.0,4.892,498944.0,4.892,498944.0,4.892,498944.0,4.892,2.1,902899.0
1969,509708.0,4.71,509708.0,4.71,509708.0,4.71,509708.0,4.71,2.1,902899.0
1970,520561.0,4.543,520561.0,4.543,520561.0,4.543,520561.0,4.543,2.1,902899.0
1971,531622.0,4.397,531622.0,4.397,531622.0,4.397,531622.0,4.397,2.1,902899.0
1972,542843.0,4.275,542843.0,4.275,542843.0,4.275,542843.0,4.275,2.1,902899.0
1973,554143.0,4.178,554143.0,4.178,554143.0,4.178,554143.0,4.178,2.1,902899.0
1974,565418.0,4.106,565418.0,4.106,565418.0,4.106,565418.0,4.106,2.1,902899.0
1975,576626.0,4.054,576626.0,4.054,576626.0,4.054,576626.0,4.054,2.1,902899.0
1976,587561.0,4.018,587561.0,4.018,587561.0,4.018,587561.0,4.018,2.1,902899.0
1977,598299.0,3.992,598299.0,3.992,598299.0,3.992,598299.0,3.992,2.1,902899.0
1978,609383.0,3.968,609383.0,3.968,609383.0,3.968,609383.0,3.968,2.1,902899.0
1979,621584.0,3.941,621584.0,3.941,621584.0,3.941,621584.0,3.941,2.1,902899.0
1980,635312.0,3.907,635312.0,3.907,635312.0,3.907,635312.0,3.907,2.1,902899.0
1981,651032.0,3.864,651032.0,3.864,651032.0,3.864,651032.0,3.864,2.1,902899.0
1982,668281.0,3.813,668281.0,3.813,668281.0,3.813,668281.0,3.813,2.1,902899.0
1983,685497.0,3.755,685497.0,3.755,685497.0,3.755,685497.0,3.755,2.1,902899.0
1984,700478.0,3.693,700478.0,3.693,700478.0,3.693,700478.0,3.693,2.1,902899.0
1985,711770.0,3.629,711770.0,3.629,711770.0,3.629,711770.0,3.629,2.1,902899.0
1986,718642.0,3.568,718642.0,3.568,718642.0,3.568,718642.0,3.568,2.1,902899.0
1987,721776.0,3.512,721776.0,3.512,721776.0,3.512,721776.0,3.512,2.1,902899.0
1988,722924.0,3.465,722924.0,3.465,722924.0,3.465,722924.0,3.465,2.1,902899.0
1989,724602.0,3.427,724602.0,3.427,724602.0,3.427,724602.0,3.427,2.1,902899.0
1990,728575.0,3.398,728575.0,3.398,728575.0,3.398,728575.0,3.398,2.1,902899.0
1991,735398.0,3.374,735398.0,3.374,735398.0,3.374,735398.0,3.374,2.1,902899.0
1992,744470.0,3.352,744470.0,3.352,744470.0,3.352,744470.0,3.352,2.1,902899.0
1993,754962.0,3.33,754962.0,3.33,754962.0,3.33,754962.0,3.33,2.1,902899.0
1994,765607.0,3.305,765607.0,3.305,765607.0,3.305,765607.0,3.305,2.1,902899.0
1995,775428.0,3.276,775428.0,3.276,775428.0,3.276,775428.0,3.276,2.1,902899.0
1996,784389.0,3.244,784389.0,3.244,784389.0,3.244,784389.0,3.244,2.1,902899.0
1997,792736.0,3.209,792736.0,3.209,792736.0,3.209,792736.0,3.209,2.1,902899.0
1998,800148.0,3.171,800148.0,3.171,800148.0,3.171,800148.0,3.171,2.1,902899.0
1999,806302.0,3.132,806302.0,3.132,806302.0,3.132,806302.0,3.132,2.1,902899.0
2000,811011.0,3.09,811011.0,3.09,811011.0,3.09,811011.0,3.09,2.1,902899.0
2001,813923.0,3.044,813923.0,3.044,813923.0,3.044,813923.0,3.044,2.1,902899.0
2002,815257.0,2.995,815257.0,2.995,815257.0,2.995,815257.0,2.995,2.1,902899.0
2003,816078.0,2.944,816078.0,2.944,816078.0,2.944,816078.0,2.944,2.1,902899.0
2004,817864.0,2.893,817864.0,2.893,817864.0,2.893,817864.0,2.893,2.1,902899.0
2005,821606.0,2.846,821606.0,2.846,821606.0,2.846,821606.0,2.846,2.1,902899.0
2006,827869.0,2.807,827869.0,2.807,827869.0,2.807,827869.0,2.807,2.1,902899.0
2007,836185.0,2.777,836185.0,2.777,836185.0,2.777,836185.0,2.777,2.1,902899.0
2008,845356.0,2.758,845356.0,2.758,845356.0,2.758,845356.0,2.758,2.1,902899.0
2009,853636.0,2.75,853636.0,2.75,853636.0,2.75,853636.0,2.75,2.1,902899.0
2010,859816.0,2.752,859816.0,2.752,859816.0,2.752,859816.0,2.752,2.1,902899.0
2011,863451.0,2.761,863451.0,2.761,863451.0,2.761,863451.0,2.761,2.1,902899.0
2012,865065.0,2.773,865065.0,2.773,865065.0,2.773,865065.0,2.773,2.1,902899.0
2013,865602.0,2.786,865602.0,2.786,865602.0,2.786,865602.0,2.786,2.1,902899.0
2014,866447.0,2.795,866447.0,2.795,866447.0,2.795,866447.0,2.795,2.1,902899.0
2015,868632.0,2.8,868632.0,2.8,868632.0,2.8,868632.0,2.8,2.1,902899.0
2016,872406.0,2.797,872406.0,2.797,872406.0,2.797,872406.0,2.797,2.1,902899.0
2017,877460.0,2.788,877460.0,2.788,877460.0,2.788,877460.0,2.788,2.1,902899.0
2018,883490.0,2.774,883490.0,2.774,883490.0,2.774,883490.0,2.774,2.1,902899.0
2019,889955.0,2.754,889955.0,2.754,889955.0,2.754,889955.0,2.754,2.1,902899.0
2020,896444.0,2.729,896444.0,2.729,896444.0,2.729,896444.0,2.729,2.1,902899.0
2021,902899.0,2.729,902899.0,2.729,902899.0,2.729,902899.0,2.729,2.1,902899.0
2022,906651.233,2.69,906899.405,2.729,906780.442,2.71,906901.836,2.729,2.1,902899.0
2023,910156.478,2.651,910897.379,2.728,910541.338,2.691,910904.672,2.729,2.1,902899.0
2024,913418.301,2.613,914892.922,2.728,914182.532,2.672,914907.509,2.729,2.1,902899.0
2025,916440.212,2.575,918886.035,2.727,917704.859,2.653,918910.345,2.729,2.1,902899.0
2026,919225.675,2.538,922876.717,2.727,921109.15,2.635,922913.181,2.729,2.1,902899.0
2027,921778.101,2.501,926864.971,2.727,924396.232,2.617,926916.017,2.729,2.1,902899.0
2028,924100.854,2.465,930850.794,2.726,927566.922,2.598,930918.853,2.729,2.1,902899.0
2029,926197.246,2.429,934834.189,2.726,930622.035,2.58,934921.69,2.729,2.1,902899.0
2030,928070.545,2.394,938815.155,2.726,933562.378,2.562,938924.526,2.729,2.1,902899.0
2031,929723.97,2.36,942793.693,2.725,936388.753,2.544,942927.362,2.729,2.1,902899.0
2032,931160.693,2.326,946769.803,2.725,939101.958,2.526,946930.198,2.729,2.1,902899.0
2033,932383.842,2.292,950743.486,2.724,941702.784,2.509,950933.034,2.729,2.1,902899.0
2034,933396.498,2.259,954714.741,2.724,944192.015,2.491,954935.87,2.729,2.1,902899.0
2035,934201.699,2.227,958683.569,2.724,946570.432,2.474,958938.707,2.729,2.1,902899.0
2036,934802.438,2.194,962649.971,2.723,948838.81,2.456,962941.543,2.729,2.1,902899.0
2037,935201.667,2.163,966613.946,2.723,950997.917,2.439,966944.379,2.729,2.1,902899.0
2038,935402.292,2.132,970575.495,2.723,953048.518,2.422,970947.215,2.729,2.1,902899.0
2039,935407.179,2.101,974534.619,2.722,954991.371,2.405,974950.051,2.729,2.1,902899.0
2040,935219.153,2.07,978491.318,2.722,956827.229,2.388,978952.888,2.729,2.1,902899.0
2041,934840.998,2.041,982445.591,2.721,958556.839,2.372,982955.724,2.729,2.1,902899.0
2042,934275.458,2.011,986397.44,2.721,960180.946,2.355,986958.56,2.729,2.1,902899.0
2043,933525.235,1.982,990346.865,2.721,961700.286,2.339,990961.396,2.729,2.1,902899.0
2044,932592.996,1.954,994293.866,2.72,963115.591,2.322,994964.232,2.729,2.1,902899.0
2045,931481.366,1.925,998238.444,2.72,964427.588,2.306,998967.069,2.729,2.1,902899.0
2046,930192.935,1.898,1002180.598,2.719,965637.001,2.29,1002969.905,2.729,2.1,902899.0
2047,928730.253,1.87,1006120.329,2.719,966744.545,2.274,1006972.741,2.729,2.1,902899.0
2048,927095.836,1.843,1010057.638,2.719,967750.934,2.258,1010975.577,2.729,2.1,902899.0
2049,925292.16,1.817,1013992.525,2.718,968656.873,2.242,1014978.413,2.729,2.1,902899.0
2050,923321.669,1.79,1017924.99,2.718,969463.065,2.227,1018981.25,2.729,2.1,902899.0
2051,921186.77,1.765,1021855.033,2.718,970170.208,2.211,1022984.086,2.729,2.1,902899.0
2052,918889.834,1.739,1025782.655,2.717,970778.994,2.196,1026986.922,2.729,2.1,902899.0
2053,916433.201,1.714,1029707.857,2.717,971290.109,2.18,1030989.758,2.729,2.1,902899.0
2054,913819.175,1.689,1033630.638,2.716,971704.238,2.165,1034992.594,2.729,2.1,902899.0
2055,911050.026,1.665,1037550.998,2.716,972022.057,2.15,1038995.43,2.729,2.1,902899.0
2056,908127.994,1.641,1041468.939,2.716,972244.241,2.135,1042998.267,2.729,2.1,902899.0
2057,905055.284,1.617,1045384.461,2.715,972371.457,2.12,1047001.103,2.729,2.1,902899.0
2058,901834.071,1.594,1049297.563,2.715,972404.37,2.105,1051003.939,2.729,2.1,902899.0
2059,898466.497,1.571,1053208.247,2.715,972343.638,2.09,1055006.775,2.729,2.1,902899.0
2060,894954.675,1.548,1057116.512,2.714,972189.916,2.076,1059009.611,2.729,2.1,902899.0
2061,891300.686,1.526,1061022.359,2.714,971943.855,2.061,1063012.448,2.729,2.1,902899.0
2062,887506.582,1.504,1064925.788,2.713,971606.099,2.047,1067015.284,2.729,2.1,902899.0
2063,883574.384,1.482,1068826.799,2.713,971177.289,2.033,1071018.12,2.729,2.1,902899.0
2064,879506.085,1.461,1072725.394,2.713,970658.063,2.018,1075020.956,2.729,2.1,902899.0
2065,875303.649,1.44,1076621.572,2.712,970049.052,2.004,1079023.792,2.729,2.1,902899.0
2066,870969.012,1.419,1080515.333,2.712,969350.883,1.99,1083026.629,2.729,2.1,902899.0
2067,866504.081,1.398,1084406.679,2.711,968564.18,1.976,1087029.465,2.729,2.1,902899.0
