year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,46621688.0,2.85,46621688.0,2.85,46621688.0,2.85,46621688.0,2.85,2.1,67499343.0
1961,47240526.0,2.87,47240526.0,2.87,47240526.0,2.87,47240526.0,2.87,2.1,67499343.0
1962,47904879.0,2.89,47904879.0,2.89,47904879.0,2.89,47904879.0,2.89,2.1,67499343.0
1963,48582624.0,2.89,48582624.0,2.89,48582624.0,2.89,48582624.0,2.89,2.1,67499343.0
1964,49230585.0,2.87,49230585.0,2.87,49230585.0,2.87,49230585.0,2.87,2.1,67499343.0
1965,49818019.0,2.84,49818019.0,2.84,49818019.0,2.84,49818019.0,2.84,2.1,67499343.0
1966,50330268.0,2.8,50330268.0,2.8,50330268.0,2.8,50330268.0,2.8,2.1,67499343.0
1967,50775788.0,2.75,50775788.0,2.75,50775788.0,2.75,50775788.0,2.75,2.1,67499343.0
1968,51175507.0,2.69,51175507.0,2.69,51175507.0,2.69,51175507.0,2.69,2.1,67499343.0
1969,51561833.0,2.62,51561833.0,2.62,51561833.0,2.62,51561833.0,2.62,2.1,67499343.0
1970,51957747.0,2.55,51957747.0,2.55,51957747.0,2.55,51957747.0,2.55,2.1,67499343.0
1971,52371320.0,2.47,52371320.0,2.47,52371320.0,2.47,52371320.0,2.47,2.1,67499343.0
1972,52793151.0,2.38,52793151.0,2.38,52793151.0,2.38,52793151.0,2.38,2.1,67499343.0
1973,53207744.0,2.28,53207744.0,2.28,53207744.0,2.28,53207744.0,2.28,2.1,67499343.0
1974,53592235.0,2.18,53592235.0,2.18,53592235.0,2.18,53592235.0,2.18,2.1,67499343.0
1975,53931390.0,2.09,53931390.0,2.09,53931390.0,2.09,53931390.0,2.09,2.1,67499343.0
1976,54220033.0,2.01,54220033.0,2.01,54220033.0,2.01,54220033.0,2.01,2.1,67499343.0
1977,54467709.0,1.94,54467709.0,1.94,54467709.0,1.94,54467709.0,1.94,2.1,67499343.0
1978,54691866.0,1.89,54691866.0,1.89,54691866.0,1.89,54691866.0,1.89,2.1,67499343.0
1979,54917110.0,1.87,54917110.0,1.87,54917110.0,1.87,54917110.0,1.87,2.1,67499343.0
1980,55161510.0,1.85,55161510.0,1.85,55161510.0,1.85,55161510.0,1.85,2.1,67499343.0
1981,55430278.0,1.85,55430278.0,1.85,55430278.0,1.85,55430278.0,1.85,2.1,67499343.0
1982,55718940.0,1.86,55718940.0,1.86,55718940.0,1.86,55718940.0,1.86,2.1,67499343.0
1983,56023775.0,1.86,56023775.0,1.86,56023775.0,1.86,56023775.0,1.86,2.1,67499343.0
1984,56337675.0,1.86,56337675.0,1.86,56337675.0,1.86,56337675.0,1.86,2.1,67499343.0
1985,56654703.0,1.86,56654703.0,1.86,56654703.0,1.86,56654703.0,1.86,2.1,67499343.0
1986,56976126.0,1.85,56976126.0,1.85,56976126.0,1.85,56976126.0,1.85,2.1,67499343.0
1987,57302642.0,1.83,57302642.0,1.83,57302642.0,1.83,57302642.0,1.83,2.1,67499343.0
1988,57627106.0,1.81,57627106.0,1.81,57627106.0,1.81,57627106.0,1.81,2.1,67499343.0
1989,57940199.0,1.79,57940199.0,1.79,57940199.0,1.79,57940199.0,1.79,2.1,67499343.0
1990,58235716.0,1.77,58235716.0,1.77,58235716.0,1.77,58235716.0,1.77,2.1,67499343.0
1991,58559309.0,1.75,58559309.0,1.75,58559309.0,1.75,58559309.0,1.75,2.1,67499343.0
1992,58851216.0,1.74,58851216.0,1.74,58851216.0,1.74,58851216.0,1.74,2.1,67499343.0
1993,59106758.0,1.73,59106758.0,1.73,59106758.0,1.73,59106758.0,1.73,2.1,67499343.0
1994,59327200.0,1.73,59327200.0,1.73,59327200.0,1.73,59327200.0,1.73,2.1,67499343.0
1995,59541904.0,1.74,59541904.0,1.74,59541904.0,1.74,59541904.0,1.74,2.1,67499343.0
