year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,34624.0,,34624.0,,34624.0,,34624.0,,2.1,49053.0
1961,35074.0,,35074.0,,35074.0,,35074.0,,2.1,49053.0
1962,35521.0,,35521.0,,35521.0,,35521.0,,2.1,49053.0
1963,35965.0,,35965.0,,35965.0,,35965.0,,2.1,49053.0
1964,36409.0,,36409.0,,36409.0,,36409.0,,2.1,49053.0
1965,36843.0,,36843.0,,36843.0,,36843.0,,2.1,49053.0
1966,37283.0,,37283.0,,37283.0,,37283.0,,2.1,49053.0
1967,37705.0,,37705.0,,37705.0,,37705.0,,2.1,49053.0
1968,38131.0,,38131.0,,38131.0,,38131.0,,2.1,49053.0
1969,38560.0,,38560.0,,38560.0,,38560.0,,2.1,49053.0
1970,39008.0,3.4,39008.0,3.4,39008.0,3.4,39008.0,3.4,2.1,49053.0
1971,39456.0,3.2,39456.0,3.2,39456.0,3.2,39456.0,3.2,2.1,49053.0
1972,39915.0,3.3,39915.0,3.3,39915.0,3.3,39915.0,3.3,2.1,49053.0
1973,40395.0,3.2,40395.0,3.2,40395.0,3.2,40395.0,3.2,2.1,49053.0
1974,40847.0,3.1,40847.0,3.1,40847.0,3.1,40847.0,3.1,2.1,49053.0
1975,41292.0,2.9,41292.0,2.9,41292.0,2.9,41292.0,2.9,2.1,49053.0
1976,41724.0,2.7,41724.0,2.7,41724.0,2.7,41724.0,2.7,2.1,49053.0
1977,42133.0,2.7,42133.0,2.7,42133.0,2.7,42133.0,2.7,2.1,49053.0
1978,42539.0,2.6,42539.0,2.6,42539.0,2.6,42539.0,2.6,2.1,49053.0
1979,42941.0,2.7,42941.0,2.7,42941.0,2.7,42941.0,2.7,2.1,49053.0
1980,43339.0,2.5,43339.0,2.5,43339.0,2.5,43339.0,2.5,2.1,49053.0
1981,43725.0,2.5,43725.0,2.5,43725.0,2.5,43725.0,2.5,2.1,49053.0
1982,44101.0,2.3,44101.0,2.3,44101.0,2.3,44101.0,2.3,2.1,49053.0
1983,44483.0,2.2,44483.0,2.2,44483.0,2.2,44483.0,2.2,2.1,49053.0
1984,44895.0,2.2,44895.0,2.2,44895.0,2.2,44895.0,2.2,2.1,49053.0
1985,45328.0,2.3,45328.0,2.3,45328.0,2.3,45328.0,2.3,2.1,49053.0
1986,45812.0,2.4,45812.0,2.4,45812.0,2.4,45812.0,2.4,2.1,49053.0
1987,46340.0,2.4,46340.0,2.4,46340.0,2.4,46340.0,2.4,2.1,49053.0
1988,46833.0,2.6,46833.0,2.6,46833.0,2.6,46833.0,2.6,2.1,49053.0
1989,47159.0,2.7,47159.0,2.7,47159.0,2.7,47159.0,2.7,2.1,49053.0
1990,47276.0,2.8,47276.0,2.8,47276.0,2.8,47276.0,2.8,2.1,49053.0
1991,47123.0,2.6,47123.0,2.6,47123.0,2.6,47123.0,2.6,2.1,49053.0
1992,46746.0,2.5,46746.0,2.5,46746.0,2.5,46746.0,2.5,2.1,49053.0
1993,46277.0,2.5,46277.0,2.5,46277.0,2.5,46277.0,2.5,2.1,49053.0
1994,45848.0,2.4,45848.0,2.4,45848.0,2.4,45848.0,2.4,2.1,49053.0
1995,45625.0,2.5,45625.0,2.5,45625.0,2.5,45625.0,2.5,2.1,49053.0
1996,45624.0,2.6,45624.0,2.6,45624.0,2.6,45624.0,2.6,2.1,49053.0
1997,45789.0,2.5,45789.0,2.5,45789.0,2.5,45789.0,2.5,2.1,49053.0
1998,46094.0,2.3,46094.0,2.3,46094.0,2.3,46094.0,2.3,2.1,49053.0
1999,46428.0,2.3,46428.0,2.3,46428.0,2.3,46428.0,2.3,2.1,49053.0
2000,46738.0,2.6,46738.0,2.6,46738.0,2.6,46738.0,2.6,2.1,49053.0
2001,46999.0,2.3,46999.0,2.3,46999.0,2.3,46999.0,2.3,2.1,49053.0
2002,47235.0,2.6,47235.0,2.6,47235.0,2.6,47235.0,2.6,2.1,49053.0
2003,47439.0,2.5,47439.0,2.5,47439.0,2.5,47439.0,2.5,2.1,49053.0
2004,47600.0,2.6,47600.0,2.6,47600.0,2.6,47600.0,2.6,2.1,49053.0
2005,47731.0,2.6,47731.0,2.6,47731.0,2.6,47731.0,2.6,2.1,49053.0
2006,47793.0,2.5,47793.0,2.5,47793.0,2.5,47793.0,2.5,2.1,49053.0
2007,47825.0,2.6,47825.0,2.6,47825.0,2.6,47825.0,2.6,2.1,49053.0
2008,47822.0,2.6,47822.0,2.6,47822.0,2.6,47822.0,2.6,2.1,49053.0
2009,47814.0,2.4,47814.0,2.4,47814.0,2.4,47814.0,2.4,2.1,49053.0
2010,47803.0,2.5,47803.0,2.5,47803.0,2.5,47803.0,2.5,2.1,49053.0
2011,47815.0,2.3,47815.0,2.3,47815.0,2.3,47815.0,2.3,2.1,49053.0
2012,47843.0,2.6,47843.0,2.6,47843.0,2.6,47843.0,2.6,2.1,49053.0
2013,47901.0,2.5,47901.0,2.5,47901.0,2.5,47901.0,2.5,2.1,49053.0
2014,47965.0,2.6,47965.0,2.6,47965.0,2.6,47965.0,2.6,2.1,49053.0
2015,48055.0,2.4,48055.0,2.4,48055.0,2.4,48055.0,2.4,2.1,49053.0
2016,48173.0,2.6,48173.0,2.6,48173.0,2.6,48173.0,2.6,2.1,49053.0
2017,48326.0,2.5,48326.0,2.5,48326.0,2.5,48326.0,2.5,2.1,49053.0
2018,48497.0,2.5,48497.0,2.5,48497.0,2.5,48497.0,2.5,2.1,49053.0
2019,48677.0,2.4,48677.0,2.4,48677.0,2.4,48677.0,2.4,2.1,49053.0
2020,48865.0,2.3,48865.0,2.3,48865.0,2.3,48865.0,2.3,2.1,49053.0
2021,49053.0,2.3,49053.0,2.3,49053.0,2.3,49053.0,2.3,2.1,49053.0
2022,49105.837,2.288,49105.617,2.287,49112.202,2.311,49109.19,2.3,2.1,49053.0
2023,49155.337,2.276,49154.68,2.275,49174.429,2.321,49165.381,2.3,2.1,49053.0
2024,49201.519,2.264,49200.21,2.262,49239.695,2.332,49221.571,2.3,2.1,49053.0
2025,49244.398,2.253,49242.225,2.25,49308.015,2.343,49277.762,2.3,2.1,49053.0
2026,49283.993,2.241,49280.744,2.237,49379.403,2.354,49333.952,2.3,2.1,49053.0
2027,49320.321,2.229,49315.789,2.225,49453.872,2.365,49390.143,2.3,2.1,49053.0
2028,49353.397,2.218,49347.376,2.212,49531.439,2.376,49446.333,2.3,2.1,49053.0
2029,49383.24,2.206,49375.526,2.2,49612.116,2.387,49502.524,2.3,2.1,49053.0
2030,49409.866,2.195,49400.258,2.188,49695.918,2.398,49558.714,2.3,2.1,49053.0
2031,49433.292,2.183,49421.591,2.176,49782.86,2.409,49614.905,2.3,2.1,49053.0
2032,49453.534,2.172,49439.542,2.164,49872.957,2.421,49671.095,2.3,2.1,49053.0
2033,49470.609,2.161,49454.132,2.152,49966.223,2.432,49727.286,2.3,2.1,49053.0
2034,49484.533,2.15,49465.379,2.14,50062.674,2.443,49783.476,2.3,2.1,49053.0
2035,49495.323,2.138,49473.3,2.128,50162.323,2.455,49839.667,2.3,2.1,49053.0
2036,49502.995,2.127,49477.915,2.116,50265.185,2.466,49895.857,2.3,2.1,49053.0
2037,49507.564,2.116,49479.242,2.105,50371.277,2.478,49952.048,2.3,2.1,49053.0
2038,49509.048,2.105,49477.299,2.093,50480.612,2.489,50008.238,2.3,2.1,49053.0
2039,49507.462,2.094,49472.103,2.082,50593.206,2.501,50064.429,2.3,2.1,49053.0
2040,49502.823,2.083,49463.674,2.07,50709.075,2.512,50120.619,2.3,2.1,49053.0
2041,49495.145,2.073,49452.029,2.059,50828.232,2.524,50176.81,2.3,2.1,49053.0
2042,49484.445,2.062,49437.185,2.047,50950.695,2.536,50233.0,2.3,2.1,49053.0
2043,49470.739,2.051,49419.161,2.036,51076.477,2.548,50289.19,2.3,2.1,49053.0
2044,49454.041,2.041,49397.974,2.025,51205.595,2.56,50345.381,2.3,2.1,49053.0
2045,49434.368,2.03,49373.641,2.013,51338.064,2.571,50401.571,2.3,2.1,49053.0
2046,49411.735,2.019,49346.18,2.002,51473.9,2.583,50457.762,2.3,2.1,49053.0
2047,49386.158,2.009,49315.608,1.991,51613.118,2.596,50513.952,2.3,2.1,49053.0
2048,49357.651,1.999,49281.943,1.98,51755.734,2.608,50570.143,2.3,2.1,49053.0
2049,49326.229,1.988,49245.201,1.969,51901.764,2.62,50626.333,2.3,2.1,49053.0
2050,49291.909,1.978,49205.4,1.958,52051.224,2.632,50682.524,2.3,2.1,49053.0
2051,49254.705,1.968,49162.556,1.948,52204.13,2.644,50738.714,2.3,2.1,49053.0
2052,49214.632,1.957,49116.686,1.937,52360.498,2.657,50794.905,2.3,2.1,49053.0
2053,49171.705,1.947,49067.807,1.926,52520.345,2.669,50851.095,2.3,2.1,49053.0
2054,49125.938,1.937,49015.936,1.915,52683.685,2.681,50907.286,2.3,2.1,49053.0
2055,49077.347,1.927,48961.089,1.905,52850.536,2.694,50963.476,2.3,2.1,49053.0
2056,49025.946,1.917,48903.282,1.894,53020.914,2.706,51019.667,2.3,2.1,49053.0
2057,48971.75,1.907,48842.533,1.884,53194.835,2.719,51075.857,2.3,2.1,49053.0
2058,48914.773,1.897,48778.856,1.873,53372.316,2.732,51132.048,2.3,2.1,49053.0
2059,48855.029,1.887,48712.27,1.863,53553.373,2.744,51188.238,2.3,2.1,49053.0
2060,48792.534,1.878,48642.788,1.853,53738.024,2.757,51244.429,2.3,2.1,49053.0
2061,48727.3,1.868,48570.428,1.842,53926.285,2.77,51300.619,2.3,2.1,49053.0
2062,48659.343,1.858,48495.206,1.832,54118.172,2.783,51356.81,2.3,2.1,49053.0
2063,48588.677,1.848,48417.137,1.822,54313.703,2.796,51413.0,2.3,2.1,49053.0
2064,48515.316,1.839,48336.237,1.812,54512.894,2.809,51469.19,2.3,2.1,49053.0
2065,48439.273,1.829,48252.522,1.802,54715.763,2.822,51525.381,2.3,2.1,49053.0
2066,48360.562,1.82,48166.007,1.792,54922.327,2.835,51581.571,2.3,2.1,49053.0
2067,48279.198,1.81,48076.707,1.782,55132.603,2.848,51637.762,2.3,2.1,49053.0
2068,48195.194,1.801,47984.639,1.772,55346.608,2.862,51693.952,2.3,2.1,49053.0
2069,48108.564,1.792,47889.817,1.762,55564.36,2.875,51750.143,2.3,2.1,49053.0
2070,48019.322,1.782,47792.257,1.753,55785.875,2.888,51806.333,2.3,2.1,49053.0
2071,47927.481,1.773,47691.974,1.743,56011.173,2.902,51862.524,2.3,2.1,49053.0
2072,47833.054,1.764,47588.982,1.733,56240.27,2.915,51918.714,2.3,2.1,49053.0
2073,47736.055,1.755,47483.297,1.724,56473.184,2.929,51974.905,2.3,2.1,49053.0
2074,47636.497,1.746,47374.935,1.714,56709.932,2.943,52031.095,2.3,2.1,49053.0
2075,47534.395,1.737,47263.908,1.705,56950.533,2.956,52087.286,2.3,2.1,49053.0
2076,47429.759,1.728,47150.233,1.695,57195.005,2.97,52143.476,2.3,2.1,49053.0
2077,47322.605,1.719,47033.924,1.686,57443.366,2.984,52199.667,2.3,2.1,49053.0
2078,47212.945,1.71,46914.995,1.677,57695.633,2.998,52255.857,2.3,2.1,49053.0
2079,47100.792,1.701,46793.462,1.667,57951.825,3.012,52312.048,2.3,2.1,49053.0
2080,46986.159,1.692,46669.337,1.658,58211.961,3.026,52368.238,2.3,2.1,49053.0
2081,46869.059,1.683,46542.637,1.649,58476.058,3.04,52424.429,2.3,2.1,49053.0
