year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,44510.0,6.934,44510.0,6.934,44510.0,6.934,44510.0,6.934,2.1,116255.0
1961,45939.0,6.917,45939.0,6.917,45939.0,6.917,45939.0,6.917,2.1,116255.0
1962,47372.0,6.905,47372.0,6.905,47372.0,6.905,47372.0,6.905,2.1,116255.0
1963,48856.0,6.897,48856.0,6.897,48856.0,6.897,48856.0,6.897,2.1,116255.0
1964,50476.0,6.893,50476.0,6.893,50476.0,6.893,50476.0,6.893,2.1,116255.0
1965,52224.0,6.894,52224.0,6.894,52224.0,6.894,52224.0,6.894,2.1,116255.0
1966,54192.0,6.9,54192.0,6.9,54192.0,6.9,54192.0,6.9,2.1,116255.0
1967,56308.0,6.911,56308.0,6.911,56308.0,6.911,56308.0,6.911,2.1,116255.0
1968,58386.0,6.924,58386.0,6.924,58386.0,6.924,58386.0,6.924,2.1,116255.0
1969,60146.0,6.935,60146.0,6.935,60146.0,6.935,60146.0,6.935,2.1,116255.0
1970,61415.0,6.938,61415.0,6.938,61415.0,6.938,61415.0,6.938,2.1,116255.0
1971,62089.0,6.925,62089.0,6.925,62089.0,6.925,62089.0,6.925,2.1,116255.0
1972,62275.0,6.894,62275.0,6.894,62275.0,6.894,62275.0,6.894,2.1,116255.0
1973,62268.0,6.842,62268.0,6.842,62268.0,6.842,62268.0,6.842,2.1,116255.0
1974,62456.0,6.77,62456.0,6.77,62456.0,6.77,62456.0,6.77,2.1,116255.0
1975,63122.0,6.682,63122.0,6.682,63122.0,6.682,63122.0,6.682,2.1,116255.0
1976,64360.0,6.586,64360.0,6.586,64360.0,6.586,64360.0,6.586,2.1,116255.0
1977,66079.0,6.49,66079.0,6.49,66079.0,6.49,66079.0,6.49,2.1,116255.0
1978,68196.0,6.398,68196.0,6.398,68196.0,6.398,68196.0,6.398,2.1,116255.0
1979,70515.0,6.311,70515.0,6.311,70515.0,6.311,70515.0,6.311,2.1,116255.0
1980,72936.0,6.223,72936.0,6.223,72936.0,6.223,72936.0,6.223,2.1,116255.0
1981,75422.0,6.129,75422.0,6.129,75422.0,6.129,75422.0,6.129,2.1,116255.0
1982,78015.0,6.02,78015.0,6.02,78015.0,6.02,78015.0,6.02,2.1,116255.0
1983,80630.0,5.894,80630.0,5.894,80630.0,5.894,80630.0,5.894,2.1,116255.0
1984,83192.0,5.752,83192.0,5.752,83192.0,5.752,83192.0,5.752,2.1,116255.0
1985,85641.0,5.6,85641.0,5.6,85641.0,5.6,85641.0,5.6,2.1,116255.0
1986,87904.0,5.446,87904.0,5.446,87904.0,5.446,87904.0,5.446,2.1,116255.0
1987,89985.0,5.299,89985.0,5.299,89985.0,5.299,89985.0,5.299,2.1,116255.0
1988,91984.0,5.167,91984.0,5.167,91984.0,5.167,91984.0,5.167,2.1,116255.0
1989,94062.0,5.052,94062.0,5.052,94062.0,5.052,94062.0,5.052,2.1,116255.0
1990,96304.0,4.958,96304.0,4.958,96304.0,4.958,96304.0,4.958,2.1,116255.0
1991,98779.0,4.882,98779.0,4.882,98779.0,4.882,98779.0,4.882,2.1,116255.0
1992,101386.0,4.82,101386.0,4.82,101386.0,4.82,101386.0,4.82,2.1,116255.0
1993,103901.0,4.766,103901.0,4.766,103901.0,4.766,103901.0,4.766,2.1,116255.0
1994,106030.0,4.716,106030.0,4.716,106030.0,4.716,106030.0,4.716,2.1,116255.0
1995,107535.0,4.664,107535.0,4.664,107535.0,4.664,107535.0,4.664,2.1,116255.0
1996,108311.0,4.608,108311.0,4.608,108311.0,4.608,108311.0,4.608,2.1,116255.0
1997,108473.0,4.544,108473.0,4.544,108473.0,4.544,108473.0,4.544,2.1,116255.0
1998,108206.0,4.471,108206.0,4.471,108206.0,4.471,108206.0,4.471,2.1,116255.0
1999,107769.0,4.39,107769.0,4.39,107769.0,4.39,107769.0,4.39,2.1,116255.0
2000,107405.0,4.3,107405.0,4.3,107405.0,4.3,107405.0,4.3,2.1,116255.0
2001,107170.0,4.204,107170.0,4.204,107170.0,4.204,107170.0,4.204,2.1,116255.0
2002,107027.0,4.105,107027.0,4.105,107027.0,4.105,107027.0,4.105,2.1,116255.0
2003,106902.0,4.007,106902.0,4.007,106902.0,4.007,106902.0,4.007,2.1,116255.0
2004,106624.0,3.912,106624.0,3.912,106624.0,3.912,106624.0,3.912,2.1,116255.0
2005,106135.0,3.823,106135.0,3.823,106135.0,3.823,106135.0,3.823,2.1,116255.0
2006,105374.0,3.739,105374.0,3.739,105374.0,3.739,105374.0,3.739,2.1,116255.0
2007,104442.0,3.661,104442.0,3.661,104442.0,3.661,104442.0,3.661,2.1,116255.0
2008,103549.0,3.589,103549.0,3.589,103549.0,3.589,103549.0,3.589,2.1,116255.0
2009,102971.0,3.522,102971.0,3.522,102971.0,3.522,102971.0,3.522,2.1,116255.0
2010,102916.0,3.46,102916.0,3.46,102916.0,3.46,102916.0,3.46,2.1,116255.0
2011,103448.0,3.402,103448.0,3.402,103448.0,3.402,103448.0,3.402,2.1,116255.0
2012,104506.0,3.347,104506.0,3.347,104506.0,3.347,104506.0,3.347,2.1,116255.0
2013,105922.0,3.294,105922.0,3.294,105922.0,3.294,105922.0,3.294,2.1,116255.0
2014,107444.0,3.243,107444.0,3.243,107444.0,3.243,107444.0,3.243,2.1,116255.0
2015,108886.0,3.193,108886.0,3.193,108886.0,3.193,108886.0,3.193,2.1,116255.0
2016,110215.0,3.145,110215.0,3.145,110215.0,3.145,110215.0,3.145,2.1,116255.0
2017,111461.0,3.098,111461.0,3.098,111461.0,3.098,111461.0,3.098,2.1,116255.0
2018,112640.0,3.053,112640.0,3.053,112640.0,3.053,112640.0,3.053,2.1,116255.0
2019,113811.0,3.01,113811.0,3.01,113811.0,3.01,113811.0,3.01,2.1,116255.0
2020,115021.0,2.968,115021.0,2.968,115021.0,2.968,115021.0,2.968,2.1,116255.0
2021,116255.0,2.968,116255.0,2.968,116255.0,2.968,116255.0,2.968,2.1,116255.0
2022,116926.967,2.926,116919.238,2.916,116914.069,2.91,116961.387,2.968,2.1,116255.0
2023,117565.006,2.884,117542.063,2.865,117526.748,2.853,117667.773,2.968,2.1,116255.0
2024,118169.599,2.843,118124.198,2.815,118093.945,2.797,118374.16,2.968,2.1,116255.0
2025,118741.224,2.802,118666.353,2.766,118616.551,2.742,119080.547,2.968,2.1,116255.0
2026,119280.35,2.762,119169.225,2.718,119095.441,2.688,119786.933,2.968,2.1,116255.0
2027,119787.44,2.723,119633.499,2.67,119531.469,2.636,120493.32,2.968,2.1,116255.0
2028,120262.95,2.684,120059.85,2.624,119925.476,2.584,121199.707,2.968,2.1,116255.0
2029,120707.332,2.646,120448.939,2.578,120278.286,2.534,121906.093,2.968,2.1,116255.0
2030,121121.027,2.608,120801.417,2.533,120590.705,2.484,122612.48,2.968,2.1,116255.0
2031,121504.475,2.571,121117.922,2.489,120863.524,2.435,123318.867,2.968,2.1,116255.0
2032,121858.104,2.535,121399.081,2.445,121097.519,2.388,124025.253,2.968,2.1,116255.0
2033,122182.342,2.498,121645.513,2.403,121293.451,2.341,124731.64,2.968,2.1,116255.0
2034,122477.606,2.463,121857.822,2.361,121452.065,2.295,125438.027,2.968,2.1,116255.0
2035,122744.309,2.428,122036.604,2.32,121574.093,2.25,126144.413,2.968,2.1,116255.0
2036,122982.858,2.393,122182.445,2.279,121660.25,2.206,126850.8,2.968,2.1,116255.0
2037,123193.655,2.359,122295.918,2.239,121711.241,2.163,127557.187,2.968,2.1,116255.0
2038,123377.094,2.325,122377.59,2.2,121727.754,2.12,128263.573,2.968,2.1,116255.0
2039,123533.567,2.292,122428.014,2.162,121710.463,2.079,128969.96,2.968,2.1,116255.0
2040,123663.456,2.26,122447.736,2.124,121660.033,2.038,129676.347,2.968,2.1,116255.0
2041,123767.141,2.227,122437.292,2.087,121577.11,1.998,130382.733,2.968,2.1,116255.0
2042,123844.995,2.196,122397.208,2.051,121462.333,1.959,131089.12,2.968,2.1,116255.0
2043,123897.387,2.164,122328.002,2.015,121316.325,1.921,131795.507,2.968,2.1,116255.0
2044,123924.679,2.134,122230.181,1.98,121139.698,1.883,132501.893,2.968,2.1,116255.0
2045,123927.229,2.103,122104.245,1.945,120933.052,1.846,133208.28,2.968,2.1,116255.0
2046,123905.389,2.073,121950.685,1.911,120696.975,1.81,133914.667,2.968,2.1,116255.0
2047,123859.507,2.044,121769.982,1.878,120432.043,1.774,134621.053,2.968,2.1,116255.0
2048,123789.926,2.014,121562.61,1.845,120138.822,1.74,135327.44,2.968,2.1,116255.0
2049,123696.983,1.986,121329.035,1.813,119817.866,1.706,136033.827,2.968,2.1,116255.0
