year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,500922.0,4.384,500922.0,4.384,500922.0,4.384,500922.0,4.384,2.1,2278829.0
1961,505793.0,4.462,505793.0,4.462,505793.0,4.462,505793.0,4.462,2.1,2278829.0
1962,511285.0,4.541,511285.0,4.541,511285.0,4.541,511285.0,4.541,2.1,2278829.0
1963,517573.0,4.619,517573.0,4.619,517573.0,4.619,517573.0,4.619,2.1,2278829.0
1964,524891.0,4.694,524891.0,4.694,524891.0,4.694,524891.0,4.694,2.1,2278829.0
1965,533357.0,4.766,533357.0,4.766,533357.0,4.766,533357.0,4.766,2.1,2278829.0
1966,543119.0,4.834,543119.0,4.834,543119.0,4.834,543119.0,4.834,2.1,2278829.0
1967,554054.0,4.899,554054.0,4.899,554054.0,4.899,554054.0,4.899,2.1,2278829.0
1968,565763.0,4.961,565763.0,4.961,565763.0,4.961,565763.0,4.961,2.1,2278829.0
1969,577644.0,5.021,577644.0,5.021,577644.0,5.021,577644.0,5.021,2.1,2278829.0
1970,589317.0,5.081,589317.0,5.081,589317.0,5.081,589317.0,5.081,2.1,2278829.0
1971,600608.0,5.143,600608.0,5.143,600608.0,5.143,600608.0,5.143,2.1,2278829.0
1972,611705.0,5.208,611705.0,5.208,611705.0,5.208,611705.0,5.208,2.1,2278829.0
1973,622914.0,5.275,622914.0,5.275,622914.0,5.275,622914.0,5.275,2.1,2278829.0
1974,634739.0,5.343,634739.0,5.343,634739.0,5.343,634739.0,5.343,2.1,2278829.0
1975,647538.0,5.412,647538.0,5.412,647538.0,5.412,647538.0,5.412,2.1,2278829.0
1976,661398.0,5.48,661398.0,5.48,661398.0,5.48,661398.0,5.48,2.1,2278829.0
1977,676264.0,5.543,676264.0,5.543,676264.0,5.543,676264.0,5.543,2.1,2278829.0
1978,692078.0,5.6,692078.0,5.6,692078.0,5.6,692078.0,5.6,2.1,2278829.0
1979,708788.0,5.648,708788.0,5.648,708788.0,5.648,708788.0,5.648,2.1,2278829.0
1980,726335.0,5.684,726335.0,5.684,726335.0,5.684,726335.0,5.684,2.1,2278829.0
1981,744695.0,5.709,744695.0,5.709,744695.0,5.709,744695.0,5.709,2.1,2278829.0
1982,763932.0,5.721,763932.0,5.721,763932.0,5.721,763932.0,5.721,2.1,2278829.0
1983,784056.0,5.721,784056.0,5.721,784056.0,5.721,784056.0,5.721,2.1,2278829.0
1984,805117.0,5.709,805117.0,5.709,805117.0,5.709,805117.0,5.709,2.1,2278829.0
1985,827107.0,5.686,827107.0,5.686,827107.0,5.686,827107.0,5.686,2.1,2278829.0
1986,850052.0,5.653,850052.0,5.653,850052.0,5.653,850052.0,5.653,2.1,2278829.0
1987,873871.0,5.611,873871.0,5.611,873871.0,5.611,873871.0,5.611,2.1,2278829.0
1988,898472.0,5.562,898472.0,5.562,898472.0,5.562,898472.0,5.562,2.1,2278829.0
1989,923714.0,5.505,923714.0,5.505,923714.0,5.505,923714.0,5.505,2.1,2278829.0
1990,949493.0,5.442,949493.0,5.442,949493.0,5.442,949493.0,5.442,2.1,2278829.0
1991,975785.0,5.371,975785.0,5.371,975785.0,5.371,975785.0,5.371,2.1,2278829.0
1992,1002573.0,5.292,1002573.0,5.292,1002573.0,5.292,1002573.0,5.292,2.1,2278829.0
1993,1029769.0,5.205,1029769.0,5.205,1029769.0,5.205,1029769.0,5.205,2.1,2278829.0
1994,1057252.0,5.113,1057252.0,5.113,1057252.0,5.113,1057252.0,5.113,2.1,2278829.0
1995,1084951.0,5.016,1084951.0,5.016,1084951.0,5.016,1084951.0,5.016,2.1,2278829.0
1996,1112944.0,4.916,1112944.0,4.916,1112944.0,4.916,1112944.0,4.916,2.1,2278829.0
1997,1141332.0,4.815,1141332.0,4.815,1141332.0,4.815,1141332.0,4.815,2.1,2278829.0
1998,1170061.0,4.716,1170061.0,4.716,1170061.0,4.716,1170061.0,4.716,2.1,2278829.0
1999,1199058.0,4.62,1199058.0,4.62,1199058.0,4.62,1199058.0,4.62,2.1,2278829.0
