year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,52400000.0,2.69,52400000.0,2.69,52400000.0,2.69,52400000.0,2.69,2.1,67326569.0
1961,52800000.0,2.78,52800000.0,2.78,52800000.0,2.78,52800000.0,2.78,2.1,67326569.0
1962,53250000.0,2.86,53250000.0,2.86,53250000.0,2.86,53250000.0,2.86,2.1,67326569.0
1963,53650000.0,2.88,53650000.0,2.88,53650000.0,2.88,53650000.0,2.88,2.1,67326569.0
1964,54000000.0,2.93,54000000.0,2.93,54000000.0,2.93,54000000.0,2.93,2.1,67326569.0
1965,54348050.0,2.86,54348050.0,2.86,54348050.0,2.86,54348050.0,2.86,2.1,67326569.0
1966,54648500.0,2.78,54648500.0,2.78,54648500.0,2.78,54648500.0,2.78,2.1,67326569.0
1967,54943600.0,2.68,54943600.0,2.68,54943600.0,2.68,54943600.0,2.68,2.1,67326569.0
1968,55211700.0,2.6,55211700.0,2.6,55211700.0,2.6,55211700.0,2.6,2.1,67326569.0
1969,55441750.0,2.51,55441750.0,2.51,55441750.0,2.51,55441750.0,2.51,2.1,67326569.0
1970,55663250.0,2.44,55663250.0,2.44,55663250.0,2.44,55663250.0,2.44,2.1,67326569.0
1971,55896223.0,2.41,55896223.0,2.41,55896223.0,2.41,55896223.0,2.41,2.1,67326569.0
1972,56086065.0,2.2,56086065.0,2.2,56086065.0,2.2,56086065.0,2.2,2.1,67326569.0
1973,56194527.0,2.04,56194527.0,2.04,56194527.0,2.04,56194527.0,2.04,2.1,67326569.0
1974,56229974.0,1.92,56229974.0,1.92,56229974.0,1.92,56229974.0,1.92,2.1,67326569.0
1975,56225800.0,1.81,56225800.0,1.81,56225800.0,1.81,56225800.0,1.81,2.1,67326569.0
1976,56211968.0,1.74,56211968.0,1.74,56211968.0,1.74,56211968.0,1.74,2.1,67326569.0
1977,56193492.0,1.69,56193492.0,1.69,56193492.0,1.69,56193492.0,1.69,2.1,67326569.0
1978,56196504.0,1.75,56196504.0,1.75,56196504.0,1.75,56196504.0,1.75,2.1,67326569.0
1979,56246951.0,1.86,56246951.0,1.86,56246951.0,1.86,56246951.0,1.86,2.1,67326569.0
1980,56314216.0,1.9,56314216.0,1.9,56314216.0,1.9,56314216.0,1.9,2.1,67326569.0
1981,56333829.0,1.82,56333829.0,1.82,56333829.0,1.82,56333829.0,1.82,2.1,67326569.0
1982,56313641.0,1.78,56313641.0,1.78,56313641.0,1.78,56313641.0,1.78,2.1,67326569.0
