year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3645600.0,2.942,3645600.0,2.942,3645600.0,2.942,3645600.0,2.942,2.1,3708610.0
1961,3703600.0,2.943,3703600.0,2.943,3703600.0,2.943,3703600.0,2.943,2.1,3708610.0
1962,3760300.0,2.937,3760300.0,2.937,3760300.0,2.937,3760300.0,2.937,2.1,3708610.0
1963,3816100.0,2.924,3816100.0,2.924,3816100.0,2.924,3816100.0,2.924,2.1,3708610.0
1964,3870300.0,2.906,3870300.0,2.906,3870300.0,2.906,3870300.0,2.906,2.1,3708610.0
1965,3921600.0,2.882,3921600.0,2.882,3921600.0,2.882,3921600.0,2.882,2.1,3708610.0
1966,3966700.0,2.854,3966700.0,2.854,3966700.0,2.854,3966700.0,2.854,2.1,3708610.0
1967,4005800.0,2.821,4005800.0,2.821,4005800.0,2.821,4005800.0,2.821,2.1,3708610.0
1968,4042300.0,2.785,4042300.0,2.785,4042300.0,2.785,4042300.0,2.785,2.1,3708610.0
1969,4080300.0,2.747,4080300.0,2.747,4080300.0,2.747,4080300.0,2.747,2.1,3708610.0
1970,4119900.0,2.707,4119900.0,2.707,4119900.0,2.707,4119900.0,2.707,2.1,3708610.0
1971,4163000.0,2.665,4163000.0,2.665,4163000.0,2.665,4163000.0,2.665,2.1,3708610.0
1972,4205300.0,2.622,4205300.0,2.622,4205300.0,2.622,4205300.0,2.622,2.1,3708610.0
1973,4242500.0,2.577,4242500.0,2.577,4242500.0,2.577,4242500.0,2.577,2.1,3708610.0
1974,4279500.0,2.533,4279500.0,2.533,4279500.0,2.533,4279500.0,2.533,2.1,3708610.0
1975,4311200.0,2.489,4311200.0,2.489,4311200.0,2.489,4311200.0,2.489,2.1,3708610.0
1976,4342400.0,2.448,4342400.0,2.448,4342400.0,2.448,4342400.0,2.448,2.1,3708610.0
1977,4372100.0,2.409,4372100.0,2.409,4372100.0,2.409,4372100.0,2.409,2.1,3708610.0
1978,4397700.0,2.373,4397700.0,2.373,4397700.0,2.373,4397700.0,2.373,2.1,3708610.0
1979,4430200.0,2.341,4430200.0,2.341,4430200.0,2.341,4430200.0,2.341,2.1,3708610.0
1980,4467700.0,2.314,4467700.0,2.314,4467700.0,2.314,4467700.0,2.314,2.1,3708610.0
1981,4504500.0,2.296,4504500.0,2.296,4504500.0,2.296,4504500.0,2.296,2.1,3708610.0
1982,4542800.0,2.284,4542800.0,2.284,4542800.0,2.284,4542800.0,2.284,2.1,3708610.0
1983,4582900.0,2.277,4582900.0,2.277,4582900.0,2.277,4582900.0,2.277,2.1,3708610.0
1984,4622200.0,2.275,4622200.0,2.275,4622200.0,2.275,4622200.0,2.275,2.1,3708610.0
1985,4662900.0,2.273,4662900.0,2.273,4662900.0,2.273,4662900.0,2.273,2.1,3708610.0
1986,4704500.0,2.269,4704500.0,2.269,4704500.0,2.269,4704500.0,2.269,2.1,3708610.0
1987,4743500.0,2.26,4743500.0,2.26,4743500.0,2.26,4743500.0,2.26,2.1,3708610.0
1988,4790700.0,2.243,4790700.0,2.243,4790700.0,2.243,4790700.0,2.243,2.1,3708610.0
1989,4803300.0,2.217,4803300.0,2.217,4803300.0,2.217,4803300.0,2.217,2.1,3708610.0
1990,4802000.0,2.18,4802000.0,2.18,4802000.0,2.18,4802000.0,2.18,2.1,3708610.0
1991,4835900.0,2.132,4835900.0,2.132,4835900.0,2.132,4835900.0,2.132,2.1,3708610.0
1992,4873500.0,2.076,4873500.0,2.076,4873500.0,2.076,4873500.0,2.076,2.1,3708610.0
1993,4911100.0,2.013,4911100.0,2.013,4911100.0,2.013,4911100.0,2.013,2.1,3708610.0
1994,4836076.0,1.946,4836076.0,1.946,4836076.0,1.946,4836076.0,1.946,2.1,3708610.0
1995,4657722.0,1.879,4657722.0,1.879,4657722.0,1.879,4657722.0,1.879,2.1,3708610.0
1996,4491699.0,1.812,4491699.0,1.812,4491699.0,1.812,4491699.0,1.812,2.1,3708610.0
1997,4349913.0,1.749,4349913.0,1.749,4349913.0,1.749,4349913.0,1.749,2.1,3708610.0
1998,4243607.0,1.692,4243607.0,1.692,4243607.0,1.692,4243607.0,1.692,2.1,3708610.0
1999,4157192.0,1.643,4157192.0,1.643,4157192.0,1.643,4157192.0,1.643,2.1,3708610.0
2000,4077131.0,1.608,4077131.0,1.608,4077131.0,1.608,4077131.0,1.608,2.1,3708610.0
2001,4014373.0,1.589,4014373.0,1.589,4014373.0,1.589,4014373.0,1.589,2.1,3708610.0
2002,3978515.0,1.586,3978515.0,1.586,3978515.0,1.586,3978515.0,1.586,2.1,3708610.0
2003,3951736.0,1.599,3951736.0,1.599,3951736.0,1.599,3951736.0,1.599,2.1,3708610.0
2004,3927340.0,1.625,3927340.0,1.625,3927340.0,1.625,3927340.0,1.625,2.1,3708610.0
2005,3902469.0,1.664,3902469.0,1.664,3902469.0,1.664,3902469.0,1.664,2.1,3708610.0
2006,3880347.0,1.711,3880347.0,1.711,3880347.0,1.711,3880347.0,1.711,2.1,3708610.0
2007,3860158.0,1.763,3860158.0,1.763,3860158.0,1.763,3860158.0,1.763,2.1,3708610.0
2008,3848449.0,1.816,3848449.0,1.816,3848449.0,1.816,3848449.0,1.816,2.1,3708610.0
2009,3814419.0,1.866,3814419.0,1.866,3814419.0,1.866,3814419.0,1.866,2.1,3708610.0
2010,3786695.0,1.911,3786695.0,1.911,3786695.0,1.911,3786695.0,1.911,2.1,3708610.0
2011,3756441.0,1.95,3756441.0,1.95,3756441.0,1.95,3756441.0,1.95,2.1,3708610.0
2012,3728874.0,1.984,3728874.0,1.984,3728874.0,1.984,3728874.0,1.984,2.1,3708610.0
2013,3717668.0,2.012,3717668.0,2.012,3717668.0,2.012,3717668.0,2.012,2.1,3708610.0
2014,3719414.0,2.034,3719414.0,2.034,3719414.0,2.034,3719414.0,2.034,2.1,3708610.0
2015,3725276.0,2.05,3725276.0,2.05,3725276.0,2.05,3725276.0,2.05,2.1,3708610.0
2016,3727505.0,2.059,3727505.0,2.059,3727505.0,2.059,3727505.0,2.059,2.1,3708610.0
2017,3728004.0,2.062,3728004.0,2.062,3728004.0,2.062,3728004.0,2.062,2.1,3708610.0
2018,3726549.0,2.06,3726549.0,2.06,3726549.0,2.06,3726549.0,2.06,2.1,3708610.0
2019,3720161.0,2.055,3720161.0,2.055,3720161.0,2.055,3720161.0,2.055,2.1,3708610.0
2020,3722716.0,2.046,3722716.0,2.046,3722716.0,2.046,3722716.0,2.046,2.1,3708610.0
2021,3708610.0,2.046,3708610.0,2.046,3708610.0,2.046,3708610.0,2.046,2.1,3708610.0
2022,3707027.092,2.034,3707930.411,2.072,3707803.809,2.066,3707319.889,2.046,2.1,3708610.0
2023,3705153.141,2.022,3707868.969,2.097,3707486.33,2.087,3706029.777,2.046,2.1,3708610.0
2024,3702989.891,2.009,3708433.396,2.124,3707662.401,2.107,3704739.666,2.046,2.1,3708610.0
2025,3700539.075,1.997,3709631.509,2.15,3708336.908,2.128,3703449.554,2.046,2.1,3708610.0
2026,3697802.415,1.985,3711471.222,2.177,3709514.785,2.149,3702159.443,2.046,2.1,3708610.0
2027,3694781.623,1.974,3713960.548,2.204,3711201.017,2.171,3700869.331,2.046,2.1,3708610.0
2028,3691478.401,1.962,3717107.602,2.232,3713400.634,2.192,3699579.22,2.046,2.1,3708610.0
2029,3687894.441,1.95,3720920.598,2.26,3716118.721,2.214,3698289.109,2.046,2.1,3708610.0
2030,3684031.425,1.938,3725407.855,2.288,3719360.41,2.236,3696998.997,2.046,2.1,3708610.0
2031,3679891.024,1.927,3730577.793,2.316,3723130.885,2.258,3695708.886,2.046,2.1,3708610.0
2032,3675474.9,1.915,3736438.94,2.345,3727435.38,2.28,3694418.774,2.046,2.1,3708610.0
2033,3670784.704,1.904,3742999.928,2.375,3732279.183,2.303,3693128.663,2.046,2.1,3708610.0
2034,3665822.078,1.892,3750269.498,2.404,3737667.632,2.326,3691838.551,2.046,2.1,3708610.0
2035,3660588.654,1.881,3758256.502,2.434,3743606.119,2.349,3690548.44,2.046,2.1,3708610.0
2036,3655086.054,1.87,3766969.898,2.465,3750100.091,2.372,3689258.329,2.046,2.1,3708610.0
2037,3649315.89,1.858,3776418.761,2.495,3757155.046,2.395,3687968.217,2.046,2.1,3708610.0
2038,3643279.766,1.847,3786612.276,2.527,3764776.537,2.419,3686678.106,2.046,2.1,3708610.0
2039,3636979.273,1.836,3797559.744,2.558,3772970.175,2.443,3685387.994,2.046,2.1,3708610.0
2040,3630415.996,1.825,3809270.581,2.59,3781741.622,2.467,3684097.883,2.046,2.1,3708610.0
2041,3623591.508,1.814,3821754.323,2.623,3791096.599,2.492,3682807.771,2.046,2.1,3708610.0
2042,3616507.375,1.803,3835020.622,2.655,3801040.884,2.516,3681517.66,2.046,2.1,3708610.0
2043,3609165.152,1.793,3849079.253,2.688,3811580.31,2.541,3680227.549,2.046,2.1,3708610.0
2044,3601566.384,1.782,3863940.112,2.722,3822720.769,2.566,3678937.437,2.046,2.1,3708610.0
2045,3593712.609,1.771,3879613.219,2.756,3834468.212,2.592,3677647.326,2.046,2.1,3708610.0
2046,3585605.353,1.761,3896108.72,2.79,3846828.647,2.617,3676357.214,2.046,2.1,3708610.0
2047,3577246.136,1.75,3913436.884,2.825,3859808.144,2.643,3675067.103,2.046,2.1,3708610.0
2048,3568636.466,1.74,3931608.113,2.861,3873412.83,2.669,3673776.991,2.046,2.1,3708610.0
2049,3559777.844,1.729,3950632.937,2.896,3887648.896,2.696,3672486.88,2.046,2.1,3708610.0
2050,3550671.76,1.719,3970522.016,2.932,3902522.592,2.723,3671196.769,2.046,2.1,3708610.0
2051,3541319.698,1.709,3991286.146,2.969,3918040.23,2.75,3669906.657,2.046,2.1,3708610.0
2052,3531723.13,1.698,4012936.256,3.006,3934208.185,2.777,3668616.546,2.046,2.1,3708610.0
2053,3521883.522,1.688,4035483.411,3.044,3951032.897,2.804,3667326.434,2.046,2.1,3708610.0
2054,3511802.328,1.678,4058938.816,3.082,3968520.865,2.832,3666036.323,2.046,2.1,3708610.0
2055,3501480.996,1.668,4083313.815,3.12,3986678.658,2.86,3664746.211,2.046,2.1,3708610.0
2056,3490920.965,1.658,4108619.894,3.159,4005512.906,2.888,3663456.1,2.046,2.1,3708610.0
2057,3480123.665,1.648,4134868.681,3.199,4025030.305,2.917,3662165.989,2.046,2.1,3708610.0
2058,3469090.515,1.638,4162071.951,3.239,4045237.62,2.946,3660875.877,2.046,2.1,3708610.0
2059,3457822.93,1.628,4190241.626,3.279,4066141.68,2.975,3659585.766,2.046,2.1,3708610.0
2060,3446322.314,1.619,4219389.776,3.32,4087749.384,3.004,3658295.654,2.046,2.1,3708610.0
2061,3434590.062,1.609,4249528.622,3.362,4110067.696,3.034,3657005.543,2.046,2.1,3708610.0
2062,3422627.562,1.599,4280670.538,3.404,4133103.652,3.064,3655715.431,2.046,2.1,3708610.0
