year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,6635229.0,6.749,6635229.0,6.749,6635229.0,6.749,6635229.0,6.749,2.1,31732128.0
1961,6848291.0,6.789,6848291.0,6.789,6848291.0,6.789,6848291.0,6.789,2.1,31732128.0
1962,7071966.0,6.827,7071966.0,6.827,7071966.0,6.827,7071966.0,6.827,2.1,31732128.0
1963,7300124.0,6.862,7300124.0,6.862,7300124.0,6.862,7300124.0,6.862,2.1,31732128.0
1964,7524470.0,6.893,7524470.0,6.893,7524470.0,6.893,7524470.0,6.893,2.1,31732128.0
1965,7739463.0,6.918,7739463.0,6.918,7739463.0,6.918,7739463.0,6.918,2.1,31732128.0
1966,7941418.0,6.937,7941418.0,6.937,7941418.0,6.937,7941418.0,6.937,2.1,31732128.0
1967,8132803.0,6.95,8132803.0,6.95,8132803.0,6.95,8132803.0,6.95,2.1,31732128.0
1968,8321773.0,6.957,8321773.0,6.957,8321773.0,6.957,8321773.0,6.957,2.1,31732128.0
1969,8520018.0,6.957,8520018.0,6.957,8520018.0,6.957,8520018.0,6.957,2.1,31732128.0
1970,8735493.0,6.95,8735493.0,6.95,8735493.0,6.95,8735493.0,6.95,2.1,31732128.0
1971,8973247.0,6.936,8973247.0,6.936,8973247.0,6.936,8973247.0,6.936,2.1,31732128.0
1972,9229640.0,6.915,9229640.0,6.915,9229640.0,6.915,9229640.0,6.915,2.1,31732128.0
1973,9493552.0,6.888,9493552.0,6.888,9493552.0,6.888,9493552.0,6.888,2.1,31732128.0
1974,9749098.0,6.855,9749098.0,6.855,9749098.0,6.855,9749098.0,6.855,2.1,31732128.0
1975,9985946.0,6.815,9985946.0,6.815,9985946.0,6.815,9985946.0,6.815,2.1,31732128.0
1976,10199164.0,6.771,10199164.0,6.771,10199164.0,6.771,10199164.0,6.771,2.1,31732128.0
1977,10395453.0,6.721,10395453.0,6.721,10395453.0,6.721,10395453.0,6.721,2.1,31732128.0
1978,10590265.0,6.665,10590265.0,6.665,10590265.0,6.665,10590265.0,6.665,2.1,31732128.0
1979,10805318.0,6.605,10805318.0,6.605,10805318.0,6.605,10805318.0,6.605,2.1,31732128.0
1980,11056112.0,6.539,11056112.0,6.539,11056112.0,6.539,11056112.0,6.539,2.1,31732128.0
1981,11348287.0,6.468,11348287.0,6.468,11348287.0,6.468,11348287.0,6.468,2.1,31732128.0
1982,11676828.0,6.392,11676828.0,6.392,11676828.0,6.392,11676828.0,6.392,2.1,31732128.0
1983,12033559.0,6.31,12033559.0,6.31,12033559.0,6.31,12033559.0,6.31,2.1,31732128.0
1984,12405659.0,6.223,12405659.0,6.223,12405659.0,6.223,12405659.0,6.223,2.1,31732128.0
1985,12783617.0,6.131,12783617.0,6.131,12783617.0,6.131,12783617.0,6.131,2.1,31732128.0
1986,13164839.0,6.032,13164839.0,6.032,13164839.0,6.032,13164839.0,6.032,2.1,31732128.0
1987,13552021.0,5.928,13552021.0,5.928,13552021.0,5.928,13552021.0,5.928,2.1,31732128.0
1988,13947047.0,5.82,13947047.0,5.82,13947047.0,5.82,13947047.0,5.82,2.1,31732128.0
1989,14353409.0,5.71,14353409.0,5.71,14353409.0,5.71,14353409.0,5.71,2.1,31732128.0
1990,14773274.0,5.602,14773274.0,5.602,14773274.0,5.602,14773274.0,5.602,2.1,31732128.0
1991,15207360.0,5.499,15207360.0,5.499,15207360.0,5.499,15207360.0,5.499,2.1,31732128.0
1992,15653345.0,5.403,15653345.0,5.403,15653345.0,5.403,15653345.0,5.403,2.1,31732128.0
1993,16106756.0,5.317,16106756.0,5.317,16106756.0,5.317,16106756.0,5.317,2.1,31732128.0
1994,16561677.0,5.239,16561677.0,5.239,16561677.0,5.239,16561677.0,5.239,2.1,31732128.0
1995,17014058.0,5.168,17014058.0,5.168,17014058.0,5.168,17014058.0,5.168,2.1,31732128.0
1996,17462504.0,5.102,17462504.0,5.102,17462504.0,5.102,17462504.0,5.102,2.1,31732128.0
1997,17908977.0,5.036,17908977.0,5.036,17908977.0,5.036,17908977.0,5.036,2.1,31732128.0
1998,18357159.0,4.969,18357159.0,4.969,18357159.0,4.969,18357159.0,4.969,2.1,31732128.0
1999,18812369.0,4.899,18812369.0,4.899,18812369.0,4.899,18812369.0,4.899,2.1,31732128.0
2000,19278850.0,4.826,19278850.0,4.826,19278850.0,4.826,19278850.0,4.826,2.1,31732128.0
2001,19756929.0,4.753,19756929.0,4.753,19756929.0,4.753,19756929.0,4.753,2.1,31732128.0
2002,20246376.0,4.681,20246376.0,4.681,20246376.0,4.681,20246376.0,4.681,2.1,31732128.0
2003,20750308.0,4.612,20750308.0,4.612,20750308.0,4.612,20750308.0,4.612,2.1,31732128.0
2004,21272328.0,4.548,21272328.0,4.548,21272328.0,4.548,21272328.0,4.548,2.1,31732128.0
2005,21814648.0,4.49,21814648.0,4.49,21814648.0,4.49,21814648.0,4.49,2.1,31732128.0
2006,22379057.0,4.438,22379057.0,4.438,22379057.0,4.438,22379057.0,4.438,2.1,31732128.0
2007,22963946.0,4.392,22963946.0,4.392,22963946.0,4.392,22963946.0,4.392,2.1,31732128.0
2008,23563832.0,4.35,23563832.0,4.35,23563832.0,4.35,23563832.0,4.35,2.1,31732128.0
2009,24170943.0,4.311,24170943.0,4.311,24170943.0,4.311,24170943.0,4.311,2.1,31732128.0
2010,24779614.0,4.273,24779614.0,4.273,24779614.0,4.273,24779614.0,4.273,2.1,31732128.0
2011,25387713.0,4.234,25387713.0,4.234,25387713.0,4.234,25387713.0,4.234,2.1,31732128.0
2012,25996454.0,4.192,25996454.0,4.192,25996454.0,4.192,25996454.0,4.192,2.1,31732128.0
2013,26607641.0,4.146,26607641.0,4.146,26607641.0,4.146,26607641.0,4.146,2.1,31732128.0
2014,27224480.0,4.095,27224480.0,4.095,27224480.0,4.095,27224480.0,4.095,2.1,31732128.0
2015,27849203.0,4.041,27849203.0,4.041,27849203.0,4.041,27849203.0,4.041,2.1,31732128.0
2016,28481947.0,3.984,28481947.0,3.984,28481947.0,3.984,28481947.0,3.984,2.1,31732128.0
2017,29121464.0,3.926,29121464.0,3.926,29121464.0,3.926,29121464.0,3.926,2.1,31732128.0
2018,29767108.0,3.87,29767108.0,3.87,29767108.0,3.87,29767108.0,3.87,2.1,31732128.0
2019,30417858.0,3.816,30417858.0,3.816,30417858.0,3.816,30417858.0,3.816,2.1,31732128.0
2020,31072945.0,3.765,31072945.0,3.765,31072945.0,3.765,31072945.0,3.765,2.1,31732128.0
2021,31732128.0,3.765,31732128.0,3.765,31732128.0,3.765,31732128.0,3.765,2.1,31732128.0
2022,32114435.419,3.728,32111606.204,3.716,32111517.791,3.716,32123117.571,3.765,2.1,31732128.0
2023,32488145.944,3.691,32479722.92,3.668,32479459.992,3.667,32514107.143,3.765,2.1,31732128.0
2024,32853343.998,3.655,32836626.073,3.62,32836104.794,3.619,32905096.714,3.765,2.1,31732128.0
2025,33210113.171,3.619,33182461.664,3.573,33181600.42,3.571,33296086.286,3.765,2.1,31732128.0
2026,33558536.237,3.584,33517373.793,3.526,33516093.146,3.524,33687075.857,3.765,2.1,31732128.0
2027,33898695.153,3.549,33841504.683,3.48,33839727.331,3.478,34078065.429,3.765,2.1,31732128.0
2028,34230671.074,3.514,34154994.706,3.435,34152645.438,3.433,34469055.0,3.765,2.1,31732128.0
2029,34554544.356,3.479,34457982.406,3.39,34454988.063,3.388,34860044.571,3.765,2.1,31732128.0
2030,34870394.568,3.445,34750604.524,3.346,34746893.956,3.343,35251034.143,3.765,2.1,31732128.0
2031,35178300.496,3.411,35032996.019,3.303,35028500.047,3.299,35642023.714,3.765,2.1,31732128.0
2032,35478340.153,3.378,35305290.094,3.26,35299941.469,3.256,36033013.286,3.765,2.1,31732128.0
2033,35770590.786,3.345,35567618.217,3.217,35561351.583,3.213,36424002.857,3.765,2.1,31732128.0
2034,36055128.883,3.312,35820110.145,3.175,35812862.0,3.171,36814992.429,3.765,2.1,31732128.0
2035,36332030.181,3.279,36062893.946,3.134,36054602.602,3.129,37205982.0,3.765,2.1,31732128.0
2036,36601369.673,3.247,36296096.018,3.093,36286701.572,3.088,37596971.571,3.765,2.1,31732128.0
2037,36863221.617,3.215,36519841.117,3.053,36509285.406,3.048,37987961.143,3.765,2.1,31732128.0
2038,37117659.54,3.184,36734252.372,3.013,36722478.944,3.008,38378950.714,3.765,2.1,31732128.0
2039,37364756.248,3.152,36939451.309,2.974,36926405.385,2.968,38769940.286,3.765,2.1,31732128.0
2040,37604583.831,3.121,37135557.874,2.935,37121186.315,2.929,39160929.857,3.765,2.1,31732128.0
2041,37837213.673,3.091,37322690.448,2.897,37306941.722,2.891,39551919.429,3.765,2.1,31732128.0
2042,38062716.454,3.06,37500965.873,2.859,37483790.021,2.853,39942909.0,3.765,2.1,31732128.0
2043,38281162.164,3.03,37670499.47,2.822,37651848.074,2.816,40333898.571,3.765,2.1,31732128.0
2044,38492620.102,3.0,37831405.056,2.785,37811231.209,2.779,40724888.143,3.765,2.1,31732128.0
2045,38697158.888,2.971,37983794.969,2.749,37962053.24,2.742,41115877.714,3.765,2.1,31732128.0
