year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,23420.0,,23420.0,,23420.0,,23420.0,,2.1,33691.0
1961,23808.0,,23808.0,,23808.0,,23808.0,,2.1,33691.0
1962,24307.0,,24307.0,,24307.0,,24307.0,,2.1,33691.0
1963,24889.0,,24889.0,,24889.0,,24889.0,,2.1,33691.0
1964,25478.0,,25478.0,,25478.0,,25478.0,,2.1,33691.0
1965,26079.0,,26079.0,,26079.0,,26079.0,,2.1,33691.0
1966,26631.0,,26631.0,,26631.0,,26631.0,,2.1,33691.0
1967,27172.0,,27172.0,,27172.0,,27172.0,,2.1,33691.0
1968,27693.0,,27693.0,,27693.0,,27693.0,,2.1,33691.0
1969,28165.0,,28165.0,,28165.0,,28165.0,,2.1,33691.0
1970,28601.0,,28601.0,,28601.0,,28601.0,,2.1,33691.0
1971,29007.0,,29007.0,,29007.0,,29007.0,,2.1,33691.0
1972,29353.0,,29353.0,,29353.0,,29353.0,,2.1,33691.0
1973,29657.0,,29657.0,,29657.0,,29657.0,,2.1,33691.0
1974,29886.0,,29886.0,,29886.0,,29886.0,,2.1,33691.0
1975,30062.0,,30062.0,,30062.0,,30062.0,,2.1,33691.0
1976,30179.0,,30179.0,,30179.0,,30179.0,,2.1,33691.0
1977,30228.0,,30228.0,,30228.0,,30228.0,,2.1,33691.0
1978,30224.0,,30224.0,,30224.0,,30224.0,,2.1,33691.0
1979,30172.0,,30172.0,,30172.0,,30172.0,,2.1,33691.0
1980,30068.0,,30068.0,,30068.0,,30068.0,,2.1,33691.0
1981,29902.0,,29902.0,,29902.0,,29902.0,,2.1,33691.0
1982,29698.0,,29698.0,,29698.0,,29698.0,,2.1,33691.0
1983,29481.0,,29481.0,,29481.0,,29481.0,,2.1,33691.0
1984,29284.0,,29284.0,,29284.0,,29284.0,,2.1,33691.0
1985,29151.0,,29151.0,,29151.0,,29151.0,,2.1,33691.0
1986,29096.0,,29096.0,,29096.0,,29096.0,,2.1,33691.0
1987,29114.0,,29114.0,,29114.0,,29114.0,,2.1,33691.0
1988,29164.0,,29164.0,,29164.0,,29164.0,,2.1,33691.0
1989,29187.0,,29187.0,,29187.0,,29187.0,,2.1,33691.0
1990,29149.0,,29149.0,,29149.0,,29149.0,,2.1,33691.0
1991,29021.0,,29021.0,,29021.0,,29021.0,,2.1,33691.0
1992,28844.0,,28844.0,,28844.0,,28844.0,,2.1,33691.0
1993,28680.0,,28680.0,,28680.0,,28680.0,,2.1,33691.0
1994,28605.0,,28605.0,,28605.0,,28605.0,,2.1,33691.0
1995,28688.0,,28688.0,,28688.0,,28688.0,,2.1,33691.0
1996,28970.0,,28970.0,,28970.0,,28970.0,,2.1,33691.0
1997,29404.0,,29404.0,,29404.0,,29404.0,,2.1,33691.0
1998,29945.0,,29945.0,,29945.0,,29945.0,,2.1,33691.0
1999,30526.0,,30526.0,,30526.0,,30526.0,,2.1,33691.0
2000,31081.0,,31081.0,,31081.0,,31081.0,,2.1,33691.0
2001,31604.0,,31604.0,,31604.0,,31604.0,,2.1,33691.0
2002,32097.0,,32097.0,,32097.0,,32097.0,,2.1,33691.0
2003,32556.0,,32556.0,,32556.0,,32556.0,,2.1,33691.0
2004,32930.0,,32930.0,,32930.0,,32930.0,,2.1,33691.0
2005,33222.0,,33222.0,,33222.0,,33222.0,,2.1,33691.0
2006,33420.0,,33420.0,,33420.0,,33420.0,,2.1,33691.0
2007,33524.0,,33524.0,,33524.0,,33524.0,,2.1,33691.0
2008,33570.0,,33570.0,,33570.0,,33570.0,,2.1,33691.0
2009,33562.0,,33562.0,,33562.0,,33562.0,,2.1,33691.0
2010,33585.0,,33585.0,,33585.0,,33585.0,,2.1,33691.0
2011,33608.0,,33608.0,,33608.0,,33608.0,,2.1,33691.0
2012,33653.0,,33653.0,,33653.0,,33653.0,,2.1,33691.0
2013,33694.0,,33694.0,,33694.0,,33694.0,,2.1,33691.0
2014,33726.0,,33726.0,,33726.0,,33726.0,,2.1,33691.0
2015,33742.0,,33742.0,,33742.0,,33742.0,,2.1,33691.0
2016,33738.0,,33738.0,,33738.0,,33738.0,,2.1,33691.0
2017,33723.0,,33723.0,,33723.0,,33723.0,,2.1,33691.0
2018,33715.0,,33715.0,,33715.0,,33715.0,,2.1,33691.0
2019,33706.0,,33706.0,,33706.0,,33706.0,,2.1,33691.0
2020,33691.0,,33691.0,,33691.0,,33691.0,,2.1,33691.0
2021,33691.0,,33691.0,,33691.0,,33691.0,,2.1,33691.0
2022,,,,,,,,,2.1,33691.0
2023,,,,,,,,,2.1,33691.0
2024,,,,,,,,,2.1,33691.0
2025,,,,,,,,,2.1,33691.0
2026,,,,,,,,,2.1,33691.0
2027,,,,,,,,,2.1,33691.0
2028,,,,,,,,,2.1,33691.0
2029,,,,,,,,,2.1,33691.0
2030,,,,,,,,,2.1,33691.0
2031,,,,,,,,,2.1,33691.0
2032,,,,,,,,,2.1,33691.0
2033,,,,,,,,,2.1,33691.0
2034,,,,,,,,,2.1,33691.0
2035,,,,,,,,,2.1,33691.0
2036,,,,,,,,,2.1,33691.0
2037,,,,,,,,,2.1,33691.0
2038,,,,,,,,,2.1,33691.0
2039,,,,,,,,,2.1,33691.0
2040,,,,,,,,,2.1,33691.0
2041,,,,,,,,,2.1,33691.0
2042,,,,,,,,,2.1,33691.0
2043,,,,,,,,,2.1,33691.0
2044,,,,,,,,,2.1,33691.0
2045,,,,,,,,,2.1,33691.0
2046,,,,,,,,,2.1,33691.0
2047,,,,,,,,,2.1,33691.0
2048,,,,,,,,,2.1,33691.0
2049,,,,,,,,,2.1,33691.0
2050,,,,,,,,,2.1,33691.0
2051,,,,,,,,,2.1,33691.0
2052,,,,,,,,,2.1,33691.0
2053,,,,,,,,,2.1,33691.0
2054,,,,,,,,,2.1,33691.0
2055,,,,,,,,,2.1,33691.0
2056,,,,,,,,,2.1,33691.0
2057,,,,,,,,,2.1,33691.0
2058,,,,,,,,,2.1,33691.0
2059,,,,,,,,,2.1,33691.0
2060,,,,,,,,,2.1,33691.0
2061,,,,,,,,,2.1,33691.0
2062,,,,,,,,,2.1,33691.0
2063,,,,,,,,,2.1,33691.0
2064,,,,,,,,,2.1,33691.0
2065,,,,,,,,,2.1,33691.0
2066,,,,,,,,,2.1,33691.0
2067,,,,,,,,,2.1,33691.0
2068,,,,,,,,,2.1,33691.0
2069,,,,,,,,,2.1,33691.0
2070,,,,,,,,,2.1,33691.0
2071,,,,,,,,,2.1,33691.0
2072,,,,,,,,,2.1,33691.0
2073,,,,,,,,,2.1,33691.0
2074,,,,,,,,,2.1,33691.0
2075,,,,,,,,,2.1,33691.0
2076,,,,,,,,,2.1,33691.0
2077,,,,,,,,,2.1,33691.0
2078,,,,,,,,,2.1,33691.0
2079,,,,,,,,,2.1,33691.0
2080,,,,,,,,,2.1,33691.0
2081,,,,,,,,,2.1,33691.0
2082,,,,,,,,,2.1,33691.0
2083,,,,,,,,,2.1,33691.0
2084,,,,,,,,,2.1,33691.0
2085,,,,,,,,,2.1,33691.0
2086,,,,,,,,,2.1,33691.0
2087,,,,,,,,,2.1,33691.0
2088,,,,,,,,,2.1,33691.0
2089,,,,,,,,,2.1,33691.0
2090,,,,,,,,,2.1,33691.0
2091,,,,,,,,,2.1,33691.0
2092,,,,,,,,,2.1,33691.0
2093,,,,,,,,,2.1,33691.0
2094,,,,,,,,,2.1,33691.0
2095,,,,,,,,,2.1,33691.0
2096,,,,,,,,,2.1,33691.0
2097,,,,,,,,,2.1,33691.0
2098,,,,,,,,,2.1,33691.0
2099,,,,,,,,,2.1,33691.0
2100,,,,,,,,,2.1,33691.0
2101,,,,,,,,,2.1,33691.0
2102,,,,,,,,,2.1,33691.0
2103,,,,,,,,,2.1,33691.0
2104,,,,,,,,,2.1,33691.0
2105,,,,,,,,,2.1,33691.0
2106,,,,,,,,,2.1,33691.0
2107,,,,,,,,,2.1,33691.0
2108,,,,,,,,,2.1,33691.0
2109,,,,,,,,,2.1,33691.0
2110,,,,,,,,,2.1,33691.0
2111,,,,,,,,,2.1,33691.0
2112,,,,,,,,,2.1,33691.0
2113,,,,,,,,,2.1,33691.0
2114,,,,,,,,,2.1,33691.0
2115,,,,,,,,,2.1,33691.0
2116,,,,,,,,,2.1,33691.0
2117,,,,,,,,,2.1,33691.0
2118,,,,,,,,,2.1,33691.0
2119,,,,,,,,,2.1,33691.0
2120,,,,,,,,,2.1,33691.0
2121,,,,,,,,,2.1,33691.0
