year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3494164.0,6.112,3494164.0,6.112,3494164.0,6.112,3494164.0,6.112,2.1,13497237.0
1961,3552068.0,6.126,3552068.0,6.126,3552068.0,6.126,3552068.0,6.126,2.1,13497237.0
1962,3611428.0,6.14,3611428.0,6.14,3611428.0,6.14,3611428.0,6.14,2.1,13497237.0
1963,3672560.0,6.153,3672560.0,6.153,3672560.0,6.153,3672560.0,6.153,2.1,13497237.0
1964,3735912.0,6.166,3735912.0,6.166,3735912.0,6.166,3735912.0,6.166,2.1,13497237.0
1965,3801711.0,6.178,3801711.0,6.178,3801711.0,6.178,3801711.0,6.178,2.1,13497237.0
1966,3870204.0,6.19,3870204.0,6.19,3870204.0,6.19,3870204.0,6.19,2.1,13497237.0
1967,3941046.0,6.202,3941046.0,6.202,3941046.0,6.202,3941046.0,6.202,2.1,13497237.0
1968,4013050.0,6.214,4013050.0,6.214,4013050.0,6.214,4013050.0,6.214,2.1,13497237.0
1969,4084601.0,6.228,4084601.0,6.228,4084601.0,6.228,4084601.0,6.228,2.1,13497237.0
1970,4154606.0,6.243,4154606.0,6.243,4154606.0,6.243,4154606.0,6.243,2.1,13497237.0
1971,4223056.0,6.262,4223056.0,6.262,4223056.0,6.262,4223056.0,6.262,2.1,13497237.0
1972,4290544.0,6.283,4290544.0,6.283,4290544.0,6.283,4290544.0,6.283,2.1,13497237.0
1973,4357357.0,6.308,4357357.0,6.308,4357357.0,6.308,4357357.0,6.308,2.1,13497237.0
1974,4424030.0,6.336,4424030.0,6.336,4424030.0,6.336,4424030.0,6.336,2.1,13497237.0
1975,4491248.0,6.367,4491248.0,6.367,4491248.0,6.367,4491248.0,6.367,2.1,13497237.0
1976,4559239.0,6.4,4559239.0,6.4,4559239.0,6.4,4559239.0,6.4,2.1,13497237.0
1977,4628881.0,6.434,4628881.0,6.434,4628881.0,6.434,4628881.0,6.434,2.1,13497237.0
1978,4702371.0,6.467,4702371.0,6.467,4702371.0,6.467,4702371.0,6.467,2.1,13497237.0
1979,4782491.0,6.5,4782491.0,6.5,4782491.0,6.5,4782491.0,6.5,2.1,13497237.0
1980,4871446.0,6.529,4871446.0,6.529,4871446.0,6.529,4871446.0,6.529,2.1,13497237.0
1981,4969595.0,6.557,4969595.0,6.557,4969595.0,6.557,4969595.0,6.557,2.1,13497237.0
1982,5077073.0,6.581,5077073.0,6.581,5077073.0,6.581,5077073.0,6.581,2.1,13497237.0
1983,5195443.0,6.602,5195443.0,6.602,5195443.0,6.602,5195443.0,6.602,2.1,13497237.0
1984,5326369.0,6.619,5326369.0,6.619,5326369.0,6.619,5326369.0,6.619,2.1,13497237.0
1985,5470716.0,6.631,5470716.0,6.631,5470716.0,6.631,5470716.0,6.631,2.1,13497237.0
1986,5629420.0,6.637,5629420.0,6.637,5629420.0,6.637,5629420.0,6.637,2.1,13497237.0
1987,5801323.0,6.637,5801323.0,6.637,5801323.0,6.637,5801323.0,6.637,2.1,13497237.0
1988,5982484.0,6.631,5982484.0,6.631,5982484.0,6.631,5982484.0,6.631,2.1,13497237.0
1989,6167480.0,6.618,6167480.0,6.618,6167480.0,6.618,6167480.0,6.618,2.1,13497237.0
1990,6352282.0,6.598,6352282.0,6.598,6352282.0,6.598,6352282.0,6.598,2.1,13497237.0
1991,6534936.0,6.57,6534936.0,6.57,6534936.0,6.57,6534936.0,6.57,2.1,13497237.0
1992,6716032.0,6.535,6716032.0,6.535,6716032.0,6.535,6716032.0,6.535,2.1,13497237.0
1993,6897171.0,6.493,6897171.0,6.493,6897171.0,6.493,6897171.0,6.493,2.1,13497237.0
1994,7081119.0,6.444,7081119.0,6.444,7081119.0,6.444,7081119.0,6.444,2.1,13497237.0
1995,7269631.0,6.391,7269631.0,6.391,7269631.0,6.391,7269631.0,6.391,2.1,13497237.0
1996,7463782.0,6.334,7463782.0,6.334,7463782.0,6.334,7463782.0,6.334,2.1,13497237.0
1997,7662071.0,6.273,7662071.0,6.273,7662071.0,6.273,7662071.0,6.273,2.1,13497237.0
1998,7860772.0,6.211,7860772.0,6.211,7860772.0,6.211,7860772.0,6.211,2.1,13497237.0
1999,8054745.0,6.147,8054745.0,6.147,8054745.0,6.147,8054745.0,6.147,2.1,13497237.0
2000,8240735.0,6.082,8240735.0,6.082,8240735.0,6.082,8240735.0,6.082,2.1,13497237.0
2001,8417082.0,6.015,8417082.0,6.015,8417082.0,6.015,8417082.0,6.015,2.1,13497237.0
2002,8586077.0,5.947,8586077.0,5.947,8586077.0,5.947,8586077.0,5.947,2.1,13497237.0
2003,8753097.0,5.877,8753097.0,5.877,8753097.0,5.877,8753097.0,5.877,2.1,13497237.0
2004,8925729.0,5.804,8925729.0,5.804,8925729.0,5.804,8925729.0,5.804,2.1,13497237.0
2005,9109585.0,5.729,9109585.0,5.729,9109585.0,5.729,9109585.0,5.729,2.1,13497237.0
2006,9307421.0,5.653,9307421.0,5.653,9307421.0,5.653,9307421.0,5.653,2.1,13497237.0
2007,9518159.0,5.575,9518159.0,5.575,9518159.0,5.575,9518159.0,5.575,2.1,13497237.0
2008,9738796.0,5.496,9738796.0,5.496,9738796.0,5.496,9738796.0,5.496,2.1,13497237.0
2009,9964470.0,5.417,9964470.0,5.417,9964470.0,5.417,9964470.0,5.417,2.1,13497237.0
2010,10192168.0,5.336,10192168.0,5.336,10192168.0,5.336,10192168.0,5.336,2.1,13497237.0
2011,10420459.0,5.256,10420459.0,5.256,10420459.0,5.256,10420459.0,5.256,2.1,13497237.0
2012,10652032.0,5.175,10652032.0,5.175,10652032.0,5.175,10652032.0,5.175,2.1,13497237.0
2013,10892821.0,5.094,10892821.0,5.094,10892821.0,5.094,10892821.0,5.094,2.1,13497237.0
2014,11150970.0,5.013,11150970.0,5.013,11150970.0,5.013,11150970.0,5.013,2.1,13497237.0
2015,11432096.0,4.933,11432096.0,4.933,11432096.0,4.933,11432096.0,4.933,2.1,13497237.0
2016,11738434.0,4.854,11738434.0,4.854,11738434.0,4.854,11738434.0,4.854,2.1,13497237.0
2017,12067516.0,4.777,12067516.0,4.777,12067516.0,4.777,12067516.0,4.777,2.1,13497237.0
2018,12414292.0,4.7,12414292.0,4.7,12414292.0,4.7,12414292.0,4.7,2.1,13497237.0
2019,12771246.0,4.625,12771246.0,4.625,12771246.0,4.625,12771246.0,4.625,2.1,13497237.0
2020,13132792.0,4.552,13132792.0,4.552,13132792.0,4.552,13132792.0,4.552,2.1,13497237.0
2021,13497237.0,4.552,13497237.0,4.552,13497237.0,4.552,13497237.0,4.552,2.1,13497237.0
2022,13749242.203,4.529,13743495.865,4.474,13744666.852,4.485,13751579.457,4.552,2.1,13497237.0
2023,13998921.723,4.507,13981809.528,4.397,13985285.301,4.42,14005921.914,4.552,2.1,13497237.0
2024,14246287.07,4.485,14212314.012,4.322,14219192.063,4.355,14260264.371,4.552,2.1,13497237.0
2025,14491349.7,4.463,14435143.009,4.248,14446485.4,4.291,14514606.829,4.552,2.1,13497237.0
2026,14734121.012,4.44,14650427.925,4.175,14667262.131,4.228,14768949.286,4.552,2.1,13497237.0
2027,14974612.347,4.418,14858297.913,4.104,14881617.659,4.167,15023291.743,4.552,2.1,13497237.0
2028,15212834.991,4.397,15058879.917,4.034,15089645.992,4.106,15277634.2,4.552,2.1,13497237.0
2029,15448800.175,4.375,15252298.708,3.965,15291439.758,4.045,15531976.657,4.552,2.1,13497237.0
2030,15682519.073,4.353,15438676.919,3.897,15487090.232,3.986,15786319.114,4.552,2.1,13497237.0
2031,15914002.804,4.332,15618135.086,3.83,15676687.353,3.928,16040661.571,4.552,2.1,13497237.0
2032,16143262.431,4.31,15790791.679,3.765,15860319.74,3.87,16295004.029,4.552,2.1,13497237.0
2033,16370308.965,4.289,15956763.142,3.7,16038074.718,3.814,16549346.486,4.552,2.1,13497237.0
2034,16595153.361,4.268,16116163.924,3.637,16210038.332,3.758,16803688.943,4.552,2.1,13497237.0
2035,16817806.518,4.246,16269106.515,3.574,16376295.367,3.703,17058031.4,4.552,2.1,13497237.0
2036,17038279.283,4.225,16415701.479,3.513,16536929.368,3.649,17312373.857,4.552,2.1,13497237.0
