year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,365049.0,6.246,365049.0,6.246,365049.0,6.246,365049.0,6.246,2.1,2486937.0
1961,372436.0,6.228,372436.0,6.228,372436.0,6.228,372436.0,6.228,2.1,2486937.0
1962,379886.0,6.213,379886.0,6.213,379886.0,6.213,379886.0,6.213,2.1,2486937.0
1963,387635.0,6.202,387635.0,6.202,387635.0,6.202,387635.0,6.202,2.1,2486937.0
1964,396012.0,6.195,396012.0,6.195,396012.0,6.195,396012.0,6.195,2.1,2486937.0
1965,405258.0,6.192,405258.0,6.192,405258.0,6.192,405258.0,6.192,2.1,2486937.0
1966,415478.0,6.19,415478.0,6.19,415478.0,6.19,415478.0,6.19,2.1,2486937.0
1967,426622.0,6.188,426622.0,6.188,426622.0,6.188,426622.0,6.188,2.1,2486937.0
1968,438590.0,6.186,438590.0,6.186,438590.0,6.186,438590.0,6.186,2.1,2486937.0
1969,451228.0,6.184,451228.0,6.184,451228.0,6.184,451228.0,6.184,2.1,2486937.0
1970,464404.0,6.185,464404.0,6.185,464404.0,6.185,464404.0,6.185,2.1,2486937.0
1971,478106.0,6.193,478106.0,6.193,478106.0,6.193,478106.0,6.193,2.1,2486937.0
1972,492424.0,6.211,492424.0,6.211,492424.0,6.211,492424.0,6.211,2.1,2486937.0
1973,507428.0,6.237,507428.0,6.237,507428.0,6.237,507428.0,6.237,2.1,2486937.0
1974,523250.0,6.271,523250.0,6.271,523250.0,6.271,523250.0,6.271,2.1,2486937.0
1975,539985.0,6.308,539985.0,6.308,539985.0,6.308,539985.0,6.308,2.1,2486937.0
1976,557810.0,6.342,557810.0,6.342,557810.0,6.342,557810.0,6.342,2.1,2486937.0
1977,576755.0,6.369,576755.0,6.369,576755.0,6.369,576755.0,6.369,2.1,2486937.0
1978,596540.0,6.385,596540.0,6.385,596540.0,6.385,596540.0,6.385,2.1,2486937.0
1979,616770.0,6.387,616770.0,6.387,616770.0,6.387,616770.0,6.387,2.1,2486937.0
1980,637252.0,6.376,637252.0,6.376,637252.0,6.376,637252.0,6.376,2.1,2486937.0
1981,657581.0,6.354,657581.0,6.354,657581.0,6.354,657581.0,6.354,2.1,2486937.0
1982,678111.0,6.324,678111.0,6.324,678111.0,6.324,678111.0,6.324,2.1,2486937.0
1983,700198.0,6.292,700198.0,6.292,700198.0,6.292,700198.0,6.292,2.1,2486937.0
1984,725688.0,6.258,725688.0,6.258,725688.0,6.258,725688.0,6.258,2.1,2486937.0
1985,755791.0,6.226,755791.0,6.226,755791.0,6.226,755791.0,6.226,2.1,2486937.0
1986,791141.0,6.196,791141.0,6.196,791141.0,6.196,791141.0,6.196,2.1,2486937.0
1987,831011.0,6.168,831011.0,6.168,831011.0,6.168,831011.0,6.168,2.1,2486937.0
1988,873440.0,6.142,873440.0,6.142,873440.0,6.142,873440.0,6.142,2.1,2486937.0
1989,915631.0,6.118,915631.0,6.118,915631.0,6.118,915631.0,6.118,2.1,2486937.0
1990,955595.0,6.096,955595.0,6.096,955595.0,6.096,955595.0,6.096,2.1,2486937.0
1991,992671.0,6.077,992671.0,6.077,992671.0,6.077,992671.0,6.077,2.1,2486937.0
1992,1027476.0,6.059,1027476.0,6.059,1027476.0,6.059,1027476.0,6.059,2.1,2486937.0
1993,1060861.0,6.041,1060861.0,6.041,1060861.0,6.041,1060861.0,6.041,2.1,2486937.0
1994,1094219.0,6.023,1094219.0,6.023,1094219.0,6.023,1094219.0,6.023,2.1,2486937.0
1995,1128577.0,6.004,1128577.0,6.004,1128577.0,6.004,1128577.0,6.004,2.1,2486937.0
1996,1164091.0,5.983,1164091.0,5.983,1164091.0,5.983,1164091.0,5.983,2.1,2486937.0
1997,1200522.0,5.96,1200522.0,5.96,1200522.0,5.96,1200522.0,5.96,2.1,2486937.0
1998,1238124.0,5.935,1238124.0,5.935,1238124.0,5.935,1238124.0,5.935,2.1,2486937.0
1999,1277118.0,5.908,1277118.0,5.908,1277118.0,5.908,1277118.0,5.908,2.1,2486937.0
2000,1317708.0,5.879,1317708.0,5.879,1317708.0,5.879,1317708.0,5.879,2.1,2486937.0
2001,1360070.0,5.849,1360070.0,5.849,1360070.0,5.849,1360070.0,5.849,2.1,2486937.0
2002,1404263.0,5.818,1404263.0,5.818,1404263.0,5.818,1404263.0,5.818,2.1,2486937.0
