year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,616140.0,5.921,616140.0,5.921,616140.0,5.921,616140.0,5.921,2.1,2015490.0
1961,622754.0,5.931,622754.0,5.931,622754.0,5.931,622754.0,5.931,2.1,2015490.0
1962,628877.0,5.941,628877.0,5.941,628877.0,5.941,628877.0,5.941,2.1,2015490.0
1963,635008.0,5.951,635008.0,5.951,635008.0,5.951,635008.0,5.951,2.1,2015490.0
1964,641821.0,5.961,641821.0,5.961,641821.0,5.961,641821.0,5.961,2.1,2015490.0
1965,649795.0,5.971,649795.0,5.971,649795.0,5.971,649795.0,5.971,2.1,2015490.0
1966,658998.0,5.982,658998.0,5.982,658998.0,5.982,658998.0,5.982,2.1,2015490.0
1967,669243.0,5.994,669243.0,5.994,669243.0,5.994,669243.0,5.994,2.1,2015490.0
1968,680431.0,6.008,680431.0,6.008,680431.0,6.008,680431.0,6.008,2.1,2015490.0
1969,692407.0,6.024,692407.0,6.024,692407.0,6.024,692407.0,6.024,2.1,2015490.0
1970,704937.0,6.041,704937.0,6.041,704937.0,6.041,704937.0,6.041,2.1,2015490.0
1971,718359.0,6.06,718359.0,6.06,718359.0,6.06,718359.0,6.06,2.1,2015490.0
1972,732516.0,6.078,732516.0,6.078,732516.0,6.078,732516.0,6.078,2.1,2015490.0
1973,746178.0,6.098,746178.0,6.098,746178.0,6.098,746178.0,6.098,2.1,2015490.0
1974,757668.0,6.12,757668.0,6.12,757668.0,6.12,757668.0,6.12,2.1,2015490.0
1975,765985.0,6.15,765985.0,6.15,765985.0,6.15,765985.0,6.15,2.1,2015490.0
1976,770415.0,6.192,770415.0,6.192,770415.0,6.192,770415.0,6.192,2.1,2015490.0
1977,771732.0,6.249,771732.0,6.249,771732.0,6.249,771732.0,6.249,2.1,2015490.0
1978,772137.0,6.32,772137.0,6.32,772137.0,6.32,772137.0,6.32,2.1,2015490.0
1979,774726.0,6.401,774726.0,6.401,774726.0,6.401,774726.0,6.401,2.1,2015490.0
1980,781678.0,6.487,781678.0,6.487,781678.0,6.487,781678.0,6.487,2.1,2015490.0
1981,793804.0,6.569,793804.0,6.569,793804.0,6.569,793804.0,6.569,2.1,2015490.0
1982,810402.0,6.64,810402.0,6.64,810402.0,6.64,810402.0,6.64,2.1,2015490.0
1983,830212.0,6.694,830212.0,6.694,830212.0,6.694,830212.0,6.694,2.1,2015490.0
1984,851276.0,6.727,851276.0,6.727,851276.0,6.727,851276.0,6.727,2.1,2015490.0
1985,872163.0,6.739,872163.0,6.739,872163.0,6.739,872163.0,6.739,2.1,2015490.0
1986,892530.0,6.734,892530.0,6.734,892530.0,6.734,892530.0,6.734,2.1,2015490.0
1987,912755.0,6.717,912755.0,6.717,912755.0,6.717,912755.0,6.717,2.1,2015490.0
1988,933046.0,6.693,933046.0,6.693,933046.0,6.693,933046.0,6.693,2.1,2015490.0
1989,953782.0,6.663,953782.0,6.663,953782.0,6.663,953782.0,6.663,2.1,2015490.0
1990,975265.0,6.627,975265.0,6.627,975265.0,6.627,975265.0,6.627,2.1,2015490.0
1991,997522.0,6.582,997522.0,6.582,997522.0,6.582,997522.0,6.582,2.1,2015490.0
1992,1020353.0,6.526,1020353.0,6.526,1020353.0,6.526,1020353.0,6.526,2.1,2015490.0
1993,1043421.0,6.458,1043421.0,6.458,1043421.0,6.458,1043421.0,6.458,2.1,2015490.0
1994,1066345.0,6.381,1066345.0,6.381,1066345.0,6.381,1066345.0,6.381,2.1,2015490.0
1995,1088850.0,6.294,1088850.0,6.294,1088850.0,6.294,1088850.0,6.294,2.1,2015490.0
1996,1110835.0,6.201,1110835.0,6.201,1110835.0,6.201,1110835.0,6.201,2.1,2015490.0
1997,1132505.0,6.105,1132505.0,6.105,1132505.0,6.105,1132505.0,6.105,2.1,2015490.0
1998,1154372.0,6.009,1154372.0,6.009,1154372.0,6.009,1154372.0,6.009,2.1,2015490.0
1999,1177133.0,5.913,1177133.0,5.913,1177133.0,5.913,1177133.0,5.913,2.1,2015490.0
2000,1201305.0,5.82,1201305.0,5.82,1201305.0,5.82,1201305.0,5.82,2.1,2015490.0
2001,1227105.0,5.73,1227105.0,5.73,1227105.0,5.73,1227105.0,5.73,2.1,2015490.0
2002,1254454.0,5.641,1254454.0,5.641,1254454.0,5.641,1254454.0,5.641,2.1,2015490.0
2003,1283297.0,5.555,1283297.0,5.555,1283297.0,5.555,1283297.0,5.555,2.1,2015490.0
2004,1313492.0,5.47,1313492.0,5.47,1313492.0,5.47,1313492.0,5.47,2.1,2015490.0
2005,1344931.0,5.389,1344931.0,5.389,1344931.0,5.389,1344931.0,5.389,2.1,2015490.0
2006,1377582.0,5.312,1377582.0,5.312,1377582.0,5.312,1377582.0,5.312,2.1,2015490.0
2007,1411545.0,5.241,1411545.0,5.241,1411545.0,5.241,1411545.0,5.241,2.1,2015490.0
2008,1446936.0,5.174,1446936.0,5.174,1446936.0,5.174,1446936.0,5.174,2.1,2015490.0
2009,1483920.0,5.11,1483920.0,5.11,1483920.0,5.11,1483920.0,5.11,2.1,2015490.0
2010,1522603.0,5.049,1522603.0,5.049,1522603.0,5.049,1522603.0,5.049,2.1,2015490.0
2011,1562996.0,4.987,1562996.0,4.987,1562996.0,4.987,1562996.0,4.987,2.1,2015490.0
2012,1604981.0,4.923,1604981.0,4.923,1604981.0,4.923,1604981.0,4.923,2.1,2015490.0
2013,1648259.0,4.855,1648259.0,4.855,1648259.0,4.855,1648259.0,4.855,2.1,2015490.0
2014,1692433.0,4.783,1692433.0,4.783,1692433.0,4.783,1692433.0,4.783,2.1,2015490.0
2015,1737207.0,4.708,1737207.0,4.708,1737207.0,4.708,1737207.0,4.708,2.1,2015490.0
2016,1782434.0,4.631,1782434.0,4.631,1782434.0,4.631,1782434.0,4.631,2.1,2015490.0
2017,1828146.0,4.553,1828146.0,4.553,1828146.0,4.553,1828146.0,4.553,2.1,2015490.0
2018,1874304.0,4.476,1874304.0,4.476,1874304.0,4.476,1874304.0,4.476,2.1,2015490.0
2019,1920917.0,4.402,1920917.0,4.402,1920917.0,4.402,1920917.0,4.402,2.1,2015490.0
2020,1967998.0,4.331,1967998.0,4.331,1967998.0,4.331,1967998.0,4.331,2.1,2015490.0
2021,2015490.0,4.331,2015490.0,4.331,2015490.0,4.331,2015490.0,4.331,2.1,2015490.0
2022,2051636.807,4.308,2050871.171,4.262,2050913.706,4.264,2052008.283,4.331,2.1,2015490.0
2023,2087414.086,4.286,2085133.468,4.193,2085259.735,4.198,2088526.566,4.331,2.1,2015490.0
2024,2122823.771,4.263,2118294.84,4.126,2118544.728,4.133,2125044.849,4.331,2.1,2015490.0
2025,2157867.79,4.241,2150372.944,4.06,2150785.065,4.07,2161563.131,4.331,2.1,2015490.0
2026,2192548.059,4.219,2181385.156,3.995,2181996.877,4.007,2198081.414,4.331,2.1,2015490.0
2027,2226866.483,4.197,2211348.574,3.931,2212196.044,3.945,2234599.697,4.331,2.1,2015490.0
2028,2260824.959,4.175,2240280.019,3.867,2241398.201,3.884,2271117.98,4.331,2.1,2015490.0
2029,2294425.373,4.153,2268196.045,3.805,2269618.743,3.824,2307636.263,4.331,2.1,2015490.0
2030,2327669.601,4.131,2295112.939,3.744,2296872.824,3.765,2344154.546,4.331,2.1,2015490.0
2031,2360559.509,4.109,2321046.727,3.684,2323175.369,3.707,2380672.829,4.331,2.1,2015490.0
2032,2393096.955,4.088,2346013.178,3.625,2348541.067,3.65,2417191.111,4.331,2.1,2015490.0
2033,2425283.784,4.066,2370027.809,3.567,2372984.384,3.593,2453709.394,4.331,2.1,2015490.0
2034,2457121.835,4.045,2393105.885,3.51,2396519.562,3.538,2490227.677,4.331,2.1,2015490.0
2035,2488612.934,4.024,2415262.431,3.454,2419160.623,3.483,2526745.96,4.331,2.1,2015490.0
2036,2519758.901,4.003,2436512.226,3.398,2440921.37,3.429,2563264.243,4.331,2.1,2015490.0
2037,2550561.543,3.982,2456869.816,3.344,2461815.398,3.376,2599782.526,4.331,2.1,2015490.0
2038,2581022.659,3.961,2476349.511,3.29,2481856.087,3.324,2636300.809,4.331,2.1,2015490.0
2039,2611144.039,3.94,2494965.393,3.237,2501056.613,3.273,2672819.091,4.331,2.1,2015490.0
2040,2640927.464,3.92,2512731.317,3.185,2519429.948,3.222,2709337.374,4.331,2.1,2015490.0
2041,2670374.703,3.899,2529660.916,3.134,2536988.865,3.173,2745855.657,4.331,2.1,2015490.0
2042,2699487.519,3.879,2545767.606,3.084,2553745.937,3.124,2782373.94,4.331,2.1,2015490.0
2043,2728267.665,3.858,2561064.586,3.035,2569713.546,3.076,2818892.223,4.331,2.1,2015490.0
2044,2756716.882,3.838,2575564.843,2.986,2584903.88,3.028,2855410.506,4.331,2.1,2015490.0
2045,2784836.906,3.818,2589281.157,2.938,2599328.941,2.981,2891928.789,4.331,2.1,2015490.0
2046,2812629.462,3.798,2602226.103,2.891,2613000.544,2.935,2928447.071,4.331,2.1,2015490.0
2047,2840096.264,3.778,2614412.052,2.844,2625930.323,2.89,2964965.354,4.331,2.1,2015490.0
2048,2867239.021,3.758,2625851.18,2.799,2638129.732,2.845,3001483.637,4.331,2.1,2015490.0
2049,2894059.43,3.739,2636555.466,2.754,2649610.047,2.801,3038001.92,4.331,2.1,2015490.0
2050,2920559.18,3.719,2646536.695,2.71,2660382.372,2.758,3074520.203,4.331,2.1,2015490.0
2051,2946739.952,3.699,2655806.467,2.666,2670457.638,2.716,3111038.486,4.331,2.1,2015490.0
2052,2972603.416,3.68,2664376.193,2.624,2679846.607,2.674,3147556.769,4.331,2.1,2015490.0
2053,2998151.237,3.661,2672257.101,2.581,2688559.875,2.632,3184075.051,4.331,2.1,2015490.0
2054,3023385.067,3.642,2679460.241,2.54,2696607.876,2.592,3220593.334,4.331,2.1,2015490.0
2055,3048306.552,3.623,2685996.483,2.499,2704000.882,2.552,3257111.617,4.331,2.1,2015490.0
2056,3072917.329,3.604,2691876.525,2.459,2710749.005,2.512,3293629.9,4.331,2.1,2015490.0
2057,3097219.025,3.585,2697110.892,2.42,2716862.202,2.473,3330148.183,4.331,2.1,2015490.0
2058,3121213.261,3.566,2701709.941,2.381,2722350.277,2.435,3366666.466,4.331,2.1,2015490.0
2059,3144901.647,3.547,2705683.863,2.343,2727222.882,2.398,3403184.749,4.331,2.1,2015490.0
2060,3168285.787,3.529,2709042.683,2.305,2731489.519,2.361,3439703.031,4.331,2.1,2015490.0
2061,3191367.273,3.51,2711796.269,2.268,2735159.545,2.324,3476221.314,4.331,2.1,2015490.0
2062,3214147.693,3.492,2713954.329,2.232,2738242.17,2.288,3512739.597,4.331,2.1,2015490.0
2063,3236628.624,3.473,2715526.414,2.196,2740746.466,2.253,3549257.88,4.331,2.1,2015490.0
2064,3258811.635,3.455,2716521.925,2.161,2742681.361,2.218,3585776.163,4.331,2.1,2015490.0
2065,3280698.288,3.437,2716950.108,2.126,2744055.646,2.184,3622294.446,4.331,2.1,2015490.0
2066,3302290.134,3.419,2716820.064,2.092,2744877.978,2.15,3658812.729,4.331,2.1,2015490.0
2067,3323588.719,3.401,2716140.747,2.058,2745156.878,2.117,3695331.011,4.331,2.1,2015490.0
2068,3344595.58,3.383,2714920.968,2.025,2744900.738,2.084,3731849.294,4.331,2.1,2015490.0
2069,3365312.246,3.366,2713169.395,1.993,2744117.818,2.052,3768367.577,4.331,2.1,2015490.0
