year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,255338.0,5.653,255338.0,5.653,255338.0,5.653,255338.0,5.653,2.1,1449891.0
1961,258786.0,5.661,258786.0,5.661,258786.0,5.661,258786.0,5.661,2.1,1449891.0
1962,262219.0,5.673,262219.0,5.673,262219.0,5.673,262219.0,5.673,2.1,1449891.0
1963,266005.0,5.69,266005.0,5.69,266005.0,5.69,266005.0,5.69,2.1,1449891.0
1964,270616.0,5.711,270616.0,5.711,270616.0,5.711,270616.0,5.711,2.1,1449891.0
1965,276296.0,5.734,276296.0,5.734,276296.0,5.734,276296.0,5.734,2.1,1449891.0
1966,283506.0,5.756,283506.0,5.756,283506.0,5.756,283506.0,5.756,2.1,1449891.0
1967,291786.0,5.776,291786.0,5.776,291786.0,5.776,291786.0,5.776,2.1,1449891.0
1968,299416.0,5.791,299416.0,5.791,299416.0,5.791,299416.0,5.791,2.1,1449891.0
1969,304000.0,5.802,304000.0,5.802,304000.0,5.802,304000.0,5.802,2.1,1449891.0
1970,303986.0,5.808,303986.0,5.808,303986.0,5.808,303986.0,5.808,2.1,1449891.0
1971,298852.0,5.808,298852.0,5.808,298852.0,5.808,298852.0,5.808,2.1,1449891.0
1972,289508.0,5.805,289508.0,5.805,289508.0,5.805,289508.0,5.805,2.1,1449891.0
1973,277656.0,5.8,277656.0,5.8,277656.0,5.8,277656.0,5.8,2.1,1449891.0
1974,265762.0,5.795,265762.0,5.795,265762.0,5.795,265762.0,5.795,2.1,1449891.0
1975,255808.0,5.791,255808.0,5.791,255808.0,5.791,255808.0,5.791,2.1,1449891.0
1976,247969.0,5.791,247969.0,5.791,247969.0,5.791,247969.0,5.791,2.1,1449891.0
1977,242160.0,5.795,242160.0,5.795,242160.0,5.795,242160.0,5.795,2.1,1449891.0
1978,239681.0,5.804,239681.0,5.804,239681.0,5.804,239681.0,5.804,2.1,1449891.0
1979,241977.0,5.817,241977.0,5.817,241977.0,5.817,241977.0,5.817,2.1,1449891.0
1980,249931.0,5.835,249931.0,5.835,249931.0,5.835,249931.0,5.835,2.1,1449891.0
1981,264370.0,5.856,264370.0,5.856,264370.0,5.856,264370.0,5.856,2.1,1449891.0
1982,284638.0,5.88,284638.0,5.88,284638.0,5.88,284638.0,5.88,2.1,1449891.0
1983,308208.0,5.903,308208.0,5.903,308208.0,5.903,308208.0,5.903,2.1,1449891.0
1984,331554.0,5.926,331554.0,5.926,331554.0,5.926,331554.0,5.926,2.1,1449891.0
1985,352116.0,5.946,352116.0,5.946,352116.0,5.946,352116.0,5.946,2.1,1449891.0
1986,369024.0,5.962,369024.0,5.962,369024.0,5.962,369024.0,5.962,2.1,1449891.0
1987,382977.0,5.974,382977.0,5.974,382977.0,5.974,382977.0,5.974,2.1,1449891.0
1988,394973.0,5.982,394973.0,5.982,394973.0,5.982,394973.0,5.982,2.1,1449891.0
1989,406620.0,5.986,406620.0,5.986,406620.0,5.986,406620.0,5.986,2.1,1449891.0
1990,419188.0,5.987,419188.0,5.987,419188.0,5.987,419188.0,5.987,2.1,1449891.0
1991,432844.0,5.985,432844.0,5.985,432844.0,5.985,432844.0,5.985,2.1,1449891.0
1992,447269.0,5.984,447269.0,5.984,447269.0,5.984,447269.0,5.984,2.1,1449891.0
