year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8331725.0,2.23,8331725.0,2.23,8331725.0,2.23,8331725.0,2.23,2.1,10664568.0
1961,8398050.0,2.13,8398050.0,2.13,8398050.0,2.13,8398050.0,2.13,2.1,10664568.0
1962,8448233.0,2.16,8448233.0,2.16,8448233.0,2.16,8448233.0,2.16,2.1,10664568.0
1963,8479625.0,2.14,8479625.0,2.14,8479625.0,2.14,8479625.0,2.14,2.1,10664568.0
1964,8510429.0,2.24,8510429.0,2.24,8510429.0,2.24,8510429.0,2.24,2.1,10664568.0
1965,8550333.0,2.25,8550333.0,2.25,8550333.0,2.25,8550333.0,2.25,2.1,10664568.0
1966,8613651.0,2.32,8613651.0,2.32,8613651.0,2.32,8613651.0,2.32,2.1,10664568.0
1967,8684088.0,2.45,8684088.0,2.45,8684088.0,2.45,8684088.0,2.45,2.1,10664568.0
1968,8740765.0,2.42,8740765.0,2.42,8740765.0,2.42,8740765.0,2.42,2.1,10664568.0
1969,8772764.0,2.36,8772764.0,2.36,8772764.0,2.36,8772764.0,2.36,2.1,10664568.0
1970,8792806.0,2.4,8792806.0,2.4,8792806.0,2.4,8792806.0,2.4,2.1,10664568.0
1971,8831036.0,2.32,8831036.0,2.32,8831036.0,2.32,8831036.0,2.32,2.1,10664568.0
1972,8888628.0,2.32,8888628.0,2.32,8888628.0,2.32,8888628.0,2.32,2.1,10664568.0
1973,8929086.0,2.27,8929086.0,2.27,8929086.0,2.27,8929086.0,2.27,2.1,10664568.0
1974,8962022.0,2.38,8962022.0,2.38,8962022.0,2.38,8962022.0,2.38,2.1,10664568.0
1975,9046541.0,2.33,9046541.0,2.33,9046541.0,2.33,9046541.0,2.33,2.1,10664568.0
1976,9188150.0,2.35,9188150.0,2.35,9188150.0,2.35,9188150.0,2.35,2.1,10664568.0
1977,9308479.0,2.27,9308479.0,2.27,9308479.0,2.27,9308479.0,2.27,2.1,10664568.0
1978,9429959.0,2.28,9429959.0,2.28,9429959.0,2.28,9429959.0,2.28,2.1,10664568.0
1979,9548258.0,2.26,9548258.0,2.26,9548258.0,2.26,9548258.0,2.26,2.1,10664568.0
1980,9642505.0,2.23,9642505.0,2.23,9642505.0,2.23,9642505.0,2.23,2.1,10664568.0
1981,9729350.0,2.09,9729350.0,2.09,9729350.0,2.09,9729350.0,2.09,2.1,10664568.0
1982,9789513.0,2.03,9789513.0,2.03,9789513.0,2.03,9789513.0,2.03,2.1,10664568.0
1983,9846627.0,1.94,9846627.0,1.94,9846627.0,1.94,9846627.0,1.94,2.1,10664568.0
1984,9895801.0,1.83,9895801.0,1.83,9895801.0,1.83,9895801.0,1.83,2.1,10664568.0
1985,9934300.0,1.67,9934300.0,1.67,9934300.0,1.67,9934300.0,1.67,2.1,10664568.0
1986,9967213.0,1.6,9967213.0,1.6,9967213.0,1.6,9967213.0,1.6,2.1,10664568.0
1987,10000595.0,1.5,10000595.0,1.5,10000595.0,1.5,10000595.0,1.5,2.1,10664568.0
1988,10036983.0,1.5,10036983.0,1.5,10036983.0,1.5,10036983.0,1.5,2.1,10664568.0
1989,10089498.0,1.4,10089498.0,1.4,10089498.0,1.4,10089498.0,1.4,2.1,10664568.0
1990,10196792.0,1.39,10196792.0,1.39,10196792.0,1.39,10196792.0,1.39,2.1,10664568.0
1991,10319927.0,1.37,10319927.0,1.37,10319927.0,1.37,10319927.0,1.37,2.1,10664568.0
1992,10399061.0,1.36,10399061.0,1.36,10399061.0,1.36,10399061.0,1.36,2.1,10664568.0
1993,10460415.0,1.32,10460415.0,1.32,10460415.0,1.32,10460415.0,1.32,2.1,10664568.0
1994,10512922.0,1.33,10512922.0,1.33,10512922.0,1.33,10512922.0,1.33,2.1,10664568.0
1995,10562153.0,1.28,10562153.0,1.28,10562153.0,1.28,10562153.0,1.28,2.1,10664568.0
1996,10608800.0,1.26,10608800.0,1.26,10608800.0,1.26,10608800.0,1.26,2.1,10664568.0
1997,10661259.0,1.27,10661259.0,1.27,10661259.0,1.27,10661259.0,1.27,2.1,10664568.0
1998,10720509.0,1.24,10720509.0,1.24,10720509.0,1.24,10720509.0,1.24,2.1,10664568.0
1999,10761698.0,1.23,10761698.0,1.23,10761698.0,1.23,10761698.0,1.23,2.1,10664568.0
2000,10805808.0,1.25,10805808.0,1.25,10805808.0,1.25,10805808.0,1.25,2.1,10664568.0
2001,10862132.0,1.25,10862132.0,1.25,10862132.0,1.25,10862132.0,1.25,2.1,10664568.0
2002,10902022.0,1.28,10902022.0,1.28,10902022.0,1.28,10902022.0,1.28,2.1,10664568.0
2003,10928070.0,1.29,10928070.0,1.29,10928070.0,1.29,10928070.0,1.29,2.1,10664568.0
2004,10955141.0,1.31,10955141.0,1.31,10955141.0,1.31,10955141.0,1.31,2.1,10664568.0
2005,10987314.0,1.34,10987314.0,1.34,10987314.0,1.34,10987314.0,1.34,2.1,10664568.0
2006,11020362.0,1.4,11020362.0,1.4,11020362.0,1.4,11020362.0,1.4,2.1,10664568.0
2007,11048473.0,1.41,11048473.0,1.41,11048473.0,1.41,11048473.0,1.41,2.1,10664568.0
2008,11077841.0,1.5,11077841.0,1.5,11077841.0,1.5,11077841.0,1.5,2.1,10664568.0
2009,11107017.0,1.5,11107017.0,1.5,11107017.0,1.5,11107017.0,1.5,2.1,10664568.0
2010,11121341.0,1.48,11121341.0,1.48,11121341.0,1.48,11121341.0,1.48,2.1,10664568.0
2011,11104899.0,1.4,11104899.0,1.4,11104899.0,1.4,11104899.0,1.4,2.1,10664568.0
2012,11045011.0,1.34,11045011.0,1.34,11045011.0,1.34,11045011.0,1.34,2.1,10664568.0
2013,10965211.0,1.29,10965211.0,1.29,10965211.0,1.29,10965211.0,1.29,2.1,10664568.0
2014,10892413.0,1.3,10892413.0,1.3,10892413.0,1.3,10892413.0,1.3,2.1,10664568.0
2015,10820883.0,1.33,10820883.0,1.33,10820883.0,1.33,10820883.0,1.33,2.1,10664568.0
2016,10775971.0,1.38,10775971.0,1.38,10775971.0,1.38,10775971.0,1.38,2.1,10664568.0
2017,10754679.0,1.35,10754679.0,1.35,10754679.0,1.35,10754679.0,1.35,2.1,10664568.0
2018,10732882.0,1.35,10732882.0,1.35,10732882.0,1.35,10732882.0,1.35,2.1,10664568.0
2019,10721582.0,1.34,10721582.0,1.34,10721582.0,1.34,10721582.0,1.34,2.1,10664568.0
2020,10700556.0,1.34,10700556.0,1.34,10700556.0,1.34,10700556.0,1.34,2.1,10664568.0
2021,10664568.0,1.34,10664568.0,1.34,10664568.0,1.34,10664568.0,1.34,2.1,10664568.0
2022,10616292.089,1.329,10616062.145,1.325,10617331.031,1.346,10616971.01,1.34,2.1,10664568.0
2023,10567342.749,1.318,10566657.268,1.311,10570455.627,1.352,10569374.019,1.34,2.1,10664568.0
