year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,89927.0,6.743,89927.0,6.743,89927.0,6.743,89927.0,6.743,2.1,113015.0
1961,91324.0,6.627,91324.0,6.627,91324.0,6.627,91324.0,6.627,2.1,113015.0
1962,92481.0,6.442,92481.0,6.442,92481.0,6.442,92481.0,6.442,2.1,113015.0
1963,93409.0,6.196,93409.0,6.196,93409.0,6.196,93409.0,6.196,2.1,113015.0
1964,94122.0,5.906,94122.0,5.906,94122.0,5.906,94122.0,5.906,2.1,113015.0
1965,94634.0,5.597,94634.0,5.597,94634.0,5.597,94634.0,5.597,2.1,113015.0
1966,94936.0,5.3,94936.0,5.3,94936.0,5.3,94936.0,5.3,2.1,113015.0
1967,95012.0,5.04,95012.0,5.04,95012.0,5.04,95012.0,5.04,2.1,113015.0
1968,94929.0,4.835,94929.0,4.835,94929.0,4.835,94929.0,4.835,2.1,113015.0
1969,94723.0,4.69,94723.0,4.69,94723.0,4.69,94723.0,4.69,2.1,113015.0
1970,94476.0,4.604,94476.0,4.604,94476.0,4.604,94476.0,4.604,2.1,113015.0
1971,94212.0,4.561,94212.0,4.561,94212.0,4.561,94212.0,4.561,2.1,113015.0
1972,93984.0,4.537,93984.0,4.537,93984.0,4.537,93984.0,4.537,2.1,113015.0
1973,93661.0,4.512,93661.0,4.512,93661.0,4.512,93661.0,4.512,2.1,113015.0
1974,93190.0,4.479,93190.0,4.479,93190.0,4.479,93190.0,4.479,2.1,113015.0
1975,92494.0,4.436,92494.0,4.436,92494.0,4.436,92494.0,4.436,2.1,113015.0
1976,91469.0,4.385,91469.0,4.385,91469.0,4.385,91469.0,4.385,2.1,113015.0
1977,90219.0,4.337,90219.0,4.337,90219.0,4.337,90219.0,4.337,2.1,113015.0
1978,89104.0,4.299,89104.0,4.299,89104.0,4.299,89104.0,4.299,2.1,113015.0
1979,88603.0,4.269,88603.0,4.269,88603.0,4.269,88603.0,4.269,2.1,113015.0
1980,89032.0,4.251,89032.0,4.251,89032.0,4.251,89032.0,4.251,2.1,113015.0
1981,90610.0,4.244,90610.0,4.244,90610.0,4.244,90610.0,4.244,2.1,113015.0
1982,93132.0,4.243,93132.0,4.243,93132.0,4.243,93132.0,4.243,2.1,113015.0
1983,96020.0,4.245,96020.0,4.245,96020.0,4.245,96020.0,4.245,2.1,113015.0
1984,98472.0,4.243,98472.0,4.243,98472.0,4.243,98472.0,4.243,2.1,113015.0
1985,99953.0,4.231,99953.0,4.231,99953.0,4.231,99953.0,4.231,2.1,113015.0
1986,100183.0,4.2,100183.0,4.2,100183.0,4.2,100183.0,4.2,2.1,113015.0
1987,99425.0,4.146,99425.0,4.146,99425.0,4.146,99425.0,4.146,2.1,113015.0
1988,98126.0,4.068,98126.0,4.068,98126.0,4.068,98126.0,4.068,2.1,113015.0
1989,96932.0,3.966,96932.0,3.966,96932.0,3.966,96932.0,3.966,2.1,113015.0
1990,96328.0,3.842,96328.0,3.842,96328.0,3.842,96328.0,3.842,2.1,113015.0
1991,96462.0,3.701,96462.0,3.701,96462.0,3.701,96462.0,3.701,2.1,113015.0
1992,97161.0,3.551,97161.0,3.551,97161.0,3.551,97161.0,3.551,2.1,113015.0
1993,98234.0,3.401,98234.0,3.401,98234.0,3.401,98234.0,3.401,2.1,113015.0
1994,99345.0,3.254,99345.0,3.254,99345.0,3.254,99345.0,3.254,2.1,113015.0
1995,100286.0,3.116,100286.0,3.116,100286.0,3.116,100286.0,3.116,2.1,113015.0
1996,101003.0,2.988,101003.0,2.988,101003.0,2.988,101003.0,2.988,2.1,113015.0
1997,101567.0,2.87,101567.0,2.87,101567.0,2.87,101567.0,2.87,2.1,113015.0
1998,102023.0,2.762,102023.0,2.762,102023.0,2.762,102023.0,2.762,2.1,113015.0
1999,102429.0,2.666,102429.0,2.666,102429.0,2.666,102429.0,2.666,2.1,113015.0
2000,102837.0,2.582,102837.0,2.582,102837.0,2.582,102837.0,2.582,2.1,113015.0
2001,103242.0,2.512,103242.0,2.512,103242.0,2.512,103242.0,2.512,2.1,113015.0
2002,103636.0,2.455,103636.0,2.455,103636.0,2.455,103636.0,2.455,2.1,113015.0
2003,104003.0,2.409,104003.0,2.409,104003.0,2.409,104003.0,2.409,2.1,113015.0
2004,104346.0,2.373,104346.0,2.373,104346.0,2.373,104346.0,2.373,2.1,113015.0
2005,104658.0,2.344,104658.0,2.344,104658.0,2.344,104658.0,2.344,2.1,113015.0
2006,104938.0,2.321,104938.0,2.321,104938.0,2.321,104938.0,2.321,2.1,113015.0
2007,105183.0,2.301,105183.0,2.301,105183.0,2.301,105183.0,2.301,2.1,113015.0
2008,105457.0,2.282,105457.0,2.282,105457.0,2.282,105457.0,2.282,2.1,113015.0
2009,105787.0,2.262,105787.0,2.262,105787.0,2.262,105787.0,2.262,2.1,113015.0
2010,106227.0,2.24,106227.0,2.24,106227.0,2.24,106227.0,2.24,2.1,113015.0
