year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,32500.0,,32500.0,,32500.0,,32500.0,,2.1,56653.0
1961,33700.0,,33700.0,,33700.0,,33700.0,,2.1,56653.0
1962,35000.0,,35000.0,,35000.0,,35000.0,,2.1,56653.0
1963,36400.0,,36400.0,,36400.0,,36400.0,,2.1,56653.0
1964,37600.0,,37600.0,,37600.0,,37600.0,,2.1,56653.0
1965,39200.0,,39200.0,,39200.0,,39200.0,,2.1,56653.0
1966,40500.0,,40500.0,,40500.0,,40500.0,,2.1,56653.0
1967,41900.0,,41900.0,,41900.0,,41900.0,,2.1,56653.0
1968,43400.0,,43400.0,,43400.0,,43400.0,,2.1,56653.0
1969,44900.0,,44900.0,,44900.0,,44900.0,,2.1,56653.0
1970,46400.0,,46400.0,,46400.0,,46400.0,,2.1,56653.0
1971,47200.0,,47200.0,,47200.0,,47200.0,,2.1,56653.0
1972,48300.0,,48300.0,,48300.0,,48300.0,,2.1,56653.0
1973,49000.0,,49000.0,,49000.0,,49000.0,,2.1,56653.0
1974,49500.0,,49500.0,,49500.0,,49500.0,,2.1,56653.0
1975,49600.0,2.345,49600.0,2.345,49600.0,2.345,49600.0,2.345,2.1,56653.0
1976,49700.0,2.255,49700.0,2.255,49700.0,2.255,49700.0,2.255,2.1,56653.0
1977,49400.0,2.349,49400.0,2.349,49400.0,2.349,49400.0,2.349,2.1,56653.0
1978,49200.0,2.197,49200.0,2.197,49200.0,2.197,49200.0,2.197,2.1,56653.0
1979,49600.0,2.187,49600.0,2.187,49600.0,2.187,49600.0,2.187,2.1,56653.0
1980,50200.0,2.435,50200.0,2.435,50200.0,2.435,50200.0,2.435,2.1,56653.0
1981,51000.0,2.332,51000.0,2.332,51000.0,2.332,51000.0,2.332,2.1,56653.0
1982,51500.0,2.236,51500.0,2.236,51500.0,2.236,51500.0,2.236,2.1,56653.0
1983,52100.0,2.054,52100.0,2.054,52100.0,2.054,52100.0,2.054,2.1,56653.0
1984,52700.0,2.107,52700.0,2.107,52700.0,2.107,52700.0,2.107,2.1,56653.0
1985,53200.0,2.241,53200.0,2.241,53200.0,2.241,53200.0,2.241,2.1,56653.0
1986,53500.0,2.044,53500.0,2.044,53500.0,2.044,53500.0,2.044,2.1,56653.0
1987,54100.0,2.083,54100.0,2.083,54100.0,2.083,54100.0,2.083,2.1,56653.0
1988,54800.0,2.317,54800.0,2.317,54800.0,2.317,54800.0,2.317,2.1,56653.0
1989,55300.0,2.299,55300.0,2.299,55300.0,2.299,55300.0,2.299,2.1,56653.0
1990,55600.0,2.444,55600.0,2.444,55600.0,2.444,55600.0,2.444,2.1,56653.0
1991,55500.0,2.421,55500.0,2.421,55500.0,2.421,55500.0,2.421,2.1,56653.0
1992,55300.0,2.607,55300.0,2.607,55300.0,2.607,55300.0,2.607,2.1,56653.0
1993,55200.0,2.578,55200.0,2.578,55200.0,2.578,55200.0,2.578,2.1,56653.0
1994,55500.0,2.527,55500.0,2.527,55500.0,2.527,55500.0,2.527,2.1,56653.0
1995,55800.0,2.512,55800.0,2.512,55800.0,2.512,55800.0,2.512,2.1,56653.0
1996,55900.0,2.493,55900.0,2.493,55900.0,2.493,55900.0,2.493,2.1,56653.0
1997,56000.0,2.69,56000.0,2.69,56000.0,2.69,56000.0,2.69,2.1,56653.0
1998,56100.0,2.457,56100.0,2.457,56100.0,2.457,56100.0,2.457,2.1,56653.0
