year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4128880.0,6.896,4128880.0,6.896,4128880.0,6.896,4128880.0,6.896,2.1,17109746.0
1961,4251911.0,6.859,4251911.0,6.859,4251911.0,6.859,4251911.0,6.859,2.1,17109746.0
1962,4378604.0,6.824,4378604.0,6.824,4378604.0,6.824,4378604.0,6.824,2.1,17109746.0
1963,4508444.0,6.794,4508444.0,6.794,4508444.0,6.794,4508444.0,6.794,2.1,17109746.0
1964,4640795.0,6.767,4640795.0,6.767,4640795.0,6.767,4640795.0,6.767,2.1,17109746.0
1965,4774984.0,6.744,4774984.0,6.744,4774984.0,6.744,4774984.0,6.744,2.1,17109746.0
1966,4910790.0,6.724,4910790.0,6.724,4910790.0,6.724,4910790.0,6.724,2.1,17109746.0
1967,5047435.0,6.705,5047435.0,6.705,5047435.0,6.705,5047435.0,6.705,2.1,17109746.0
1968,5184095.0,6.685,5184095.0,6.685,5184095.0,6.685,5184095.0,6.685,2.1,17109746.0
1969,5320100.0,6.664,5320100.0,6.664,5320100.0,6.664,5320100.0,6.664,2.1,17109746.0
1970,5455197.0,6.642,5455197.0,6.642,5455197.0,6.642,5455197.0,6.642,2.1,17109746.0
1971,5589563.0,6.62,5589563.0,6.62,5589563.0,6.62,5589563.0,6.62,2.1,17109746.0
1972,5723759.0,6.599,5723759.0,6.599,5723759.0,6.599,5723759.0,6.599,2.1,17109746.0
1973,5858466.0,6.578,5858466.0,6.578,5858466.0,6.578,5858466.0,6.578,2.1,17109746.0
1974,5994300.0,6.558,5994300.0,6.558,5994300.0,6.558,5994300.0,6.558,2.1,17109746.0
1975,6131151.0,6.535,6131151.0,6.535,6131151.0,6.535,6131151.0,6.535,2.1,17109746.0
1976,6269983.0,6.51,6269983.0,6.51,6269983.0,6.51,6269983.0,6.51,2.1,17109746.0
1977,6412667.0,6.48,6412667.0,6.48,6412667.0,6.48,6412667.0,6.48,2.1,17109746.0
1978,6561919.0,6.443,6561919.0,6.443,6561919.0,6.443,6561919.0,6.443,2.1,17109746.0
1979,6720582.0,6.399,6720582.0,6.399,6720582.0,6.399,6720582.0,6.399,2.1,17109746.0
1980,6890346.0,6.342,6890346.0,6.342,6890346.0,6.342,6890346.0,6.342,2.1,17109746.0
1981,7071186.0,6.271,7071186.0,6.271,7071186.0,6.271,7071186.0,6.271,2.1,17109746.0
1982,7262658.0,6.185,7262658.0,6.185,7262658.0,6.185,7262658.0,6.185,2.1,17109746.0
1983,7462585.0,6.086,7462585.0,6.086,7462585.0,6.086,7462585.0,6.086,2.1,17109746.0
1984,7669863.0,5.977,7669863.0,5.977,7669863.0,5.977,7669863.0,5.977,2.1,17109746.0
1985,7884034.0,5.865,7884034.0,5.865,7884034.0,5.865,7884034.0,5.865,2.1,17109746.0
1986,8104921.0,5.757,8104921.0,5.757,8104921.0,5.757,8104921.0,5.757,2.1,17109746.0
1987,8332446.0,5.658,8332446.0,5.658,8332446.0,5.658,8332446.0,5.658,2.1,17109746.0
1988,8566331.0,5.572,8566331.0,5.572,8566331.0,5.572,8566331.0,5.572,2.1,17109746.0
1989,8805995.0,5.5,8805995.0,5.5,8805995.0,5.5,8805995.0,5.5,2.1,17109746.0
1990,9050115.0,5.437,9050115.0,5.437,9050115.0,5.437,9050115.0,5.437,2.1,17109746.0
1991,9296814.0,5.38,9296814.0,5.38,9296814.0,5.38,9296814.0,5.38,2.1,17109746.0
1992,9544055.0,5.32,9544055.0,5.32,9544055.0,5.32,9544055.0,5.32,2.1,17109746.0
1993,9790619.0,5.252,9790619.0,5.252,9790619.0,5.252,9790619.0,5.252,2.1,17109746.0
1994,10037522.0,5.174,10037522.0,5.174,10037522.0,5.174,10037522.0,5.174,2.1,17109746.0
1995,10286786.0,5.087,10286786.0,5.087,10286786.0,5.087,10286786.0,5.087,2.1,17109746.0
1996,10536942.0,4.993,10536942.0,4.993,10536942.0,4.993,10536942.0,4.993,2.1,17109746.0
1997,10788362.0,4.895,10788362.0,4.895,10788362.0,4.895,10788362.0,4.895,2.1,17109746.0
1998,11046215.0,4.797,11046215.0,4.797,11046215.0,4.797,11046215.0,4.797,2.1,17109746.0
1999,11311078.0,4.699,11311078.0,4.699,11311078.0,4.699,11311078.0,4.699,2.1,17109746.0
2000,11589761.0,4.598,11589761.0,4.598,11589761.0,4.598,11589761.0,4.598,2.1,17109746.0
2001,11871565.0,4.49,11871565.0,4.49,11871565.0,4.49,11871565.0,4.49,2.1,17109746.0
2002,12147518.0,4.372,12147518.0,4.372,12147518.0,4.372,12147518.0,4.372,2.1,17109746.0
2003,12415334.0,4.245,12415334.0,4.245,12415334.0,4.245,12415334.0,4.245,2.1,17109746.0
2004,12682108.0,4.11,12682108.0,4.11,12682108.0,4.11,12682108.0,4.11,2.1,17109746.0
2005,12948292.0,3.971,12948292.0,3.971,12948292.0,3.971,12948292.0,3.971,2.1,17109746.0
2006,13213330.0,3.833,13213330.0,3.833,13213330.0,3.833,13213330.0,3.833,2.1,17109746.0
2007,13477017.0,3.701,13477017.0,3.701,13477017.0,3.701,13477017.0,3.701,2.1,17109746.0
2008,13739299.0,3.58,13739299.0,3.58,13739299.0,3.58,13739299.0,3.58,2.1,17109746.0
2009,14000190.0,3.471,14000190.0,3.471,14000190.0,3.471,14000190.0,3.471,2.1,17109746.0
2010,14259687.0,3.375,14259687.0,3.375,14259687.0,3.375,14259687.0,3.375,2.1,17109746.0
2011,14521515.0,3.292,14521515.0,3.292,14521515.0,3.292,14521515.0,3.292,2.1,17109746.0
2012,14781942.0,3.219,14781942.0,3.219,14781942.0,3.219,14781942.0,3.219,2.1,17109746.0
2013,15043981.0,3.151,15043981.0,3.151,15043981.0,3.151,15043981.0,3.151,2.1,17109746.0
2014,15306316.0,3.088,15306316.0,3.088,15306316.0,3.088,15306316.0,3.088,2.1,17109746.0
2015,15567419.0,3.029,15567419.0,3.029,15567419.0,3.029,15567419.0,3.029,2.1,17109746.0
2016,15827690.0,2.973,15827690.0,2.973,15827690.0,2.973,15827690.0,2.973,2.1,17109746.0
2017,16087418.0,2.92,16087418.0,2.92,16087418.0,2.92,16087418.0,2.92,2.1,17109746.0
2018,16346950.0,2.87,16346950.0,2.87,16346950.0,2.87,16346950.0,2.87,2.1,17109746.0
2019,16604026.0,2.822,16604026.0,2.822,16604026.0,2.822,16604026.0,2.822,2.1,17109746.0
2020,16858333.0,2.777,16858333.0,2.777,16858333.0,2.777,16858333.0,2.777,2.1,17109746.0
2021,17109746.0,2.777,17109746.0,2.777,17109746.0,2.777,17109746.0,2.777,2.1,17109746.0
2022,17179125.718,2.735,17176612.073,2.712,17175807.585,2.704,17183755.318,2.777,2.1,17109746.0
2023,17243946.437,2.693,17236502.981,2.648,17234129.509,2.633,17257764.635,2.777,2.1,17109746.0
2024,17304277.683,2.652,17289582.851,2.586,17284914.396,2.565,17331773.953,2.777,2.1,17109746.0
2025,17360187.919,2.611,17336011.946,2.525,17328359.566,2.497,17405783.27,2.777,2.1,17109746.0
2026,17411744.567,2.572,17375946.758,2.465,17364657.172,2.432,17479792.588,2.777,2.1,17109746.0
2027,17459014.017,2.532,17409540.099,2.407,17393994.339,2.368,17553801.906,2.777,2.1,17109746.0
