year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,66733.0,6.052,66733.0,6.052,66733.0,6.052,66733.0,6.052,2.1,170184.0
1961,68065.0,6.048,68065.0,6.048,68065.0,6.048,68065.0,6.048,2.1,170184.0
1962,69605.0,5.984,69605.0,5.984,69605.0,5.984,69605.0,5.984,2.1,170184.0
1963,71289.0,5.857,71289.0,5.857,71289.0,5.857,71289.0,5.857,2.1,170184.0
1964,73047.0,5.67,73047.0,5.67,73047.0,5.67,73047.0,5.67,2.1,170184.0
1965,74828.0,5.439,74828.0,5.439,74828.0,5.439,74828.0,5.439,2.1,170184.0
1966,76611.0,5.187,76611.0,5.187,76611.0,5.187,76611.0,5.187,2.1,170184.0
1967,78412.0,4.939,78412.0,4.939,78412.0,4.939,78412.0,4.939,2.1,170184.0
1968,80212.0,4.716,80212.0,4.716,80212.0,4.716,80212.0,4.716,2.1,170184.0
1969,82040.0,4.526,82040.0,4.526,82040.0,4.526,82040.0,4.526,2.1,170184.0
1970,83875.0,4.372,83875.0,4.372,83875.0,4.372,83875.0,4.372,2.1,170184.0
1971,85729.0,4.248,85729.0,4.248,85729.0,4.248,85729.0,4.248,2.1,170184.0
1972,87580.0,4.137,87580.0,4.137,87580.0,4.137,87580.0,4.137,2.1,170184.0
1973,89459.0,4.028,89459.0,4.028,89459.0,4.028,89459.0,4.028,2.1,170184.0
1974,91378.0,3.917,91378.0,3.917,91378.0,3.917,91378.0,3.917,2.1,170184.0
1975,93351.0,3.801,93351.0,3.801,93351.0,3.801,93351.0,3.801,2.1,170184.0
1976,95380.0,3.681,95380.0,3.681,95380.0,3.681,95380.0,3.681,2.1,170184.0
1977,97477.0,3.561,97477.0,3.561,97477.0,3.561,97477.0,3.561,2.1,170184.0
1978,99629.0,3.447,99629.0,3.447,99629.0,3.447,99629.0,3.447,2.1,170184.0
1979,101837.0,3.34,101837.0,3.34,101837.0,3.34,101837.0,3.34,2.1,170184.0
1980,104134.0,3.248,104134.0,3.248,104134.0,3.248,104134.0,3.248,2.1,170184.0
1981,106482.0,3.177,106482.0,3.177,106482.0,3.177,106482.0,3.177,2.1,170184.0
1982,108901.0,3.128,108901.0,3.128,108901.0,3.128,108901.0,3.128,2.1,170184.0
1983,111403.0,3.1,111403.0,3.1,111403.0,3.1,111403.0,3.1,2.1,170184.0
1984,113953.0,3.092,113953.0,3.092,113953.0,3.092,113953.0,3.092,2.1,170184.0
1985,116576.0,3.095,116576.0,3.095,116576.0,3.095,116576.0,3.095,2.1,170184.0
1986,119228.0,3.099,119228.0,3.099,119228.0,3.099,119228.0,3.099,2.1,170184.0
1987,121923.0,3.097,121923.0,3.097,121923.0,3.097,121923.0,3.097,2.1,170184.0
1988,124674.0,3.082,124674.0,3.082,124674.0,3.082,124674.0,3.082,2.1,170184.0
1989,127525.0,3.053,127525.0,3.053,127525.0,3.053,127525.0,3.053,2.1,170184.0
1990,130480.0,3.013,130480.0,3.013,130480.0,3.013,130480.0,3.013,2.1,170184.0
1991,133553.0,2.969,133553.0,2.969,133553.0,2.969,133553.0,2.969,2.1,170184.0
1992,136693.0,2.929,136693.0,2.929,136693.0,2.929,136693.0,2.929,2.1,170184.0
1993,139813.0,2.899,139813.0,2.899,139813.0,2.899,139813.0,2.899,2.1,170184.0
1994,142806.0,2.881,142806.0,2.881,142806.0,2.881,142806.0,2.881,2.1,170184.0
1995,145559.0,2.872,145559.0,2.872,145559.0,2.872,145559.0,2.872,2.1,170184.0
1996,148061.0,2.87,148061.0,2.87,148061.0,2.87,148061.0,2.87,2.1,170184.0
1997,150303.0,2.867,150303.0,2.867,150303.0,2.867,150303.0,2.867,2.1,170184.0
1998,152274.0,2.86,152274.0,2.86,152274.0,2.86,152274.0,2.86,2.1,170184.0
1999,153955.0,2.846,153955.0,2.846,153955.0,2.846,153955.0,2.846,2.1,170184.0
2000,155323.0,2.824,155323.0,2.824,155323.0,2.824,155323.0,2.824,2.1,170184.0
2001,156395.0,2.794,156395.0,2.794,156395.0,2.794,156395.0,2.794,2.1,170184.0
2002,157173.0,2.758,157173.0,2.758,157173.0,2.758,157173.0,2.758,2.1,170184.0
2003,157723.0,2.718,157723.0,2.718,157723.0,2.718,157723.0,2.718,2.1,170184.0
2004,158094.0,2.677,158094.0,2.677,158094.0,2.677,158094.0,2.677,2.1,170184.0
2005,158406.0,2.636,158406.0,2.636,158406.0,2.636,158406.0,2.636,2.1,170184.0
2006,158649.0,2.598,158649.0,2.598,158649.0,2.598,158649.0,2.598,2.1,170184.0
2007,158848.0,2.564,158848.0,2.564,158848.0,2.564,158848.0,2.564,2.1,170184.0
2008,159037.0,2.534,159037.0,2.534,159037.0,2.534,159037.0,2.534,2.1,170184.0
2009,159232.0,2.509,159232.0,2.509,159232.0,2.509,159232.0,2.509,2.1,170184.0
2010,159439.0,2.488,159439.0,2.488,159439.0,2.488,159439.0,2.488,2.1,170184.0
2011,159690.0,2.469,159690.0,2.469,159690.0,2.469,159690.0,2.469,2.1,170184.0
2012,159990.0,2.45,159990.0,2.45,159990.0,2.45,159990.0,2.45,2.1,170184.0
2013,160415.0,2.429,160415.0,2.429,160415.0,2.429,160415.0,2.429,2.1,170184.0
2014,161007.0,2.406,161007.0,2.406,161007.0,2.406,161007.0,2.406,2.1,170184.0
2015,161851.0,2.383,161851.0,2.383,161851.0,2.383,161851.0,2.383,2.1,170184.0
2016,162948.0,2.358,162948.0,2.358,162948.0,2.358,162948.0,2.358,2.1,170184.0
