year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,571813.0,6.372,571813.0,6.372,571813.0,6.372,571813.0,6.372,2.1,790329.0
1961,589274.0,6.305,589274.0,6.305,589274.0,6.305,589274.0,6.305,2.1,790329.0
1962,606286.0,6.226,606286.0,6.226,606286.0,6.226,606286.0,6.226,2.1,790329.0
1963,622580.0,6.14,622580.0,6.14,622580.0,6.14,622580.0,6.14,2.1,790329.0
1964,637835.0,6.05,637835.0,6.05,637835.0,6.05,637835.0,6.05,2.1,790329.0
1965,651865.0,5.957,651865.0,5.957,651865.0,5.957,651865.0,5.957,2.1,790329.0
1966,664518.0,5.86,664518.0,5.86,664518.0,5.86,664518.0,5.86,2.1,790329.0
1967,675861.0,5.756,675861.0,5.756,675861.0,5.756,675861.0,5.756,2.1,790329.0
1968,686144.0,5.642,686144.0,5.642,686144.0,5.642,686144.0,5.642,2.1,790329.0
1969,695743.0,5.517,695743.0,5.517,695743.0,5.517,695743.0,5.517,2.1,790329.0
1970,704930.0,5.38,704930.0,5.38,704930.0,5.38,704930.0,5.38,2.1,790329.0
1971,713684.0,5.226,713684.0,5.226,713684.0,5.226,713684.0,5.226,2.1,790329.0
1972,721949.0,5.057,721949.0,5.057,721949.0,5.057,721949.0,5.057,2.1,790329.0
1973,729909.0,4.877,729909.0,4.877,729909.0,4.877,729909.0,4.877,2.1,790329.0
1974,737846.0,4.689,737846.0,4.689,737846.0,4.689,737846.0,4.689,2.1,790329.0
1975,745847.0,4.503,745847.0,4.503,745847.0,4.503,745847.0,4.503,2.1,790329.0
1976,754101.0,4.327,754101.0,4.327,754101.0,4.327,754101.0,4.327,2.1,790329.0
1977,762424.0,4.169,762424.0,4.169,762424.0,4.169,762424.0,4.169,2.1,790329.0
1978,770128.0,4.031,770128.0,4.031,770128.0,4.031,770128.0,4.031,2.1,790329.0
1979,776257.0,3.915,776257.0,3.915,776257.0,3.915,776257.0,3.915,2.1,790329.0
1980,780153.0,3.817,780153.0,3.817,780153.0,3.817,780153.0,3.817,2.1,790329.0
1981,781734.0,3.728,781734.0,3.728,781734.0,3.728,781734.0,3.728,2.1,790329.0
1982,781249.0,3.64,781249.0,3.64,781249.0,3.64,781249.0,3.64,2.1,790329.0
1983,778953.0,3.548,778953.0,3.548,778953.0,3.548,778953.0,3.548,2.1,790329.0
1984,775217.0,3.452,775217.0,3.452,775217.0,3.452,775217.0,3.452,2.1,790329.0
1985,770439.0,3.354,770439.0,3.354,770439.0,3.354,770439.0,3.354,2.1,790329.0
1986,764447.0,3.263,764447.0,3.263,764447.0,3.263,764447.0,3.263,2.1,790329.0
1987,757451.0,3.186,757451.0,3.186,757451.0,3.186,757451.0,3.186,2.1,790329.0
1988,750641.0,3.127,750641.0,3.127,750641.0,3.127,750641.0,3.127,2.1,790329.0
1989,745581.0,3.089,745581.0,3.089,745581.0,3.089,745581.0,3.089,2.1,790329.0
1990,743306.0,3.069,743306.0,3.069,743306.0,3.069,743306.0,3.069,2.1,790329.0
1991,744477.0,3.063,744477.0,3.063,744477.0,3.063,744477.0,3.063,2.1,790329.0
1992,748596.0,3.066,748596.0,3.066,748596.0,3.066,748596.0,3.066,2.1,790329.0
1993,754141.0,3.071,754141.0,3.071,754141.0,3.071,754141.0,3.071,2.1,790329.0
1994,758896.0,3.074,758896.0,3.074,758896.0,3.074,758896.0,3.074,2.1,790329.0
1995,761298.0,3.074,761298.0,3.074,761298.0,3.074,761298.0,3.074,2.1,790329.0
1996,760801.0,3.069,760801.0,3.069,760801.0,3.069,760801.0,3.069,2.1,790329.0
1997,757975.0,3.061,757975.0,3.061,757975.0,3.061,757975.0,3.061,2.1,790329.0
1998,753778.0,3.05,753778.0,3.05,753778.0,3.05,753778.0,3.05,2.1,790329.0
1999,749676.0,3.036,749676.0,3.036,749676.0,3.036,749676.0,3.036,2.1,790329.0
2000,746718.0,3.017,746718.0,3.017,746718.0,3.017,746718.0,3.017,2.1,790329.0
2001,745206.0,2.992,745206.0,2.992,745206.0,2.992,745206.0,2.992,2.1,790329.0
2002,744789.0,2.961,744789.0,2.961,744789.0,2.961,744789.0,2.961,2.1,790329.0
2003,745142.0,2.924,745142.0,2.924,745142.0,2.924,745142.0,2.924,2.1,790329.0
2004,745737.0,2.883,745737.0,2.883,745737.0,2.883,745737.0,2.883,2.1,790329.0
2005,746156.0,2.84,746156.0,2.84,746156.0,2.84,746156.0,2.84,2.1,790329.0
2006,746335.0,2.797,746335.0,2.797,746335.0,2.797,746335.0,2.797,2.1,790329.0
2007,746477.0,2.755,746477.0,2.755,746477.0,2.755,746477.0,2.755,2.1,790329.0
2008,746815.0,2.718,746815.0,2.718,746815.0,2.718,746815.0,2.718,2.1,790329.0
