year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,779313752.0,3.017753907,779313752.0,3.017753907,779313752.0,3.017753907,779313752.0,3.017753907,2.1,1241374277.0
1961,789211684.0,3.018709978,789211684.0,3.018709978,789211684.0,3.018709978,789211684.0,3.018709978,2.1,1241374277.0
1962,799334016.0,2.968515888,799334016.0,2.968515888,799334016.0,2.968515888,799334016.0,2.968515888,2.1,1241374277.0
1963,809385030.0,2.9464467,809385030.0,2.9464467,809385030.0,2.9464467,809385030.0,2.9464467,2.1,1241374277.0
1964,819344462.0,2.923616983,819344462.0,2.923616983,819344462.0,2.923616983,819344462.0,2.923616983,2.1,1241374277.0
1965,828931850.0,2.825849359,828931850.0,2.825849359,828931850.0,2.825849359,828931850.0,2.825849359,2.1,1241374277.0
1966,837984905.0,2.665539331,837984905.0,2.665539331,837984905.0,2.665539331,837984905.0,2.665539331,2.1,1241374277.0
1967,846615712.0,2.686982522,846615712.0,2.686982522,846615712.0,2.686982522,846615712.0,2.686982522,2.1,1241374277.0
1968,855118538.0,2.637155476,855118538.0,2.637155476,855118538.0,2.637155476,855118538.0,2.637155476,2.1,1241374277.0
1969,863734899.0,2.584573912,863734899.0,2.584573912,863734899.0,2.584573912,863734899.0,2.584573912,2.1,1241374277.0
1970,872321331.0,2.54458781,872321331.0,2.54458781,872321331.0,2.54458781,872321331.0,2.54458781,2.1,1241374277.0
1971,882572657.0,2.475468857,882572657.0,2.475468857,882572657.0,2.475468857,882572657.0,2.475468857,2.1,1241374277.0
1972,891567144.0,2.335673151,891567144.0,2.335673151,891567144.0,2.335673151,891567144.0,2.335673151,2.1,1241374277.0
1973,900281397.0,2.250444755,900281397.0,2.250444755,900281397.0,2.250444755,900281397.0,2.250444755,2.1,1241374277.0
1974,908856696.0,2.204198583,908856696.0,2.204198583,908856696.0,2.204198583,908856696.0,2.204198583,2.1,1241374277.0
1975,917253488.0,2.113512536,917253488.0,2.113512536,917253488.0,2.113512536,917253488.0,2.113512536,2.1,1241374277.0
1976,925062260.0,2.061256096,925062260.0,2.061256096,925062260.0,2.061256096,925062260.0,2.061256096,2.1,1241374277.0
1977,932721106.0,2.026360183,932721106.0,2.026360183,932721106.0,2.026360183,932721106.0,2.026360183,2.1,1241374277.0
1978,940435282.0,1.98442032,940435282.0,1.98442032,940435282.0,1.98442032,940435282.0,1.98442032,2.1,1241374277.0
1979,948459572.0,1.992888311,948459572.0,1.992888311,948459572.0,1.992888311,948459572.0,1.992888311,2.1,1241374277.0
1980,956248921.0,1.981000022,956248921.0,1.981000022,956248921.0,1.981000022,956248921.0,1.981000022,2.1,1241374277.0
1981,964047910.0,1.937102,964047910.0,1.937102,964047910.0,1.937102,964047910.0,1.937102,2.1,1241374277.0
1982,971441774.0,1.922900206,971441774.0,1.922900206,971441774.0,1.922900206,971441774.0,1.922900206,2.1,1241374277.0
1983,978357881.0,1.882465799,978357881.0,1.882465799,978357881.0,1.882465799,978357881.0,1.882465799,2.1,1241374277.0
1984,984908998.0,1.858939243,984908998.0,1.858939243,984908998.0,1.858939243,984908998.0,1.858939243,2.1,1241374277.0
1985,991502342.0,1.856029795,991502342.0,1.856029795,991502342.0,1.856029795,991502342.0,1.856029795,2.1,1241374277.0
1986,998279807.0,1.833287731,998279807.0,1.833287731,998279807.0,1.833287731,998279807.0,1.833287731,2.1,1241374277.0
1987,1005128469.0,1.827831415,1005128469.0,1.827831415,1005128469.0,1.827831415,1005128469.0,1.827831415,2.1,1241374277.0
1988,1012114531.0,1.846236033,1012114531.0,1.846236033,1012114531.0,1.846236033,1012114531.0,1.846236033,2.1,1241374277.0
1989,1019532534.0,1.836550405,1019532534.0,1.836550405,1019532534.0,1.836550405,1019532534.0,1.836550405,2.1,1241374277.0
1990,1027335329.0,1.851404603,1027335329.0,1.851404603,1027335329.0,1.851404603,1027335329.0,1.851404603,2.1,1241374277.0
1991,1035674907.0,1.824776143,1035674907.0,1.824776143,1035674907.0,1.824776143,1035674907.0,1.824776143,2.1,1241374277.0
1992,1041867977.0,1.800785731,1041867977.0,1.800785731,1041867977.0,1.800785731,1041867977.0,1.800785731,2.1,1241374277.0
1993,1049927786.0,1.763327493,1049927786.0,1.763327493,1049927786.0,1.763327493,1049927786.0,1.763327493,2.1,1241374277.0
1994,1057433274.0,1.743441792,1057433274.0,1.743441792,1057433274.0,1.743441792,1057433274.0,1.743441792,2.1,1241374277.0
1995,1066126401.0,1.708218306,1066126401.0,1.708218306,1066126401.0,1.708218306,1066126401.0,1.708218306,2.1,1241374277.0
1996,1073216638.0,1.700680723,1073216638.0,1.700680723,1073216638.0,1.700680723,1073216638.0,1.700680723,2.1,1241374277.0
1997,1080137470.0,1.690715622,1080137470.0,1.690715622,1080137470.0,1.690715622,1080137470.0,1.690715622,2.1,1241374277.0
1998,1086903084.0,1.67832688,1086903084.0,1.67832688,1086903084.0,1.67832688,1086903084.0,1.67832688,2.1,1241374277.0
1999,1093621979.0,1.672554153,1093621979.0,1.672554153,1093621979.0,1.672554153,1093621979.0,1.672554153,2.1,1241374277.0
2000,1100273778.0,1.701886992,1100273778.0,1.701886992,1100273778.0,1.701886992,1100273778.0,1.701886992,2.1,1241374277.0
2001,1107011730.0,1.665795834,1107011730.0,1.665795834,1107011730.0,1.665795834,1107011730.0,1.665795834,2.1,1241374277.0
