year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3075605.0,5.014,3075605.0,5.014,3075605.0,5.014,3075605.0,5.014,2.1,7413100.0
1961,3168100.0,5.03,3168100.0,5.03,3168100.0,5.03,3168100.0,5.03,2.1,7413100.0
1962,3305200.0,4.98,3305200.0,4.98,3305200.0,4.98,3305200.0,4.98,2.1,7413100.0
1963,3420900.0,4.857,3420900.0,4.857,3420900.0,4.857,3420900.0,4.857,2.1,7413100.0
1964,3504600.0,4.665,3504600.0,4.665,3504600.0,4.665,3504600.0,4.665,2.1,7413100.0
1965,3597900.0,4.422,3597900.0,4.422,3597900.0,4.422,3597900.0,4.422,2.1,7413100.0
1966,3629900.0,4.152,3629900.0,4.152,3629900.0,4.152,3629900.0,4.152,2.1,7413100.0
1967,3722800.0,3.887,3722800.0,3.887,3722800.0,3.887,3722800.0,3.887,2.1,7413100.0
1968,3802700.0,3.649,3802700.0,3.649,3802700.0,3.649,3802700.0,3.649,2.1,7413100.0
1969,3863900.0,3.448,3863900.0,3.448,3863900.0,3.448,3863900.0,3.448,2.1,7413100.0
1970,3959000.0,3.284,3959000.0,3.284,3959000.0,3.284,3959000.0,3.284,2.1,7413100.0
1971,4045300.0,3.459,4045300.0,3.459,4045300.0,3.459,4045300.0,3.459,2.1,7413100.0
1972,4123600.0,3.315,4123600.0,3.315,4123600.0,3.315,4123600.0,3.315,2.1,7413100.0
1973,4241600.0,3.177,4241600.0,3.177,4241600.0,3.177,4241600.0,3.177,2.1,7413100.0
1974,4377800.0,2.967,4377800.0,2.967,4377800.0,2.967,4377800.0,2.967,2.1,7413100.0
1975,4461600.0,2.666,4461600.0,2.666,4461600.0,2.666,4461600.0,2.666,2.1,7413100.0
1976,4518000.0,2.48,4518000.0,2.48,4518000.0,2.48,4518000.0,2.48,2.1,7413100.0
1977,4583700.0,2.376,4583700.0,2.376,4583700.0,2.376,4583700.0,2.376,2.1,7413100.0
1978,4667500.0,2.272,4667500.0,2.272,4667500.0,2.272,4667500.0,2.272,2.1,7413100.0
1979,4929700.0,2.12,4929700.0,2.12,4929700.0,2.12,4929700.0,2.12,2.1,7413100.0
1980,5063100.0,2.047,5063100.0,2.047,5063100.0,2.047,5063100.0,2.047,2.1,7413100.0
1981,5183400.0,1.933,5183400.0,1.933,5183400.0,1.933,5183400.0,1.933,2.1,7413100.0
1982,5264500.0,1.86,5264500.0,1.86,5264500.0,1.86,5264500.0,1.86,2.1,7413100.0
1983,5345100.0,1.722,5345100.0,1.722,5345100.0,1.722,5345100.0,1.722,2.1,7413100.0
1984,5397900.0,1.559,5397900.0,1.559,5397900.0,1.559,5397900.0,1.559,2.1,7413100.0
1985,5456200.0,1.491,5456200.0,1.491,5456200.0,1.491,5456200.0,1.491,2.1,7413100.0
1986,5524600.0,1.367,5524600.0,1.367,5524600.0,1.367,5524600.0,1.367,2.1,7413100.0
1987,5580500.0,1.311,5580500.0,1.311,5580500.0,1.311,5580500.0,1.311,2.1,7413100.0
1988,5627600.0,1.4,5627600.0,1.4,5627600.0,1.4,5627600.0,1.4,2.1,7413100.0
1989,5686200.0,1.296,5686200.0,1.296,5686200.0,1.296,5686200.0,1.296,2.1,7413100.0
1990,5704500.0,1.272,5704500.0,1.272,5704500.0,1.272,5704500.0,1.272,2.1,7413100.0
1991,5752000.0,1.281,5752000.0,1.281,5752000.0,1.281,5752000.0,1.281,2.1,7413100.0
1992,5800500.0,1.347,5800500.0,1.347,5800500.0,1.347,5800500.0,1.347,2.1,7413100.0
1993,5901000.0,1.342,5901000.0,1.342,5901000.0,1.342,5901000.0,1.342,2.1,7413100.0
1994,6035400.0,1.355,6035400.0,1.355,6035400.0,1.355,6035400.0,1.355,2.1,7413100.0
1995,6156100.0,1.295,6156100.0,1.295,6156100.0,1.295,6156100.0,1.295,2.1,7413100.0
1996,6435500.0,1.191,6435500.0,1.191,6435500.0,1.191,6435500.0,1.191,2.1,7413100.0
1997,6489300.0,1.127,6489300.0,1.127,6489300.0,1.127,6489300.0,1.127,2.1,7413100.0
1998,6543700.0,1.016,6543700.0,1.016,6543700.0,1.016,6543700.0,1.016,2.1,7413100.0
1999,6606500.0,0.981,6606500.0,0.981,6606500.0,0.981,6606500.0,0.981,2.1,7413100.0
2000,6665000.0,1.032,6665000.0,1.032,6665000.0,1.032,6665000.0,1.032,2.1,7413100.0
2001,6714300.0,0.931,6714300.0,0.931,6714300.0,0.931,6714300.0,0.931,2.1,7413100.0
2002,6744100.0,0.941,6744100.0,0.941,6744100.0,0.941,6744100.0,0.941,2.1,7413100.0
2003,6730800.0,0.901,6730800.0,0.901,6730800.0,0.901,6730800.0,0.901,2.1,7413100.0
2004,6783500.0,0.922,6783500.0,0.922,6783500.0,0.922,6783500.0,0.922,2.1,7413100.0
2005,6813200.0,0.959,6813200.0,0.959,6813200.0,0.959,6813200.0,0.959,2.1,7413100.0
2006,6857100.0,0.984,6857100.0,0.984,6857100.0,0.984,6857100.0,0.984,2.1,7413100.0
2007,6916300.0,1.028,6916300.0,1.028,6916300.0,1.028,6916300.0,1.028,2.1,7413100.0
2008,6957800.0,1.064,6957800.0,1.064,6957800.0,1.064,6957800.0,1.064,2.1,7413100.0
2009,6972800.0,1.055,6972800.0,1.055,6972800.0,1.055,6972800.0,1.055,2.1,7413100.0
2010,7024200.0,1.127,7024200.0,1.127,7024200.0,1.127,7024200.0,1.127,2.1,7413100.0
2011,7071600.0,1.204,7071600.0,1.204,7071600.0,1.204,7071600.0,1.204,2.1,7413100.0
2012,7150100.0,1.285,7150100.0,1.285,7150100.0,1.285,7150100.0,1.285,2.1,7413100.0
2013,7178900.0,1.125,7178900.0,1.125,7178900.0,1.125,7178900.0,1.125,2.1,7413100.0
2014,7229500.0,1.235,7229500.0,1.235,7229500.0,1.235,7229500.0,1.235,2.1,7413100.0
2015,7291300.0,1.196,7291300.0,1.196,7291300.0,1.196,7291300.0,1.196,2.1,7413100.0
2016,7336600.0,1.205,7336600.0,1.205,7336600.0,1.205,7336600.0,1.205,2.1,7413100.0
2017,7393200.0,1.125,7393200.0,1.125,7393200.0,1.125,7393200.0,1.125,2.1,7413100.0
