year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2038636.0,7.458,2038636.0,7.458,2038636.0,7.458,2038636.0,7.458,2.1,10062994.0
1961,2096407.0,7.448,2096407.0,7.448,2096407.0,7.448,2096407.0,7.448,2.1,10062994.0
1962,2155648.0,7.443,2155648.0,7.443,2155648.0,7.443,2155648.0,7.443,2.1,10062994.0
1963,2216712.0,7.441,2216712.0,7.441,2216712.0,7.441,2216712.0,7.441,2.1,10062994.0
1964,2280044.0,7.443,2280044.0,7.443,2280044.0,7.443,2280044.0,7.443,2.1,10062994.0
1965,2346005.0,7.442,2346005.0,7.442,2346005.0,7.442,2346005.0,7.442,2.1,10062994.0
1966,2414805.0,7.435,2414805.0,7.435,2414805.0,7.435,2414805.0,7.435,2.1,10062994.0
1967,2486418.0,7.417,2486418.0,7.417,2486418.0,7.417,2486418.0,7.417,2.1,10062994.0
1968,2560723.0,7.383,2560723.0,7.383,2560723.0,7.383,2560723.0,7.383,2.1,10062994.0
1969,2637515.0,7.334,2637515.0,7.334,2637515.0,7.334,2637515.0,7.334,2.1,10062994.0
1970,2716652.0,7.27,2716652.0,7.27,2716652.0,7.27,2716652.0,7.27,2.1,10062994.0
1971,2798125.0,7.195,2798125.0,7.195,2798125.0,7.195,2798125.0,7.195,2.1,10062994.0
1972,2882102.0,7.111,2882102.0,7.111,2882102.0,7.111,2882102.0,7.111,2.1,10062994.0
1973,2968978.0,7.025,2968978.0,7.025,2968978.0,7.025,2968978.0,7.025,2.1,10062994.0
1974,3059245.0,6.935,3059245.0,6.935,3059245.0,6.935,3059245.0,6.935,2.1,10062994.0
1975,3153252.0,6.844,3153252.0,6.844,3153252.0,6.844,3153252.0,6.844,2.1,10062994.0
1976,3251145.0,6.749,3251145.0,6.749,3251145.0,6.749,3251145.0,6.749,2.1,10062994.0
1977,3352825.0,6.649,3352825.0,6.649,3352825.0,6.649,3352825.0,6.649,2.1,10062994.0
1978,3458102.0,6.543,3458102.0,6.543,3458102.0,6.543,3458102.0,6.543,2.1,10062994.0
1979,3566661.0,6.431,3566661.0,6.431,3566661.0,6.431,3566661.0,6.431,2.1,10062994.0
1980,3678274.0,6.313,3678274.0,6.313,3678274.0,6.313,3678274.0,6.313,2.1,10062994.0
1981,3792922.0,6.19,3792922.0,6.19,3792922.0,6.19,3792922.0,6.19,2.1,10062994.0
1982,3910642.0,6.062,3910642.0,6.062,3910642.0,6.062,3910642.0,6.062,2.1,10062994.0
1983,4031333.0,5.932,4031333.0,5.932,4031333.0,5.932,4031333.0,5.932,2.1,10062994.0
1984,4154864.0,5.802,4154864.0,5.802,4154864.0,5.802,4154864.0,5.802,2.1,10062994.0
1985,4281167.0,5.674,4281167.0,5.674,4281167.0,5.674,4281167.0,5.674,2.1,10062994.0
1986,4410270.0,5.55,4410270.0,5.55,4410270.0,5.55,4410270.0,5.55,2.1,10062994.0
1987,4542218.0,5.432,4542218.0,5.432,4542218.0,5.432,4542218.0,5.432,2.1,10062994.0
1988,4677023.0,5.321,4677023.0,5.321,4677023.0,5.321,4677023.0,5.321,2.1,10062994.0
