year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,161734348.0,6.718491016,161734348.0,6.718491016,161734348.0,6.718491016,161734348.0,6.718491016,2.1,845522272.0
1961,165573136.0,6.734584835,165573136.0,6.734584835,165573136.0,6.734584835,165573136.0,6.734584835,2.1,845522272.0
1962,169567052.0,6.750831087,169567052.0,6.750831087,169567052.0,6.750831087,169567052.0,6.750831087,2.1,845522272.0
1963,173722891.0,6.766856171,173722891.0,6.766856171,173722891.0,6.766856171,173722891.0,6.766856171,2.1,845522272.0
1964,178048131.0,6.781717655,178048131.0,6.781717655,178048131.0,6.781717655,178048131.0,6.781717655,2.1,845522272.0
1965,182548798.0,6.795580253,182548798.0,6.795580253,182548798.0,6.795580253,182548798.0,6.795580253,2.1,845522272.0
1966,187227553.0,6.808417395,187227553.0,6.808417395,187227553.0,6.808417395,187227553.0,6.808417395,2.1,845522272.0
1967,192084675.0,6.821094031,192084675.0,6.821094031,192084675.0,6.821094031,192084675.0,6.821094031,2.1,845522272.0
1968,197119416.0,6.833318508,197119416.0,6.833318508,197119416.0,6.833318508,197119416.0,6.833318508,2.1,845522272.0
1969,202329958.0,6.845316602,202329958.0,6.845316602,202329958.0,6.845316602,202329958.0,6.845316602,2.1,845522272.0
1970,207714326.0,6.857081005,207714326.0,6.857081005,207714326.0,6.857081005,207714326.0,6.857081005,2.1,845522272.0
1971,213272593.0,6.868327093,213272593.0,6.868327093,213272593.0,6.868327093,213272593.0,6.868327093,2.1,845522272.0
1972,219004306.0,6.879079208,219004306.0,6.879079208,219004306.0,6.879079208,219004306.0,6.879079208,2.1,845522272.0
1973,224905337.0,6.88897812,224905337.0,6.88897812,224905337.0,6.88897812,224905337.0,6.88897812,2.1,845522272.0
1974,230970270.0,6.897255735,230970270.0,6.897255735,230970270.0,6.897255735,230970270.0,6.897255735,2.1,845522272.0
1975,237195030.0,6.904025704,237195030.0,6.904025704,237195030.0,6.904025704,237195030.0,6.904025704,2.1,845522272.0
1976,243590882.0,6.909176749,243590882.0,6.909176749,243590882.0,6.909176749,243590882.0,6.909176749,2.1,845522272.0
1977,250160343.0,6.912310012,250160343.0,6.912310012,250160343.0,6.912310012,250160343.0,6.912310012,2.1,845522272.0
1978,256880818.0,6.913175031,256880818.0,6.913175031,256880818.0,6.913175031,256880818.0,6.913175031,2.1,845522272.0
1979,263721632.0,6.911024307,263721632.0,6.911024307,263721632.0,6.911024307,263721632.0,6.911024307,2.1,845522272.0
