year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4140181.0,2.288,4140181.0,2.288,4140181.0,2.288,4140181.0,2.288,2.1,3899000.0
1961,4167292.0,2.253,4167292.0,2.253,4167292.0,2.253,4167292.0,2.253,2.1,3899000.0
1962,4196712.0,2.218,4196712.0,2.218,4196712.0,2.218,4196712.0,2.218,2.1,3899000.0
1963,4225675.0,2.18,4225675.0,2.18,4225675.0,2.18,4225675.0,2.18,2.1,3899000.0
1964,4252876.0,2.14,4252876.0,2.14,4252876.0,2.14,4252876.0,2.14,2.1,3899000.0
1965,4280923.0,2.1,4280923.0,2.1,4280923.0,2.1,4280923.0,2.1,2.1,3899000.0
1966,4310701.0,2.062,4310701.0,2.062,4310701.0,2.062,4310701.0,2.062,2.1,3899000.0
1967,4338683.0,2.03,4338683.0,2.03,4338683.0,2.03,4338683.0,2.03,2.1,3899000.0
1968,4365628.0,2.006,4365628.0,2.006,4365628.0,2.006,4365628.0,2.006,2.1,3899000.0
1969,4391490.0,1.989,4391490.0,1.989,4391490.0,1.989,4391490.0,1.989,2.1,3899000.0
1970,4412252.0,1.979,4412252.0,1.979,4412252.0,1.979,4412252.0,1.979,2.1,3899000.0
1971,4431275.0,1.973,4431275.0,1.973,4431275.0,1.973,4431275.0,1.973,2.1,3899000.0
1972,4450564.0,1.967,4450564.0,1.967,4450564.0,1.967,4450564.0,1.967,2.1,3899000.0
1973,4470161.0,1.96,4470161.0,1.96,4470161.0,1.96,4470161.0,1.96,2.1,3899000.0
1974,4490660.0,1.95,4490660.0,1.95,4490660.0,1.95,4490660.0,1.95,2.1,3899000.0
1975,4512082.0,1.937,4512082.0,1.937,4512082.0,1.937,4512082.0,1.937,2.1,3899000.0
1976,4535934.0,1.925,4535934.0,1.925,4535934.0,1.925,4535934.0,1.925,2.1,3899000.0
1977,4559571.0,1.913,4559571.0,1.913,4559571.0,1.913,4559571.0,1.913,2.1,3899000.0
1978,4581085.0,1.903,4581085.0,1.903,4581085.0,1.903,4581085.0,1.903,2.1,3899000.0
1979,4594778.0,1.895,4594778.0,1.895,4594778.0,1.895,4594778.0,1.895,2.1,3899000.0
1980,4599782.0,1.888,4599782.0,1.888,4599782.0,1.888,4599782.0,1.888,2.1,3899000.0
1981,4611509.0,1.879,4611509.0,1.879,4611509.0,1.879,4611509.0,1.879,2.1,3899000.0
1982,4634234.0,1.9,4634234.0,1.9,4634234.0,1.9,4634234.0,1.9,2.1,3899000.0
1983,4658254.0,1.88,4658254.0,1.88,4658254.0,1.88,4658254.0,1.88,2.1,3899000.0
1984,4680285.0,1.87,4680285.0,1.87,4680285.0,1.87,4680285.0,1.87,2.1,3899000.0
1985,4701417.0,1.82,4701417.0,1.82,4701417.0,1.82,4701417.0,1.82,2.1,3899000.0
1986,4721446.0,1.76,4721446.0,1.76,4721446.0,1.76,4721446.0,1.76,2.1,3899000.0
1987,4739745.0,1.64,4739745.0,1.64,4739745.0,1.64,4739745.0,1.64,2.1,3899000.0
1988,4755207.0,1.79,4755207.0,1.79,4755207.0,1.79,4755207.0,1.79,2.1,3899000.0
1989,4767260.0,1.63,4767260.0,1.63,4767260.0,1.63,4767260.0,1.63,2.1,3899000.0
1990,4777368.0,1.63,4777368.0,1.63,4777368.0,1.63,4777368.0,1.63,2.1,3899000.0
1991,4689022.0,1.53,4689022.0,1.53,4689022.0,1.53,4689022.0,1.53,2.1,3899000.0
1992,4575818.0,1.48,4575818.0,1.48,4575818.0,1.48,4575818.0,1.48,2.1,3899000.0
1993,4600463.0,1.52,4600463.0,1.52,4600463.0,1.52,4600463.0,1.52,2.1,3899000.0
1994,4652024.0,1.47,4652024.0,1.47,4652024.0,1.47,4652024.0,1.47,2.1,3899000.0
1995,4620030.0,1.58,4620030.0,1.58,4620030.0,1.58,4620030.0,1.58,2.1,3899000.0
1996,4557097.0,1.67,4557097.0,1.67,4557097.0,1.67,4557097.0,1.67,2.1,3899000.0
1997,4534920.0,1.69,4534920.0,1.69,4534920.0,1.69,4534920.0,1.69,2.1,3899000.0
1998,4532135.0,1.45,4532135.0,1.45,4532135.0,1.45,4532135.0,1.45,2.1,3899000.0
