year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3866162.0,6.324,3866162.0,6.324,3866162.0,6.324,3866162.0,6.324,2.1,11541683.0
1961,3941956.0,6.318,3941956.0,6.318,3941956.0,6.318,3941956.0,6.318,2.1,11541683.0
1962,4019171.0,6.302,4019171.0,6.302,4019171.0,6.302,4019171.0,6.302,2.1,11541683.0
1963,4097755.0,6.274,4097755.0,6.274,4097755.0,6.274,4097755.0,6.274,2.1,11541683.0
1964,4177631.0,6.233,4177631.0,6.233,4177631.0,6.233,4177631.0,6.233,2.1,11541683.0
1965,4258734.0,6.179,4258734.0,6.179,4258734.0,6.179,4258734.0,6.179,2.1,11541683.0
1966,4341325.0,6.109,4341325.0,6.109,4341325.0,6.109,4341325.0,6.109,2.1,11541683.0
1967,4425318.0,6.026,4425318.0,6.026,4425318.0,6.026,4425318.0,6.026,2.1,11541683.0
1968,4509811.0,5.937,4509811.0,5.937,4509811.0,5.937,4509811.0,5.937,2.1,11541683.0
1969,4593666.0,5.846,4593666.0,5.846,4593666.0,5.846,4593666.0,5.846,2.1,11541683.0
1970,4676237.0,5.762,4676237.0,5.762,4676237.0,5.762,4676237.0,5.762,2.1,11541683.0
1971,4757175.0,5.692,4757175.0,5.692,4757175.0,5.692,4757175.0,5.692,2.1,11541683.0
1972,4837334.0,5.642,4837334.0,5.642,4837334.0,5.642,4837334.0,5.642,2.1,11541683.0
1973,4918625.0,5.615,4918625.0,5.615,4918625.0,5.615,4918625.0,5.615,2.1,11541683.0
1974,5003708.0,5.614,5003708.0,5.614,5003708.0,5.614,5003708.0,5.614,2.1,11541683.0
1975,5094570.0,5.641,5094570.0,5.641,5094570.0,5.641,5094570.0,5.641,2.1,11541683.0
1976,5191637.0,5.698,5191637.0,5.698,5191637.0,5.698,5191637.0,5.698,2.1,11541683.0
1977,5294625.0,5.778,5294625.0,5.778,5294625.0,5.778,5294625.0,5.778,2.1,11541683.0
1978,5404020.0,5.872,5404020.0,5.872,5404020.0,5.872,5404020.0,5.872,2.1,11541683.0
1979,5520187.0,5.97,5520187.0,5.97,5520187.0,5.97,5520187.0,5.97,2.1,11541683.0
1980,5643175.0,6.058,5643175.0,6.058,5643175.0,6.058,5643175.0,6.058,2.1,11541683.0
1981,5773367.0,6.122,5773367.0,6.122,5773367.0,6.122,5773367.0,6.122,2.1,11541683.0
1982,5910223.0,6.154,5910223.0,6.154,5910223.0,6.154,5910223.0,6.154,2.1,11541683.0
1983,6051617.0,6.149,6051617.0,6.149,6051617.0,6.149,6051617.0,6.149,2.1,11541683.0
1984,6194686.0,6.106,6194686.0,6.106,6194686.0,6.106,6194686.0,6.106,2.1,11541683.0
1985,6337275.0,6.028,6337275.0,6.028,6337275.0,6.028,6337275.0,6.028,2.1,11541683.0
1986,6478537.0,5.921,6478537.0,5.921,6478537.0,5.921,6478537.0,5.921,2.1,11541683.0
1987,6618742.0,5.799,6618742.0,5.799,6618742.0,5.799,6618742.0,5.799,2.1,11541683.0
1988,6758222.0,5.673,6758222.0,5.673,6758222.0,5.673,6758222.0,5.673,2.1,11541683.0
1989,6897755.0,5.549,6897755.0,5.549,6897755.0,5.549,6897755.0,5.549,2.1,11541683.0
1990,7037915.0,5.43,7037915.0,5.43,7037915.0,5.43,7037915.0,5.43,2.1,11541683.0
1991,7178611.0,5.317,7178611.0,5.317,7178611.0,5.317,7178611.0,5.317,2.1,11541683.0
1992,7319491.0,5.208,7319491.0,5.208,7319491.0,5.208,7319491.0,5.208,2.1,11541683.0
1993,7460684.0,5.099,7460684.0,5.099,7460684.0,5.099,7460684.0,5.099,2.1,11541683.0
1994,7602318.0,4.991,7602318.0,4.991,7602318.0,4.991,7602318.0,4.991,2.1,11541683.0
1995,7744509.0,4.884,7744509.0,4.884,7744509.0,4.884,7744509.0,4.884,2.1,11541683.0
1996,7887312.0,4.777,7887312.0,4.777,7887312.0,4.777,7887312.0,4.777,2.1,11541683.0
1997,8030721.0,4.669,8030721.0,4.669,8030721.0,4.669,8030721.0,4.669,2.1,11541683.0
1998,8174680.0,4.561,8174680.0,4.561,8174680.0,4.561,8174680.0,4.561,2.1,11541683.0
1999,8319070.0,4.452,8319070.0,4.452,8319070.0,4.452,8319070.0,4.452,2.1,11541683.0
2000,8463802.0,4.344,8463802.0,4.344,8463802.0,4.344,8463802.0,4.344,2.1,11541683.0
2001,8608810.0,4.237,8608810.0,4.237,8608810.0,4.237,8608810.0,4.237,2.1,11541683.0
