year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9983967.0,2.02,9983967.0,2.02,9983967.0,2.02,9983967.0,2.02,2.1,9709886.0
1961,10029321.0,1.94,10029321.0,1.94,10029321.0,1.94,10029321.0,1.94,2.1,9709886.0
1962,10061734.0,1.79,10061734.0,1.79,10061734.0,1.79,10061734.0,1.79,2.1,9709886.0
1963,10087947.0,1.82,10087947.0,1.82,10087947.0,1.82,10087947.0,1.82,2.1,9709886.0
1964,10119835.0,1.82,10119835.0,1.82,10119835.0,1.82,10119835.0,1.82,2.1,9709886.0
1965,10147935.0,1.82,10147935.0,1.82,10147935.0,1.82,10147935.0,1.82,2.1,9709886.0
1966,10178653.0,1.89,10178653.0,1.89,10178653.0,1.89,10178653.0,1.89,2.1,9709886.0
1967,10216604.0,2.01,10216604.0,2.01,10216604.0,2.01,10216604.0,2.01,2.1,9709886.0
1968,10255815.0,2.06,10255815.0,2.06,10255815.0,2.06,10255815.0,2.06,2.1,9709886.0
1969,10298723.0,2.04,10298723.0,2.04,10298723.0,2.04,10298723.0,2.04,2.1,9709886.0
1970,10337910.0,1.98,10337910.0,1.98,10337910.0,1.98,10337910.0,1.98,2.1,9709886.0
1971,10367537.0,1.93,10367537.0,1.93,10367537.0,1.93,10367537.0,1.93,2.1,9709886.0
1972,10398489.0,1.93,10398489.0,1.93,10398489.0,1.93,10398489.0,1.93,2.1,9709886.0
1973,10432055.0,1.93,10432055.0,1.93,10432055.0,1.93,10432055.0,1.93,2.1,9709886.0
1974,10478720.0,2.27,10478720.0,2.27,10478720.0,2.27,10478720.0,2.27,2.1,9709886.0
1975,10540525.0,2.35,10540525.0,2.35,10540525.0,2.35,10540525.0,2.35,2.1,9709886.0
1976,10598677.0,2.23,10598677.0,2.23,10598677.0,2.23,10598677.0,2.23,2.1,9709886.0
1977,10648031.0,2.15,10648031.0,2.15,10648031.0,2.15,10648031.0,2.15,2.1,9709886.0
1978,10684822.0,2.06,10684822.0,2.06,10684822.0,2.06,10684822.0,2.06,2.1,9709886.0
1979,10704152.0,2.01,10704152.0,2.01,10704152.0,2.01,10704152.0,2.01,2.1,9709886.0
1980,10711122.0,1.91,10711122.0,1.91,10711122.0,1.91,10711122.0,1.91,2.1,9709886.0
1981,10711848.0,1.88,10711848.0,1.88,10711848.0,1.88,10711848.0,1.88,2.1,9709886.0
1982,10705535.0,1.8,10705535.0,1.8,10705535.0,1.8,10705535.0,1.8,2.1,9709886.0
1983,10689463.0,1.75,10689463.0,1.75,10689463.0,1.75,10689463.0,1.75,2.1,9709886.0
1984,10668095.0,1.75,10668095.0,1.75,10668095.0,1.75,10668095.0,1.75,2.1,9709886.0
1985,10648713.0,1.85,10648713.0,1.85,10648713.0,1.85,10648713.0,1.85,2.1,9709886.0
