year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1919643259.0,5.422176502,1919643259.0,5.422176502,1919643259.0,5.422176502,1919643259.0,5.422176502,2.1,4895295243.0
1961,1940356959.0,5.449492219,1940356959.0,5.449492219,1940356959.0,5.449492219,1940356959.0,5.449492219,2.1,4895295243.0
1962,1974018983.0,5.498584708,1974018983.0,5.498584708,1974018983.0,5.498584708,1974018983.0,5.498584708,2.1,4895295243.0
1963,2019553695.0,5.530880687,2019553695.0,5.530880687,2019553695.0,5.530880687,2019553695.0,5.530880687,2.1,4895295243.0
1964,2065153294.0,5.546449437,2065153294.0,5.546449437,2065153294.0,5.546449437,2065153294.0,5.546449437,2.1,4895295243.0
1965,2111931236.0,5.549606123,2111931236.0,5.549606123,2111931236.0,5.549606123,2111931236.0,5.549606123,2.1,4895295243.0
1966,2161881347.0,5.525301411,2161881347.0,5.525301411,2161881347.0,5.525301411,2161881347.0,5.525301411,2.1,4895295243.0
1967,2211446261.0,5.492042294,2211446261.0,5.492042294,2211446261.0,5.492042294,2211446261.0,5.492042294,2.1,4895295243.0
1968,2262350288.0,5.416693732,2262350288.0,5.416693732,2262350288.0,5.416693732,2262350288.0,5.416693732,2.1,4895295243.0
1969,2315407668.0,5.315695156,2315407668.0,5.315695156,2315407668.0,5.315695156,2315407668.0,5.315695156,2.1,4895295243.0
1970,2369907013.0,5.194671623,2369907013.0,5.194671623,2369907013.0,5.194671623,2369907013.0,5.194671623,2.1,4895295243.0
1971,2425733326.0,5.04082862,2425733326.0,5.04082862,2425733326.0,5.04082862,2425733326.0,5.04082862,2.1,4895295243.0
1972,2480636089.0,4.884042487,2480636089.0,4.884042487,2480636089.0,4.884042487,2480636089.0,4.884042487,2.1,4895295243.0
1973,2535259156.0,4.706561124,2535259156.0,4.706561124,2535259156.0,4.706561124,2535259156.0,4.706561124,2.1,4895295243.0
1974,2589035943.0,4.530839202,2589035943.0,4.530839202,2589035943.0,4.530839202,2589035943.0,4.530839202,2.1,4895295243.0
1975,2641036429.0,4.354032605,2641036429.0,4.354032605,2641036429.0,4.354032605,2641036429.0,4.354032605,2.1,4895295243.0
1976,2691929607.0,4.189017385,2691929607.0,4.189017385,2691929607.0,4.189017385,2691929607.0,4.189017385,2.1,4895295243.0
1977,2741759767.0,4.037433878,2741759767.0,4.037433878,2741759767.0,4.037433878,2741759767.0,4.037433878,2.1,4895295243.0
1978,2792102883.0,3.904481148,2792102883.0,3.904481148,2792102883.0,3.904481148,2792102883.0,3.904481148,2.1,4895295243.0
1979,2843436775.0,3.792662529,2843436775.0,3.792662529,2843436775.0,3.792662529,2843436775.0,3.792662529,2.1,4895295243.0
1980,2895270850.0,3.702424275,2895270850.0,3.702424275,2895270850.0,3.702424275,2895270850.0,3.702424275,2.1,4895295243.0
1981,2948643246.0,3.629928136,2948643246.0,3.629928136,2948643246.0,3.629928136,2948643246.0,3.629928136,2.1,4895295243.0
1982,3004914790.0,3.590512401,3004914790.0,3.590512401,3004914790.0,3.590512401,3004914790.0,3.590512401,2.1,4895295243.0
1983,3061809639.0,3.55583954,3061809639.0,3.55583954,3061809639.0,3.55583954,3061809639.0,3.55583954,2.1,4895295243.0
