year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2299245319.0,5.621266649,2299245319.0,5.621266649,2299245319.0,5.621266649,2299245319.0,5.621266649,2.1,6642614110.0
1961,2329154652.0,5.648792622,2329154652.0,5.648792622,2329154652.0,5.648792622,2329154652.0,5.648792622,2.1,6642614110.0
1962,2372380699.0,5.694836979,2372380699.0,5.694836979,2372380699.0,5.694836979,2372380699.0,5.694836979,2.1,6642614110.0
1963,2427869417.0,5.725170422,2427869417.0,5.725170422,2427869417.0,5.725170422,2427869417.0,5.725170422,2.1,6642614110.0
1964,2483839827.0,5.740942727,2483839827.0,5.740942727,2483839827.0,5.740942727,2483839827.0,5.740942727,2.1,6642614110.0
1965,2541414856.0,5.745636191,2541414856.0,5.745636191,2541414856.0,5.745636191,2541414856.0,5.745636191,2.1,6642614110.0
1966,2602626879.0,5.726930354,2602626879.0,5.726930354,2602626879.0,5.726930354,2602626879.0,5.726930354,2.1,6642614110.0
1967,2663895780.0,5.700334709,2663895780.0,5.700334709,2663895780.0,5.700334709,2663895780.0,5.700334709,2.1,6642614110.0
1968,2726850543.0,5.638323354,2726850543.0,5.638323354,2726850543.0,5.638323354,2726850543.0,5.638323354,2.1,6642614110.0
1969,2792171255.0,5.55475676,2792171255.0,5.55475676,2792171255.0,5.55475676,2792171255.0,5.55475676,2.1,6642614110.0
1970,2859058030.0,5.454403951,2859058030.0,5.454403951,2859058030.0,5.454403951,2859058030.0,5.454403951,2.1,6642614110.0
1971,2927364907.0,5.32513514,2927364907.0,5.32513514,2927364907.0,5.32513514,2927364907.0,5.32513514,2.1,6642614110.0
1972,2994908497.0,5.194779369,2994908497.0,5.194779369,2994908497.0,5.194779369,2994908497.0,5.194779369,2.1,6642614110.0
1973,3062459678.0,5.045986634,3062459678.0,5.045986634,3062459678.0,5.045986634,3062459678.0,5.045986634,2.1,6642614110.0
