year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,379602060.0,6.632185512,379602060.0,6.632185512,379602060.0,6.632185512,379602060.0,6.632185512,2.1,1747318867.0
1961,388797693.0,6.650667753,388797693.0,6.650667753,388797693.0,6.650667753,388797693.0,6.650667753,2.1,1747318867.0
1962,398361716.0,6.667757775,398361716.0,6.667757775,398361716.0,6.667757775,398361716.0,6.667757775,2.1,1747318867.0
1963,408315722.0,6.683157782,408315722.0,6.683157782,408315722.0,6.683157782,408315722.0,6.683157782,2.1,1747318867.0
1964,418686533.0,6.695961863,418686533.0,6.695961863,418686533.0,6.695961863,418686533.0,6.695961863,2.1,1747318867.0
1965,429483620.0,6.706733681,429483620.0,6.706733681,429483620.0,6.706733681,429483620.0,6.706733681,2.1,1747318867.0
1966,440745532.0,6.715881964,440745532.0,6.715881964,440745532.0,6.715881964,440745532.0,6.715881964,2.1,1747318867.0
1967,452449519.0,6.724046695,452449519.0,6.724046695,452449519.0,6.724046695,452449519.0,6.724046695,2.1,1747318867.0
1968,464500255.0,6.731168716,464500255.0,6.731168716,464500255.0,6.731168716,464500255.0,6.731168716,2.1,1747318867.0
1969,476763587.0,6.737235728,476763587.0,6.737235728,476763587.0,6.737235728,476763587.0,6.737235728,2.1,1747318867.0
1970,489151017.0,6.741435708,489151017.0,6.741435708,489151017.0,6.741435708,489151017.0,6.741435708,2.1,1747318867.0
1971,501631581.0,6.742716598,501631581.0,6.742716598,501631581.0,6.742716598,501631581.0,6.742716598,2.1,1747318867.0
1972,514272408.0,6.740943259,514272408.0,6.740943259,514272408.0,6.740943259,514272408.0,6.740943259,2.1,1747318867.0
1973,527200522.0,6.735267862,527200522.0,6.735267862,527200522.0,6.735267862,527200522.0,6.735267862,2.1,1747318867.0
1974,540611932.0,6.725238676,540611932.0,6.725238676,540611932.0,6.725238676,540611932.0,6.725238676,2.1,1747318867.0
1975,554638721.0,6.711107892,554638721.0,6.711107892,554638721.0,6.711107892,554638721.0,6.711107892,2.1,1747318867.0
1976,569333902.0,6.69301581,569333902.0,6.69301581,569333902.0,6.69301581,569333902.0,6.69301581,2.1,1747318867.0
1977,584668759.0,6.67142904,584668759.0,6.67142904,584668759.0,6.67142904,584668759.0,6.67142904,2.1,1747318867.0
1978,600606344.0,6.645981175,600606344.0,6.645981175,600606344.0,6.645981175,600606344.0,6.645981175,2.1,1747318867.0
1979,617082361.0,6.616093772,617082361.0,6.616093772,617082361.0,6.616093772,617082361.0,6.616093772,2.1,1747318867.0
1980,634044892.0,6.581057183,634044892.0,6.581057183,634044892.0,6.581057183,634044892.0,6.581057183,2.1,1747318867.0
1981,651493575.0,6.539320018,651493575.0,6.539320018,651493575.0,6.539320018,651493575.0,6.539320018,2.1,1747318867.0
1982,669455724.0,6.491320508,669455724.0,6.491320508,669455724.0,6.491320508,669455724.0,6.491320508,2.1,1747318867.0
1983,687955065.0,6.437015049,687955065.0,6.437015049,687955065.0,6.437015049,687955065.0,6.437015049,2.1,1747318867.0
1984,707012987.0,6.377102063,707012987.0,6.377102063,707012987.0,6.377102063,707012987.0,6.377102063,2.1,1747318867.0
1985,726646846.0,6.311089344,726646846.0,6.311089344,726646846.0,6.311089344,726646846.0,6.311089344,2.1,1747318867.0
1986,746853665.0,6.239466502,746853665.0,6.239466502,746853665.0,6.239466502,746853665.0,6.239466502,2.1,1747318867.0
1987,767619111.0,6.164619886,767619111.0,6.164619886,767619111.0,6.164619886,767619111.0,6.164619886,2.1,1747318867.0
