year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,120391642.0,6.521747783,120391642.0,6.521747783,120391642.0,6.521747783,120391642.0,6.521747783,2.1,586883422.0
1961,123270998.0,6.53602075,123270998.0,6.53602075,123270998.0,6.53602075,123270998.0,6.53602075,2.1,586883422.0
1962,126289838.0,6.547087059,126289838.0,6.547087059,126289838.0,6.547087059,126289838.0,6.547087059,2.1,586883422.0
1963,129443834.0,6.555348782,129443834.0,6.555348782,129443834.0,6.555348782,129443834.0,6.555348782,2.1,586883422.0
1964,132726682.0,6.560677712,132726682.0,6.560677712,132726682.0,6.560677712,132726682.0,6.560677712,2.1,586883422.0
1965,136134348.0,6.564929325,136134348.0,6.564929325,136134348.0,6.564929325,136134348.0,6.564929325,2.1,586883422.0
1966,139672971.0,6.57014533,139672971.0,6.57014533,139672971.0,6.57014533,139672971.0,6.57014533,2.1,586883422.0
1967,143347860.0,6.577635388,143347860.0,6.577635388,143347860.0,6.577635388,143347860.0,6.577635388,2.1,586883422.0
1968,147154758.0,6.588120067,147154758.0,6.588120067,147154758.0,6.588120067,147154758.0,6.588120067,2.1,586883422.0
1969,151087339.0,6.601376838,151087339.0,6.601376838,151087339.0,6.601376838,151087339.0,6.601376838,2.1,586883422.0
1970,155145837.0,6.616571215,155145837.0,6.616571215,155145837.0,6.616571215,155145837.0,6.616571215,2.1,586883422.0
1971,159323709.0,6.631772195,159323709.0,6.631772195,159323709.0,6.631772195,159323709.0,6.631772195,2.1,586883422.0
1972,163635977.0,6.646272807,163635977.0,6.646272807,163635977.0,6.646272807,163635977.0,6.646272807,2.1,586883422.0
1973,168129765.0,6.656998693,168129765.0,6.656998693,168129765.0,6.656998693,168129765.0,6.656998693,2.1,586883422.0
1974,172867304.0,6.662652726,172867304.0,6.662652726,172867304.0,6.662652726,172867304.0,6.662652726,2.1,586883422.0
1975,177892039.0,6.662167511,177892039.0,6.662167511,177892039.0,6.662167511,177892039.0,6.662167511,2.1,586883422.0
1976,183221937.0,6.654416269,183221937.0,6.654416269,183221937.0,6.654416269,183221937.0,6.654416269,2.1,586883422.0
1977,188841826.0,6.639971938,188841826.0,6.639971938,188841826.0,6.639971938,188841826.0,6.639971938,2.1,586883422.0
1978,194720560.0,6.618472612,194720560.0,6.618472612,194720560.0,6.618472612,194720560.0,6.618472612,2.1,586883422.0
1979,200810543.0,6.590965079,200810543.0,6.590965079,200810543.0,6.590965079,200810543.0,6.590965079,2.1,586883422.0
1980,207074946.0,6.558100504,207074946.0,6.558100504,207074946.0,6.558100504,207074946.0,6.558100504,2.1,586883422.0
1981,213499720.0,6.520374345,213499720.0,6.520374345,213499720.0,6.520374345,213499720.0,6.520374345,2.1,586883422.0
1982,220088448.0,6.479116434,220088448.0,6.479116434,220088448.0,6.479116434,220088448.0,6.479116434,2.1,586883422.0
1983,226841896.0,6.435099847,226841896.0,6.435099847,226841896.0,6.435099847,226841896.0,6.435099847,2.1,586883422.0
1984,233765810.0,6.389315135,233765810.0,6.389315135,233765810.0,6.389315135,233765810.0,6.389315135,2.1,586883422.0
1985,240860675.0,6.340835754,240860675.0,6.340835754,240860675.0,6.340835754,240860675.0,6.340835754,2.1,586883422.0
1986,248127780.0,6.288419532,248127780.0,6.288419532,248127780.0,6.288419532,248127780.0,6.288419532,2.1,586883422.0
1987,255551895.0,6.235982218,255551895.0,6.235982218,255551895.0,6.235982218,255551895.0,6.235982218,2.1,586883422.0
1988,263097505.0,6.162073682,263097505.0,6.162073682,263097505.0,6.162073682,263097505.0,6.162073682,2.1,586883422.0
1989,270718966.0,6.092312215,270718966.0,6.092312215,270718966.0,6.092312215,270718966.0,6.092312215,2.1,586883422.0
1990,278496624.0,6.016782951,278496624.0,6.016782951,278496624.0,6.016782951,278496624.0,6.016782951,2.1,586883422.0
1991,286142541.0,5.957189046,286142541.0,5.957189046,286142541.0,5.957189046,286142541.0,5.957189046,2.1,586883422.0
1992,293874928.0,5.869515792,293874928.0,5.869515792,293874928.0,5.869515792,293874928.0,5.869515792,2.1,586883422.0
1993,301679823.0,5.779988826,301679823.0,5.779988826,301679823.0,5.779988826,301679823.0,5.779988826,2.1,586883422.0
1994,309568084.0,5.68645292,309568084.0,5.68645292,309568084.0,5.68645292,309568084.0,5.68645292,2.1,586883422.0
1995,317616125.0,5.618422907,317616125.0,5.618422907,317616125.0,5.618422907,317616125.0,5.618422907,2.1,586883422.0
