year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,87751066.0,5.666,87751066.0,5.666,87751066.0,5.666,87751066.0,5.666,2.1,276361788.0
1961,90098396.0,5.656,90098396.0,5.656,90098396.0,5.656,90098396.0,5.656,2.1,276361788.0
1962,92518373.0,5.645,92518373.0,5.645,92518373.0,5.645,92518373.0,5.645,2.1,276361788.0
1963,95015295.0,5.634,95015295.0,5.634,95015295.0,5.634,95015295.0,5.634,2.1,276361788.0
1964,97596728.0,5.623,97596728.0,5.623,97596728.0,5.623,97596728.0,5.623,2.1,276361788.0
1965,100267070.0,5.612,100267070.0,5.612,100267070.0,5.612,100267070.0,5.612,2.1,276361788.0
1966,103025423.0,5.599,103025423.0,5.599,103025423.0,5.599,103025423.0,5.599,2.1,276361788.0
1967,105865576.0,5.582,105865576.0,5.582,105865576.0,5.582,105865576.0,5.582,2.1,276361788.0
1968,108779926.0,5.556,108779926.0,5.556,108779926.0,5.556,108779926.0,5.556,2.1,276361788.0
1969,111758566.0,5.521,111758566.0,5.521,111758566.0,5.521,111758566.0,5.521,2.1,276361788.0
1970,114793179.0,5.474,114793179.0,5.474,114793179.0,5.474,114793179.0,5.474,2.1,276361788.0
1971,117880146.0,5.413,117880146.0,5.413,117880146.0,5.413,117880146.0,5.413,2.1,276361788.0
1972,121017316.0,5.338,121017316.0,5.338,121017316.0,5.338,121017316.0,5.338,2.1,276361788.0
1973,124199693.0,5.251,124199693.0,5.251,124199693.0,5.251,124199693.0,5.251,2.1,276361788.0
1974,127422198.0,5.152,127422198.0,5.152,127422198.0,5.152,127422198.0,5.152,2.1,276361788.0
1975,130680730.0,5.043,130680730.0,5.043,130680730.0,5.043,130680730.0,5.043,2.1,276361788.0
1976,133966940.0,4.927,133966940.0,4.927,133966940.0,4.927,133966940.0,4.927,2.1,276361788.0
1977,137278057.0,4.806,137278057.0,4.806,137278057.0,4.806,137278057.0,4.806,2.1,276361788.0
1978,140621731.0,4.682,140621731.0,4.682,140621731.0,4.682,140621731.0,4.682,2.1,276361788.0
1979,144009844.0,4.557,144009844.0,4.557,144009844.0,4.557,144009844.0,4.557,2.1,276361788.0
1980,147447834.0,4.43,147447834.0,4.43,147447834.0,4.43,147447834.0,4.43,2.1,276361788.0
1981,150938222.0,4.301,150938222.0,4.301,150938222.0,4.301,150938222.0,4.301,2.1,276361788.0
1982,154468235.0,4.167,154468235.0,4.167,154468235.0,4.167,154468235.0,4.167,2.1,276361788.0
