year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,259210418.0,6.682539064,259210418.0,6.682539064,259210418.0,6.682539064,259210418.0,6.682539064,2.1,1160435445.0
1961,265526695.0,6.702986969,265526695.0,6.702986969,265526695.0,6.702986969,265526695.0,6.702986969,2.1,1160435445.0
1962,272071878.0,6.722877393,272071878.0,6.722877393,272071878.0,6.722877393,272071878.0,6.722877393,2.1,1160435445.0
1963,278871888.0,6.74157674,278871888.0,6.74157674,278871888.0,6.74157674,278871888.0,6.74157674,2.1,1160435445.0
1964,285959851.0,6.757802109,285959851.0,6.757802109,285959851.0,6.757802109,285959851.0,6.757802109,2.1,1160435445.0
1965,293349272.0,6.771518495,293349272.0,6.771518495,293349272.0,6.771518495,293349272.0,6.771518495,2.1,1160435445.0
1966,301072561.0,6.782448214,301072561.0,6.782448214,301072561.0,6.782448214,301072561.0,6.782448214,2.1,1160435445.0
1967,309101659.0,6.790873028,309101659.0,6.790873028,309101659.0,6.790873028,309101659.0,6.790873028,2.1,1160435445.0
1968,317345497.0,6.796407026,317345497.0,6.796407026,317345497.0,6.796407026,317345497.0,6.796407026,2.1,1160435445.0
1969,325676248.0,6.799167003,325676248.0,6.799167003,325676248.0,6.799167003,325676248.0,6.799167003,2.1,1160435445.0
1970,334005180.0,6.798364227,334005180.0,6.798364227,334005180.0,6.798364227,334005180.0,6.798364227,2.1,1160435445.0
1971,342307872.0,6.793439472,342307872.0,6.793439472,342307872.0,6.793439472,342307872.0,6.793439472,2.1,1160435445.0
1972,350636431.0,6.784367525,350636431.0,6.784367525,350636431.0,6.784367525,350636431.0,6.784367525,2.1,1160435445.0
1973,359070757.0,6.771306819,359070757.0,6.771306819,359070757.0,6.771306819,359070757.0,6.771306819,2.1,1160435445.0
1974,367744628.0,6.754184221,367744628.0,6.754184221,367744628.0,6.754184221,367744628.0,6.754184221,2.1,1160435445.0
1975,376746682.0,6.733854578,376746682.0,6.733854578,376746682.0,6.733854578,376746682.0,6.733854578,2.1,1160435445.0
1976,386111965.0,6.711065175,386111965.0,6.711065175,386111965.0,6.711065175,386111965.0,6.711065175,2.1,1160435445.0
1977,395826933.0,6.686230057,395826933.0,6.686230057,395826933.0,6.686230057,395826933.0,6.686230057,2.1,1160435445.0
1978,405885784.0,6.659004051,405885784.0,6.659004051,405885784.0,6.659004051,405885784.0,6.659004051,2.1,1160435445.0
1979,416271818.0,6.628059035,416271818.0,6.628059035,416271818.0,6.628059035,416271818.0,6.628059035,2.1,1160435445.0
1980,426969946.0,6.592046274,426969946.0,6.592046274,426969946.0,6.592046274,426969946.0,6.592046274,2.1,1160435445.0
1981,437993855.0,6.54844022,437993855.0,6.54844022,437993855.0,6.54844022,437993855.0,6.54844022,2.1,1160435445.0
1982,449367276.0,6.497224669,449367276.0,6.497224669,449367276.0,6.497224669,449367276.0,6.497224669,2.1,1160435445.0
1983,461113169.0,6.43794554,461113169.0,6.43794554,461113169.0,6.43794554,461113169.0,6.43794554,2.1,1160435445.0
1984,473247177.0,6.37114762,473247177.0,6.37114762,473247177.0,6.37114762,473247177.0,6.37114762,2.1,1160435445.0
1985,485786171.0,6.296546477,485786171.0,6.296546477,485786171.0,6.296546477,485786171.0,6.296546477,2.1,1160435445.0
1986,498725885.0,6.215470436,498725885.0,6.215470436,498725885.0,6.215470436,498725885.0,6.215470436,2.1,1160435445.0
1987,512067216.0,6.129581133,512067216.0,6.129581133,512067216.0,6.129581133,512067216.0,6.129581133,2.1,1160435445.0
1988,525840604.0,6.040853456,525840604.0,6.040853456,525840604.0,6.040853456,525840604.0,6.040853456,2.1,1160435445.0
1989,540106603.0,5.950067443,540106603.0,5.950067443,540106603.0,5.950067443,540106603.0,5.950067443,2.1,1160435445.0
1990,554867390.0,5.859827749,554867390.0,5.859827749,554867390.0,5.859827749,554867390.0,5.859827749,2.1,1160435445.0
1991,570148218.0,5.773599293,570148218.0,5.773599293,570148218.0,5.773599293,570148218.0,5.773599293,2.1,1160435445.0
1992,585899345.0,5.691343175,585899345.0,5.691343175,585899345.0,5.691343175,585899345.0,5.691343175,2.1,1160435445.0
1993,601965900.0,5.611477135,601965900.0,5.611477135,601965900.0,5.611477135,601965900.0,5.611477135,2.1,1160435445.0
1994,618224538.0,5.534919118,618224538.0,5.534919118,618224538.0,5.534919118,618224538.0,5.534919118,2.1,1160435445.0
1995,634606326.0,5.46413027,634606326.0,5.46413027,634606326.0,5.46413027,634606326.0,5.46413027,2.1,1160435445.0
1996,651028352.0,5.387464704,651028352.0,5.387464704,651028352.0,5.387464704,651028352.0,5.387464704,2.1,1160435445.0
1997,667508390.0,5.311831774,667508390.0,5.311831774,667508390.0,5.311831774,667508390.0,5.311831774,2.1,1160435445.0
1998,684006262.0,5.238002291,684006262.0,5.238002291,684006262.0,5.238002291,684006262.0,5.238002291,2.1,1160435445.0
1999,700728468.0,5.16274454,700728468.0,5.16274454,700728468.0,5.16274454,700728468.0,5.16274454,2.1,1160435445.0
2000,717995606.0,5.086994071,717995606.0,5.086994071,717995606.0,5.086994071,717995606.0,5.086994071,2.1,1160435445.0
2001,735758647.0,5.013186075,735758647.0,5.013186075,735758647.0,5.013186075,735758647.0,5.013186075,2.1,1160435445.0
2002,753924123.0,4.940922526,753924123.0,4.940922526,753924123.0,4.940922526,753924123.0,4.940922526,2.1,1160435445.0
2003,772456504.0,4.870325236,772456504.0,4.870325236,772456504.0,4.870325236,772456504.0,4.870325236,2.1,1160435445.0
2004,791288301.0,4.801072646,791288301.0,4.801072646,791288301.0,4.801072646,791288301.0,4.801072646,2.1,1160435445.0
2005,810355268.0,4.731174725,810355268.0,4.731174725,810355268.0,4.731174725,810355268.0,4.731174725,2.1,1160435445.0
2006,829685516.0,4.662010415,829685516.0,4.662010415,829685516.0,4.662010415,829685516.0,4.662010415,2.1,1160435445.0
2007,849281094.0,4.592245027,849281094.0,4.592245027,849281094.0,4.592245027,849281094.0,4.592245027,2.1,1160435445.0
2008,869106828.0,4.524074183,869106828.0,4.524074183,869106828.0,4.524074183,869106828.0,4.524074183,2.1,1160435445.0
2009,889124646.0,4.45710919,889124646.0,4.45710919,889124646.0,4.45710919,889124646.0,4.45710919,2.1,1160435445.0
2010,909297040.0,4.392531622,909297040.0,4.392531622,909297040.0,4.392531622,909297040.0,4.392531622,2.1,1160435445.0
2011,929606135.0,4.326908231,929606135.0,4.326908231,929606135.0,4.326908231,929606135.0,4.326908231,2.1,1160435445.0
2012,950126838.0,4.264039895,950126838.0,4.264039895,950126838.0,4.264039895,950126838.0,4.264039895,2.1,1160435445.0
2013,970986671.0,4.201582313,970986671.0,4.201582313,970986671.0,4.201582313,970986671.0,4.201582313,2.1,1160435445.0
2014,992345383.0,4.142182479,992345383.0,4.142182479,992345383.0,4.142182479,992345383.0,4.142182479,2.1,1160435445.0
