year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,48444.0,,48444.0,,48444.0,,48444.0,,2.1,85410.0
1961,48286.0,2.707,48286.0,2.707,48286.0,2.707,48286.0,2.707,2.1,85410.0
1962,48421.0,,48421.0,,48421.0,,48421.0,,2.1,85410.0
1963,48800.0,,48800.0,,48800.0,,48800.0,,2.1,85410.0
1964,49396.0,,49396.0,,49396.0,,49396.0,,2.1,85410.0
1965,50145.0,,50145.0,,50145.0,,50145.0,,2.1,85410.0
1966,51051.0,,51051.0,,51051.0,,51051.0,,2.1,85410.0
1967,52117.0,,52117.0,,52117.0,,52117.0,,2.1,85410.0
1968,53252.0,,53252.0,,53252.0,,53252.0,,2.1,85410.0
1969,54378.0,,54378.0,,54378.0,,54378.0,,2.1,85410.0
1970,55431.0,,55431.0,,55431.0,,55431.0,,2.1,85410.0
1971,56352.0,,56352.0,,56352.0,,56352.0,,2.1,85410.0
1972,57166.0,,57166.0,,57166.0,,57166.0,,2.1,85410.0
1973,57919.0,,57919.0,,57919.0,,57919.0,,2.1,85410.0
1974,58673.0,,58673.0,,58673.0,,58673.0,,2.1,85410.0
1975,59482.0,,59482.0,,59482.0,,59482.0,,2.1,85410.0
1976,60374.0,,60374.0,,60374.0,,60374.0,,2.1,85410.0
1977,61335.0,,61335.0,,61335.0,,61335.0,,2.1,85410.0
1978,62260.0,,62260.0,,62260.0,,62260.0,,2.1,85410.0
1979,63026.0,,63026.0,,63026.0,,63026.0,,2.1,85410.0
1980,63546.0,,63546.0,,63546.0,,63546.0,,2.1,85410.0
1981,63778.0,,63778.0,,63778.0,,63778.0,,2.1,85410.0
1982,63765.0,,63765.0,,63765.0,,63765.0,,2.1,85410.0
1983,63697.0,,63697.0,,63697.0,,63697.0,,2.1,85410.0
1984,63812.0,,63812.0,,63812.0,,63812.0,,2.1,85410.0
1985,64277.0,,64277.0,,64277.0,,64277.0,,2.1,85410.0
1986,65200.0,,65200.0,,65200.0,,65200.0,,2.1,85410.0
1987,66476.0,,66476.0,,66476.0,,66476.0,,2.1,85410.0
1988,67927.0,,67927.0,,67927.0,,67927.0,,2.1,85410.0
1989,69263.0,,69263.0,,69263.0,,69263.0,,2.1,85410.0
1990,70292.0,,70292.0,,70292.0,,70292.0,,2.1,85410.0
1991,70928.0,,70928.0,,70928.0,,70928.0,,2.1,85410.0
1992,71262.0,,71262.0,,71262.0,,71262.0,,2.1,85410.0
1993,71431.0,,71431.0,,71431.0,,71431.0,,2.1,85410.0
1994,71662.0,1.8,71662.0,1.8,71662.0,1.8,71662.0,1.8,2.1,85410.0
1995,72133.0,,72133.0,,72133.0,,72133.0,,2.1,85410.0
1996,72884.0,,72884.0,,72884.0,,72884.0,,2.1,85410.0
1997,73851.0,,73851.0,,73851.0,,73851.0,,2.1,85410.0
1998,74936.0,,74936.0,,74936.0,,74936.0,,2.1,85410.0
1999,75996.0,,75996.0,,75996.0,,75996.0,,2.1,85410.0
2000,76942.0,,76942.0,,76942.0,,76942.0,,2.1,85410.0
2001,77707.0,,77707.0,,77707.0,,77707.0,,2.1,85410.0
2002,78318.0,1.65,78318.0,1.65,78318.0,1.65,78318.0,1.65,2.1,85410.0
2003,78878.0,,78878.0,,78878.0,,78878.0,,2.1,85410.0
2004,79515.0,,79515.0,,79515.0,,79515.0,,2.1,85410.0
2005,80293.0,,80293.0,,80293.0,,80293.0,,2.1,85410.0
2006,81283.0,,81283.0,,81283.0,,81283.0,,2.1,85410.0
2007,82406.0,,82406.0,,82406.0,,82406.0,,2.1,85410.0
2008,83515.0,,83515.0,,83515.0,,83515.0,,2.1,85410.0
2009,84379.0,,84379.0,,84379.0,,84379.0,,2.1,85410.0
2010,84856.0,,84856.0,,84856.0,,84856.0,,2.1,85410.0
2011,84889.0,,84889.0,,84889.0,,84889.0,,2.1,85410.0
2012,84534.0,,84534.0,,84534.0,,84534.0,,2.1,85410.0
2013,83985.0,,83985.0,,83985.0,,83985.0,,2.1,85410.0
2014,83488.0,,83488.0,,83488.0,,83488.0,,2.1,85410.0
2015,83232.0,,83232.0,,83232.0,,83232.0,,2.1,85410.0
2016,83296.0,,83296.0,,83296.0,,83296.0,,2.1,85410.0
2017,83610.0,,83610.0,,83610.0,,83610.0,,2.1,85410.0
2018,84073.0,,84073.0,,84073.0,,84073.0,,2.1,85410.0
2019,84589.0,,84589.0,,84589.0,,84589.0,,2.1,85410.0
2020,85032.0,,85032.0,,85032.0,,85032.0,,2.1,85410.0
2021,85410.0,,85410.0,,85410.0,,85410.0,,2.1,85410.0
2022,,,,,,,,,2.1,85410.0
2023,,,,,,,,,2.1,85410.0
2024,,,,,,,,,2.1,85410.0
2025,,,,,,,,,2.1,85410.0
2026,,,,,,,,,2.1,85410.0
2027,,,,,,,,,2.1,85410.0
2028,,,,,,,,,2.1,85410.0
2029,,,,,,,,,2.1,85410.0
2030,,,,,,,,,2.1,85410.0
2031,,,,,,,,,2.1,85410.0
2032,,,,,,,,,2.1,85410.0
2033,,,,,,,,,2.1,85410.0
2034,,,,,,,,,2.1,85410.0
2035,,,,,,,,,2.1,85410.0
2036,,,,,,,,,2.1,85410.0
2037,,,,,,,,,2.1,85410.0
2038,,,,,,,,,2.1,85410.0
2039,,,,,,,,,2.1,85410.0
2040,,,,,,,,,2.1,85410.0
2041,,,,,,,,,2.1,85410.0
2042,,,,,,,,,2.1,85410.0
2043,,,,,,,,,2.1,85410.0
2044,,,,,,,,,2.1,85410.0
2045,,,,,,,,,2.1,85410.0
2046,,,,,,,,,2.1,85410.0
2047,,,,,,,,,2.1,85410.0
2048,,,,,,,,,2.1,85410.0
2049,,,,,,,,,2.1,85410.0
2050,,,,,,,,,2.1,85410.0
2051,,,,,,,,,2.1,85410.0
2052,,,,,,,,,2.1,85410.0
2053,,,,,,,,,2.1,85410.0
2054,,,,,,,,,2.1,85410.0
2055,,,,,,,,,2.1,85410.0
2056,,,,,,,,,2.1,85410.0
2057,,,,,,,,,2.1,85410.0
2058,,,,,,,,,2.1,85410.0
2059,,,,,,,,,2.1,85410.0
2060,,,,,,,,,2.1,85410.0
2061,,,,,,,,,2.1,85410.0
2062,,,,,,,,,2.1,85410.0
2063,,,,,,,,,2.1,85410.0
2064,,,,,,,,,2.1,85410.0
2065,,,,,,,,,2.1,85410.0
2066,,,,,,,,,2.1,85410.0
2067,,,,,,,,,2.1,85410.0
2068,,,,,,,,,2.1,85410.0
2069,,,,,,,,,2.1,85410.0
2070,,,,,,,,,2.1,85410.0
2071,,,,,,,,,2.1,85410.0
2072,,,,,,,,,2.1,85410.0
2073,,,,,,,,,2.1,85410.0
2074,,,,,,,,,2.1,85410.0
2075,,,,,,,,,2.1,85410.0
2076,,,,,,,,,2.1,85410.0
2077,,,,,,,,,2.1,85410.0
2078,,,,,,,,,2.1,85410.0
2079,,,,,,,,,2.1,85410.0
2080,,,,,,,,,2.1,85410.0
2081,,,,,,,,,2.1,85410.0
