year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,450547675.0,5.906,450547675.0,5.906,450547675.0,5.906,450547675.0,5.906,2.1,1393409033.0
1961,459642166.0,5.902,459642166.0,5.902,459642166.0,5.902,459642166.0,5.902,2.1,1393409033.0
1962,469077191.0,5.894,469077191.0,5.894,469077191.0,5.894,469077191.0,5.894,2.1,1393409033.0
1963,478825602.0,5.88,478825602.0,5.88,478825602.0,5.88,478825602.0,5.88,2.1,1393409033.0
1964,488848139.0,5.859,488848139.0,5.859,488848139.0,5.859,488848139.0,5.859,2.1,1393409033.0
1965,499123328.0,5.83,499123328.0,5.83,499123328.0,5.83,499123328.0,5.83,2.1,1393409033.0
1966,509631509.0,5.794,509631509.0,5.794,509631509.0,5.794,509631509.0,5.794,2.1,1393409033.0
1967,520400577.0,5.751,520400577.0,5.751,520400577.0,5.751,520400577.0,5.751,2.1,1393409033.0
1968,531513834.0,5.702,531513834.0,5.702,531513834.0,5.702,531513834.0,5.702,2.1,1393409033.0
1969,543084333.0,5.648,543084333.0,5.648,543084333.0,5.648,543084333.0,5.648,2.1,1393409033.0
1970,555189797.0,5.587,555189797.0,5.587,555189797.0,5.587,555189797.0,5.587,2.1,1393409033.0
1971,567868021.0,5.519,567868021.0,5.519,567868021.0,5.519,567868021.0,5.519,2.1,1393409033.0
1972,581087255.0,5.444,581087255.0,5.444,581087255.0,5.444,581087255.0,5.444,2.1,1393409033.0
1973,594770136.0,5.363,594770136.0,5.363,594770136.0,5.363,594770136.0,5.363,2.1,1393409033.0
1974,608802595.0,5.278,608802595.0,5.278,608802595.0,5.278,608802595.0,5.278,2.1,1393409033.0
1975,623102900.0,5.192,623102900.0,5.192,623102900.0,5.192,623102900.0,5.192,2.1,1393409033.0
1976,637630085.0,5.108,637630085.0,5.108,637630085.0,5.108,637630085.0,5.108,2.1,1393409033.0
1977,652408766.0,5.029,652408766.0,5.029,652408766.0,5.029,652408766.0,5.029,2.1,1393409033.0
1978,667499815.0,4.956,667499815.0,4.956,667499815.0,4.956,667499815.0,4.956,2.1,1393409033.0
1979,682995348.0,4.889,682995348.0,4.889,682995348.0,4.889,682995348.0,4.889,2.1,1393409033.0
1980,698952837.0,4.827,698952837.0,4.827,698952837.0,4.827,698952837.0,4.827,2.1,1393409033.0
1981,715384997.0,4.766,715384997.0,4.766,715384997.0,4.766,715384997.0,4.766,2.1,1393409033.0
1982,732239498.0,4.703,732239498.0,4.703,732239498.0,4.703,732239498.0,4.703,2.1,1393409033.0
1983,749428958.0,4.636,749428958.0,4.636,749428958.0,4.636,749428958.0,4.636,2.1,1393409033.0
1984,766833411.0,4.563,766833411.0,4.563,766833411.0,4.563,766833411.0,4.563,2.1,1393409033.0
1985,784360012.0,4.484,784360012.0,4.484,784360012.0,4.484,784360012.0,4.484,2.1,1393409033.0
1986,801975250.0,4.399,801975250.0,4.399,801975250.0,4.399,801975250.0,4.399,2.1,1393409033.0
1987,819682095.0,4.311,819682095.0,4.311,819682095.0,4.311,819682095.0,4.311,2.1,1393409033.0
1988,837468938.0,4.222,837468938.0,4.222,837468938.0,4.222,837468938.0,4.222,2.1,1393409033.0
1989,855334675.0,4.132,855334675.0,4.132,855334675.0,4.132,855334675.0,4.132,2.1,1393409033.0
1990,873277799.0,4.045,873277799.0,4.045,873277799.0,4.045,873277799.0,4.045,2.1,1393409033.0
1991,891273202.0,3.959,891273202.0,3.959,891273202.0,3.959,891273202.0,3.959,2.1,1393409033.0
1992,909307018.0,3.877,909307018.0,3.877,909307018.0,3.877,909307018.0,3.877,2.1,1393409033.0
1993,927403866.0,3.799,927403866.0,3.799,927403866.0,3.799,927403866.0,3.799,2.1,1393409033.0
1994,945601828.0,3.723,945601828.0,3.723,945601828.0,3.723,945601828.0,3.723,2.1,1393409033.0
1995,963922586.0,3.651,963922586.0,3.651,963922586.0,3.651,963922586.0,3.651,2.1,1393409033.0
1996,982365248.0,3.582,982365248.0,3.582,982365248.0,3.582,982365248.0,3.582,2.1,1393409033.0
1997,1000900028.0,3.514,1000900028.0,3.514,1000900028.0,3.514,1000900028.0,3.514,2.1,1393409033.0
1998,1019483586.0,3.446,1019483586.0,3.446,1019483586.0,3.446,1019483586.0,3.446,2.1,1393409033.0
1999,1038058154.0,3.379,1038058154.0,3.379,1038058154.0,3.379,1038058154.0,3.379,2.1,1393409033.0
2000,1056575548.0,3.311,1056575548.0,3.311,1056575548.0,3.311,1056575548.0,3.311,2.1,1393409033.0
2001,1075000094.0,3.244,1075000094.0,3.244,1075000094.0,3.244,1075000094.0,3.244,2.1,1393409033.0
2002,1093317187.0,3.176,1093317187.0,3.176,1093317187.0,3.176,1093317187.0,3.176,2.1,1393409033.0
2003,1111523146.0,3.109,1111523146.0,3.109,1111523146.0,3.109,1111523146.0,3.109,2.1,1393409033.0
2004,1129623466.0,3.041,1129623466.0,3.041,1129623466.0,3.041,1129623466.0,3.041,2.1,1393409033.0
