year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,,,,,,,,,2.1,
1961,,,,,,,,,2.1,
1962,,,,,,,,,2.1,
1963,,,,,,,,,2.1,
1964,,,,,,,,,2.1,
1965,,,,,,,,,2.1,
1966,,,,,,,,,2.1,
1967,,,,,,,,,2.1,
1968,,,,,,,,,2.1,
1969,,,,,,,,,2.1,
1970,,,,,,,,,2.1,
1971,,,,,,,,,2.1,
1972,,,,,,,,,2.1,
1973,,,,,,,,,2.1,
1974,,,,,,,,,2.1,
1975,,,,,,,,,2.1,
1976,,,,,,,,,2.1,
1977,,,,,,,,,2.1,
1978,,,,,,,,,2.1,
1979,,,,,,,,,2.1,
1980,,,,,,,,,2.1,
1981,,,,,,,,,2.1,
1982,,,,,,,,,2.1,
1983,,,,,,,,,2.1,
1984,,,,,,,,,2.1,
1985,,,,,,,,,2.1,
1986,,,,,,,,,2.1,
1987,,,,,,,,,2.1,
1988,,,,,,,,,2.1,
1989,,,,,,,,,2.1,
1990,,,,,,,,,2.1,
1991,,,,,,,,,2.1,
1992,,,,,,,,,2.1,
1993,,,,,,,,,2.1,
1994,,,,,,,,,2.1,
1995,,,,,,,,,2.1,
1996,,,,,,,,,2.1,
1997,,,,,,,,,2.1,
1998,,,,,,,,,2.1,
1999,,,,,,,,,2.1,
2000,,,,,,,,,2.1,
2001,,,,,,,,,2.1,
2002,,,,,,,,,2.1,
2003,,,,,,,,,2.1,
2004,,,,,,,,,2.1,
2005,,,,,,,,,2.1,
2006,,,,,,,,,2.1,
2007,,,,,,,,,2.1,
2008,,,,,,,,,2.1,
2009,,,,,,,,,2.1,
2010,,,,,,,,,2.1,
2011,,,,,,,,,2.1,
2012,,,,,,,,,2.1,
2013,,,,,,,,,2.1,
2014,,,,,,,,,2.1,
2015,,,,,,,,,2.1,
2016,,,,,,,,,2.1,
2017,,,,,,,,,2.1,
2018,,,,,,,,,2.1,
2019,,,,,,,,,2.1,
2020,,,,,,,,,2.1,
2021,,,,,,,,,2.1,
2022,,,,,,,,,2.1,
2023,,,,,,,,,2.1,
2024,,,,,,,,,2.1,
2025,,,,,,,,,2.1,
2026,,,,,,,,,2.1,
2027,,,,,,,,,2.1,
2028,,,,,,,,,2.1,
2029,,,,,,,,,2.1,
2030,,,,,,,,,2.1,
2031,,,,,,,,,2.1,
2032,,,,,,,,,2.1,
2033,,,,,,,,,2.1,
2034,,,,,,,,,2.1,
2035,,,,,,,,,2.1,
2036,,,,,,,,,2.1,
2037,,,,,,,,,2.1,
2038,,,,,,,,,2.1,
2039,,,,,,,,,2.1,
2040,,,,,,,,,2.1,
2041,,,,,,,,,2.1,
2042,,,,,,,,,2.1,
2043,,,,,,,,,2.1,
2044,,,,,,,,,2.1,
2045,,,,,,,,,2.1,
2046,,,,,,,,,2.1,
2047,,,,,,,,,2.1,
2048,,,,,,,,,2.1,
2049,,,,,,,,,2.1,
2050,,,,,,,,,2.1,
2051,,,,,,,,,2.1,
2052,,,,,,,,,2.1,
2053,,,,,,,,,2.1,
2054,,,,,,,,,2.1,
2055,,,,,,,,,2.1,
2056,,,,,,,,,2.1,
2057,,,,,,,,,2.1,
2058,,,,,,,,,2.1,
2059,,,,,,,,,2.1,
2060,,,,,,,,,2.1,
2061,,,,,,,,,2.1,
2062,,,,,,,,,2.1,
2063,,,,,,,,,2.1,
2064,,,,,,,,,2.1,
2065,,,,,,,,,2.1,
2066,,,,,,,,,2.1,
2067,,,,,,,,,2.1,
2068,,,,,,,,,2.1,
2069,,,,,,,,,2.1,
2070,,,,,,,,,2.1,
2071,,,,,,,,,2.1,
2072,,,,,,,,,2.1,
2073,,,,,,,,,2.1,
2074,,,,,,,,,2.1,
2075,,,,,,,,,2.1,
2076,,,,,,,,,2.1,
2077,,,,,,,,,2.1,
2078,,,,,,,,,2.1,
2079,,,,,,,,,2.1,
2080,,,,,,,,,2.1,
2081,,,,,,,,,2.1,
2082,,,,,,,,,2.1,
2083,,,,,,,,,2.1,
2084,,,,,,,,,2.1,
2085,,,,,,,,,2.1,
2086,,,,,,,,,2.1,
2087,,,,,,,,,2.1,
2088,,,,,,,,,2.1,
2089,,,,,,,,,2.1,
2090,,,,,,,,,2.1,
2091,,,,,,,,,2.1,
2092,,,,,,,,,2.1,
2093,,,,,,,,,2.1,
2094,,,,,,,,,2.1,
2095,,,,,,,,,2.1,
2096,,,,,,,,,2.1,
2097,,,,,,,,,2.1,
2098,,,,,,,,,2.1,
2099,,,,,,,,,2.1,
2100,,,,,,,,,2.1,
2101,,,,,,,,,2.1,
2102,,,,,,,,,2.1,
2103,,,,,,,,,2.1,
2104,,,,,,,,,2.1,
2105,,,,,,,,,2.1,
2106,,,,,,,,,2.1,
2107,,,,,,,,,2.1,
2108,,,,,,,,,2.1,
2109,,,,,,,,,2.1,
2110,,,,,,,,,2.1,
2111,,,,,,,,,2.1,
2112,,,,,,,,,2.1,
2113,,,,,,,,,2.1,
2114,,,,,,,,,2.1,
2115,,,,,,,,,2.1,
2116,,,,,,,,,2.1,
2117,,,,,,,,,2.1,
2118,,,,,,,,,2.1,
2119,,,,,,,,,2.1,
2120,,,,,,,,,2.1,
2121,,,,,,,,,2.1,
