year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2828600.0,3.78,2828600.0,3.78,2828600.0,3.78,2828600.0,3.78,2.1,5028230.0
1961,2824400.0,3.78,2824400.0,3.78,2824400.0,3.78,2824400.0,3.78,2.1,5028230.0
1962,2836050.0,3.92,2836050.0,3.92,2836050.0,3.92,2836050.0,3.92,2.1,5028230.0
1963,2852650.0,4.01,2852650.0,4.01,2852650.0,4.01,2852650.0,4.01,2.1,5028230.0
1964,2866550.0,4.07,2866550.0,4.07,2866550.0,4.07,2866550.0,4.07,2.1,5028230.0
1965,2877300.0,4.04,2877300.0,4.04,2877300.0,4.04,2877300.0,4.04,2.1,5028230.0
1966,2888800.0,3.94,2888800.0,3.94,2888800.0,3.94,2888800.0,3.94,2.1,5028230.0
1967,2902450.0,3.84,2902450.0,3.84,2902450.0,3.84,2902450.0,3.84,2.1,5028230.0
1968,2915550.0,3.77,2915550.0,3.77,2915550.0,3.77,2915550.0,3.77,2.1,5028230.0
1969,2932650.0,3.83,2932650.0,3.83,2932650.0,3.83,2932650.0,3.83,2.1,5028230.0
1970,2957250.0,3.85,2957250.0,3.85,2957250.0,3.85,2957250.0,3.85,2.1,5028230.0
1971,2992050.0,3.93,2992050.0,3.93,2992050.0,3.93,2992050.0,3.93,2.1,5028230.0
1972,3036850.0,3.84,3036850.0,3.84,3036850.0,3.84,3036850.0,3.84,2.1,5028230.0
1973,3085950.0,3.71,3085950.0,3.71,3085950.0,3.71,3085950.0,3.71,2.1,5028230.0
1974,3137500.0,3.59,3137500.0,3.59,3137500.0,3.59,3137500.0,3.59,2.1,5028230.0
1975,3189550.0,3.37,3189550.0,3.37,3189550.0,3.37,3189550.0,3.37,2.1,5028230.0
1976,3238050.0,3.29,3238050.0,3.29,3238050.0,3.29,3238050.0,3.29,2.1,5028230.0
1977,3282200.0,3.24,3282200.0,3.24,3282200.0,3.24,3282200.0,3.24,2.1,5028230.0
1978,3329100.0,3.21,3329100.0,3.21,3329100.0,3.21,3329100.0,3.21,2.1,5028230.0
