year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,21906909.0,6.927,21906909.0,6.927,21906909.0,6.927,21906909.0,6.927,2.1,85028760.0
1961,22480371.0,6.924,22480371.0,6.924,22480371.0,6.924,22480371.0,6.924,2.1,85028760.0
1962,23071309.0,6.914,23071309.0,6.914,23071309.0,6.914,23071309.0,6.914,2.1,85028760.0
1963,23680246.0,6.896,23680246.0,6.896,23680246.0,6.896,23680246.0,6.896,2.1,85028760.0
1964,24307855.0,6.868,24307855.0,6.868,24307855.0,6.868,24307855.0,6.868,2.1,85028760.0
1965,24954865.0,6.827,24954865.0,6.827,24954865.0,6.827,24954865.0,6.827,2.1,85028760.0
1966,25624380.0,6.77,25624380.0,6.77,25624380.0,6.77,25624380.0,6.77,2.1,85028760.0
1967,26317776.0,6.699,26317776.0,6.699,26317776.0,6.699,26317776.0,6.699,2.1,85028760.0
1968,27032576.0,6.617,27032576.0,6.617,27032576.0,6.617,27032576.0,6.617,2.1,85028760.0
1969,27764928.0,6.528,27764928.0,6.528,27764928.0,6.528,27764928.0,6.528,2.1,85028760.0
1970,28513872.0,6.44,28513872.0,6.44,28513872.0,6.44,28513872.0,6.44,2.1,85028760.0
1971,29281583.0,6.359,29281583.0,6.359,29281583.0,6.359,29281583.0,6.359,2.1,85028760.0
1972,30075295.0,6.292,30075295.0,6.292,30075295.0,6.292,30075295.0,6.292,2.1,85028760.0
1973,30905721.0,6.243,30905721.0,6.243,30905721.0,6.243,30905721.0,6.243,2.1,85028760.0
1974,31786481.0,6.214,31786481.0,6.214,31786481.0,6.214,31786481.0,6.214,2.1,85028760.0
1975,32729772.0,6.212,32729772.0,6.212,32729772.0,6.212,32729772.0,6.212,2.1,85028760.0
1976,33733975.0,6.238,33733975.0,6.238,33733975.0,6.238,33733975.0,6.238,2.1,85028760.0
1977,34803041.0,6.289,34803041.0,6.289,34803041.0,6.289,34803041.0,6.289,2.1,85028760.0
1978,35960811.0,6.354,35960811.0,6.354,35960811.0,6.354,35960811.0,6.354,2.1,85028760.0
1979,37237145.0,6.422,37237145.0,6.422,37237145.0,6.422,37237145.0,6.422,2.1,85028760.0
1980,38650244.0,6.482,38650244.0,6.482,38650244.0,6.482,38650244.0,6.482,2.1,85028760.0
1981,40199911.0,6.519,40199911.0,6.519,40199911.0,6.519,40199911.0,6.519,2.1,85028760.0
1982,41869231.0,6.523,41869231.0,6.523,41869231.0,6.523,41869231.0,6.523,2.1,85028760.0
1983,43636838.0,6.483,43636838.0,6.483,43636838.0,6.483,43636838.0,6.483,2.1,85028760.0
1984,45472792.0,6.392,45472792.0,6.392,45472792.0,6.392,45472792.0,6.392,2.1,85028760.0
1985,47347197.0,6.241,47347197.0,6.241,47347197.0,6.241,47347197.0,6.241,2.1,85028760.0
1986,49260263.0,6.024,49260263.0,6.024,49260263.0,6.024,49260263.0,6.024,2.1,85028760.0
1987,51193782.0,5.748,51193782.0,5.748,51193782.0,5.748,51193782.0,5.748,2.1,85028760.0
1988,53077312.0,5.427,53077312.0,5.427,53077312.0,5.427,53077312.0,5.427,2.1,85028760.0
1989,54822005.0,5.07,54822005.0,5.07,54822005.0,5.07,54822005.0,5.07,2.1,85028760.0
1990,56366212.0,4.691,56366212.0,4.691,56366212.0,4.691,56366212.0,4.691,2.1,85028760.0
1991,57679025.0,4.304,57679025.0,4.304,57679025.0,4.304,57679025.0,4.304,2.1,85028760.0
1992,58780376.0,3.923,58780376.0,3.923,58780376.0,3.923,58780376.0,3.923,2.1,85028760.0
1993,59723761.0,3.562,59723761.0,3.562,59723761.0,3.562,59723761.0,3.562,2.1,85028760.0
1994,60590608.0,3.231,60590608.0,3.231,60590608.0,3.231,60590608.0,3.231,2.1,85028760.0
1995,61442658.0,2.941,61442658.0,2.941,61442658.0,2.941,61442658.0,2.941,2.1,85028760.0
1996,62294919.0,2.696,62294919.0,2.696,62294919.0,2.696,62294919.0,2.696,2.1,85028760.0
1997,63136309.0,2.489,63136309.0,2.489,63136309.0,2.489,63136309.0,2.489,2.1,85028760.0
1998,63971836.0,2.317,63971836.0,2.317,63971836.0,2.317,63971836.0,2.317,2.1,85028760.0
1999,64800875.0,2.177,64800875.0,2.177,64800875.0,2.177,64800875.0,2.177,2.1,85028760.0
2000,65623397.0,2.067,65623397.0,2.067,65623397.0,2.067,65623397.0,2.067,2.1,85028760.0
2001,66449111.0,1.983,66449111.0,1.983,66449111.0,1.983,66449111.0,1.983,2.1,85028760.0
2002,67284801.0,1.922,67284801.0,1.922,67284801.0,1.922,67284801.0,1.922,2.1,85028760.0
2003,68122947.0,1.878,68122947.0,1.878,68122947.0,1.878,68122947.0,1.878,2.1,85028760.0
2004,68951279.0,1.846,68951279.0,1.846,68951279.0,1.846,68951279.0,1.846,2.1,85028760.0
2005,69762345.0,1.825,69762345.0,1.825,69762345.0,1.825,69762345.0,1.825,2.1,85028760.0
2006,70554756.0,1.812,70554756.0,1.812,70554756.0,1.812,70554756.0,1.812,2.1,85028760.0
2007,71336476.0,1.807,71336476.0,1.807,71336476.0,1.807,71336476.0,1.807,2.1,85028760.0
2008,72120608.0,1.811,72120608.0,1.811,72120608.0,1.811,72120608.0,1.811,2.1,85028760.0
2009,72924833.0,1.821,72924833.0,1.821,72924833.0,1.821,72924833.0,1.821,2.1,85028760.0
2010,73762519.0,1.839,73762519.0,1.839,73762519.0,1.839,73762519.0,1.839,2.1,85028760.0
2011,74634959.0,1.866,74634959.0,1.866,74634959.0,1.866,74634959.0,1.866,2.1,85028760.0
2012,75539881.0,1.901,75539881.0,1.901,75539881.0,1.901,75539881.0,1.901,2.1,85028760.0
2013,76481963.0,1.945,76481963.0,1.945,76481963.0,1.945,76481963.0,1.945,2.1,85028760.0
2014,77465769.0,1.993,77465769.0,1.993,77465769.0,1.993,77465769.0,1.993,2.1,85028760.0
2015,78492208.0,2.041,78492208.0,2.041,78492208.0,2.041,78492208.0,2.041,2.1,85028760.0
2016,79563991.0,2.083,79563991.0,2.083,79563991.0,2.083,79563991.0,2.083,2.1,85028760.0
2017,80673888.0,2.116,80673888.0,2.116,80673888.0,2.116,80673888.0,2.116,2.1,85028760.0
2018,81800204.0,2.137,81800204.0,2.137,81800204.0,2.137,81800204.0,2.137,2.1,85028760.0
2019,82913893.0,2.146,82913893.0,2.146,82913893.0,2.146,82913893.0,2.146,2.1,85028760.0
2020,83992953.0,2.142,83992953.0,2.142,83992953.0,2.142,83992953.0,2.142,2.1,85028760.0
2021,85028760.0,2.142,85028760.0,2.142,85028760.0,2.142,85028760.0,2.142,2.1,85028760.0
2022,85029332.979,2.101,85070209.829,2.179,85046933.831,2.135,85050882.74,2.142,2.1,85028760.0
2023,85008767.797,2.061,85131317.821,2.216,85061172.574,2.127,85073005.48,2.142,2.1,85028760.0
2024,84967468.194,2.022,85212420.72,2.254,85071490.002,2.12,85095128.22,2.142,2.1,85028760.0
2025,84905830.196,1.983,85313861.037,2.293,85077899.839,2.112,85117250.96,2.142,2.1,85028760.0
2026,84824242.268,1.945,85435987.155,2.332,85080415.763,2.105,85139373.7,2.142,2.1,85028760.0
2027,84723085.452,1.908,85579153.419,2.372,85079051.401,2.097,85161496.44,2.142,2.1,85028760.0
2028,84602733.515,1.872,85743720.249,2.412,85073820.335,2.09,85183619.18,2.142,2.1,85028760.0
2029,84463553.082,1.836,85930054.235,2.454,85064736.098,2.083,85205741.92,2.142,2.1,85028760.0
2030,84305903.78,1.801,86138528.249,2.496,85051812.177,2.075,85227864.66,2.142,2.1,85028760.0
2031,84130138.362,1.766,86369521.55,2.539,85035062.01,2.068,85249987.4,2.142,2.1,85028760.0
2032,83936602.848,1.733,86623419.892,2.582,85014498.988,2.061,85272110.14,2.142,2.1,85028760.0
2033,83725636.645,1.699,86900615.641,2.626,84990136.458,2.054,85294232.88,2.142,2.1,85028760.0
2034,83497572.679,1.667,87201507.879,2.671,84961987.718,2.047,85316355.62,2.142,2.1,85028760.0
2035,83252737.519,1.635,87526502.528,2.717,84930066.018,2.039,85338478.36,2.142,2.1,85028760.0
2036,82991451.493,1.604,87876012.462,2.764,84894384.565,2.032,85360601.1,2.142,2.1,85028760.0
2037,82714028.814,1.573,88250457.628,2.811,84854956.517,2.025,85382723.84,2.142,2.1,85028760.0
2038,82420777.692,1.543,88650265.167,2.859,84811794.988,2.018,85404846.58,2.142,2.1,85028760.0
2039,82112000.449,1.514,89075869.536,2.908,84764913.045,2.011,85426969.32,2.142,2.1,85028760.0
2040,81787993.635,1.485,89527712.634,2.958,84714323.71,2.004,85449092.06,2.142,2.1,85028760.0
2041,81449048.134,1.457,90006243.931,3.008,84660039.957,1.997,85471214.8,2.142,2.1,85028760.0
2042,81095449.276,1.429,90511920.597,3.06,84602074.718,1.99,85493337.54,2.142,2.1,85028760.0
2043,80727476.939,1.401,91045207.63,3.112,84540440.878,1.983,85515460.28,2.142,2.1,85028760.0
2044,80345405.657,1.375,91606577.997,3.166,84475151.277,1.976,85537583.02,2.142,2.1,85028760.0
2045,79949504.72,1.348,92196512.765,3.22,84406218.71,1.969,85559705.76,2.142,2.1,85028760.0
2046,79540038.274,1.323,92815501.243,3.275,84333655.927,1.962,85581828.5,2.142,2.1,85028760.0
2047,79117265.42,1.297,93464041.12,3.331,84257475.635,1.955,85603951.24,2.142,2.1,85028760.0
2048,78681440.311,1.273,94142638.612,3.388,84177690.494,1.949,85626073.98,2.142,2.1,85028760.0
2049,78232812.245,1.248,94851808.606,3.446,84094313.122,1.942,85648196.72,2.142,2.1,85028760.0
2050,77771625.759,1.224,95592074.808,3.505,84007356.091,1.935,85670319.46,2.142,2.1,85028760.0
2051,77298120.718,1.201,96363969.898,3.565,83916831.93,1.928,85692442.2,2.142,2.1,85028760.0
2052,76812532.406,1.178,97168035.677,3.627,83822753.124,1.921,85714564.94,2.142,2.1,85028760.0
2053,76315091.614,1.156,98004823.23,3.689,83725132.114,1.915,85736687.68,2.142,2.1,85028760.0
2054,75806024.725,1.134,98874893.08,3.752,83623981.299,1.908,85758810.42,2.142,2.1,85028760.0
2055,75285553.796,1.112,99778815.354,3.816,83519313.032,1.901,85780933.16,2.142,2.1,85028760.0
2056,74753896.646,1.091,100717169.943,3.881,83411139.624,1.895,85803055.9,2.142,2.1,85028760.0
2057,74211266.931,1.07,101690546.673,3.948,83299473.344,1.888,85825178.64,2.142,2.1,85028760.0
2058,73657874.226,1.049,102699545.473,4.016,83184326.416,1.881,85847301.38,2.142,2.1,85028760.0
2059,73093924.105,1.029,103744776.55,4.084,83065711.023,1.875,85869424.12,2.142,2.1,85028760.0
2060,72519618.215,1.01,104826860.562,4.154,82943639.304,1.868,85891546.86,2.142,2.1,85028760.0
2061,71935154.351,0.99,105946428.799,4.225,82818123.357,1.862,85913669.6,2.142,2.1,85028760.0
2062,71340726.53,0.971,107104123.367,4.298,82689175.236,1.855,85935792.34,2.142,2.1,85028760.0
2063,70736525.063,0.953,108300597.37,4.372,82556806.954,1.849,85957915.08,2.142,2.1,85028760.0
2064,70122736.628,0.935,109536515.1,4.446,82421030.482,1.842,85980037.82,2.142,2.1,85028760.0
2065,69499544.336,0.917,110812552.227,4.523,82281857.748,1.836,86002160.56,2.142,2.1,85028760.0
2066,68867127.799,0.899,112129395.997,4.6,82139300.639,1.829,86024283.3,2.142,2.1,85028760.0
2067,68225663.201,0.882,113487745.427,4.679,81993371.0,1.823,86046406.04,2.142,2.1,85028760.0
2068,67575323.361,0.865,114888311.51,4.759,81844080.635,1.817,86068528.78,2.142,2.1,85028760.0
2069,66916277.795,0.849,116331817.417,4.84,81691441.307,1.81,86090651.52,2.142,2.1,85028760.0
2070,66248692.782,0.833,117818998.707,4.923,81535464.738,1.804,86112774.26,2.142,2.1,85028760.0
2071,65572731.427,0.817,119350603.539,5.008,81376162.606,1.798,86134897.0,2.142,2.1,85028760.0
2072,64888553.717,0.801,120927392.889,5.094,81213546.553,1.791,86157019.74,2.142,2.1,85028760.0
2073,64196316.584,0.786,122550140.767,5.181,81047628.177,1.785,86179142.48,2.142,2.1,85028760.0
