year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7289753.0,6.252,7289753.0,6.252,7289753.0,6.252,7289753.0,6.252,2.1,41179351.0
1961,7475349.0,6.364,7475349.0,6.364,7475349.0,6.364,7475349.0,6.364,2.1,41179351.0
1962,7674217.0,6.514,7674217.0,6.514,7674217.0,6.514,7674217.0,6.514,2.1,41179351.0
1963,7888910.0,6.689,7888910.0,6.689,7888910.0,6.689,7888910.0,6.689,2.1,41179351.0
1964,8122199.0,6.872,8122199.0,6.872,8122199.0,6.872,8122199.0,6.872,2.1,41179351.0
1965,8375795.0,7.044,8375795.0,7.044,8375795.0,7.044,8375795.0,7.044,2.1,41179351.0
1966,8651162.0,7.188,8651162.0,7.188,8651162.0,7.188,8651162.0,7.188,2.1,41179351.0
1967,8947397.0,7.295,8947397.0,7.295,8947397.0,7.295,8947397.0,7.295,2.1,41179351.0
1968,9260687.0,7.362,9260687.0,7.362,9260687.0,7.362,9260687.0,7.362,2.1,41179351.0
1969,9585585.0,7.383,9585585.0,7.383,9585585.0,7.383,9585585.0,7.383,2.1,41179351.0
1970,9917978.0,7.362,9917978.0,7.362,9917978.0,7.362,9917978.0,7.362,2.1,41179351.0
1971,10255853.0,7.308,10255853.0,7.308,10255853.0,7.308,10255853.0,7.308,2.1,41179351.0
1972,10599661.0,7.234,10599661.0,7.234,10599661.0,7.234,10599661.0,7.234,2.1,41179351.0
1973,10950888.0,7.153,10950888.0,7.153,10950888.0,7.153,10950888.0,7.153,2.1,41179351.0
1974,11312062.0,7.072,11312062.0,7.072,11312062.0,7.072,11312062.0,7.072,2.1,41179351.0
1975,11684579.0,6.993,11684579.0,6.993,11684579.0,6.993,11684579.0,6.993,2.1,41179351.0
1976,12068675.0,6.915,12068675.0,6.915,12068675.0,6.915,12068675.0,6.915,2.1,41179351.0
1977,12462059.0,6.834,12462059.0,6.834,12462059.0,6.834,12462059.0,6.834,2.1,41179351.0
1978,12860678.0,6.748,12860678.0,6.748,12860678.0,6.748,12860678.0,6.748,2.1,41179351.0
1979,13259107.0,6.658,13259107.0,6.658,13259107.0,6.658,13259107.0,6.658,2.1,41179351.0
1980,13653348.0,6.569,13653348.0,6.569,13653348.0,6.569,13653348.0,6.569,2.1,41179351.0
1981,14044115.0,6.485,14044115.0,6.485,14044115.0,6.485,14044115.0,6.485,2.1,41179351.0
1982,14432466.0,6.407,14432466.0,6.407,14432466.0,6.407,14432466.0,6.407,2.1,41179351.0
1983,14815653.0,6.338,14815653.0,6.338,14815653.0,6.338,14815653.0,6.338,2.1,41179351.0
1984,15190396.0,6.276,15190396.0,6.276,15190396.0,6.276,15190396.0,6.276,2.1,41179351.0
1985,15555807.0,6.22,15555807.0,6.22,15555807.0,6.22,15555807.0,6.22,2.1,41179351.0
1986,15909764.0,6.164,15909764.0,6.164,15909764.0,6.164,15909764.0,6.164,2.1,41179351.0
1987,16257072.0,6.105,16257072.0,6.105,16257072.0,6.105,16257072.0,6.105,2.1,41179351.0
1988,16612319.0,6.039,16612319.0,6.039,16612319.0,6.039,16612319.0,6.039,2.1,41179351.0
1989,16994942.0,5.965,16994942.0,5.965,16994942.0,5.965,16994942.0,5.965,2.1,41179351.0
1990,17419113.0,5.882,17419113.0,5.882,17419113.0,5.882,17419113.0,5.882,2.1,41179351.0
1991,17889457.0,5.793,17889457.0,5.793,17889457.0,5.793,17889457.0,5.793,2.1,41179351.0
1992,18402740.0,5.7,18402740.0,5.7,18402740.0,5.7,18402740.0,5.7,2.1,41179351.0
1993,18955087.0,5.607,18955087.0,5.607,18955087.0,5.607,18955087.0,5.607,2.1,41179351.0
1994,19539348.0,5.513,19539348.0,5.513,19539348.0,5.513,19539348.0,5.513,2.1,41179351.0
1995,20149342.0,5.419,20149342.0,5.419,20149342.0,5.419,20149342.0,5.419,2.1,41179351.0
1996,20783073.0,5.325,20783073.0,5.325,20783073.0,5.325,20783073.0,5.325,2.1,41179351.0
1997,21439579.0,5.23,21439579.0,5.23,21439579.0,5.23,21439579.0,5.23,2.1,41179351.0
1998,22114330.0,5.133,22114330.0,5.133,22114330.0,5.133,22114330.0,5.133,2.1,41179351.0
1999,22802061.0,5.036,22802061.0,5.036,22802061.0,5.036,22802061.0,5.036,2.1,41179351.0
2000,23497589.0,4.94,23497589.0,4.94,23497589.0,4.94,23497589.0,4.94,2.1,41179351.0
2001,24208178.0,4.847,24208178.0,4.847,24208178.0,4.847,24208178.0,4.847,2.1,41179351.0
2002,24931922.0,4.758,24931922.0,4.758,24931922.0,4.758,24931922.0,4.758,2.1,41179351.0
2003,25644503.0,4.676,25644503.0,4.676,25644503.0,4.676,25644503.0,4.676,2.1,41179351.0
2004,26313838.0,4.6,26313838.0,4.6,26313838.0,4.6,26313838.0,4.6,2.1,41179351.0
2005,26922279.0,4.534,26922279.0,4.534,26922279.0,4.534,26922279.0,4.534,2.1,41179351.0
2006,27448124.0,4.48,27448124.0,4.48,27448124.0,4.48,27448124.0,4.48,2.1,41179351.0
2007,27911242.0,4.437,27911242.0,4.437,27911242.0,4.437,27911242.0,4.437,2.1,41179351.0
2008,28385739.0,4.403,28385739.0,4.403,28385739.0,4.403,28385739.0,4.403,2.1,41179351.0
2009,28973157.0,4.374,28973157.0,4.374,28973157.0,4.374,28973157.0,4.374,2.1,41179351.0
2010,29741977.0,4.343,29741977.0,4.343,29741977.0,4.343,29741977.0,4.343,2.1,41179351.0
2011,30725305.0,4.301,30725305.0,4.301,30725305.0,4.301,30725305.0,4.301,2.1,41179351.0
2012,31890012.0,4.243,31890012.0,4.243,31890012.0,4.243,31890012.0,4.243,2.1,41179351.0
2013,33157061.0,4.168,33157061.0,4.168,33157061.0,4.168,33157061.0,4.168,2.1,41179351.0
2014,34411949.0,4.076,34411949.0,4.076,34411949.0,4.076,34411949.0,4.076,2.1,41179351.0
2015,35572269.0,3.972,35572269.0,3.972,35572269.0,3.972,35572269.0,3.972,2.1,41179351.0
2016,36610632.0,3.864,36610632.0,3.864,36610632.0,3.864,36610632.0,3.864,2.1,41179351.0
2017,37552789.0,3.762,37552789.0,3.762,37552789.0,3.762,37552789.0,3.762,2.1,41179351.0
2018,38433604.0,3.672,38433604.0,3.672,38433604.0,3.672,38433604.0,3.672,2.1,41179351.0
2019,39309789.0,3.597,39309789.0,3.597,39309789.0,3.597,39309789.0,3.597,2.1,41179351.0
2020,40222503.0,3.537,40222503.0,3.537,40222503.0,3.537,40222503.0,3.537,2.1,41179351.0
2021,41179351.0,3.537,41179351.0,3.537,41179351.0,3.537,41179351.0,3.537,2.1,41179351.0
2022,41568310.687,3.503,41558036.634,3.466,41560379.667,3.475,41577643.606,3.537,2.1,41179351.0
2023,41948026.305,3.47,41917507.435,3.397,41924448.413,3.414,41975936.211,3.537,2.1,41179351.0
