year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,175574.0,4.29,175574.0,4.29,175574.0,4.29,175574.0,4.29,2.1,372295.0
1961,179029.0,3.88,179029.0,3.88,179029.0,3.88,179029.0,3.88,2.1,372295.0
1962,182378.0,3.98,182378.0,3.98,182378.0,3.98,182378.0,3.98,2.1,372295.0
1963,185653.0,3.99,185653.0,3.99,185653.0,3.99,185653.0,3.99,2.1,372295.0
1964,188983.0,3.88,188983.0,3.88,188983.0,3.88,188983.0,3.88,2.1,372295.0
1965,192286.0,3.73,192286.0,3.73,192286.0,3.73,192286.0,3.73,2.1,372295.0
1966,195570.0,3.59,195570.0,3.59,195570.0,3.59,195570.0,3.59,2.1,372295.0
1967,198751.0,3.28,198751.0,3.28,198751.0,3.28,198751.0,3.28,2.1,372295.0
1968,201488.0,3.06,201488.0,3.06,201488.0,3.06,201488.0,3.06,2.1,372295.0
1969,203369.0,2.99,203369.0,2.99,203369.0,2.99,203369.0,2.99,2.1,372295.0
1970,204438.0,2.81,204438.0,2.81,204438.0,2.81,204438.0,2.81,2.1,372295.0
1971,206098.0,2.92,206098.0,2.92,206098.0,2.92,206098.0,2.92,2.1,372295.0
1972,209137.0,3.09,209137.0,3.09,209137.0,3.09,209137.0,3.09,2.1,372295.0
1973,212317.0,2.94,212317.0,2.94,212317.0,2.94,212317.0,2.94,2.1,372295.0
1974,215209.0,2.66,215209.0,2.66,215209.0,2.66,215209.0,2.66,2.1,372295.0
1975,217979.0,2.65,217979.0,2.65,217979.0,2.65,217979.0,2.65,2.1,372295.0
1976,220154.0,2.52,220154.0,2.52,220154.0,2.52,220154.0,2.52,2.1,372295.0
1977,221799.0,2.31,221799.0,2.31,221799.0,2.31,221799.0,2.31,2.1,372295.0
1978,223537.0,2.35,223537.0,2.35,223537.0,2.35,223537.0,2.35,2.1,372295.0
1979,225735.0,2.49,225735.0,2.49,225735.0,2.49,225735.0,2.49,2.1,372295.0
1980,228138.0,2.48,228138.0,2.48,228138.0,2.48,228138.0,2.48,2.1,372295.0
1981,230755.0,2.33,230755.0,2.33,230755.0,2.33,230755.0,2.33,2.1,372295.0
1982,233860.0,2.27,233860.0,2.27,233860.0,2.27,233860.0,2.27,2.1,372295.0
1983,236977.0,2.24,236977.0,2.24,236977.0,2.24,236977.0,2.24,2.1,372295.0
1984,239511.0,2.08,239511.0,2.08,239511.0,2.08,239511.0,2.08,2.1,372295.0
1985,241405.0,1.93,241405.0,1.93,241405.0,1.93,241405.0,1.93,2.1,372295.0
1986,243180.0,1.92,243180.0,1.92,243180.0,1.92,243180.0,1.92,2.1,372295.0
1987,245859.0,2.06,245859.0,2.06,245859.0,2.06,245859.0,2.06,2.1,372295.0
1988,249740.0,2.26,249740.0,2.26,249740.0,2.26,249740.0,2.26,2.1,372295.0
1989,252852.0,2.19,252852.0,2.19,252852.0,2.19,252852.0,2.19,2.1,372295.0
1990,254826.0,2.3,254826.0,2.3,254826.0,2.3,254826.0,2.3,2.1,372295.0
1991,257797.0,2.18,257797.0,2.18,257797.0,2.18,257797.0,2.18,2.1,372295.0
