year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2114020.0,3.866,2114020.0,3.866,2114020.0,3.866,2114020.0,3.866,2.1,9364000.0
1961,2185000.0,3.858,2185000.0,3.858,2185000.0,3.858,2185000.0,3.858,2.1,9364000.0
1962,2293000.0,3.85,2293000.0,3.85,2293000.0,3.85,2293000.0,3.85,2.1,9364000.0
1963,2379000.0,3.838,2379000.0,3.838,2379000.0,3.838,2379000.0,3.838,2.1,9364000.0
1964,2475000.0,3.826,2475000.0,3.826,2475000.0,3.826,2475000.0,3.826,2.1,9364000.0
1965,2563000.0,3.814,2563000.0,3.814,2563000.0,3.814,2563000.0,3.814,2.1,9364000.0
1966,2629000.0,3.802,2629000.0,3.802,2629000.0,3.802,2629000.0,3.802,2.1,9364000.0
1967,2745000.0,3.79,2745000.0,3.79,2745000.0,3.79,2745000.0,3.79,2.1,9364000.0
1968,2803000.0,3.786,2803000.0,3.786,2803000.0,3.786,2803000.0,3.786,2.1,9364000.0
1969,2877000.0,3.782,2877000.0,3.782,2877000.0,3.782,2877000.0,3.782,2.1,9364000.0
1970,2974000.0,3.778,2974000.0,3.778,2974000.0,3.778,2974000.0,3.778,2.1,9364000.0
1971,3069000.0,3.774,3069000.0,3.774,3069000.0,3.774,3069000.0,3.774,2.1,9364000.0
1972,3148000.0,3.77,3148000.0,3.77,3148000.0,3.77,3148000.0,3.77,2.1,9364000.0
1973,3278000.0,3.698,3278000.0,3.698,3278000.0,3.698,3278000.0,3.698,2.1,9364000.0
1974,3377000.0,3.626,3377000.0,3.626,3377000.0,3.626,3377000.0,3.626,2.1,9364000.0
1975,3455000.0,3.554,3455000.0,3.554,3455000.0,3.554,3455000.0,3.554,2.1,9364000.0
1976,3533000.0,3.482,3533000.0,3.482,3533000.0,3.482,3533000.0,3.482,2.1,9364000.0
1977,3613000.0,3.41,3613000.0,3.41,3613000.0,3.41,3613000.0,3.41,2.1,9364000.0
1978,3690000.0,3.354,3690000.0,3.354,3690000.0,3.354,3690000.0,3.354,2.1,9364000.0
1979,3786000.0,3.298,3786000.0,3.298,3786000.0,3.298,3786000.0,3.298,2.1,9364000.0
1980,3878000.0,3.242,3878000.0,3.242,3878000.0,3.242,3878000.0,3.242,2.1,9364000.0
1981,3956000.0,3.186,3956000.0,3.186,3956000.0,3.186,3956000.0,3.186,2.1,9364000.0
1982,4031000.0,3.13,4031000.0,3.13,4031000.0,3.13,4031000.0,3.13,2.1,9364000.0
1983,4105000.0,3.106,4105000.0,3.106,4105000.0,3.106,4105000.0,3.106,2.1,9364000.0
1984,4159000.0,3.082,4159000.0,3.082,4159000.0,3.082,4159000.0,3.082,2.1,9364000.0
1985,4233000.0,3.058,4233000.0,3.058,4233000.0,3.058,4233000.0,3.058,2.1,9364000.0
1986,4299000.0,3.034,4299000.0,3.034,4299000.0,3.034,4299000.0,3.034,2.1,9364000.0
1987,4369000.0,3.01,4369000.0,3.01,4369000.0,3.01,4369000.0,3.01,2.1,9364000.0
1988,4442000.0,2.948,4442000.0,2.948,4442000.0,2.948,4442000.0,2.948,2.1,9364000.0
1989,4518000.0,2.886,4518000.0,2.886,4518000.0,2.886,4518000.0,2.886,2.1,9364000.0
1990,4660000.0,2.824,4660000.0,2.824,4660000.0,2.824,4660000.0,2.824,2.1,9364000.0
1991,4949000.0,2.762,4949000.0,2.762,4949000.0,2.762,4949000.0,2.762,2.1,9364000.0
1992,5123000.0,2.7,5123000.0,2.7,5123000.0,2.7,5123000.0,2.7,2.1,9364000.0
1993,5261000.0,2.8,5261000.0,2.8,5261000.0,2.8,5261000.0,2.8,2.1,9364000.0
1994,5399000.0,2.9,5399000.0,2.9,5399000.0,2.9,5399000.0,2.9,2.1,9364000.0
1995,5545000.0,2.9,5545000.0,2.9,5545000.0,2.9,5545000.0,2.9,2.1,9364000.0
1996,5692000.0,2.9,5692000.0,2.9,5692000.0,2.9,5692000.0,2.9,2.1,9364000.0
1997,5836000.0,2.94,5836000.0,2.94,5836000.0,2.94,5836000.0,2.94,2.1,9364000.0
1998,5971000.0,2.98,5971000.0,2.98,5971000.0,2.98,5971000.0,2.98,2.1,9364000.0
1999,6125000.0,2.965,6125000.0,2.965,6125000.0,2.965,6125000.0,2.965,2.1,9364000.0
2000,6289000.0,2.95,6289000.0,2.95,6289000.0,2.95,6289000.0,2.95,2.1,9364000.0
2001,6439000.0,2.92,6439000.0,2.92,6439000.0,2.92,6439000.0,2.92,2.1,9364000.0
2002,6570000.0,2.89,6570000.0,2.89,6570000.0,2.89,6570000.0,2.89,2.1,9364000.0
2003,6689700.0,2.95,6689700.0,2.95,6689700.0,2.95,6689700.0,2.95,2.1,9364000.0
