year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,50199700.0,2.4,50199700.0,2.4,50199700.0,2.4,50199700.0,2.4,2.1,59066225.0
1961,50536350.0,2.44,50536350.0,2.44,50536350.0,2.44,50536350.0,2.44,2.1,59066225.0
1962,50879450.0,2.46,50879450.0,2.46,50879450.0,2.46,50879450.0,2.46,2.1,59066225.0
1963,51252000.0,2.51,51252000.0,2.51,51252000.0,2.51,51252000.0,2.51,2.1,59066225.0
1964,51675350.0,2.66,51675350.0,2.66,51675350.0,2.66,51675350.0,2.66,2.1,59066225.0
1965,52112350.0,2.6,52112350.0,2.6,52112350.0,2.6,52112350.0,2.6,2.1,59066225.0
1966,52519000.0,2.58,52519000.0,2.58,52519000.0,2.58,52519000.0,2.58,2.1,59066225.0
1967,52900500.0,2.5,52900500.0,2.5,52900500.0,2.5,52900500.0,2.5,2.1,59066225.0
1968,53235750.0,2.46,53235750.0,2.46,53235750.0,2.46,53235750.0,2.46,2.1,59066225.0
1969,53537950.0,2.47,53537950.0,2.47,53537950.0,2.47,53537950.0,2.47,2.1,59066225.0
1970,53821850.0,2.38,53821850.0,2.38,53821850.0,2.38,53821850.0,2.38,2.1,59066225.0
1971,54073490.0,2.4,54073490.0,2.4,54073490.0,2.4,54073490.0,2.4,2.1,59066225.0
1972,54381345.0,2.35,54381345.0,2.35,54381345.0,2.35,54381345.0,2.35,2.1,59066225.0
1973,54751406.0,2.3,54751406.0,2.3,54751406.0,2.3,54751406.0,2.3,2.1,59066225.0
1974,55110868.0,2.28,55110868.0,2.28,55110868.0,2.28,55110868.0,2.28,2.1,59066225.0
1975,55441001.0,2.17,55441001.0,2.17,55441001.0,2.17,55441001.0,2.17,2.1,59066225.0
1976,55718260.0,2.04,55718260.0,2.04,55718260.0,2.04,55718260.0,2.04,2.1,59066225.0
1977,55955411.0,1.93,55955411.0,1.93,55955411.0,1.93,55955411.0,1.93,2.1,59066225.0
1978,56155143.0,1.84,56155143.0,1.84,56155143.0,1.84,56155143.0,1.84,2.1,59066225.0
1979,56317749.0,1.73,56317749.0,1.73,56317749.0,1.73,56317749.0,1.73,2.1,59066225.0
1980,56433883.0,1.64,56433883.0,1.64,56433883.0,1.64,56433883.0,1.64,2.1,59066225.0
1981,56501675.0,1.58,56501675.0,1.58,56501675.0,1.58,56501675.0,1.58,2.1,59066225.0
1982,56543548.0,1.56,56543548.0,1.56,56543548.0,1.56,56543548.0,1.56,2.1,59066225.0
1983,56564074.0,1.51,56564074.0,1.51,56564074.0,1.51,56564074.0,1.51,2.1,59066225.0
1984,56576718.0,1.46,56576718.0,1.46,56576718.0,1.46,56576718.0,1.46,2.1,59066225.0
1985,56593071.0,1.42,56593071.0,1.42,56593071.0,1.42,56593071.0,1.42,2.1,59066225.0
1986,56596155.0,1.35,56596155.0,1.35,56596155.0,1.35,56596155.0,1.35,2.1,59066225.0
1987,56601931.0,1.33,56601931.0,1.33,56601931.0,1.33,56601931.0,1.33,2.1,59066225.0
1988,56629288.0,1.36,56629288.0,1.36,56629288.0,1.36,56629288.0,1.36,2.1,59066225.0
1989,56671781.0,1.33,56671781.0,1.33,56671781.0,1.33,56671781.0,1.33,2.1,59066225.0
1990,56719240.0,1.33,56719240.0,1.33,56719240.0,1.33,56719240.0,1.33,2.1,59066225.0
1991,56758521.0,1.3,56758521.0,1.3,56758521.0,1.3,56758521.0,1.3,2.1,59066225.0
1992,56797087.0,1.3,56797087.0,1.3,56797087.0,1.3,56797087.0,1.3,2.1,59066225.0
1993,56831821.0,1.25,56831821.0,1.25,56831821.0,1.25,56831821.0,1.25,2.1,59066225.0
1994,56843400.0,1.21,56843400.0,1.21,56843400.0,1.21,56843400.0,1.21,2.1,59066225.0
1995,56844303.0,1.19,56844303.0,1.19,56844303.0,1.19,56844303.0,1.19,2.1,59066225.0
1996,56860281.0,1.2,56860281.0,1.2,56860281.0,1.2,56860281.0,1.2,2.1,59066225.0
1997,56890372.0,1.22,56890372.0,1.22,56890372.0,1.22,56890372.0,1.22,2.1,59066225.0
1998,56906744.0,1.22,56906744.0,1.22,56906744.0,1.22,56906744.0,1.22,2.1,59066225.0
1999,56916317.0,1.23,56916317.0,1.23,56916317.0,1.23,56916317.0,1.23,2.1,59066225.0
2000,56942108.0,1.26,56942108.0,1.26,56942108.0,1.26,56942108.0,1.26,2.1,59066225.0
2001,56974100.0,1.25,56974100.0,1.25,56974100.0,1.25,56974100.0,1.25,2.1,59066225.0
2002,57059007.0,1.27,57059007.0,1.27,57059007.0,1.27,57059007.0,1.27,2.1,59066225.0
2003,57313203.0,1.29,57313203.0,1.29,57313203.0,1.29,57313203.0,1.29,2.1,59066225.0
2004,57685327.0,1.34,57685327.0,1.34,57685327.0,1.34,57685327.0,1.34,2.1,59066225.0
2005,57969484.0,1.34,57969484.0,1.34,57969484.0,1.34,57969484.0,1.34,2.1,59066225.0
2006,58143979.0,1.37,58143979.0,1.37,58143979.0,1.37,58143979.0,1.37,2.1,59066225.0
2007,58438310.0,1.4,58438310.0,1.4,58438310.0,1.4,58438310.0,1.4,2.1,59066225.0
2008,58826731.0,1.45,58826731.0,1.45,58826731.0,1.45,58826731.0,1.45,2.1,59066225.0
