year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1628524.0,5.419,1628524.0,5.419,1628524.0,5.419,1628524.0,5.419,2.1,2973462.0
1961,1651067.0,5.529,1651067.0,5.529,1651067.0,5.529,1651067.0,5.529,2.1,2973462.0
1962,1676500.0,5.627,1676500.0,5.627,1676500.0,5.627,1676500.0,5.627,2.1,2973462.0
1963,1703660.0,5.711,1703660.0,5.711,1703660.0,5.711,1703660.0,5.711,2.1,2973462.0
1964,1730739.0,5.775,1730739.0,5.775,1730739.0,5.775,1730739.0,5.775,2.1,2973462.0
1965,1756508.0,5.815,1756508.0,5.815,1756508.0,5.815,1756508.0,5.815,2.1,2973462.0
1966,1780522.0,5.821,1780522.0,5.821,1780522.0,5.821,1780522.0,5.821,2.1,2973462.0
1967,1803324.0,5.79,1803324.0,5.79,1803324.0,5.79,1803324.0,5.79,2.1,2973462.0
1968,1825873.0,5.722,1825873.0,5.722,1825873.0,5.722,1825873.0,5.722,2.1,2973462.0
1969,1849658.0,5.617,1849658.0,5.617,1849658.0,5.617,1849658.0,5.617,2.1,2973462.0
1970,1875637.0,5.477,1875637.0,5.477,1875637.0,5.477,1875637.0,5.477,2.1,2973462.0
1971,1904281.0,5.305,1904281.0,5.305,1904281.0,5.305,1904281.0,5.305,2.1,2973462.0
1972,1935089.0,5.108,1935089.0,5.108,1935089.0,5.108,1935089.0,5.108,2.1,2973462.0
1973,1966978.0,4.899,1966978.0,4.899,1966978.0,4.899,1966978.0,4.899,2.1,2973462.0
1974,1998313.0,4.685,1998313.0,4.685,1998313.0,4.685,1998313.0,4.685,2.1,2973462.0
1975,2028019.0,4.478,2028019.0,4.478,2028019.0,4.478,2028019.0,4.478,2.1,2973462.0
1976,2055371.0,4.286,2055371.0,4.286,2055371.0,4.286,2055371.0,4.286,2.1,2973462.0
1977,2080824.0,4.115,2080824.0,4.115,2080824.0,4.115,2080824.0,4.115,2.1,2973462.0
1978,2105903.0,3.965,2105903.0,3.965,2105903.0,3.965,2105903.0,3.965,2.1,2973462.0
1979,2132784.0,3.839,2132784.0,3.839,2132784.0,3.839,2132784.0,3.839,2.1,2973462.0
1980,2162839.0,3.733,2162839.0,3.733,2162839.0,3.733,2162839.0,3.733,2.1,2973462.0
1981,2196921.0,3.643,2196921.0,3.643,2196921.0,3.643,2196921.0,3.643,2.1,2973462.0
1982,2234062.0,3.559,2234062.0,3.559,2234062.0,3.559,2234062.0,3.559,2.1,2973462.0
1983,2271735.0,3.477,2271735.0,3.477,2271735.0,3.477,2271735.0,3.477,2.1,2973462.0
1984,2306367.0,3.394,2306367.0,3.394,2306367.0,3.394,2306367.0,3.394,2.1,2973462.0
1985,2335510.0,3.308,2335510.0,3.308,2335510.0,3.308,2335510.0,3.308,2.1,2973462.0
1986,2358165.0,3.223,2358165.0,3.223,2358165.0,3.223,2358165.0,3.223,2.1,2973462.0
1987,2375400.0,3.142,2375400.0,3.142,2375400.0,3.142,2375400.0,3.142,2.1,2973462.0
1988,2389415.0,3.069,2389415.0,3.069,2389415.0,3.069,2389415.0,3.069,2.1,2973462.0
1989,2403464.0,3.003,2403464.0,3.003,2403464.0,3.003,2403464.0,3.003,2.1,2973462.0
1990,2419901.0,2.947,2419901.0,2.947,2419901.0,2.947,2419901.0,2.947,2.1,2973462.0
1991,2439329.0,2.899,2439329.0,2.899,2439329.0,2.899,2439329.0,2.899,2.1,2973462.0
1992,2461047.0,2.86,2461047.0,2.86,2461047.0,2.86,2461047.0,2.86,2.1,2973462.0
1993,2484583.0,2.826,2484583.0,2.826,2484583.0,2.826,2484583.0,2.826,2.1,2973462.0
1994,2509042.0,2.797,2509042.0,2.797,2509042.0,2.797,2509042.0,2.797,2.1,2973462.0
1995,2533705.0,2.768,2533705.0,2.768,2533705.0,2.768,2533705.0,2.768,2.1,2973462.0
1996,2558631.0,2.738,2558631.0,2.738,2558631.0,2.738,2558631.0,2.738,2.1,2973462.0
1997,2583914.0,2.704,2583914.0,2.704,2583914.0,2.704,2583914.0,2.704,2.1,2973462.0
1998,2608874.0,2.666,2608874.0,2.666,2608874.0,2.666,2608874.0,2.666,2.1,2973462.0
1999,2632677.0,2.623,2632677.0,2.623,2632677.0,2.623,2632677.0,2.623,2.1,2973462.0
2000,2654698.0,2.577,2654698.0,2.577,2654698.0,2.577,2654698.0,2.577,2.1,2973462.0
2001,2674706.0,2.529,2674706.0,2.529,2674706.0,2.529,2674706.0,2.529,2.1,2973462.0
2002,2692843.0,2.482,2692843.0,2.482,2692843.0,2.482,2692843.0,2.482,2.1,2973462.0
2003,2709438.0,2.439,2709438.0,2.439,2709438.0,2.439,2709438.0,2.439,2.1,2973462.0
2004,2725017.0,2.398,2725017.0,2.398,2725017.0,2.398,2725017.0,2.398,2.1,2973462.0
2005,2740000.0,2.361,2740000.0,2.361,2740000.0,2.361,2740000.0,2.361,2.1,2973462.0
2006,2754414.0,2.325,2754414.0,2.325,2754414.0,2.325,2754414.0,2.325,2.1,2973462.0
2007,2768229.0,2.289,2768229.0,2.289,2768229.0,2.289,2768229.0,2.289,2.1,2973462.0
2008,2781869.0,2.251,2781869.0,2.251,2781869.0,2.251,2781869.0,2.251,2.1,2973462.0
2009,2795839.0,2.212,2795839.0,2.212,2795839.0,2.212,2795839.0,2.212,2.1,2973462.0
2010,2810464.0,2.173,2810464.0,2.173,2810464.0,2.173,2810464.0,2.173,2.1,2973462.0
2011,2825932.0,2.136,2825932.0,2.136,2825932.0,2.136,2825932.0,2.136,2.1,2973462.0
2012,2842128.0,2.102,2842128.0,2.102,2842128.0,2.102,2842128.0,2.102,2.1,2973462.0
2013,2858710.0,2.072,2858710.0,2.072,2858710.0,2.072,2858710.0,2.072,2.1,2973462.0
2014,2875137.0,2.047,2875137.0,2.047,2875137.0,2.047,2875137.0,2.047,2.1,2973462.0
2015,2891024.0,2.026,2891024.0,2.026,2891024.0,2.026,2891024.0,2.026,2.1,2973462.0
2016,2906242.0,2.009,2906242.0,2.009,2906242.0,2.009,2906242.0,2.009,2.1,2973462.0
2017,2920848.0,1.993,2920848.0,1.993,2920848.0,1.993,2920848.0,1.993,2.1,2973462.0
2018,2934853.0,1.979,2934853.0,1.979,2934853.0,1.979,2934853.0,1.979,2.1,2973462.0
2019,2948277.0,1.965,2948277.0,1.965,2948277.0,1.965,2948277.0,1.965,2.1,2973462.0
2020,2961161.0,1.95,2961161.0,1.95,2961161.0,1.95,2961161.0,1.95,2.1,2973462.0
2021,2973462.0,1.95,2973462.0,1.95,2973462.0,1.95,2973462.0,1.95,2.1,2973462.0
2022,2969982.154,1.917,2970114.68,1.924,2970053.97,1.92,2970614.429,1.95,2.1,2973462.0
2023,2965880.832,1.884,2966274.357,1.898,2966093.965,1.891,2967766.857,1.95,2.1,2973462.0
2024,2961168.65,1.852,2961947.688,1.872,2961590.345,1.863,2964919.286,1.95,2.1,2973462.0
