year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,933102.0,7.687,933102.0,7.687,933102.0,7.687,933102.0,7.687,2.1,10269022.0
1961,973983.0,7.802,973983.0,7.802,973983.0,7.802,973983.0,7.802,2.1,10269022.0
1962,1010647.0,7.904,1010647.0,7.904,1010647.0,7.904,1010647.0,7.904,2.1,10269022.0
1963,1050212.0,7.983,1050212.0,7.983,1050212.0,7.983,1050212.0,7.983,2.1,10269022.0
1964,1102404.0,8.034,1102404.0,8.034,1102404.0,8.034,1102404.0,8.034,2.1,10269022.0
1965,1173603.0,8.057,1173603.0,8.057,1173603.0,8.057,1173603.0,8.057,2.1,10269022.0
1966,1267063.0,8.053,1267063.0,8.053,1267063.0,8.053,1267063.0,8.053,2.1,10269022.0
1967,1378995.0,8.033,1378995.0,8.033,1378995.0,8.033,1378995.0,8.033,2.1,10269022.0
1968,1500168.0,8.004,1500168.0,8.004,1500168.0,8.004,1500168.0,8.004,2.1,10269022.0
1969,1617427.0,7.968,1617427.0,7.968,1617427.0,7.968,1617427.0,7.968,2.1,10269022.0
1970,1721315.0,7.926,1721315.0,7.926,1721315.0,7.926,1721315.0,7.926,2.1,10269022.0
1971,1809193.0,7.876,1809193.0,7.876,1809193.0,7.876,1809193.0,7.876,2.1,10269022.0
1972,1883923.0,7.818,1883923.0,7.818,1883923.0,7.818,1883923.0,7.818,2.1,10269022.0
1973,1948443.0,7.75,1948443.0,7.75,1948443.0,7.75,1948443.0,7.75,2.1,10269022.0
1974,2007735.0,7.675,2007735.0,7.675,2007735.0,7.675,2007735.0,7.675,2.1,10269022.0
1975,2065916.0,7.598,2065916.0,7.598,2065916.0,7.598,2065916.0,7.598,2.1,10269022.0
1976,2123180.0,7.523,2123180.0,7.523,2123180.0,7.523,2123180.0,7.523,2.1,10269022.0
1977,2179361.0,7.455,2179361.0,7.455,2179361.0,7.455,2179361.0,7.455,2.1,10269022.0
1978,2237936.0,7.391,2237936.0,7.391,2237936.0,7.391,2237936.0,7.391,2.1,10269022.0
1979,2303116.0,7.329,2303116.0,7.329,2303116.0,7.329,2303116.0,7.329,2.1,10269022.0
1980,2377997.0,7.262,2377997.0,7.262,2377997.0,7.262,2377997.0,7.262,2.1,10269022.0
1981,2464870.0,7.179,2464870.0,7.179,2464870.0,7.179,2464870.0,7.179,2.1,10269022.0
1982,2563525.0,7.072,2563525.0,7.072,2563525.0,7.072,2563525.0,7.072,2.1,10269022.0
1983,2671413.0,6.936,2671413.0,6.936,2671413.0,6.936,2671413.0,6.936,2.1,10269022.0
1984,2784457.0,6.773,2784457.0,6.773,2784457.0,6.773,2784457.0,6.773,2.1,10269022.0
1985,2900055.0,6.584,2900055.0,6.584,2900055.0,6.584,2900055.0,6.584,2.1,10269022.0
1986,3015294.0,6.375,3015294.0,6.375,3015294.0,6.375,3015294.0,6.375,2.1,10269022.0
1987,3131800.0,6.156,3131800.0,6.156,3131800.0,6.156,3131800.0,6.156,2.1,10269022.0
1988,3256552.0,5.938,3256552.0,5.938,3256552.0,5.938,3256552.0,5.938,2.1,10269022.0
1989,3399333.0,5.725,3399333.0,5.725,3399333.0,5.725,3399333.0,5.725,2.1,10269022.0
1990,3565888.0,5.521,3565888.0,5.521,3565888.0,5.521,3565888.0,5.521,2.1,10269022.0
1991,3760493.0,5.326,3760493.0,5.326,3760493.0,5.326,3760493.0,5.326,2.1,10269022.0
1992,3977667.0,5.138,3977667.0,5.138,3977667.0,5.138,3977667.0,5.138,2.1,10269022.0
1993,4201559.0,4.958,4201559.0,4.958,4201559.0,4.958,4201559.0,4.958,2.1,10269022.0
1994,4410357.0,4.787,4410357.0,4.787,4410357.0,4.787,4410357.0,4.787,2.1,10269022.0
1995,4588842.0,4.63,4588842.0,4.63,4588842.0,4.63,4588842.0,4.63,2.1,10269022.0
1996,4732848.0,4.489,4732848.0,4.489,4732848.0,4.489,4732848.0,4.489,2.1,10269022.0
1997,4848536.0,4.367,4848536.0,4.367,4848536.0,4.367,4848536.0,4.367,2.1,10269022.0
1998,4943975.0,4.264,4943975.0,4.264,4943975.0,4.264,4943975.0,4.264,2.1,10269022.0
1999,5031754.0,4.178,5031754.0,4.178,5031754.0,4.178,5031754.0,4.178,2.1,10269022.0
2000,5122495.0,4.109,5122495.0,4.109,5122495.0,4.109,5122495.0,4.109,2.1,10269022.0
2001,5217328.0,4.056,5217328.0,4.056,5217328.0,4.056,5217328.0,4.056,2.1,10269022.0
2002,5317514.0,4.013,5317514.0,4.013,5317514.0,4.013,5317514.0,4.013,2.1,10269022.0
2003,5434036.0,3.977,5434036.0,3.977,5434036.0,3.977,5434036.0,3.977,2.1,10269022.0
2004,5580241.0,3.943,5580241.0,3.943,5580241.0,3.943,5580241.0,3.943,2.1,10269022.0
2005,5765639.0,3.907,5765639.0,3.907,5765639.0,3.907,5765639.0,3.907,2.1,10269022.0
2006,5991547.0,3.866,5991547.0,3.866,5991547.0,3.866,5991547.0,3.866,2.1,10269022.0
2007,6255290.0,3.821,6255290.0,3.821,6255290.0,3.821,6255290.0,3.821,2.1,10269022.0
2008,6556473.0,3.768,6556473.0,3.768,6556473.0,3.768,6556473.0,3.768,2.1,10269022.0
2009,6893258.0,3.706,6893258.0,3.706,6893258.0,3.706,6893258.0,3.706,2.1,10269022.0
2010,7261541.0,3.631,7261541.0,3.631,7261541.0,3.631,7261541.0,3.631,2.1,10269022.0
2011,7662858.0,3.541,7662858.0,3.541,7662858.0,3.541,7662858.0,3.541,2.1,10269022.0
2012,8089963.0,3.436,8089963.0,3.436,8089963.0,3.436,8089963.0,3.436,2.1,10269022.0
2013,8518992.0,3.319,8518992.0,3.319,8518992.0,3.319,8518992.0,3.319,2.1,10269022.0
2014,8918822.0,3.196,8918822.0,3.196,8918822.0,3.196,8918822.0,3.196,2.1,10269022.0
2015,9266573.0,3.071,9266573.0,3.071,9266573.0,3.071,9266573.0,3.071,2.1,10269022.0
2016,9554286.0,2.954,9554286.0,2.954,9554286.0,2.954,9554286.0,2.954,2.1,10269022.0
2017,9785840.0,2.849,9785840.0,2.849,9785840.0,2.849,9785840.0,2.849,2.1,10269022.0
2018,9965322.0,2.761,9965322.0,2.761,9965322.0,2.761,9965322.0,2.761,2.1,10269022.0
2019,10101697.0,2.691,10101697.0,2.691,10101697.0,2.691,10101697.0,2.691,2.1,10269022.0
2020,10203140.0,2.639,10203140.0,2.639,10203140.0,2.639,10203140.0,2.639,2.1,10269022.0
2021,10269022.0,2.639,10269022.0,2.639,10269022.0,2.639,10269022.0,2.639,2.1,10269022.0
2022,10301240.021,2.592,10298602.204,2.552,10300403.387,2.579,10304327.27,2.639,2.1,10269022.0
2023,10330425.932,2.546,10322646.956,2.467,10327949.964,2.521,10339632.54,2.639,2.1,10269022.0
2024,10356633.886,2.5,10341339.591,2.385,10351748.78,2.463,10374937.81,2.639,2.1,10269022.0
2025,10379917.069,2.455,10354857.371,2.306,10371884.91,2.407,10410243.08,2.639,2.1,10269022.0
2026,10400327.718,2.412,10363371.686,2.23,10388441.497,2.353,10445548.35,2.639,2.1,10269022.0
2027,10417917.137,2.369,10367048.252,2.156,10401499.796,2.299,10480853.62,2.639,2.1,10269022.0
2028,10432735.711,2.326,10366047.294,2.085,10411139.219,2.247,10516158.89,2.639,2.1,10269022.0
2029,10444832.93,2.285,10360523.733,2.016,10417437.374,2.196,10551464.16,2.639,2.1,10269022.0
2030,10454257.395,2.244,10350627.357,1.949,10420470.107,2.146,10586769.43,2.639,2.1,10269022.0
2031,10461056.843,2.204,10336502.993,1.884,10420311.545,2.098,10622074.7,2.639,2.1,10269022.0
2032,10465278.156,2.164,10318290.673,1.822,10417034.128,2.05,10657379.97,2.639,2.1,10269022.0
2033,10466967.38,2.126,10296125.79,1.762,10410708.656,2.003,10692685.24,2.639,2.1,10269022.0
2034,10466169.738,2.088,10270139.252,1.703,10401404.319,1.958,10727990.51,2.639,2.1,10269022.0
2035,10462929.645,2.051,10240457.633,1.647,10389188.737,1.914,10763295.78,2.639,2.1,10269022.0
2036,10457290.724,2.014,10207203.314,1.592,10374127.996,1.87,10798601.05,2.639,2.1,10269022.0
2037,10449295.817,1.978,10170494.623,1.54,10356286.681,1.828,10833906.32,2.639,2.1,10269022.0
2038,10438987.003,1.943,10130445.968,1.489,10335727.91,1.786,10869211.59,2.639,2.1,10269022.0
2039,10426405.607,1.908,10087167.969,1.439,10312513.371,1.746,10904516.86,2.639,2.1,10269022.0
2040,10411592.219,1.874,10040767.582,1.392,10286703.348,1.706,10939822.13,2.639,2.1,10269022.0
2041,10394586.701,1.84,9991348.221,1.346,10258356.76,1.667,10975127.4,2.639,2.1,10269022.0
2042,10375428.205,1.808,9939009.873,1.301,10227531.186,1.629,11010432.67,2.639,2.1,10269022.0
2043,10354155.183,1.775,9883849.216,1.258,10194282.9,1.592,11045737.94,2.639,2.1,10269022.0
2044,10330805.401,1.744,9825959.725,1.216,10158666.896,1.556,11081043.21,2.639,2.1,10269022.0
2045,10305415.95,1.712,9765431.778,1.176,10120736.923,1.521,11116348.48,2.639,2.1,10269022.0
2046,10278023.257,1.682,9702352.762,1.137,10080545.507,1.486,11151653.75,2.639,2.1,10269022.0
2047,10248663.101,1.652,9636807.167,1.099,10038143.983,1.453,11186959.02,2.639,2.1,10269022.0
2048,10217370.622,1.622,9568876.687,1.063,9993582.521,1.42,11222264.29,2.639,2.1,10269022.0
2049,10184180.329,1.593,9498640.309,1.028,9946910.151,1.387,11257569.56,2.639,2.1,10269022.0
2050,10149126.118,1.565,9426174.405,0.994,9898174.79,1.356,11292874.83,2.639,2.1,10269022.0
2051,10112241.279,1.537,9351552.816,0.961,9847423.269,1.325,11328180.1,2.639,2.1,10269022.0
2052,10073558.507,1.509,9274846.939,0.929,9794701.355,1.295,11363485.37,2.639,2.1,10269022.0
2053,10033109.912,1.482,9196125.805,0.898,9740053.775,1.266,11398790.64,2.639,2.1,10269022.0
2054,9990927.033,1.456,9115456.159,0.868,9683524.241,1.237,11434095.91,2.639,2.1,10269022.0
2055,9947040.843,1.43,9032902.537,0.84,9625155.475,1.209,11469401.18,2.639,2.1,10269022.0
2056,9901481.764,1.404,8948527.336,0.812,9564989.227,1.181,11504706.45,2.639,2.1,10269022.0
2057,9854279.674,1.379,8862390.885,0.785,9503066.3,1.155,11540011.72,2.639,2.1,10269022.0
2058,9805463.916,1.355,8774551.519,0.759,9439426.57,1.128,11575316.99,2.639,2.1,10269022.0
2059,9755063.311,1.331,8685065.637,0.734,9374109.009,1.103,11610622.26,2.639,2.1,10269022.0
2060,9703106.165,1.307,8593987.772,0.71,9307151.703,1.078,11645927.53,2.639,2.1,10269022.0
2061,9649620.276,1.283,8501370.651,0.686,9238591.876,1.053,11681232.8,2.639,2.1,10269022.0
2062,9594632.949,1.261,8407265.253,0.663,9168465.903,1.029,11716538.07,2.639,2.1,10269022.0
2063,9538170.999,1.238,8311720.871,0.641,9096809.336,1.006,11751843.34,2.639,2.1,10269022.0
2064,9480260.763,1.216,8214785.163,0.62,9023656.921,0.983,11787148.61,2.639,2.1,10269022.0
2065,9420928.107,1.194,8116504.211,0.6,8949042.612,0.961,11822453.88,2.639,2.1,10269022.0
2066,9360198.436,1.173,8016922.569,0.58,8872999.595,0.939,11857759.15,2.639,2.1,10269022.0
2067,9298096.7,1.152,7916083.315,0.561,8795560.301,0.918,11893064.42,2.639,2.1,10269022.0
2068,9234647.404,1.131,7814028.101,0.542,8716756.427,0.897,11928369.69,2.639,2.1,10269022.0
2069,9169874.616,1.111,7710797.201,0.524,8636618.947,0.877,11963674.96,2.639,2.1,10269022.0
2070,9103801.974,1.091,7606429.554,0.507,8555178.134,0.857,11998980.23,2.639,2.1,10269022.0
2071,9036452.693,1.072,7500962.807,0.49,8472463.576,0.837,12034285.5,2.639,2.1,10269022.0
2072,8967849.573,1.053,7394433.363,0.474,8388504.184,0.818,12069590.77,2.639,2.1,10269022.0
2073,8898015.008,1.034,7286876.42,0.458,8303328.218,0.8,12104896.04,2.639,2.1,10269022.0
2074,8826970.992,1.015,7178326.007,0.443,8216963.293,0.781,12140201.31,2.639,2.1,10269022.0
2075,8754739.126,0.997,7068815.028,0.428,8129436.398,0.764,12175506.58,2.639,2.1,10269022.0
2076,8681340.624,0.979,6958375.298,0.414,8040773.911,0.746,12210811.85,2.639,2.1,10269022.0
2077,8606796.323,0.962,6847037.576,0.4,7951001.61,0.729,12246117.12,2.639,2.1,10269022.0
2078,8531126.686,0.945,6734831.604,0.387,7860144.686,0.713,12281422.39,2.639,2.1,10269022.0
2079,8454351.812,0.928,6621786.138,0.374,7768227.762,0.697,12316727.66,2.639,2.1,10269022.0
2080,8376491.442,0.911,6507928.983,0.362,7675274.898,0.681,12352032.93,2.639,2.1,10269022.0
2081,8297564.961,0.895,6393287.022,0.35,7581309.612,0.665,12387338.2,2.639,2.1,10269022.0
2082,8217591.41,0.879,6277886.247,0.338,7486354.884,0.65,12422643.47,2.639,2.1,10269022.0
2083,8136589.49,0.863,6161751.79,0.327,7390433.176,0.636,12457948.74,2.639,2.1,10269022.0
2084,8054577.568,0.848,6044907.951,0.316,7293566.438,0.621,12493254.01,2.639,2.1,10269022.0
2085,7971573.682,0.833,5927378.225,0.306,7195776.121,0.607,12528559.28,2.639,2.1,10269022.0
2086,7887595.549,0.818,5809185.328,0.296,7097083.191,0.593,12563864.55,2.639,2.1,10269022.0
2087,7802660.569,0.803,5690351.224,0.286,6997508.138,0.58,12599169.82,2.639,2.1,10269022.0
2088,7716785.832,0.789,5570897.151,0.276,6897070.985,0.567,12634475.09,2.639,2.1,10269022.0
2089,7629988.12,0.775,5450843.641,0.267,6795791.303,0.554,12669780.36,2.639,2.1,10269022.0
2090,7542283.919,0.761,5330210.547,0.258,6693688.216,0.541,12705085.63,2.639,2.1,10269022.0
2091,7453689.418,0.747,5209017.067,0.25,6590780.416,0.529,12740390.9,2.639,2.1,10269022.0
2092,7364220.519,0.734,5087281.759,0.241,6487086.171,0.517,12775696.17,2.639,2.1,10269022.0
2093,7273892.838,0.721,4965022.57,0.233,6382623.331,0.505,12811001.44,2.639,2.1,10269022.0
2094,7182721.712,0.708,4842256.849,0.226,6277409.345,0.494,12846306.71,2.639,2.1,10269022.0
2095,7090722.206,0.695,4719001.374,0.218,6171461.263,0.483,12881611.98,2.639,2.1,10269022.0
2096,6997909.115,0.683,4595272.364,0.211,6064795.75,0.472,12916917.25,2.639,2.1,10269022.0
2097,6904296.969,0.671,4471085.504,0.204,5957429.09,0.461,12952222.52,2.639,2.1,10269022.0
2098,6809900.039,0.659,4346455.958,0.197,5849377.201,0.45,12987527.79,2.639,2.1,10269022.0
2099,6714732.342,0.647,4221398.386,0.191,5740655.637,0.44,13022833.06,2.639,2.1,10269022.0
2100,6618807.643,0.636,4095926.966,0.184,5631279.599,0.43,13058138.33,2.639,2.1,10269022.0
2101,6522139.463,0.624,3970055.405,0.178,5521263.943,0.42,13093443.6,2.639,2.1,10269022.0
2102,6424741.08,0.613,3843796.954,0.172,5410623.191,0.411,13128748.87,2.639,2.1,10269022.0
2103,6326625.536,0.602,3717164.427,0.167,5299371.53,0.402,13164054.14,2.639,2.1,10269022.0
2104,6227805.638,0.591,3590170.214,0.161,5187522.829,0.392,13199359.41,2.639,2.1,10269022.0
2105,6128293.968,0.581,3462826.295,0.156,5075090.64,0.384,13234664.68,2.639,2.1,10269022.0
2106,6028102.879,0.57,3335144.25,0.151,4962088.208,0.375,13269969.95,2.639,2.1,10269022.0
2107,5927244.506,0.56,3207135.28,0.146,4848528.479,0.366,13305275.22,2.639,2.1,10269022.0
2108,5825730.768,0.55,3078810.211,0.141,4734424.103,0.358,13340580.49,2.639,2.1,10269022.0
2109,5723573.368,0.54,2950179.513,0.136,4619787.443,0.35,13375885.76,2.639,2.1,10269022.0
2110,5620783.803,0.531,2821253.309,0.132,4504630.582,0.342,13411191.03,2.639,2.1,10269022.0
2111,5517373.363,0.521,2692041.385,0.127,4388965.328,0.334,13446496.3,2.639,2.1,10269022.0
2112,5413353.136,0.512,2562553.205,0.123,4272803.223,0.327,13481801.57,2.639,2.1,10269022.0
2113,5308734.015,0.503,2432797.918,0.119,4156155.544,0.319,13517106.84,2.639,2.1,10269022.0
2114,5203526.694,0.494,2302784.37,0.115,4039033.315,0.312,13552412.11,2.639,2.1,10269022.0
2115,5097741.68,0.485,2172521.116,0.111,3921447.307,0.305,13587717.38,2.639,2.1,10269022.0
2116,4991389.289,0.476,2042016.426,0.108,3803408.048,0.298,13623022.65,2.639,2.1,10269022.0
2117,4884479.655,0.468,1911278.295,0.104,3684925.828,0.291,13658327.92,2.639,2.1,10269022.0
2118,4777022.731,0.459,1780314.456,0.101,3566010.701,0.285,13693633.19,2.639,2.1,10269022.0
2119,4669028.291,0.451,1649132.384,0.097,3446672.494,0.278,13728938.46,2.639,2.1,10269022.0
2120,4560505.935,0.443,1517739.307,0.094,3326920.811,0.272,13764243.73,2.639,2.1,10269022.0
2121,4451465.092,0.435,1386142.213,0.091,3206765.038,0.266,13799549.0,2.639,2.1,10269022.0
