year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,93216000.0,2.001,93216000.0,2.001,93216000.0,2.001,93216000.0,2.001,2.1,125681593.0
1961,94055000.0,2.05,94055000.0,2.05,94055000.0,2.05,94055000.0,2.05,2.1,125681593.0
1962,94933000.0,2.01,94933000.0,2.01,94933000.0,2.01,94933000.0,2.01,2.1,125681593.0
1963,95900000.0,2.02,95900000.0,2.02,95900000.0,2.02,95900000.0,2.02,2.1,125681593.0
1964,96903000.0,2.05,96903000.0,2.05,96903000.0,2.05,96903000.0,2.05,2.1,125681593.0
1965,97952000.0,2.139,97952000.0,2.139,97952000.0,2.139,97952000.0,2.139,2.1,125681593.0
1966,98851000.0,1.58,98851000.0,1.58,98851000.0,1.58,98851000.0,1.58,2.1,125681593.0
1967,99879000.0,2.02,99879000.0,2.02,99879000.0,2.02,99879000.0,2.02,2.1,125681593.0
1968,101011000.0,2.13,101011000.0,2.13,101011000.0,2.13,101011000.0,2.13,2.1,125681593.0
1969,102219000.0,2.13,102219000.0,2.13,102219000.0,2.13,102219000.0,2.13,2.1,125681593.0
1970,103403000.0,2.135,103403000.0,2.135,103403000.0,2.135,103403000.0,2.135,2.1,125681593.0
1971,105697000.0,2.16,105697000.0,2.16,105697000.0,2.16,105697000.0,2.16,2.1,125681593.0
1972,107188000.0,2.14,107188000.0,2.14,107188000.0,2.14,107188000.0,2.14,2.1,125681593.0
1973,108707000.0,2.14,108707000.0,2.14,108707000.0,2.14,108707000.0,2.14,2.1,125681593.0
1974,110162000.0,2.05,110162000.0,2.05,110162000.0,2.05,110162000.0,2.05,2.1,125681593.0
1975,111573000.0,1.909,111573000.0,1.909,111573000.0,1.909,111573000.0,1.909,2.1,125681593.0
1976,112775000.0,1.85,112775000.0,1.85,112775000.0,1.85,112775000.0,1.85,2.1,125681593.0
1977,113872000.0,1.8,113872000.0,1.8,113872000.0,1.8,113872000.0,1.8,2.1,125681593.0
1978,114913000.0,1.79,114913000.0,1.79,114913000.0,1.79,114913000.0,1.79,2.1,125681593.0
1979,115890000.0,1.77,115890000.0,1.77,115890000.0,1.77,115890000.0,1.77,2.1,125681593.0
1980,116807000.0,1.75,116807000.0,1.75,116807000.0,1.75,116807000.0,1.75,2.1,125681593.0
1981,117661000.0,1.74,117661000.0,1.74,117661000.0,1.74,117661000.0,1.74,2.1,125681593.0
1982,118480000.0,1.77,118480000.0,1.77,118480000.0,1.77,118480000.0,1.77,2.1,125681593.0
1983,119307000.0,1.8,119307000.0,1.8,119307000.0,1.8,119307000.0,1.8,2.1,125681593.0
1984,120083000.0,1.81,120083000.0,1.81,120083000.0,1.81,120083000.0,1.81,2.1,125681593.0
1985,120837000.0,1.76,120837000.0,1.76,120837000.0,1.76,120837000.0,1.76,2.1,125681593.0
1986,121482000.0,1.72,121482000.0,1.72,121482000.0,1.72,121482000.0,1.72,2.1,125681593.0
1987,122069000.0,1.69,122069000.0,1.69,122069000.0,1.69,122069000.0,1.69,2.1,125681593.0
1988,122578000.0,1.66,122578000.0,1.66,122578000.0,1.66,122578000.0,1.66,2.1,125681593.0
1989,123069000.0,1.57,123069000.0,1.57,123069000.0,1.57,123069000.0,1.57,2.1,125681593.0
1990,123478000.0,1.54,123478000.0,1.54,123478000.0,1.54,123478000.0,1.54,2.1,125681593.0
1991,123964000.0,1.53,123964000.0,1.53,123964000.0,1.53,123964000.0,1.53,2.1,125681593.0
1992,124425000.0,1.502,124425000.0,1.502,124425000.0,1.502,124425000.0,1.502,2.1,125681593.0
1993,124829000.0,1.458,124829000.0,1.458,124829000.0,1.458,124829000.0,1.458,2.1,125681593.0
1994,125178000.0,1.5,125178000.0,1.5,125178000.0,1.5,125178000.0,1.5,2.1,125681593.0
1995,125472000.0,1.422,125472000.0,1.422,125472000.0,1.422,125472000.0,1.422,2.1,125681593.0
1996,125757000.0,1.425,125757000.0,1.425,125757000.0,1.425,125757000.0,1.425,2.1,125681593.0
1997,126057000.0,1.388,126057000.0,1.388,126057000.0,1.388,126057000.0,1.388,2.1,125681593.0
1998,126400000.0,1.384,126400000.0,1.384,126400000.0,1.384,126400000.0,1.384,2.1,125681593.0
1999,126631000.0,1.342,126631000.0,1.342,126631000.0,1.342,126631000.0,1.342,2.1,125681593.0
2000,126843000.0,1.359,126843000.0,1.359,126843000.0,1.359,126843000.0,1.359,2.1,125681593.0
2001,127149000.0,1.33,127149000.0,1.33,127149000.0,1.33,127149000.0,1.33,2.1,125681593.0
2002,127445000.0,1.32,127445000.0,1.32,127445000.0,1.32,127445000.0,1.32,2.1,125681593.0
2003,127718000.0,1.29,127718000.0,1.29,127718000.0,1.29,127718000.0,1.29,2.1,125681593.0
2004,127761000.0,1.29,127761000.0,1.29,127761000.0,1.29,127761000.0,1.29,2.1,125681593.0
2005,127773000.0,1.26,127773000.0,1.26,127773000.0,1.26,127773000.0,1.26,2.1,125681593.0
2006,127854000.0,1.32,127854000.0,1.32,127854000.0,1.32,127854000.0,1.32,2.1,125681593.0
2007,128001000.0,1.34,128001000.0,1.34,128001000.0,1.34,128001000.0,1.34,2.1,125681593.0
2008,128063000.0,1.37,128063000.0,1.37,128063000.0,1.37,128063000.0,1.37,2.1,125681593.0
2009,128047000.0,1.37,128047000.0,1.37,128047000.0,1.37,128047000.0,1.37,2.1,125681593.0
2010,128070000.0,1.39,128070000.0,1.39,128070000.0,1.39,128070000.0,1.39,2.1,125681593.0
2011,127833000.0,1.39,127833000.0,1.39,127833000.0,1.39,127833000.0,1.39,2.1,125681593.0
2012,127629000.0,1.41,127629000.0,1.41,127629000.0,1.41,127629000.0,1.41,2.1,125681593.0
2013,127445000.0,1.43,127445000.0,1.43,127445000.0,1.43,127445000.0,1.43,2.1,125681593.0
2014,127276000.0,1.42,127276000.0,1.42,127276000.0,1.42,127276000.0,1.42,2.1,125681593.0
2015,127141000.0,1.45,127141000.0,1.45,127141000.0,1.45,127141000.0,1.45,2.1,125681593.0
2016,127076000.0,1.44,127076000.0,1.44,127076000.0,1.44,127076000.0,1.44,2.1,125681593.0
2017,126972000.0,1.43,126972000.0,1.43,126972000.0,1.43,126972000.0,1.43,2.1,125681593.0
2018,126811000.0,1.42,126811000.0,1.42,126811000.0,1.42,126811000.0,1.42,2.1,125681593.0
2019,126633000.0,1.36,126633000.0,1.36,126633000.0,1.36,126633000.0,1.36,2.1,125681593.0
2020,126261000.0,1.34,126261000.0,1.34,126261000.0,1.34,126261000.0,1.34,2.1,125681593.0
2021,125681593.0,1.34,125681593.0,1.34,125681593.0,1.34,125681593.0,1.34,2.1,125681593.0
2022,125139081.179,1.333,125143497.822,1.339,125143422.0,1.339,125144047.533,1.34,2.1,125681593.0
2023,124591629.028,1.326,124604853.253,1.338,124604625.88,1.338,124606502.067,1.34,2.1,125681593.0
2024,124039262.433,1.319,124065659.609,1.338,124065205.052,1.337,124068956.6,1.34,2.1,125681593.0
2025,123482007.146,1.312,123525917.211,1.337,123525159.929,1.336,123531411.133,1.34,2.1,125681593.0
2026,122919888.785,1.305,122985626.376,1.336,122984490.922,1.336,122993865.667,1.34,2.1,125681593.0
2027,122352932.832,1.298,122444787.422,1.335,122443198.444,1.335,122456320.2,1.34,2.1,125681593.0
2028,121781164.635,1.292,121903400.668,1.335,121901282.905,1.334,121918774.733,1.34,2.1,125681593.0
2029,121204609.411,1.285,121361466.43,1.334,121358744.718,1.333,121381229.267,1.34,2.1,125681593.0
2030,120623292.244,1.278,120818985.027,1.333,120815584.292,1.332,120843683.8,1.34,2.1,125681593.0
2031,120037238.086,1.271,120275956.776,1.332,120271802.04,1.331,120306138.333,1.34,2.1,125681593.0
2032,119446471.76,1.265,119732381.994,1.331,119727398.37,1.33,119768592.867,1.34,2.1,125681593.0
2033,118851017.957,1.258,119188260.998,1.331,119182373.694,1.329,119231047.4,1.34,2.1,125681593.0
2034,118250901.239,1.252,118643594.105,1.33,118636728.42,1.329,118693501.933,1.34,2.1,125681593.0
2035,117646146.04,1.245,118098381.632,1.329,118090462.96,1.328,118155956.467,1.34,2.1,125681593.0
2036,117036776.666,1.238,117552623.894,1.328,117543577.721,1.327,117618411.0,1.34,2.1,125681593.0
2037,116422817.294,1.232,117006321.208,1.328,116996073.114,1.326,117080865.533,1.34,2.1,125681593.0
2038,115804291.978,1.226,116459473.891,1.327,116447949.546,1.325,116543320.067,1.34,2.1,125681593.0
2039,115181224.641,1.219,115912082.257,1.326,115899207.427,1.324,116005774.6,1.34,2.1,125681593.0
2040,114553639.085,1.213,115364146.624,1.325,115349847.164,1.323,115468229.133,1.34,2.1,125681593.0
2041,113921558.985,1.206,114815667.306,1.325,114799869.166,1.322,114930683.667,1.34,2.1,125681593.0
2042,113285007.892,1.2,114266644.618,1.324,114249273.841,1.322,114393138.2,1.34,2.1,125681593.0
2043,112644009.234,1.194,113717078.876,1.323,113698061.595,1.321,113855592.733,1.34,2.1,125681593.0
2044,111998586.317,1.187,113166970.395,1.322,113146232.836,1.32,113318047.267,1.34,2.1,125681593.0
2045,111348762.323,1.181,112616319.49,1.321,112593787.97,1.319,112780501.8,1.34,2.1,125681593.0
2046,110694560.314,1.175,112065126.475,1.321,112040727.406,1.318,112242956.333,1.34,2.1,125681593.0
2047,110036003.231,1.169,111513391.664,1.32,111487051.548,1.317,111705410.867,1.34,2.1,125681593.0
2048,109373113.895,1.163,110961115.373,1.319,110932760.802,1.316,111167865.4,1.34,2.1,125681593.0
2049,108705915.007,1.157,110408297.914,1.318,110377855.576,1.315,110630319.933,1.34,2.1,125681593.0
2050,108034429.148,1.151,109854939.602,1.318,109822336.274,1.315,110092774.467,1.34,2.1,125681593.0
2051,107358678.783,1.145,109301040.75,1.317,109266203.301,1.314,109555229.0,1.34,2.1,125681593.0
2052,106678686.257,1.139,108746601.673,1.316,108709457.063,1.313,109017683.533,1.34,2.1,125681593.0
2053,105994473.799,1.133,108191622.683,1.315,108152097.964,1.312,108480138.067,1.34,2.1,125681593.0
2054,105306063.522,1.127,107636104.093,1.315,107594126.409,1.311,107942592.6,1.34,2.1,125681593.0
2055,104613477.422,1.121,107080046.217,1.314,107035542.803,1.31,107405047.133,1.34,2.1,125681593.0
2056,103916737.381,1.115,106523449.366,1.313,106476347.548,1.309,106867501.667,1.34,2.1,125681593.0
2057,103215865.166,1.109,105966313.855,1.312,105916541.049,1.309,106329956.2,1.34,2.1,125681593.0
2058,102510882.428,1.103,105408639.995,1.312,105356123.709,1.308,105792410.733,1.34,2.1,125681593.0
2059,101801810.707,1.097,104850428.099,1.311,104795095.931,1.307,105254865.267,1.34,2.1,125681593.0
2060,101088671.429,1.092,104291678.478,1.31,104233458.118,1.306,104717319.8,1.34,2.1,125681593.0
2061,100371485.909,1.086,103732391.444,1.309,103671210.673,1.305,104179774.333,1.34,2.1,125681593.0
2062,99650275.349,1.08,103172567.31,1.309,103108353.999,1.304,103642228.867,1.34,2.1,125681593.0
2063,98925060.839,1.075,102612206.386,1.308,102544888.496,1.303,103104683.4,1.34,2.1,125681593.0
2064,98195863.361,1.069,102051308.985,1.307,101980814.568,1.302,102567137.933,1.34,2.1,125681593.0
2065,97462703.785,1.063,101489875.416,1.306,101416132.615,1.302,102029592.467,1.34,2.1,125681593.0
2066,96725602.872,1.058,100927905.992,1.305,100850843.039,1.301,101492047.0,1.34,2.1,125681593.0
2067,95984581.276,1.052,100365401.022,1.305,100284946.241,1.3,100954501.533,1.34,2.1,125681593.0
2068,95239659.541,1.047,99802360.818,1.304,99718442.622,1.299,100416956.067,1.34,2.1,125681593.0
2069,94490858.103,1.041,99238785.69,1.303,99151332.582,1.298,99879410.6,1.34,2.1,125681593.0
2070,93738197.292,1.036,98674675.949,1.302,98583616.521,1.297,99341865.133,1.34,2.1,125681593.0
2071,92981697.331,1.03,98110031.903,1.302,98015294.84,1.296,98804319.667,1.34,2.1,125681593.0
2072,92221378.337,1.025,97544853.864,1.301,97446367.938,1.296,98266774.2,1.34,2.1,125681593.0
2073,91457260.323,1.02,96979142.141,1.3,96876836.215,1.295,97729228.733,1.34,2.1,125681593.0
2074,90689363.194,1.014,96412897.043,1.299,96306700.069,1.294,97191683.267,1.34,2.1,125681593.0
2075,89917706.753,1.009,95846118.88,1.299,95735959.9,1.293,96654137.8,1.34,2.1,125681593.0
2076,89142310.7,1.004,95278807.961,1.298,95164616.106,1.292,96116592.333,1.34,2.1,125681593.0
2077,88363194.63,0.998,94710964.595,1.297,94592669.086,1.291,95579046.867,1.34,2.1,125681593.0
2078,87580378.036,0.993,94142589.091,1.296,94020119.238,1.291,95041501.4,1.34,2.1,125681593.0
2079,86793880.307,0.988,93573681.757,1.296,93446966.96,1.29,94503955.933,1.34,2.1,125681593.0
2080,86003720.735,0.983,93004242.902,1.295,92873212.648,1.289,93966410.467,1.34,2.1,125681593.0
2081,85209918.506,0.978,92434272.835,1.294,92298856.702,1.288,93428865.0,1.34,2.1,125681593.0
2082,84412492.708,0.973,91863771.862,1.293,91723899.517,1.287,92891319.533,1.34,2.1,125681593.0
2083,83611462.329,0.967,91292740.293,1.293,91148341.491,1.286,92353774.067,1.34,2.1,125681593.0
2084,82806846.256,0.962,90721178.435,1.292,90572183.02,1.285,91816228.6,1.34,2.1,125681593.0
2085,81998663.28,0.957,90149086.595,1.291,89995424.501,1.285,91278683.133,1.34,2.1,125681593.0
2086,81186932.089,0.952,89576465.082,1.29,89418066.328,1.284,90741137.667,1.34,2.1,125681593.0
2087,80371671.278,0.947,89003314.201,1.29,88840108.9,1.283,90203592.2,1.34,2.1,125681593.0
2088,79552899.34,0.942,88429634.261,1.289,88261552.609,1.282,89666046.733,1.34,2.1,125681593.0
2089,78730634.675,0.937,87855425.567,1.288,87682397.853,1.281,89128501.267,1.34,2.1,125681593.0
2090,77904895.584,0.933,87280688.428,1.287,87102645.026,1.28,88590955.8,1.34,2.1,125681593.0
2091,77075700.274,0.928,86705423.148,1.287,86522294.522,1.279,88053410.333,1.34,2.1,125681593.0
2092,76243066.855,0.923,86129630.035,1.286,85941346.737,1.279,87515864.867,1.34,2.1,125681593.0
2093,75407013.342,0.918,85553309.395,1.285,85359802.064,1.278,86978319.4,1.34,2.1,125681593.0
2094,74567557.657,0.913,84976461.534,1.284,84777660.897,1.277,86440773.933,1.34,2.1,125681593.0
2095,73724717.627,0.908,84399086.756,1.284,84194923.63,1.276,85903228.467,1.34,2.1,125681593.0
2096,72878510.987,0.904,83821185.369,1.283,83611590.657,1.275,85365683.0,1.34,2.1,125681593.0
2097,72028955.376,0.899,83242757.677,1.282,83027662.37,1.274,84828137.533,1.34,2.1,125681593.0
2098,71176068.345,0.894,82663803.986,1.281,82443139.163,1.274,84290592.067,1.34,2.1,125681593.0
2099,70319867.349,0.889,82084324.601,1.281,81858021.427,1.273,83753046.6,1.34,2.1,125681593.0
2100,69460369.754,0.885,81504319.827,1.28,81272309.557,1.272,83215501.133,1.34,2.1,125681593.0
2101,68597592.834,0.88,80923789.968,1.279,80686003.943,1.271,82677955.667,1.34,2.1,125681593.0
2102,67731553.772,0.876,80342735.329,1.278,80099104.977,1.27,82140410.2,1.34,2.1,125681593.0
2103,66862269.663,0.871,79761156.214,1.278,79511613.052,1.269,81602864.733,1.34,2.1,125681593.0
2104,65989757.51,0.866,79179052.928,1.277,78923528.558,1.269,81065319.267,1.34,2.1,125681593.0
2105,65114034.227,0.862,78596425.774,1.276,78334851.887,1.268,80527773.8,1.34,2.1,125681593.0
2106,64235116.643,0.857,78013275.057,1.276,77745583.429,1.267,79990228.333,1.34,2.1,125681593.0
