year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9934564.0,4.562,9934564.0,4.562,9934564.0,4.562,9934564.0,4.562,2.1,19002586.0
1961,10349422.0,4.512,10349422.0,4.512,10349422.0,4.512,10349422.0,4.512,2.1,19002586.0
1962,10756931.0,4.432,10756931.0,4.432,10756931.0,4.432,10756931.0,4.432,2.1,19002586.0
1963,11147860.0,4.323,11147860.0,4.323,11147860.0,4.323,11147860.0,4.323,2.1,19002586.0
1964,11511856.0,4.191,11511856.0,4.191,11511856.0,4.191,11511856.0,4.191,2.1,19002586.0
1965,11841926.0,4.048,11841926.0,4.048,11841926.0,4.048,11841926.0,4.048,2.1,19002586.0
1966,12132560.0,3.912,12132560.0,3.912,12132560.0,3.912,12132560.0,3.912,2.1,19002586.0
1967,12385706.0,3.795,12385706.0,3.795,12385706.0,3.795,12385706.0,3.795,2.1,19002586.0
1968,12611432.0,3.705,12611432.0,3.705,12611432.0,3.705,12611432.0,3.705,2.1,19002586.0
1969,12824614.0,3.646,12824614.0,3.646,12824614.0,3.646,12824614.0,3.646,2.1,19002586.0
1970,13036140.0,3.611,13036140.0,3.611,13036140.0,3.611,13036140.0,3.611,2.1,19002586.0
1971,13250211.0,3.59,13250211.0,3.59,13250211.0,3.59,13250211.0,3.59,2.1,19002586.0
1972,13463985.0,3.569,13463985.0,3.569,13463985.0,3.569,13463985.0,3.569,2.1,19002586.0
1973,13673014.0,3.536,13673014.0,3.536,13673014.0,3.536,13673014.0,3.536,2.1,19002586.0
1974,13869975.0,3.488,13869975.0,3.488,13869975.0,3.488,13869975.0,3.488,2.1,19002586.0
1975,14050227.0,3.427,14050227.0,3.427,14050227.0,3.427,14050227.0,3.427,2.1,19002586.0
1976,14212145.0,3.355,14212145.0,3.355,14212145.0,3.355,14212145.0,3.355,2.1,19002586.0
1977,14359629.0,3.283,14359629.0,3.283,14359629.0,3.283,14359629.0,3.283,2.1,19002586.0
1978,14499957.0,3.216,14499957.0,3.216,14499957.0,3.216,14499957.0,3.216,2.1,19002586.0
1979,14643133.0,3.019,14643133.0,3.019,14643133.0,3.019,14643133.0,3.019,2.1,19002586.0
1980,14796175.0,2.9,14796175.0,2.9,14796175.0,2.9,14796175.0,2.9,2.1,19002586.0
1981,14958897.0,2.95,14958897.0,2.95,14958897.0,2.95,14958897.0,2.95,2.1,19002586.0
1982,15128090.0,3.0,15128090.0,3.0,15128090.0,3.0,15128090.0,3.0,2.1,19002586.0
1983,15303316.0,3.04,15303316.0,3.04,15303316.0,3.04,15303316.0,3.04,2.1,19002586.0
1984,15483411.0,3.08,15483411.0,3.08,15483411.0,3.08,15483411.0,3.08,2.1,19002586.0
1985,15665594.0,3.08,15665594.0,3.08,15665594.0,3.08,15665594.0,3.08,2.1,19002586.0
1986,15852524.0,3.135,15852524.0,3.135,15852524.0,3.135,15852524.0,3.135,2.1,19002586.0
1987,16039253.0,3.19,16039253.0,3.19,16039253.0,3.19,16039253.0,3.19,2.1,19002586.0
1988,16205998.0,3.13,16205998.0,3.13,16205998.0,3.13,16205998.0,3.13,2.1,19002586.0
1989,16249500.0,2.82,16249500.0,2.82,16249500.0,2.82,16249500.0,2.82,2.1,19002586.0
1990,16348000.0,2.72,16348000.0,2.72,16348000.0,2.72,16348000.0,2.72,2.1,19002586.0
1991,16451711.0,2.61,16451711.0,2.61,16451711.0,2.61,16451711.0,2.61,2.1,19002586.0
1992,16439095.0,2.5,16439095.0,2.5,16439095.0,2.5,16439095.0,2.5,2.1,19002586.0
1993,16380672.0,2.3,16380672.0,2.3,16380672.0,2.3,16380672.0,2.3,2.1,19002586.0
1994,16145766.0,2.28,16145766.0,2.28,16145766.0,2.28,16145766.0,2.28,2.1,19002586.0
1995,15816243.0,2.26,15816243.0,2.26,15816243.0,2.26,15816243.0,2.26,2.1,19002586.0
1996,15578227.0,2.13,15578227.0,2.13,15578227.0,2.13,15578227.0,2.13,2.1,19002586.0
1997,15334405.0,2.0,15334405.0,2.0,15334405.0,2.0,15334405.0,2.0,2.1,19002586.0
1998,15071640.0,1.8,15071640.0,1.8,15071640.0,1.8,15071640.0,1.8,2.1,19002586.0
1999,14928374.0,1.8,14928374.0,1.8,14928374.0,1.8,14928374.0,1.8,2.1,19002586.0
2000,14883626.0,1.8,14883626.0,1.8,14883626.0,1.8,14883626.0,1.8,2.1,19002586.0
2001,14858335.0,1.9,14858335.0,1.9,14858335.0,1.9,14858335.0,1.9,2.1,19002586.0
2002,14858948.0,2.0,14858948.0,2.0,14858948.0,2.0,14858948.0,2.0,2.1,19002586.0
2003,14909019.0,2.03,14909019.0,2.03,14909019.0,2.03,14909019.0,2.03,2.1,19002586.0
2004,15012984.0,2.21,15012984.0,2.21,15012984.0,2.21,15012984.0,2.21,2.1,19002586.0
2005,15147029.0,2.22,15147029.0,2.22,15147029.0,2.22,15147029.0,2.22,2.1,19002586.0
2006,15308085.0,2.36,15308085.0,2.36,15308085.0,2.36,15308085.0,2.36,2.1,19002586.0
2007,15484192.0,2.47,15484192.0,2.47,15484192.0,2.47,15484192.0,2.47,2.1,19002586.0
2008,15776938.0,2.68,15776938.0,2.68,15776938.0,2.68,15776938.0,2.68,2.1,19002586.0
2009,16092822.0,2.55,16092822.0,2.55,16092822.0,2.55,16092822.0,2.55,2.1,19002586.0
2010,16321872.0,2.59,16321872.0,2.59,16321872.0,2.59,16321872.0,2.59,2.1,19002586.0
2011,16557202.0,2.59,16557202.0,2.59,16557202.0,2.59,16557202.0,2.59,2.1,19002586.0
2012,16792090.0,2.62,16792090.0,2.62,16792090.0,2.62,16792090.0,2.62,2.1,19002586.0
2013,17035551.0,2.64,17035551.0,2.64,17035551.0,2.64,17035551.0,2.64,2.1,19002586.0
2014,17288285.0,2.73,17288285.0,2.73,17288285.0,2.73,17288285.0,2.73,2.1,19002586.0
2015,17542806.0,2.74,17542806.0,2.74,17542806.0,2.74,17542806.0,2.74,2.1,19002586.0
2016,17794055.0,2.77,17794055.0,2.77,17794055.0,2.77,17794055.0,2.77,2.1,19002586.0
2017,18037776.0,2.75,18037776.0,2.75,18037776.0,2.75,18037776.0,2.75,2.1,19002586.0
2018,18276452.0,2.84,18276452.0,2.84,18276452.0,2.84,18276452.0,2.84,2.1,19002586.0
2019,18513673.0,2.9,18513673.0,2.9,18513673.0,2.9,18513673.0,2.9,2.1,19002586.0
2020,18755666.0,3.13,18755666.0,3.13,18755666.0,3.13,18755666.0,3.13,2.1,19002586.0
2021,19002586.0,3.13,19002586.0,3.13,19002586.0,3.13,19002586.0,3.13,2.1,19002586.0
2022,19130958.883,3.113,19136419.473,3.156,19142955.515,3.207,19133177.248,3.13,2.1,19002586.0
2023,19257125.801,3.095,19273521.661,3.181,19293344.232,3.286,19263768.495,3.13,2.1,19002586.0
2024,19381099.087,3.078,19413919.269,3.207,19453999.027,3.367,19394359.743,3.13,2.1,19002586.0
2025,19502891.002,3.061,19557639.221,3.234,19625172.854,3.45,19524950.99,3.13,2.1,19002586.0
2026,19622513.74,3.043,19704708.66,3.26,19807124.903,3.535,19655542.238,3.13,2.1,19002586.0
2027,19739979.427,3.026,19855154.951,3.287,20000120.749,3.622,19786133.486,3.13,2.1,19002586.0
2028,19855300.121,3.01,20009005.684,3.313,20204432.511,3.711,19916724.733,3.13,2.1,19002586.0
2029,19968487.813,2.993,20166288.672,3.341,20420339.013,3.803,20047315.981,3.13,2.1,19002586.0
2030,20079554.426,2.976,20327031.958,3.368,20648125.951,3.897,20177907.229,3.13,2.1,19002586.0
2031,20188511.816,2.959,20491263.811,3.395,20888086.057,3.993,20308498.476,3.13,2.1,19002586.0
2032,20295371.775,2.943,20659012.734,3.423,21140519.278,4.091,20439089.724,3.13,2.1,19002586.0
2033,20400146.027,2.926,20830307.461,3.451,21405732.953,4.192,20569680.971,3.13,2.1,19002586.0
2034,20502846.231,2.91,21005176.96,3.479,21684041.991,4.295,20700272.219,3.13,2.1,19002586.0
2035,20603483.98,2.894,21183650.439,3.508,21975769.062,4.401,20830863.467,3.13,2.1,19002586.0
2036,20702070.805,2.878,21365757.341,3.536,22281244.787,4.509,20961454.714,3.13,2.1,19002586.0
2037,20798618.17,2.861,21551527.352,3.565,22600807.933,4.62,21092045.962,3.13,2.1,19002586.0
