year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8120082.0,7.946,8120082.0,7.946,8120082.0,7.946,8120082.0,7.946,2.1,54985702.0
1961,8377693.0,7.998,8377693.0,7.998,8377693.0,7.998,8377693.0,7.998,2.1,54985702.0
1962,8647002.0,8.042,8647002.0,8.042,8647002.0,8.042,8647002.0,8.042,2.1,54985702.0
1963,8928510.0,8.078,8928510.0,8.078,8928510.0,8.078,8928510.0,8.078,2.1,54985702.0
1964,9222692.0,8.103,9222692.0,8.103,9222692.0,8.103,9222692.0,8.103,2.1,54985702.0
1965,9530163.0,8.119,9530163.0,8.119,9530163.0,8.119,9530163.0,8.119,2.1,54985702.0
1966,9851453.0,8.126,9851453.0,8.126,9851453.0,8.126,9851453.0,8.126,2.1,54985702.0
1967,10187487.0,8.125,10187487.0,8.125,10187487.0,8.125,10187487.0,8.125,2.1,54985702.0
1968,10539909.0,8.117,10539909.0,8.117,10539909.0,8.117,10539909.0,8.117,2.1,54985702.0
1969,10910677.0,8.103,10910677.0,8.103,10910677.0,8.103,10910677.0,8.103,2.1,54985702.0
1970,11301394.0,8.081,11301394.0,8.081,11301394.0,8.081,11301394.0,8.081,2.1,54985702.0
1971,11713046.0,8.051,11713046.0,8.051,11713046.0,8.051,11713046.0,8.051,2.1,54985702.0
1972,12146070.0,8.012,12146070.0,8.012,12146070.0,8.012,12146070.0,8.012,2.1,54985702.0
1973,12600799.0,7.963,12600799.0,7.963,12600799.0,7.963,12600799.0,7.963,2.1,54985702.0
1974,13077341.0,7.905,13077341.0,7.905,13077341.0,7.905,13077341.0,7.905,2.1,54985702.0
1975,13575898.0,7.84,13575898.0,7.84,13575898.0,7.84,13575898.0,7.84,2.1,54985702.0
1976,14096258.0,7.769,14096258.0,7.769,14096258.0,7.769,14096258.0,7.769,2.1,54985702.0
1977,14638887.0,7.695,14638887.0,7.695,14638887.0,7.695,14638887.0,7.695,2.1,54985702.0
1978,15205381.0,7.618,15205381.0,7.618,15205381.0,7.618,15205381.0,7.618,2.1,54985702.0
1979,15797771.0,7.538,15797771.0,7.538,15797771.0,7.538,15797771.0,7.538,2.1,54985702.0
1980,16417203.0,7.455,16417203.0,7.455,16417203.0,7.455,16417203.0,7.455,2.1,54985702.0
1981,17063870.0,7.365,17063870.0,7.365,17063870.0,7.365,17063870.0,7.365,2.1,54985702.0
1982,17736326.0,7.268,17736326.0,7.268,17736326.0,7.268,17736326.0,7.268,2.1,54985702.0
1983,18431760.0,7.16,18431760.0,7.16,18431760.0,7.16,18431760.0,7.16,2.1,54985702.0
1984,19146403.0,7.042,19146403.0,7.042,19146403.0,7.042,19146403.0,7.042,2.1,54985702.0
1985,19877078.0,6.911,19877078.0,6.911,19877078.0,6.911,19877078.0,6.911,2.1,54985702.0
1986,20622560.0,6.763,20622560.0,6.763,20622560.0,6.763,20622560.0,6.763,2.1,54985702.0
1987,21382111.0,6.599,21382111.0,6.599,21382111.0,6.599,21382111.0,6.599,2.1,54985702.0
1988,22153685.0,6.425,22153685.0,6.425,22153685.0,6.425,22153685.0,6.425,2.1,54985702.0
1989,22935088.0,6.244,22935088.0,6.244,22935088.0,6.244,22935088.0,6.244,2.1,54985702.0
1990,23724574.0,6.066,23724574.0,6.066,23724574.0,6.066,23724574.0,6.066,2.1,54985702.0
1991,24521714.0,5.901,24521714.0,5.901,24521714.0,5.901,24521714.0,5.901,2.1,54985702.0
1992,25326080.0,5.755,25326080.0,5.755,25326080.0,5.755,25326080.0,5.755,2.1,54985702.0
1993,26136217.0,5.633,26136217.0,5.633,26136217.0,5.633,26136217.0,5.633,2.1,54985702.0
1994,26950508.0,5.535,26950508.0,5.535,26950508.0,5.535,26950508.0,5.535,2.1,54985702.0
