year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2172300.0,5.469,2172300.0,5.469,2172300.0,5.469,2172300,5.469,2.1,6694200.0
1961,2255900.0,5.516,2255900.0,5.516,2255900.0,5.516,2255900,5.516,2.1,6694200.0
1962,2333400.0,5.532,2333400.0,5.532,2333400.0,5.532,2333400,5.532,2.1,6694200.0
1963,2413700.0,5.517,2413700.0,5.517,2413700.0,5.517,2413700,5.517,2.1,6694200.0
1964,2495300.0,5.475,2495300.0,5.475,2495300.0,5.475,2495300,5.475,2.1,6694200.0
1965,2573300.0,5.417,2573300.0,5.417,2573300.0,5.417,2573300,5.417,2.1,6694200.0
1966,2655300.0,5.354,2655300.0,5.354,2655300.0,5.354,2655300,5.354,2.1,6694200.0
1967,2736500.0,5.295,2736500.0,5.295,2736500.0,5.295,2736500,5.295,2.1,6694200.0
1968,2818300.0,5.245,2818300.0,5.245,2818300.0,5.245,2818300,5.245,2.1,6694200.0
1969,2894800.0,5.207,2894800.0,5.207,2894800.0,5.207,2894800,5.207,2.1,6694200.0
1970,2959900.0,5.177,2959900.0,5.177,2959900.0,5.177,2959900,5.177,2.1,6694200.0
1971,3022300.0,5.147,3022300.0,5.147,3022300.0,5.147,3022300,5.147,2.1,6694200.0
1972,3088200.0,5.105,3088200.0,5.105,3088200.0,5.105,3088200,5.105,2.1,6694200.0
1973,3153800.0,5.047,3153800.0,5.047,3153800.0,5.047,3153800,5.047,2.1,6694200.0
1974,3223900.0,4.97,3223900.0,4.97,3223900.0,4.97,3223900,4.97,2.1,6694200.0
1975,3292400.0,4.876,3292400.0,4.876,3292400.0,4.876,3292400,4.876,2.1,6694200.0
1976,3358700.0,4.77,3358700.0,4.77,3358700.0,4.77,3358700,4.77,2.1,6694200.0
1977,3423900.0,4.66,3423900.0,4.66,3423900.0,4.66,3423900,4.66,2.1,6694200.0
1978,3487100.0,4.553,3487100.0,4.553,3487100.0,4.553,3487100,4.553,2.1,6694200.0
1979,3552000.0,4.454,3552000.0,4.454,3552000.0,4.454,3552000,4.454,2.1,6694200.0
1980,3617400.0,4.367,3617400.0,4.367,3617400.0,4.367,3617400,4.367,2.1,6694200.0
1981,3685800.0,4.296,3685800.0,4.296,3685800.0,4.296,3685800,4.296,2.1,6694200.0
1982,3759300.0,4.24,3759300.0,4.24,3759300.0,4.24,3759300,4.24,2.1,6694200.0
1983,3838300.0,4.195,3838300.0,4.195,3838300.0,4.195,3838300,4.195,2.1,6694200.0
1984,3916400.0,4.16,3916400.0,4.16,3916400.0,4.16,3916400,4.16,2.1,6694200.0
1985,3990300.0,4.13,3990300.0,4.13,3990300.0,4.13,3990300,4.13,2.1,6694200.0
1986,4066500.0,4.1,4066500.0,4.1,4066500.0,4.1,4066500,4.1,2.1,6694200.0
1987,4144600.0,4.065,4144600.0,4.065,4144600.0,4.065,4144600,4.065,2.1,6694200.0
1988,4218400.0,4.02,4218400.0,4.02,4218400.0,4.02,4218400,4.02,2.1,6694200.0
1989,4307500.0,3.875,4307500.0,3.875,4307500.0,3.875,4307500,3.875,2.1,6694200.0
1990,4391200.0,3.63,4391200.0,3.63,4391200.0,3.63,4391200,3.63,2.1,6694200.0
1991,4463600.0,3.58,4463600.0,3.58,4463600.0,3.58,4463600,3.58,2.1,6694200.0
1992,4515400.0,3.52,4515400.0,3.52,4515400.0,3.52,4515400,3.52,2.1,6694200.0
1993,4516700.0,3.2,4516700.0,3.2,4516700.0,3.2,4516700,3.2,2.1,6694200.0
1994,4515100.0,2.9,4515100.0,2.9,4515100.0,2.9,4515100,2.9,2.1,6694200.0
1995,4560400.0,3.1,4560400.0,3.1,4560400.0,3.1,4560400,3.1,2.1,6694200.0
1996,4628400.0,2.8,4628400.0,2.8,4628400.0,2.8,4628400,2.8,2.1,6694200.0
1997,4696400.0,2.6,4696400.0,2.6,4696400.0,2.6,4696400,2.6,2.1,6694200.0
1998,4769000.0,2.7,4769000.0,2.7,4769000.0,2.7,4769000,2.7,2.1,6694200.0
1999,4840400.0,2.6,4840400.0,2.6,4840400.0,2.6,4840400,2.6,2.1,6694200.0
2000,4898400.0,2.4,4898400.0,2.4,4898400.0,2.4,4898400,2.4,2.1,6694200.0
2001,4945100.0,2.4,4945100.0,2.4,4945100.0,2.4,4945100,2.4,2.1,6694200.0
2002,4990700.0,2.4,4990700.0,2.4,4990700.0,2.4,4990700,2.4,2.1,6694200.0
2003,5043300.0,2.5,5043300.0,2.5,5043300.0,2.5,5043300,2.5,2.1,6694200.0
2004,5104700.0,2.6,5104700.0,2.6,5104700.0,2.6,5104700,2.6,2.1,6694200.0
2005,5162600.0,2.5,5162600.0,2.5,5162600.0,2.5,5162600,2.5,2.1,6694200.0
2006,5218400.0,2.7,5218400.0,2.7,5218400.0,2.7,5218400,2.7,2.1,6694200.0
2007,5268400.0,2.7,5268400.0,2.7,5268400.0,2.7,5268400,2.7,2.1,6694200.0
