year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5722372.0,6.967,5722372.0,6.967,5722372.0,6.967,5722372.0,6.967,2.1,16946446.0
1961,5872968.0,6.964,5872968.0,6.964,5872968.0,6.964,5872968.0,6.964,2.1,16946446.0
1962,6028434.0,6.955,6028434.0,6.955,6028434.0,6.955,6028434.0,6.955,2.1,16946446.0
1963,6183586.0,6.937,6183586.0,6.937,6183586.0,6.937,6183586.0,6.937,2.1,16946446.0
1964,6331443.0,6.909,6331443.0,6.909,6331443.0,6.909,6331443.0,6.909,2.1,16946446.0
1965,6467191.0,6.868,6467191.0,6.868,6467191.0,6.868,6467191.0,6.868,2.1,16946446.0
1966,6585034.0,6.813,6585034.0,6.813,6585034.0,6.813,6585034.0,6.813,2.1,16946446.0
1967,6685961.0,6.745,6685961.0,6.745,6685961.0,6.745,6685961.0,6.745,2.1,16946446.0
1968,6779778.0,6.666,6779778.0,6.666,6779778.0,6.666,6779778.0,6.666,2.1,16946446.0
1969,6880623.0,6.574,6880623.0,6.574,6880623.0,6.574,6880623.0,6.574,2.1,16946446.0
1970,6996576.0,6.465,6996576.0,6.465,6996576.0,6.465,6996576.0,6.465,2.1,16946446.0
1971,7139640.0,6.332,7139640.0,6.332,7139640.0,6.332,7139640.0,6.332,2.1,16946446.0
1972,7302114.0,6.175,7302114.0,6.175,7302114.0,6.175,7302114.0,6.175,2.1,16946446.0
1973,7449233.0,6.004,7449233.0,6.004,7449233.0,6.004,7449233.0,6.004,2.1,16946446.0
1974,7533332.0,5.831,7533332.0,5.831,7533332.0,5.831,7533332.0,5.831,2.1,16946446.0
1975,7524457.0,5.681,7524457.0,5.681,7524457.0,5.681,7524457.0,5.681,2.1,16946446.0
1976,7404687.0,5.585,7404687.0,5.585,7404687.0,5.585,7404687.0,5.585,2.1,16946446.0
1977,7196042.0,5.557,7196042.0,5.557,7196042.0,5.557,7196042.0,5.557,2.1,16946446.0
1978,6957267.0,5.603,6957267.0,5.603,6957267.0,5.603,6957267.0,5.603,2.1,16946446.0
1979,6770393.0,5.714,6770393.0,5.714,6770393.0,5.714,6770393.0,5.714,2.1,16946446.0
1980,6693759.0,5.87,6693759.0,5.87,6693759.0,5.87,6693759.0,5.87,2.1,16946446.0
1981,6749849.0,6.042,6749849.0,6.042,6749849.0,6.042,6749849.0,6.042,2.1,16946446.0
1982,6919803.0,6.193,6919803.0,6.193,6919803.0,6.193,6919803.0,6.193,2.1,16946446.0
1983,7170004.0,6.296,7170004.0,6.296,7170004.0,6.296,7170004.0,6.296,2.1,16946446.0
1984,7447844.0,6.338,7447844.0,6.338,7447844.0,6.338,7447844.0,6.338,2.1,16946446.0
1985,7714894.0,6.313,7714894.0,6.313,7714894.0,6.313,7714894.0,6.313,2.1,16946446.0
1986,7960952.0,6.226,7960952.0,6.226,7960952.0,6.226,7960952.0,6.226,2.1,16946446.0
1987,8198082.0,6.097,8198082.0,6.097,8198082.0,6.097,8198082.0,6.097,2.1,16946446.0
1988,8435909.0,5.944,8435909.0,5.944,8435909.0,5.944,8435909.0,5.944,2.1,16946446.0
1989,8691331.0,5.777,8691331.0,5.777,8691331.0,5.777,8691331.0,5.777,2.1,16946446.0
1990,8975597.0,5.601,8975597.0,5.601,8975597.0,5.601,8975597.0,5.601,2.1,16946446.0
1991,9289298.0,5.421,9289298.0,5.421,9289298.0,5.421,9289298.0,5.421,2.1,16946446.0
1992,9623899.0,5.237,9623899.0,5.237,9623899.0,5.237,9623899.0,5.237,2.1,16946446.0
1993,9970727.0,5.052,9970727.0,5.052,9970727.0,5.052,9970727.0,5.052,2.1,16946446.0
1994,10317901.0,4.867,10317901.0,4.867,10317901.0,4.867,10317901.0,4.867,2.1,16946446.0
1995,10656145.0,4.685,10656145.0,4.685,10656145.0,4.685,10656145.0,4.685,2.1,16946446.0
1996,10982919.0,4.504,10982919.0,4.504,10982919.0,4.504,10982919.0,4.504,2.1,16946446.0
1997,11298594.0,4.325,11298594.0,4.325,11298594.0,4.325,11298594.0,4.325,2.1,16946446.0
1998,11600510.0,4.146,11600510.0,4.146,11600510.0,4.146,11600510.0,4.146,2.1,16946446.0
1999,11886464.0,3.971,11886464.0,3.971,11886464.0,3.971,11886464.0,3.971,2.1,16946446.0
2000,12155241.0,3.805,12155241.0,3.805,12155241.0,3.805,12155241.0,3.805,2.1,16946446.0
2001,12405411.0,3.654,12405411.0,3.654,12405411.0,3.654,12405411.0,3.654,2.1,16946446.0
2002,12637719.0,3.521,12637719.0,3.521,12637719.0,3.521,12637719.0,3.521,2.1,16946446.0
2003,12856171.0,3.406,12856171.0,3.406,12856171.0,3.406,12856171.0,3.406,2.1,16946446.0
2004,13066475.0,3.309,13066475.0,3.309,13066475.0,3.309,13066475.0,3.309,2.1,16946446.0
2005,13273355.0,3.227,13273355.0,3.227,13273355.0,3.227,13273355.0,3.227,2.1,16946446.0
2006,13477705.0,3.155,13477705.0,3.155,13477705.0,3.155,13477705.0,3.155,2.1,16946446.0
2007,13679953.0,3.086,13679953.0,3.086,13679953.0,3.086,13679953.0,3.086,2.1,16946446.0
2008,13883835.0,3.018,13883835.0,3.018,13883835.0,3.018,13883835.0,3.018,2.1,16946446.0
2009,14093605.0,2.947,14093605.0,2.947,14093605.0,2.947,14093605.0,2.947,2.1,16946446.0
2010,14312205.0,2.875,14312205.0,2.875,14312205.0,2.875,14312205.0,2.875,2.1,16946446.0
2011,14541421.0,2.804,14541421.0,2.804,14541421.0,2.804,14541421.0,2.804,2.1,16946446.0
2012,14780454.0,2.739,14780454.0,2.739,14780454.0,2.739,14780454.0,2.739,2.1,16946446.0
2013,15026330.0,2.682,15026330.0,2.682,15026330.0,2.682,15026330.0,2.682,2.1,16946446.0
2014,15274506.0,2.633,15274506.0,2.633,15274506.0,2.633,15274506.0,2.633,2.1,16946446.0
2015,15521435.0,2.593,15521435.0,2.593,15521435.0,2.593,15521435.0,2.593,2.1,16946446.0
2016,15766290.0,2.559,15766290.0,2.559,15766290.0,2.559,15766290.0,2.559,2.1,16946446.0
2017,16009413.0,2.53,16009413.0,2.53,16009413.0,2.53,16009413.0,2.53,2.1,16946446.0
2018,16249795.0,2.503,16249795.0,2.503,16249795.0,2.503,16249795.0,2.503,2.1,16946446.0
2019,16486542.0,2.478,16486542.0,2.478,16486542.0,2.478,16486542.0,2.478,2.1,16946446.0
2020,16718971.0,2.453,16718971.0,2.453,16718971.0,2.453,16718971.0,2.453,2.1,16946446.0
2021,16946446.0,2.453,16946446.0,2.453,16946446.0,2.453,16946446.0,2.453,2.1,16946446.0
2022,16982198.045,2.41,16981593.35,2.405,16979940.326,2.391,16987109.079,2.453,2.1,16946446.0
2023,17013124.411,2.368,17011332.637,2.358,17006447.772,2.33,17027772.157,2.453,2.1,16946446.0
2024,17039308.968,2.327,17035769.429,2.312,17026145.594,2.271,17068435.236,2.453,2.1,16946446.0
2025,17060834.128,2.287,17055007.228,2.267,17039206.552,2.213,17109098.314,2.453,2.1,16946446.0
2026,17077780.872,2.247,17069147.52,2.223,17045799.024,2.157,17149761.393,2.453,2.1,16946446.0
2027,17090228.773,2.208,17078289.808,2.179,17046087.115,2.103,17190424.471,2.453,2.1,16946446.0
2028,17098256.021,2.17,17082531.653,2.137,17040230.767,2.049,17231087.55,2.453,2.1,16946446.0
2029,17101939.445,2.132,17081968.712,2.095,17028385.865,1.997,17271750.629,2.453,2.1,16946446.0
2030,17101354.544,2.095,17076694.773,2.054,17010704.338,1.947,17312413.707,2.453,2.1,16946446.0
2031,17096575.498,2.059,17066801.797,2.014,16987334.262,1.897,17353076.786,2.453,2.1,16946446.0
2032,17087675.204,2.023,17052379.945,1.975,16958419.955,1.849,17393739.864,2.453,2.1,16946446.0
2033,17074725.288,1.988,17033517.623,1.936,16924102.073,1.802,17434402.943,2.453,2.1,16946446.0
2034,17057796.132,1.953,17010301.507,1.898,16884517.707,1.756,17475066.021,2.453,2.1,16946446.0
2035,17036956.897,1.919,16982816.584,1.861,16839800.466,1.712,17515729.1,2.453,2.1,16946446.0
2036,17012275.538,1.886,16951146.182,1.825,16790080.572,1.668,17556392.179,2.453,2.1,16946446.0
2037,16983818.833,1.853,16915372.0,1.789,16735484.941,1.626,17597055.257,2.453,2.1,16946446.0
2038,16951652.396,1.821,16875574.145,1.755,16676137.272,1.585,17637718.336,2.453,2.1,16946446.0
2039,16915840.703,1.789,16831831.158,1.72,16612158.124,1.545,17678381.414,2.453,2.1,16946446.0
2040,16876447.108,1.758,16784220.048,1.687,16543664.996,1.505,17719044.493,2.453,2.1,16946446.0
2041,16833533.865,1.727,16732816.322,1.654,16470772.41,1.467,17759707.571,2.453,2.1,16946446.0
2042,16787162.145,1.697,16677694.011,1.621,16393591.978,1.43,17800370.65,2.453,2.1,16946446.0
2043,16737392.057,1.668,16618925.702,1.59,16312232.484,1.394,17841033.729,2.453,2.1,16946446.0
2044,16684282.664,1.639,16556582.565,1.559,16226799.951,1.358,17881696.807,2.453,2.1,16946446.0
2045,16627892.004,1.61,16490734.38,1.528,16137397.711,1.324,17922359.886,2.453,2.1,16946446.0
2046,16568277.104,1.582,16421449.566,1.499,16044126.476,1.29,17963022.964,2.453,2.1,16946446.0
2047,16505494.002,1.555,16348795.206,1.469,15947084.402,1.258,18003686.043,2.453,2.1,16946446.0
2048,16439597.762,1.528,16272837.074,1.441,15846367.157,1.226,18044349.121,2.453,2.1,16946446.0
2049,16370642.489,1.501,16193639.658,1.412,15742067.977,1.195,18085012.2,2.453,2.1,16946446.0
2050,16298681.35,1.475,16111266.191,1.385,15634277.738,1.164,18125675.279,2.453,2.1,16946446.0
2051,16223766.587,1.45,16025778.668,1.358,15523085.008,1.135,18166338.357,2.453,2.1,16946446.0
