year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,41196.0,6.788,41196.0,6.788,41196.0,6.788,41196.0,6.788,2.1,121388.0
1961,42234.0,6.803,42234.0,6.803,42234.0,6.803,42234.0,6.803,2.1,121388.0
1962,43283.0,6.784,43283.0,6.784,43283.0,6.784,43283.0,6.784,2.1,121388.0
1963,44342.0,6.728,44342.0,6.728,44342.0,6.728,44342.0,6.728,2.1,121388.0
1964,45392.0,6.634,45392.0,6.634,45392.0,6.634,45392.0,6.634,2.1,121388.0
1965,46429.0,6.501,46429.0,6.501,46429.0,6.501,46429.0,6.501,2.1,121388.0
1966,47429.0,6.329,47429.0,6.329,47429.0,6.329,47429.0,6.329,2.1,121388.0
1967,48403.0,6.125,48403.0,6.125,48403.0,6.125,48403.0,6.125,2.1,121388.0
1968,49354.0,5.902,49354.0,5.902,49354.0,5.902,49354.0,5.902,2.1,121388.0
1969,50267.0,5.673,50267.0,5.673,50267.0,5.673,50267.0,5.673,2.1,121388.0
1970,51142.0,5.457,51142.0,5.457,51142.0,5.457,51142.0,5.457,2.1,121388.0
1971,51979.0,5.273,51979.0,5.273,51979.0,5.273,51979.0,5.273,2.1,121388.0
1972,52775.0,5.13,52775.0,5.13,52775.0,5.13,52775.0,5.13,2.1,121388.0
1973,53558.0,5.034,53558.0,5.034,53558.0,5.034,53558.0,5.034,2.1,121388.0
1974,54334.0,4.985,54334.0,4.985,54334.0,4.985,54334.0,4.985,2.1,121388.0
1975,55114.0,4.978,55114.0,4.978,55114.0,4.978,55114.0,4.978,2.1,121388.0
1976,55922.0,4.999,55922.0,4.999,55922.0,4.999,55922.0,4.999,2.1,121388.0
1977,56759.0,5.031,56759.0,5.031,56759.0,5.031,56759.0,5.031,2.1,121388.0
1978,57613.0,5.058,57613.0,5.058,57613.0,5.058,57613.0,5.058,2.1,121388.0
