year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,51199.0,,51199.0,,51199.0,,51199.0,,2.1,53546.0
1961,51196.0,,51196.0,,51196.0,,51196.0,,2.1,53546.0
1962,50961.0,,50961.0,,50961.0,,50961.0,,2.1,53546.0
1963,50529.0,,50529.0,,50529.0,,50529.0,,2.1,53546.0
1964,49928.0,,49928.0,,49928.0,,49928.0,,2.1,53546.0
1965,49209.0,,49209.0,,49209.0,,49209.0,,2.1,53546.0
1966,48351.0,,48351.0,,48351.0,,48351.0,,2.1,53546.0
1967,47388.0,,47388.0,,47388.0,,47388.0,,2.1,53546.0
1968,46399.0,,46399.0,,46399.0,,46399.0,,2.1,53546.0
1969,45529.0,,45529.0,,45529.0,,45529.0,,2.1,53546.0
1970,44878.0,,44878.0,,44878.0,,44878.0,,2.1,53546.0
1971,44489.0,,44489.0,,44489.0,,44489.0,,2.1,53546.0
1972,44318.0,3.5,44318.0,3.5,44318.0,3.5,44318.0,3.5,2.1,53546.0
1973,44304.0,,44304.0,,44304.0,,44304.0,,2.1,53546.0
1974,44322.0,,44322.0,,44322.0,,44322.0,,2.1,53546.0
1975,44271.0,,44271.0,,44271.0,,44271.0,,2.1,53546.0
1976,44140.0,,44140.0,,44140.0,,44140.0,,2.1,53546.0
1977,43944.0,,43944.0,,43944.0,,43944.0,,2.1,53546.0
1978,43703.0,,43703.0,,43703.0,,43703.0,,2.1,53546.0
1979,43452.0,,43452.0,,43452.0,,43452.0,,2.1,53546.0
1980,43201.0,,43201.0,,43201.0,,43201.0,,2.1,53546.0
1981,42963.0,,42963.0,,42963.0,,42963.0,,2.1,53546.0
1982,42733.0,3.3,42733.0,3.3,42733.0,3.3,42733.0,3.3,2.1,53546.0
1983,42477.0,,42477.0,,42477.0,,42477.0,,2.1,53546.0
1984,42198.0,,42198.0,,42198.0,,42198.0,,2.1,53546.0
1985,41874.0,,41874.0,,41874.0,,41874.0,,2.1,53546.0
1986,41479.0,,41479.0,,41479.0,,41479.0,,2.1,53546.0
1987,41041.0,2.8,41041.0,2.8,41041.0,2.8,41041.0,2.8,2.1,53546.0
1988,40633.0,,40633.0,,40633.0,,40633.0,,2.1,53546.0
1989,40354.0,,40354.0,,40354.0,,40354.0,,2.1,53546.0
1990,40260.0,,40260.0,,40260.0,,40260.0,,2.1,53546.0
1991,40381.0,,40381.0,,40381.0,,40381.0,,2.1,53546.0
1992,40691.0,2.6,40691.0,2.6,40691.0,2.6,40691.0,2.6,2.1,53546.0
1993,41141.0,,41141.0,,41141.0,,41141.0,,2.1,53546.0
1994,41618.0,,41618.0,,41618.0,,41618.0,,2.1,53546.0
1995,42077.0,,42077.0,,42077.0,,42077.0,,2.1,53546.0
1996,42472.0,,42472.0,,42472.0,,42472.0,,2.1,53546.0
1997,42857.0,2.4,42857.0,2.4,42857.0,2.4,42857.0,2.4,2.1,53546.0
1998,43225.0,,43225.0,,43225.0,,43225.0,,2.1,53546.0
1999,43622.0,,43622.0,,43622.0,,43622.0,,2.1,53546.0
2000,44083.0,,44083.0,,44083.0,,44083.0,,2.1,53546.0
2001,44602.0,,44602.0,,44602.0,,44602.0,,2.1,53546.0
2002,45168.0,2.107,45168.0,2.107,45168.0,2.107,45168.0,2.107,2.1,53546.0
2003,45749.0,,45749.0,,45749.0,,45749.0,,2.1,53546.0
2004,46323.0,,46323.0,,46323.0,,46323.0,,2.1,53546.0
2005,46852.0,,46852.0,,46852.0,,46852.0,,2.1,53546.0
2006,47333.0,,47333.0,,47333.0,,47333.0,,2.1,53546.0
2007,47769.0,,47769.0,,47769.0,,47769.0,,2.1,53546.0
2008,48178.0,,48178.0,,48178.0,,48178.0,,2.1,53546.0
2009,48599.0,,48599.0,,48599.0,,48599.0,,2.1,53546.0
2010,49011.0,,49011.0,,49011.0,,49011.0,,2.1,53546.0
2011,49442.0,,49442.0,,49442.0,,49442.0,,2.1,53546.0
2012,49881.0,,49881.0,,49881.0,,49881.0,,2.1,53546.0
2013,50328.0,,50328.0,,50328.0,,50328.0,,2.1,53546.0
2014,50776.0,,50776.0,,50776.0,,50776.0,,2.1,53546.0
2015,51204.0,,51204.0,,51204.0,,51204.0,,2.1,53546.0
2016,51629.0,,51629.0,,51629.0,,51629.0,,2.1,53546.0
2017,52036.0,,52036.0,,52036.0,,52036.0,,2.1,53546.0
2018,52438.0,,52438.0,,52438.0,,52438.0,,2.1,53546.0
2019,52834.0,,52834.0,,52834.0,,52834.0,,2.1,53546.0
2020,53192.0,,53192.0,,53192.0,,53192.0,,2.1,53546.0
2021,53546.0,,53546.0,,53546.0,,53546.0,,2.1,53546.0
2022,,,,,,,,,2.1,53546.0
2023,,,,,,,,,2.1,53546.0
2024,,,,,,,,,2.1,53546.0
