year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,25012374.0,6.095,25012374.0,6.095,25012374.0,6.095,25012374.0,6.095,2.1,51744876.0
1961,25765673.0,5.929,25765673.0,5.929,25765673.0,5.929,25765673.0,5.929,2.1,51744876.0
1962,26513030.0,5.738,26513030.0,5.738,26513030.0,5.738,26513030.0,5.738,2.1,51744876.0
1963,27261747.0,5.533,27261747.0,5.533,27261747.0,5.533,27261747.0,5.533,2.1,51744876.0
1964,27984155.0,5.325,27984155.0,5.325,27984155.0,5.325,27984155.0,5.325,2.1,51744876.0
1965,28704674.0,5.125,28704674.0,5.125,28704674.0,5.125,28704674.0,5.125,2.1,51744876.0
1966,29435571.0,4.941,29435571.0,4.941,29435571.0,4.941,29435571.0,4.941,2.1,51744876.0
1967,30130983.0,4.772,30130983.0,4.772,30130983.0,4.772,30130983.0,4.772,2.1,51744876.0
1968,30838302.0,4.617,30838302.0,4.617,30838302.0,4.617,30838302.0,4.617,2.1,51744876.0
1969,31544266.0,4.474,31544266.0,4.474,31544266.0,4.474,31544266.0,4.474,2.1,51744876.0
1970,32240827.0,4.53,32240827.0,4.53,32240827.0,4.53,32240827.0,4.53,2.1,51744876.0
1971,32882704.0,4.54,32882704.0,4.54,32882704.0,4.54,32882704.0,4.54,2.1,51744876.0
1972,33505406.0,4.12,33505406.0,4.12,33505406.0,4.12,33505406.0,4.12,2.1,51744876.0
1973,34103149.0,4.07,34103149.0,4.07,34103149.0,4.07,34103149.0,4.07,2.1,51744876.0
1974,34692266.0,3.77,34692266.0,3.77,34692266.0,3.77,34692266.0,3.77,2.1,51744876.0
1975,35280725.0,3.43,35280725.0,3.43,35280725.0,3.43,35280725.0,3.43,2.1,51744876.0
1976,35848523.0,3.0,35848523.0,3.0,35848523.0,3.0,35848523.0,3.0,2.1,51744876.0
1977,36411795.0,2.99,36411795.0,2.99,36411795.0,2.99,36411795.0,2.99,2.1,51744876.0
1978,36969185.0,2.64,36969185.0,2.64,36969185.0,2.64,36969185.0,2.64,2.1,51744876.0
1979,37534236.0,2.9,37534236.0,2.9,37534236.0,2.9,37534236.0,2.9,2.1,51744876.0
1980,38123775.0,2.82,38123775.0,2.82,38123775.0,2.82,38123775.0,2.82,2.1,51744876.0
1981,38723248.0,2.57,38723248.0,2.57,38723248.0,2.57,38723248.0,2.57,2.1,51744876.0
1982,39326352.0,2.39,39326352.0,2.39,39326352.0,2.39,39326352.0,2.39,2.1,51744876.0
1983,39910403.0,2.06,39910403.0,2.06,39910403.0,2.06,39910403.0,2.06,2.1,51744876.0
1984,40405956.0,1.74,40405956.0,1.74,40405956.0,1.74,40405956.0,1.74,2.1,51744876.0
1985,40805744.0,1.66,40805744.0,1.66,40805744.0,1.66,40805744.0,1.66,2.1,51744876.0
1986,41213674.0,1.58,41213674.0,1.58,41213674.0,1.58,41213674.0,1.58,2.1,51744876.0
1987,41621690.0,1.53,41621690.0,1.53,41621690.0,1.53,41621690.0,1.53,2.1,51744876.0
