year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,269026.0,7.244,269026.0,7.244,269026.0,7.244,269026.0,7.244,2.1,4328553.0
1961,300581.0,7.273,300581.0,7.273,300581.0,7.273,300581.0,7.273,2.1,4328553.0
1962,337346.0,7.309,337346.0,7.309,337346.0,7.309,337346.0,7.309,2.1,4328553.0
1963,378756.0,7.347,378756.0,7.347,378756.0,7.347,378756.0,7.347,2.1,4328553.0
1964,423900.0,7.383,423900.0,7.383,423900.0,7.383,423900.0,7.383,2.1,4328553.0
1965,472032.0,7.409,472032.0,7.409,472032.0,7.409,472032.0,7.409,2.1,4328553.0
1966,523169.0,7.417,523169.0,7.417,523169.0,7.417,523169.0,7.417,2.1,4328553.0
1967,577164.0,7.402,577164.0,7.402,577164.0,7.402,577164.0,7.402,2.1,4328553.0
1968,632911.0,7.358,632911.0,7.358,632911.0,7.358,632911.0,7.358,2.1,4328553.0
1969,688972.0,7.281,688972.0,7.281,688972.0,7.281,688972.0,7.281,2.1,4328553.0
1970,744444.0,7.169,744444.0,7.169,744444.0,7.169,744444.0,7.169,2.1,4328553.0
1971,798639.0,7.018,798639.0,7.018,798639.0,7.018,798639.0,7.018,2.1,4328553.0
1972,851918.0,6.835,851918.0,6.835,851918.0,6.835,851918.0,6.835,2.1,4328553.0
1973,905639.0,6.627,905639.0,6.627,905639.0,6.627,905639.0,6.627,2.1,4328553.0
1974,961773.0,6.403,961773.0,6.403,961773.0,6.403,961773.0,6.403,2.1,4328553.0
1975,1021725.0,6.176,1021725.0,6.176,1021725.0,6.176,1021725.0,6.176,2.1,4328553.0
1976,1085866.0,5.962,1085866.0,5.962,1085866.0,5.962,1085866.0,5.962,2.1,4328553.0
1977,1153573.0,5.769,1153573.0,5.769,1153573.0,5.769,1153573.0,5.769,2.1,4328553.0
1978,1224063.0,5.599,1224063.0,5.599,1224063.0,5.599,1224063.0,5.599,2.1,4328553.0
1979,1296077.0,5.452,1296077.0,5.452,1296077.0,5.452,1296077.0,5.452,2.1,4328553.0
1980,1368680.0,5.316,1368680.0,5.316,1368680.0,5.316,1368680.0,5.316,2.1,4328553.0
1981,1439334.0,5.177,1439334.0,5.177,1439334.0,5.177,1439334.0,5.177,2.1,4328553.0
1982,1507636.0,5.018,1507636.0,5.018,1507636.0,5.018,1507636.0,5.018,2.1,4328553.0
1983,1576975.0,4.83,1576975.0,4.83,1576975.0,4.83,1576975.0,4.83,2.1,4328553.0
1984,1652150.0,4.61,1652150.0,4.61,1652150.0,4.61,1652150.0,4.61,2.1,4328553.0
1985,1735278.0,4.357,1735278.0,4.357,1735278.0,4.357,1735278.0,4.357,2.1,4328553.0
1986,1832302.0,4.074,1832302.0,4.074,1832302.0,4.074,1832302.0,4.074,2.1,4328553.0
1987,1938916.0,3.777,1938916.0,3.777,1938916.0,3.777,1938916.0,3.777,2.1,4328553.0
1988,2034850.0,3.482,2034850.0,3.482,2034850.0,3.482,2034850.0,3.482,2.1,4328553.0
1989,2092786.0,3.205,2092786.0,3.205,2092786.0,3.205,2092786.0,3.205,2.1,4328553.0
1990,2095350.0,2.967,2095350.0,2.967,2095350.0,2.967,2095350.0,2.967,2.1,4328553.0
1991,2031297.0,2.791,2031297.0,2.791,2031297.0,2.791,2031297.0,2.791,2.1,4328553.0
1992,,2.682,,2.682,,2.682,,2.682,2.1,4328553.0
1993,,2.641,,2.641,,2.641,,2.641,2.1,4328553.0
1994,,2.66,,2.66,,2.66,,2.66,2.1,4328553.0
1995,1605907.0,2.72,1605907.0,2.72,1605907.0,2.72,1605907.0,2.72,2.1,4328553.0
1996,1626858.0,2.796,1626858.0,2.796,1626858.0,2.796,1626858.0,2.796,2.1,4328553.0
1997,1710257.0,2.861,1710257.0,2.861,1710257.0,2.861,1710257.0,2.861,2.1,4328553.0
1998,1831121.0,2.895,1831121.0,2.895,1831121.0,2.895,1831121.0,2.895,2.1,4328553.0
1999,1951642.0,2.89,1951642.0,2.89,1951642.0,2.89,1951642.0,2.89,2.1,4328553.0
2000,2045123.0,2.845,2045123.0,2.845,2045123.0,2.845,2045123.0,2.845,2.1,4328553.0
2001,2103273.0,2.772,2103273.0,2.772,2103273.0,2.772,2103273.0,2.772,2.1,4328553.0
2002,2136991.0,2.69,2136991.0,2.69,2136991.0,2.69,2136991.0,2.69,2.1,4328553.0
2003,2161626.0,2.614,2161626.0,2.614,2161626.0,2.614,2161626.0,2.614,2.1,4328553.0
2004,2200498.0,2.548,2200498.0,2.548,2200498.0,2.548,2200498.0,2.548,2.1,4328553.0
2005,2270196.0,2.494,2270196.0,2.494,2270196.0,2.494,2270196.0,2.494,2.1,4328553.0
2006,2373661.0,2.447,2373661.0,2.447,2373661.0,2.447,2373661.0,2.447,2.1,4328553.0
2007,2504026.0,2.399,2504026.0,2.399,2504026.0,2.399,2504026.0,2.399,2.1,4328553.0
2008,2656010.0,2.347,2656010.0,2.347,2656010.0,2.347,2656010.0,2.347,2.1,4328553.0
2009,2821041.0,2.291,2821041.0,2.291,2821041.0,2.291,2821041.0,2.291,2.1,4328553.0
2010,2991884.0,2.234,2991884.0,2.234,2991884.0,2.234,2991884.0,2.234,2.1,4328553.0
2011,3168054.0,2.182,3168054.0,2.182,3168054.0,2.182,3168054.0,2.182,2.1,4328553.0
2012,3348852.0,2.139,3348852.0,2.139,3348852.0,2.139,3348852.0,2.139,2.1,4328553.0
2013,3526382.0,2.109,3526382.0,2.109,3526382.0,2.109,3526382.0,2.109,2.1,4328553.0
2014,3690939.0,2.09,3690939.0,2.09,3690939.0,2.09,3690939.0,2.09,2.1,4328553.0
2015,3835588.0,2.083,3835588.0,2.083,3835588.0,2.083,3835588.0,2.083,2.1,4328553.0
2016,3956862.0,2.082,3956862.0,2.082,3956862.0,2.082,3956862.0,2.082,2.1,4328553.0
2017,4056102.0,2.083,4056102.0,2.083,4056102.0,2.083,4056102.0,2.083,2.1,4328553.0
2018,4137314.0,2.082,4137314.0,2.082,4137314.0,2.082,4137314.0,2.082,2.1,4328553.0
2019,4207077.0,2.077,4207077.0,2.077,4207077.0,2.077,4207077.0,2.077,2.1,4328553.0
2020,4270563.0,2.068,4270563.0,2.068,4270563.0,2.068,4270563.0,2.068,2.1,4328553.0
2021,4328553.0,2.068,4328553.0,2.068,4328553.0,2.068,4328553.0,2.068,2.1,4328553.0
2022,4326511.905,2.025,4326998.015,2.043,4326754.396,2.034,4327680.375,2.068,2.1,4328553.0
2023,4323326.549,1.983,4324768.928,2.018,4324045.017,2.001,4326807.75,2.068,2.1,4328553.0
2024,4319020.643,1.942,4321873.893,1.994,4320439.819,1.968,4325935.126,2.068,2.1,4328553.0
2025,4313617.403,1.902,4318320.97,1.97,4315953.51,1.935,4325062.501,2.068,2.1,4328553.0
